🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
👶🏽	bayi, bayi: ton kulit sederhana, ton kulit sederhana
👶🏾	bayi, bayi: ton kulit sederhana gelap, ton kulit sederhana gelap
👶🏿	bayi, bayi: ton kulit gelap, ton kulit gelap
🧒🏻	kanak-kanak, kanak-kanak: ton kulit cerah, muda, ton kulit cerah
🧒🏼	kanak-kanak, kanak-kanak: ton kulit sederhana cerah, muda, ton kulit sederhana cerah
🧒🏽	kanak-kanak, kanak-kanak: ton kulit sederhana, muda, ton kulit sederhana
🧒🏾	kanak-kanak, kanak-kanak: ton kulit sederhana gelap, muda, ton kulit sederhana gelap
🧒🏿	kanak-kanak, kanak-kanak: ton kulit gelap, muda, ton kulit gelap
👦🏻	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit cerah, lelaki, ton kulit cerah
👦🏼	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit sederhana cerah, lelaki, ton kulit sederhana cerah
👦🏽	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit sederhana, lelaki, ton kulit sederhana
👦🏾	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit sederhana gelap, lelaki, ton kulit sederhana gelap
👦🏿	kanak-kanak lelaki, kanak-kanak lelaki: ton kulit gelap, lelaki, ton kulit gelap
👧🏻	Virgo, budak perempuan, budak perempuan: ton kulit cerah, muda, ton kulit cerah, zodiak
👧🏼	Virgo, budak perempuan, budak perempuan: ton kulit sederhana cerah, muda, ton kulit sederhana cerah, zodiak
👧🏽	Virgo, budak perempuan, budak perempuan: ton kulit sederhana, muda, ton kulit sederhana, zodiak
👧🏾	Virgo, budak perempuan, budak perempuan: ton kulit sederhana gelap, muda, ton kulit sederhana gelap, zodiak
👧🏿	Virgo, budak perempuan, budak perempuan: ton kulit gelap, muda, ton kulit gelap, zodiak
🧑🏻	dewasa, dewasa: ton kulit cerah, gender-neutral, ton kulit cerah
🧑🏼	dewasa, dewasa: ton kulit sederhana cerah, gender-neutral, ton kulit sederhana cerah
🧑🏽	dewasa, dewasa: ton kulit sederhana, gender-neutral, ton kulit sederhana
🧑🏾	dewasa, dewasa: ton kulit sederhana gelap, gender-neutral, ton kulit sederhana gelap
🧑🏿	dewasa, dewasa: ton kulit gelap, gender-neutral, ton kulit gelap
👨🏻	lelaki, lelaki: ton kulit cerah, ton kulit cerah
👨🏼	lelaki, lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽	lelaki, lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾	lelaki, lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿	lelaki, lelaki: ton kulit gelap, ton kulit gelap
👨‍🦰	lelaki, lelaki: rambut merah, rambut merah
👨🏻‍🦰	lelaki, lelaki: ton kulit cerah dan rambut merah, rambut merah, ton kulit cerah
👨🏼‍🦰	lelaki, lelaki: ton kulit sederhana cerah dan rambut merah, rambut merah, ton kulit sederhana cerah
👨🏽‍🦰	lelaki, lelaki: ton kulit sederhana dan rambut merah, rambut merah, ton kulit sederhana
👨🏾‍🦰	lelaki, lelaki: ton kulit sederhana gelap dan rambut merah, rambut merah, ton kulit sederhana gelap
👨🏿‍🦰	lelaki, lelaki: ton kulit gelap dan rambut merah, rambut merah, ton kulit gelap
👨‍🦱	lelaki, lelaki: rambut kerinting, rambut kerinting
👨🏻‍🦱	lelaki, lelaki: ton kulit cerah dan rambut kerinting, rambut kerinting, ton kulit cerah
👨🏼‍🦱	lelaki, lelaki: ton kulit sederhana cerah dan rambut kerinting, rambut kerinting, ton kulit sederhana cerah
👨🏽‍🦱	lelaki, lelaki: ton kulit sederhana dan rambut kerinting, rambut kerinting, ton kulit sederhana
👨🏾‍🦱	lelaki, lelaki: ton kulit sederhana gelap dan rambut kerinting, rambut kerinting, ton kulit sederhana gelap
👨🏿‍🦱	lelaki, lelaki: ton kulit gelap dan rambut kerinting, rambut kerinting, ton kulit gelap
👨‍🦲	botak, lelaki, lelaki: botak
👨🏻‍🦲	botak, lelaki, lelaki: ton kulit cerah dan botak, ton kulit cerah
👨🏼‍🦲	botak, lelaki, lelaki: ton kulit sederhana cerah dan botak, ton kulit sederhana cerah
👨🏽‍🦲	botak, lelaki, lelaki: ton kulit sederhana dan botak, ton kulit sederhana
👨🏾‍🦲	botak, lelaki, lelaki: ton kulit sederhana gelap dan botak, ton kulit sederhana gelap
👨🏿‍🦲	botak, lelaki, lelaki: ton kulit gelap dan botak, ton kulit gelap
👨‍🦳	lelaki, lelaki: rambut putih, rambut putih
👨🏻‍🦳	lelaki, lelaki: ton kulit cerah dan rambut putih, rambut putih, ton kulit cerah
👨🏼‍🦳	lelaki, lelaki: ton kulit sederhana cerah dan rambut putih, rambut putih, ton kulit sederhana cerah
👨🏽‍🦳	lelaki, lelaki: ton kulit sederhana dan rambut putih, rambut putih, ton kulit sederhana
👨🏾‍🦳	lelaki, lelaki: ton kulit sederhana gelap dan rambut putih, rambut putih, ton kulit sederhana gelap
👨🏿‍🦳	lelaki, lelaki: ton kulit gelap dan rambut putih, rambut putih, ton kulit gelap
👩🏻	perempuan, perempuan: ton kulit cerah, ton kulit cerah, wanita
👩🏼	perempuan, perempuan: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽	perempuan, perempuan: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾	perempuan, perempuan: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿	perempuan, perempuan: ton kulit gelap, ton kulit gelap, wanita
👩‍🦰	perempuan, perempuan: rambut merah, rambut merah, wanita
👩🏻‍🦰	perempuan, perempuan: ton kulit cerah dan rambut merah, rambut merah, ton kulit cerah, wanita
👩🏼‍🦰	perempuan, perempuan: ton kulit sederhana cerah dan rambut merah, rambut merah, ton kulit sederhana cerah, wanita
👩🏽‍🦰	perempuan, perempuan: ton kulit sederhana dan rambut merah, rambut merah, ton kulit sederhana, wanita
👩🏾‍🦰	perempuan, perempuan: ton kulit sederhana gelap dan rambut merah, rambut merah, ton kulit sederhana gelap, wanita
👩🏿‍🦰	perempuan, perempuan: ton kulit gelap dan rambut merah, rambut merah, ton kulit gelap, wanita
👩‍🦱	perempuan, perempuan: rambut kerinting, rambut kerinting, wanita
👩🏻‍🦱	perempuan, perempuan: ton kulit cerah dan rambut kerinting, rambut kerinting, ton kulit cerah, wanita
👩🏼‍🦱	perempuan, perempuan: ton kulit sederhana cerah dan rambut kerinting, rambut kerinting, ton kulit sederhana cerah, wanita
👩🏽‍🦱	perempuan, perempuan: ton kulit sederhana dan rambut kerinting, rambut kerinting, ton kulit sederhana, wanita
👩🏾‍🦱	perempuan, perempuan: ton kulit sederhana gelap dan rambut kerinting, rambut kerinting, ton kulit sederhana gelap, wanita
👩🏿‍🦱	perempuan, perempuan: ton kulit gelap dan rambut kerinting, rambut kerinting, ton kulit gelap, wanita
👩‍🦲	botak, perempuan, perempuan: botak, wanita
👩🏻‍🦲	botak, perempuan, perempuan: ton kulit cerah dan botak, ton kulit cerah, wanita
👩🏼‍🦲	botak, perempuan, perempuan: ton kulit sederhana cerah dan botak, ton kulit sederhana cerah, wanita
👩🏽‍🦲	botak, perempuan, perempuan: ton kulit sederhana dan botak, ton kulit sederhana, wanita
👩🏾‍🦲	botak, perempuan, perempuan: ton kulit sederhana gelap dan botak, ton kulit sederhana gelap, wanita
👩🏿‍🦲	botak, perempuan, perempuan: ton kulit gelap dan botak, ton kulit gelap, wanita
👩‍🦳	perempuan, perempuan: rambut putih, rambut putih, wanita
👩🏻‍🦳	perempuan, perempuan: ton kulit cerah dan rambut putih, rambut putih, ton kulit cerah, wanita
👩🏼‍🦳	perempuan, perempuan: ton kulit sederhana cerah dan rambut putih, rambut putih, ton kulit sederhana cerah, wanita
👩🏽‍🦳	perempuan, perempuan: ton kulit sederhana dan rambut putih, rambut putih, ton kulit sederhana, wanita
👩🏾‍🦳	perempuan, perempuan: ton kulit sederhana gelap dan rambut putih, rambut putih, ton kulit sederhana gelap, wanita
👩🏿‍🦳	perempuan, perempuan: ton kulit gelap dan rambut putih, rambut putih, ton kulit gelap, wanita
🧓🏻	dewasa lebih tua, dewasa lebih tua: ton kulit cerah, gender-neutral, ton kulit cerah, tua
🧓🏼	dewasa lebih tua, dewasa lebih tua: ton kulit sederhana cerah, gender-neutral, ton kulit sederhana cerah, tua
🧓🏽	dewasa lebih tua, dewasa lebih tua: ton kulit sederhana, gender-neutral, ton kulit sederhana, tua
🧓🏾	dewasa lebih tua, dewasa lebih tua: ton kulit sederhana gelap, gender-neutral, ton kulit sederhana gelap, tua
🧓🏿	dewasa lebih tua, dewasa lebih tua: ton kulit gelap, gender-neutral, ton kulit gelap, tua
👴🏻	lelaki, lelaki tua: ton kulit cerah, ton kulit cerah, tua
👴🏼	lelaki, lelaki tua: ton kulit sederhana cerah, ton kulit sederhana cerah, tua
👴🏽	lelaki, lelaki tua: ton kulit sederhana, ton kulit sederhana, tua
👴🏾	lelaki, lelaki tua: ton kulit sederhana gelap, ton kulit sederhana gelap, tua
👴🏿	lelaki, lelaki tua: ton kulit gelap, ton kulit gelap, tua
👵🏻	ton kulit cerah, tua, wanita, wanita tua: ton kulit cerah
👵🏼	ton kulit sederhana cerah, tua, wanita, wanita tua: ton kulit sederhana cerah
👵🏽	ton kulit sederhana, tua, wanita, wanita tua: ton kulit sederhana
👵🏾	ton kulit sederhana gelap, tua, wanita, wanita tua: ton kulit sederhana gelap
👵🏿	ton kulit gelap, tua, wanita, wanita tua: ton kulit gelap
👨🏻‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit cerah, penjagaan kesihatan, ton kulit cerah
👨🏼‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit sederhana cerah, penjagaan kesihatan, ton kulit sederhana cerah
👨🏽‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit sederhana, penjagaan kesihatan, ton kulit sederhana
👨🏾‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit sederhana gelap, penjagaan kesihatan, ton kulit sederhana gelap
👨🏿‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, pekerja kesihatan lelaki: ton kulit gelap, penjagaan kesihatan, ton kulit gelap
👩🏻‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit cerah, penjagaan kesihatan, perempuan, ton kulit cerah
👩🏼‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit sederhana cerah, penjagaan kesihatan, perempuan, ton kulit sederhana cerah
👩🏽‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit sederhana, penjagaan kesihatan, perempuan, ton kulit sederhana
👩🏾‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit sederhana gelap, penjagaan kesihatan, perempuan, ton kulit sederhana gelap
👩🏿‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, pekerja kesihatan wanita: ton kulit gelap, penjagaan kesihatan, perempuan, ton kulit gelap
👨🏻‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🎓	graduan, lelaki, pelajar, pelajar lelaki: ton kulit gelap, ton kulit gelap
👩🏻‍🎓	graduan, pelajar, pelajar wanita: ton kulit cerah, perempuan, ton kulit cerah, wanita
👩🏼‍🎓	graduan, pelajar, pelajar wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍🎓	graduan, pelajar, pelajar wanita: ton kulit sederhana, perempuan, ton kulit sederhana, wanita
👩🏾‍🎓	graduan, pelajar, pelajar wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍🎓	graduan, pelajar, pelajar wanita: ton kulit gelap, perempuan, ton kulit gelap, wanita
👨🏻‍🏫	guru, guru lelaki: ton kulit cerah, lelaki, pengajar, profesor, ton kulit cerah
👨🏼‍🏫	guru, guru lelaki: ton kulit sederhana cerah, lelaki, pengajar, profesor, ton kulit sederhana cerah
👨🏽‍🏫	guru, guru lelaki: ton kulit sederhana, lelaki, pengajar, profesor, ton kulit sederhana
👨🏾‍🏫	guru, guru lelaki: ton kulit sederhana gelap, lelaki, pengajar, profesor, ton kulit sederhana gelap
👨🏿‍🏫	guru, guru lelaki: ton kulit gelap, lelaki, pengajar, profesor, ton kulit gelap
👩🏻‍🏫	guru, guru wanita: ton kulit cerah, pengajar, profesor, ton kulit cerah, wanita
👩🏼‍🏫	guru, guru wanita: ton kulit sederhana cerah, pengajar, profesor, ton kulit sederhana cerah, wanita
👩🏽‍🏫	guru, guru wanita: ton kulit sederhana, pengajar, profesor, ton kulit sederhana, wanita
👩🏾‍🏫	guru, guru wanita: ton kulit sederhana gelap, pengajar, profesor, ton kulit sederhana gelap, wanita
👩🏿‍🏫	guru, guru wanita: ton kulit gelap, pengajar, profesor, ton kulit gelap, wanita
👨🏻‍⚖	hakim, hakim lelaki: ton kulit cerah, lelaki, neraca, ton kulit cerah
👨🏼‍⚖	hakim, hakim lelaki: ton kulit sederhana cerah, lelaki, neraca, ton kulit sederhana cerah
👨🏽‍⚖	hakim, hakim lelaki: ton kulit sederhana, lelaki, neraca, ton kulit sederhana
👨🏾‍⚖	hakim, hakim lelaki: ton kulit sederhana gelap, lelaki, neraca, ton kulit sederhana gelap
👨🏿‍⚖	hakim, hakim lelaki: ton kulit gelap, lelaki, neraca, ton kulit gelap
👩🏻‍⚖	hakim, hakim wanita: ton kulit cerah, neraca, perempuan, ton kulit cerah, wanita
👩🏼‍⚖	hakim, hakim wanita: ton kulit sederhana cerah, neraca, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍⚖	hakim, hakim wanita: ton kulit sederhana, neraca, perempuan, ton kulit sederhana, wanita
👩🏾‍⚖	hakim, hakim wanita: ton kulit sederhana gelap, neraca, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍⚖	hakim, hakim wanita: ton kulit gelap, neraca, perempuan, ton kulit gelap, wanita
👨🏻‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki: ton kulit gelap, ton kulit gelap
👩🏻‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit cerah, ton kulit cerah, wanita
👩🏼‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita: ton kulit gelap, ton kulit gelap, wanita
👨🏻‍🍳	cef, lelaki, ton kulit cerah, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit cerah
👨🏼‍🍳	cef, lelaki, ton kulit sederhana cerah, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit sederhana cerah
👨🏽‍🍳	cef, lelaki, ton kulit sederhana, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit sederhana
👨🏾‍🍳	cef, lelaki, ton kulit sederhana gelap, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit sederhana gelap
👨🏿‍🍳	cef, lelaki, ton kulit gelap, tukang masak, tukang masak lelaki, tukang masak lelaki: ton kulit gelap
👩🏻‍🍳	cef, perempuan, ton kulit cerah, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit cerah, wanita
👩🏼‍🍳	cef, perempuan, ton kulit sederhana cerah, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit sederhana cerah, wanita
👩🏽‍🍳	cef, perempuan, ton kulit sederhana, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit sederhana, wanita
👩🏾‍🍳	cef, perempuan, ton kulit sederhana gelap, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit sederhana gelap, wanita
👩🏿‍🍳	cef, perempuan, ton kulit gelap, tukang masak, tukang masak wanita, tukang masak wanita: ton kulit gelap, wanita
👨🏻‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit cerah, ton kulit cerah, tukang, tukang paip
👨🏼‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah, tukang, tukang paip
👨🏽‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit sederhana, ton kulit sederhana, tukang, tukang paip
👨🏾‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap, tukang, tukang paip
👨🏿‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki: ton kulit gelap, ton kulit gelap, tukang, tukang paip
👩🏻‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit cerah, perempuan, ton kulit cerah, tukang, tukang paip, wanita
👩🏼‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, tukang, tukang paip, wanita
👩🏽‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit sederhana, perempuan, ton kulit sederhana, tukang, tukang paip, wanita
👩🏾‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, tukang, tukang paip, wanita
👩🏿‍🔧	juruelektrik, mekanik, mekanik wanita: ton kulit gelap, perempuan, ton kulit gelap, tukang, tukang paip, wanita
👨🏻‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit cerah, pemasangan, ton kulit cerah
👨🏼‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit sederhana cerah, pemasangan, ton kulit sederhana cerah
👨🏽‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit sederhana, pemasangan, ton kulit sederhana
👨🏾‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit sederhana gelap, pemasangan, ton kulit sederhana gelap
👨🏿‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki: ton kulit gelap, pemasangan, ton kulit gelap
👩🏻‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit cerah, pemasangan, perempuan, ton kulit cerah, wanita
👩🏼‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit sederhana cerah, pemasangan, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit sederhana, pemasangan, perempuan, ton kulit sederhana, wanita
👩🏾‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit sederhana gelap, pemasangan, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍🏭	industri, kilang, pekerja, pekerja kilang wanita: ton kulit gelap, pemasangan, perempuan, ton kulit gelap, wanita
👨🏻‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit cerah, pengurus, perniagaan, ton kulit cerah
👨🏼‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit sederhana cerah, pengurus, perniagaan, ton kulit sederhana cerah
👨🏽‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit sederhana, pengurus, perniagaan, ton kulit sederhana
👨🏾‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit sederhana gelap, pengurus, perniagaan, ton kulit sederhana gelap
👨🏿‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pekerja pejabat lelaki: ton kulit gelap, pengurus, perniagaan, ton kulit gelap
👩🏻‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit cerah, pengurus, ton kulit cerah, urus niaga, wanita
👩🏼‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit sederhana cerah, pengurus, ton kulit sederhana cerah, urus niaga, wanita
👩🏽‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit sederhana, pengurus, ton kulit sederhana, urus niaga, wanita
👩🏾‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit sederhana gelap, pengurus, ton kulit sederhana gelap, urus niaga, wanita
👩🏿‍💼	kolar putih, pekerja pejabat wanita, pekerja pejabat wanita: ton kulit gelap, pengurus, ton kulit gelap, urus niaga, wanita
👨🏻‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit sederhana, ton kulit sederhana
