‾	горна црта
😋	вкусно, лице, лице што ужива во вкусна храна, насмевка, ужива
😛	лице, лице со исплазен јазик, јазик
😜	лице, лице со исплазен јазик и намигнато око, намигнување, шега, јазик
🤪	големо, лудо лице, мало, око
😝	вкус, лице, лице со исплазен јазик и затворени очи, ужасно, јазик
🤑	лице, лице со пари на устата, пари, уста
🤗	гушкање, лице, лице што гушка, прегратка
🤭	лице со дланка преку устата, упс
🫢	восхит, зачуденост, изненадено, исплашено, лице со отворени очи и рака на уста, неверица, посрамотено
🫣	гледа, зашеметен, лице со око што ѕирка, ѕирка
🤫	лице прави „шшш“, тишина, шшш
🤔	лице, лице што размислува, мисли, размислува
🫡	ОК, војнички, да, лице што отпоздравува, поздрав, сончево
🤐	лице, лице со закопчана уста, патент, уста
🤨	лице со крената веѓа, недоверба, скептично
😐️	лице, неутралност, рамнодушно лице, рамнодушност
😑	без израз, лице, лице без никаков израз, монотоно
😶	лице, лице без уста, молчи, тивко, уста
🫥	депресија, интроверт, исчезнува, лице од испрекината линија, невидливо, сокрива
😶‍🌫	глава во облаци, лице во магла, лице во облаци, отсутен со паметот
😏	лице, лице со подбивна насмевка, насмевка, подбивно, самозадоволно
😒	лице, незаинтересирано, незаинтересирано лице, несреќно
🙄	лице, лице што превртува очи, очи, превртува
😬	гримаса, лице, лице со гримаса
😮‍💨	восклик, издишување, лице издишува, олеснување, свиркање, стенкање, шепот
🤥	лаже, лажење, лице, пинокио
😌	лице, лице со олеснување, олеснување
😔	замислено, замислено лице, лице, потиштено
😪	лице, поспано лице, спиење
🤤	лигавење, лице
😴	заспано лице, ззз, лице, спиење
😷	болен, лекар, лице со медицинска маска, маска, настинка
🤒	болен, лице, лице со термометар, термометар
🤕	завој, лице, лице со преврска на главата, повреда, рана
🤢	мачнина, повраќа, слоши
🤮	болен, лице повраќа, повраќање
🤧	кивање, лице, лице кое кива, на здравје
🥵	жешко, зацрвенето лице, лице зацрвенето од жештина, потење, тополотен удар, трескавично
🥶	замрзнато, замрзнато лице, мразулци, сино лице, студено
🥴	зашеметен, пијан, пијано лице
😵	зашеметено, зашеметено лице, лице
😵‍💫	зашеметен, леле, лице со спирални очи, неволја, спирала, хипнотизиран
🤯	експлодирачка глава, шокирано
🤠	каубој, лице, шешир
🥳	забава, капа, лице што се забавува, прослава
🥸	инкогнито, лице, лице со маска, маска, нос, очила
😎	лице, насмеано лице со очила за сонце, насмевка, очила, сонце
🤓	бубалица, лице, лице на бубалица, чудак
🧐	лице со монокл, надуенко
😕	збунето, збунето лице, лице
🫤	ех, лице со дијагонална уста, несигурен, разочаран, скептик
😟	загрижено, загрижено лице, лице
🙁	лице, малку намуртено лице, намуртено
☹️	лице, намуртено, намуртено лице
😮	лице, лице со отворена уста, отворена, уста
😯	замолчено, замолчено лице, зачудено, изненадено, лице
😲	вчудовидено лице, вчудоневидено, лице, шокирано
😳	вцрвенето, вцрвенето лице, збунето, лице
🥺	кучешки очиња, лице што моли, милосрдие, молење
🥹	гнев, гордост, лице спремно да заплаче, отпор, плачење, тажно
😦	лице, намуртено, намуртено лице со отворена уста, отворена, уста
😧	лице, лице во очај, очајно
😨	исплашено, лице, лице во страв, страв, уплашено
😰	лице, лице со отворена уста и капка пот, отворена, пот, сино
😥	лице, олеснување, разочарано, но лице со олеснување, разочарување
😢	лице, плач, расплакано лице, солза, тажно
😭	вкус, гласно расплакано лице, лице, лице со исплазен јазик и затворени очи, ужасно, јазик
😱	вресок, исплашено, лице, лице кое вреска од страв, уплашено
😖	збркано, збркано лице, лице
😣	издржливо лице, издржливост, истрајност, лице
😞	лице, разочарано, разочарано лице
😓	лице, лице со капка пот, пот
😩	исцрпено, исцрпено лице, лице, уморно
😫	лице, уморно, уморно лице
🥱	лице што се прозева, прозевање, уморно
😤	лице, лице на кое му чади од носот, нос, чад
😡	бес, лице зацрвенето од лутина, луто, налутено, црвено
😠	лице, луто, налутено, налутено лице
🤬	лице со симболи на устата, пцуење
😈	насмеано лице со рогови, насмевка, рогови, сказна, фантазија
👿	немирко, палавко, сказна, фантазија, ѓаволче
💀	сказна, смрт, тело, череп, чудовиште
☠️	вкрстени коски, костур, смрт, тело, череп и вкрстени коски
💩	измет, кака, куп измет, лице, стрип
🤡	кловн, лице
👹	сказна, суштество, фантазија, чудовиште, џин, џиновско чудовиште
👺	гоблин, сказна, суштество, фантазија, чудовиште
👻	дух, сказна, суштество, фантазија, чудовиште
👽️	вонземјанин, вселена, нло, суштество, чудовиште
👾	вонземно чудовиште, вонземјанин, вселена, нло, чудовиште
🤖	лице, робот, чудовиште
😺	лице, мачка, насмеано лице на мачка со отворена уста, насмевка, отворена, уста, широка насмевка
😸	лице, мачка, насмевка, око, широка насмевка, широко насмеана мачка со насмеани очи
😹	лице, лице на мачка со солзи радосници, мачка, радост, солза
😻	лице, мачка, насмеана мачка со очи како срца, насмевка, око, срце, љубов
😼	иронично, искривена, лице, мачка, мачка со иронична насмевка, насмевка
😽	бакнеж, лице, мачка, мачка бакнува со затворени очи, око
🙀	изненаден, лице, мачка, ох, уморен, уморна мачка
😿	лице, мачка, плач, расплакана мачка, солза, тажно
😾	лице, мачка, намуртена мачка, намуртено
🙈	гест, гледа, забрането, мајмун, мајмун со покриени очи
🙉	гест, забрането, мајмун, мајмун со покриени уши, не слуша
🙊	гест, забрането, мајмун, мајмун со покриена уста, не зборува
💌	писмо, пошта, романтика, љубов, љубовно писмо
💘	купид, романтика, срце, срце прободено со стрела, стрела
💝	ден на вљубените, панделка, подарок, срце, срце со панделка
💖	возбуда, светкаво срце, светки, срце
💗	возбуда, нервоза, пулс, растење, срце, срце што расте
💓	отчукување, пулс, срце, срце што чука, чука
💞	ротира, ротирачки срца, се врти, срце
💕	две срца, срце, љубов
💟	срце, украс, украс со срце
❣️	знак, извичник, извичник во вид на срце, интерпункциски знак
💔	крши, скршено, скршено срце, срце
❤‍🔥	гори, запалено срце, свето срце, сладострастие, срце, љубов
❤‍🩹	добро, закрепнува, залечено срце, поздраво, се залекува, се подобрува
❤️	срце, црвено, црвено срце
🧡	портокал, портокалово срце
💛	жолто, жолто срце, срце
💚	зелено, зелено срце, срце
💙	сино, сино срце, срце
💜	виолетово, виолетово срце, срце
🤎	кафеаво, кафеаво срце, срце
🖤	зло, морбидно, црно срце
🤍	бело, бело срце, срце
💋	бакнеж, бакнеж со кармин, кармин, романтика
💯	100, поени, сто поени
💢	лут, лутина, налутен, стрип
💥	бум, експлозија, стрип, судир
💫	вртење, вртоглавица, стрип, ѕвезда
💦	капки, капки пот, пот, прскање, стрип
💨	брза, брзање, стрип, трчање
🕳️	дупка, отвор
💬	балон, балон за говор, говор, дијалог, стрип
👁‍🗨	балон за говор, око, око во балон за говор, сведок
🗨️	балон, дијалог, лев балон за говор, лево, стрип
🗯️	балон, десен балон за говор, десен балон за лутина, десно, дијалог, стрип
💭	балон, балон за размислување, меур, размислување, стрип
💤	ззз, спие, стрип
👋	мавтање, мавтање со рака, поздрав, рака, тело
👋🏻	мавтање, мавтање со рака, мавтање со рака: тип на кожа 1–2, поздрав, рака, тело, тип на кожа 1–2
👋🏼	мавтање, мавтање со рака, мавтање со рака: тип на кожа 3, поздрав, рака, тело, тип на кожа 3
👋🏽	мавтање, мавтање со рака, мавтање со рака: тип на кожа 4, поздрав, рака, тело, тип на кожа 4
👋🏾	мавтање, мавтање со рака, мавтање со рака: тип на кожа 5, поздрав, рака, тело, тип на кожа 5
👋🏿	мавтање, мавтање со рака, мавтање со рака: тип на кожа 6, поздрав, рака, тело, тип на кожа 6
🤚	горе, дланка, подигната, подигната дланка
🤚🏻	горе, дланка, подигната, подигната дланка: тип на кожа 1–2, тип на кожа 1–2
🤚🏼	горе, дланка, подигната, подигната дланка: тип на кожа 3, тип на кожа 3
🤚🏽	горе, дланка, подигната, подигната дланка: тип на кожа 4, тип на кожа 4
🤚🏾	горе, дланка, подигната, подигната дланка: тип на кожа 5, тип на кожа 5
🤚🏿	горе, дланка, подигната, подигната дланка: тип на кожа 6, тип на кожа 6
🖐️	дланка, крената рака со раширени прсти, прст, рака, раширена
🖐🏻	дланка, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 1–2, прст, рака, раширена, тип на кожа 1–2
🖐🏼	дланка, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 3, прст, рака, раширена, тип на кожа 3
🖐🏽	дланка, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 4, прст, рака, раширена, тип на кожа 4
🖐🏾	дланка, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 5, прст, рака, раширена, тип на кожа 5
🖐🏿	дланка, крената рака со раширени прсти, крената рака со раширени прсти: тип на кожа 6, прст, рака, раширена, тип на кожа 6
✋	дланка, крената рака, рака, тело
✋🏻	дланка, крената рака, крената рака: тип на кожа 1–2, рака, тело, тип на кожа 1–2
✋🏼	дланка, крената рака, крената рака: тип на кожа 3, рака, тело, тип на кожа 3
✋🏽	дланка, крената рака, крената рака: тип на кожа 4, рака, тело, тип на кожа 4
✋🏾	дланка, крената рака, крената рака: тип на кожа 5, рака, тело, тип на кожа 5
✋🏿	дланка, крената рака, крената рака: тип на кожа 6, рака, тело, тип на кожа 6
🖖	вулканец, вулкански поздрав, дланка, поздрав, прст
🖖🏻	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 1–2, дланка, поздрав, прст, тип на кожа 1–2
🖖🏼	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 3, дланка, поздрав, прст, тип на кожа 3
🖖🏽	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 4, дланка, поздрав, прст, тип на кожа 4
🖖🏾	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 5, дланка, поздрав, прст, тип на кожа 5
🖖🏿	вулканец, вулкански поздрав, вулкански поздрав: тип на кожа 6, дланка, поздрав, прст, тип на кожа 6
🫱	десно, надесно, рака, рака на десно
🫱🏻	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 1–2, тип на кожа 1–2
🫱🏼	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 3, тип на кожа 3
🫱🏽	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 4, тип на кожа 4
🫱🏾	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 5, тип на кожа 5
🫱🏿	десно, надесно, рака, рака на десно, рака на десно: тип на кожа 6, тип на кожа 6
🫱🏻‍🫲🏼	договор, ракување, ракување: тип на кожа 1–2 и тип на кожа 3, средба, тип на кожа 1–2, тип на кожа 3
🫱🏻‍🫲🏽	договор, ракување, ракување: тип на кожа 1–2 и тип на кожа 4, средба, тип на кожа 1–2, тип на кожа 4
🫱🏻‍🫲🏾	договор, ракување, ракување: тип на кожа 1–2 и тип на кожа 5, средба, тип на кожа 1–2, тип на кожа 5
🫱🏻‍🫲🏿	договор, ракување, ракување: тип на кожа 1–2 и тип на кожа 6, средба, тип на кожа 1–2, тип на кожа 6
🫱🏼‍🫲🏻	договор, ракување, ракување: тип на кожа 3 и тип на кожа 1–2, средба, тип на кожа 1–2, тип на кожа 3
🫱🏼‍🫲🏽	договор, ракување, ракување: тип на кожа 3 и тип на кожа 4, средба, тип на кожа 3, тип на кожа 4
🫱🏼‍🫲🏾	договор, ракување, ракување: тип на кожа 3 и тип на кожа 5, средба, тип на кожа 3, тип на кожа 5
🫱🏼‍🫲🏿	договор, ракување, ракување: тип на кожа 3 и тип на кожа 6, средба, тип на кожа 3, тип на кожа 6
🫱🏽‍🫲🏻	договор, ракување, ракување: тип на кожа 4 и тип на кожа 1–2, средба, тип на кожа 1–2, тип на кожа 4
🫱🏽‍🫲🏼	договор, ракување, ракување: тип на кожа 4 и тип на кожа 3, средба, тип на кожа 3, тип на кожа 4
🫱🏽‍🫲🏾	договор, ракување, ракување: тип на кожа 4 и тип на кожа 5, средба, тип на кожа 4, тип на кожа 5
🫱🏽‍🫲🏿	договор, ракување, ракување: тип на кожа 4 и тип на кожа 6, средба, тип на кожа 4, тип на кожа 6
🫱🏾‍🫲🏻	договор, ракување, ракување: тип на кожа 5 и тип на кожа 1–2, средба, тип на кожа 1–2, тип на кожа 5
🫱🏾‍🫲🏼	договор, ракување, ракување: тип на кожа 5 и тип на кожа 3, средба, тип на кожа 3, тип на кожа 5
🫱🏾‍🫲🏽	договор, ракување, ракување: тип на кожа 5 и тип на кожа 4, средба, тип на кожа 4, тип на кожа 5
🫱🏾‍🫲🏿	договор, ракување, ракување: тип на кожа 5 и тип на кожа 6, средба, тип на кожа 5, тип на кожа 6
🫱🏿‍🫲🏻	договор, ракување, ракување: тип на кожа 6 и тип на кожа 1–2, средба, тип на кожа 1–2, тип на кожа 6
🫱🏿‍🫲🏼	договор, ракување, ракување: тип на кожа 6 и тип на кожа 3, средба, тип на кожа 3, тип на кожа 6
🫱🏿‍🫲🏽	договор, ракување, ракување: тип на кожа 6 и тип на кожа 4, средба, тип на кожа 4, тип на кожа 6
🫱🏿‍🫲🏾	договор, ракување, ракување: тип на кожа 6 и тип на кожа 5, средба, тип на кожа 5, тип на кожа 6
