‾	винкулум, горна черта
↴	стрелка надясно, сочеща надолу
↵	стрелка надолу, сочеща наляво
↶	горна полукръгла стрелка, обратна на часовниковата
↷	горна полукръгла стрелка, по часовниковата
↸	сочеща на северозапад стрелка с дълга черта
↹	стрелка наляво с черта над стрелка надясно с черта
↺	стрелка с отворен кръг, обратна на часовниковата
↻	стрелка с отворен кръг, по часовниковата
↼	стрелка наляво с полових връх отгоре
↽	стрелка наляво с полових връх отдолу
↾	половин връх, стрелка нагоре с половин връх отдясно
↿	половин връх, стрелка нагоре с половин връх отляво
⇀	половин връх, стрелка надясно с половин връх отгоре
⇁	половин връх, стрелка надясно с половин връх отдолу
⇂	половин връх, стрелка надолу с половин връх отдясно
⇃	половин връх, стрелка надолу с половин връх отляво
⇄	стрелка надясно над стрелка наляво
⇅	нагоре, надолу, стрелка, стрелки, сочещи нагоре и надолу
⇆	надясно, наляво, сочеща наляво стрелка над сочеща надясно стрелка, стрелка
⇇	чифт стрелки наляво
⇈	чифт стрелки нагоре
⇉	чифт стрелки надясно
⇊	чифт стрелки надолу
⇋	стрелка наляво с половин връх над стрелка надясно с половин връх
⇌	стрелка надясно с половин връх над стрелка наляво с половин връх
⇐	двойна стрелка наляво
⇍	зачеркната двойна стрелка наляво
⇑	двойна стрелка нагоре
⇒	двойна стрелка надясно
⇏	зачеркната двойна стрелка надясно
⇓	двойна стрелка надолу
⇔	двойна лява и дясна стрелка
⇎	зачеркната двойна лява и дясна стрелка
⇖	сочеща на северозапад двойна стрелка
⇗	сочеща на североизток двойна стрелка
⇘	сочеща на югоизток двойна стрелка
⇙	сочеща на югозапад двойна стрелка
⇚	тройна стрелка наляво
⇛	тройна стрелка надясно
⇜	стрелка наляво със завъртулка
⇝	стрелка надясно със завъртулка
⇞	стрелка нагоре с две напречни черти
⇟	стрелка надолу с две напречни черти
⇠	пунктирана стрелка наляво
⇡	пунктирана стрелка нагоре
⇢	пунктирана стрелка надясно
⇣	пунктирана стрелка надолу
⇤	стрелка наляво с черта
⇥	стрелка надясно с черта
⇦	празна стрелка наляво
⇧	празна стрелка нагоре
⇨	празна стрелка надясно
⇩	празна стрелка надолу
⇪	празна стрелка нагоре, разделена с черта
⇵	стрелка надолу отляво и стрелка нагоре
∀	всеки, всички, даден, за всички, универсален
∂	диференциален, частичен диференциален
∃	съществува
∅	математика, оператор на множество, празен набор
∆	промяна, триъгълник
∇	набла, триъгълник
∈	елемент, елемент на, множество, принадлежност, съдържа
∉	елемент, не е елемент
∋	елемент, съдържа като член
∎	qed, край на доказателство, надгробен камък, халмос
∏	Декартово произведение, логика, произведение
∑	математика, сбор при n-арност
+	добавяне, знак плюс, плюс, събиране
±	плюс-минус
÷	деление, делено, знак за деление, обелос
×	знак за умножение, по, умножение, умножено
<	отварящ таг, по-малко от, таг
≮	математика, не по-малко от, неравенство
=	равенство, равно, равно на
≠	не равно, неравенство, различие
>	затварящ таг, по-голямо от, таг
≯	математика, не по-голямо от, неравенство
¬	не, отрицание
|	вертикална линия, вертикална черта, линия, перпендикуляр, черта, щрих, щрих на Шефер
~	тилда
−	знак минус, изваждане, минус
⁻	горен индекс, горен минус, минус
∓	минус или плюс, плюс-минус
∕	виргула, наклонена черта, наклонена черта за деление
⁄	виргула, дробна наклонена черта, наклонена черта
∗	звезда, оператор астериск
∘	композиция, оператор, оператор пръстен
∙	оператор, оператор водещ символ
√	ирационално число, квадратен корен, корен, на квадрат, радикал, радикс
∝	пропорционален, пропорционалност
∞	безкрайност, знак за безкрайност
∟	математика, прав ъгъл
∠	остър, ъгъл
∣	делител, разделя
∥	успореден
∧	клин, логическо и
∩	множество, пресичане
∪	множество, обединение, съвкупност
∫	интеграл, математически анализ
∬	двоен интеграл, математически анализ
∮	контурен интеграл
∴	логика, следователно
∵	защото, логика
∶	съотношение
∷	пропорционалност, пропорция
∼	оператор, оператор тилда
∽	обърната тилда, тилда
∾	обърната легнала буква s
≃	асимптота, асимптотично равен, математика
≅	еднаквост, изоморфизъм, математика, приблизително равен
≈	близко до, приблизително, приблизително равно
≌	всички равни, математика, равенство
≒	приблизително равен на образа
≖	математика, пръстен в знак за равенство, равенство
≡	еквивалентно на, идентично, точно, три черти
≣	математика, равенство, строго еквивалентен
≤	неравенство, по-малко или равно, по-малко от, равенство, равно на
≥	неравенство, по-голямо или равно, по-голямо от, равенство, равно на
≦	математика, неравенство, по-малко над равен
≧	математика, неравенство, по-голямо над равен
≪	математика, много по-малко от, неравенство
≫	математика, много по-голямо от, неравенство
≬	между
≳	еквивалентен на по-голямо, математика, неравенство
≺	математика, оператор на множество, предхожда
≻	математика, оператор на множество, следва
⊁	математика, не следва, оператор на множество
⊂	множество, подмножество, подмножество на
⊃	математика, надмножество, оператор на множество
⊆	равен на подмножество
⊇	математика, равен на надмножество, равенство
⊕	плюс, плюс в окръжност
⊖	минус в окръжност, симетрична разлика
⊗	знак за умножение в окръжност, произведение, тензор
⊘	математика, наклонена черта за деление в окръжност
⊙	XNOR, оператор, оператор точка в окръжност
⊚	оператор пръстен в окръжност
⊛	астериск, оператор, оператор астериск в окръжност
⊞	математика, плюс в квадрат
⊟	математика, минус в квадрат
⊥	горен так, так, фалш
⊮	не налага
⊰	математика, оператор на множество, предхожда при връзка
⊱	математика, оператор на множество, следва при връзка
⋭	математика, не съдържа като равен на нормална подгрупа, теория на групите
⊶	оригинален
⊹	Ерметиева конюгатна матрица, Ерметиева матрица, квадратва матрица, математика
⊿	математика, правоъгълен триъгълник
⋁	дизюнкция, логика, логическо или при n-арност
⋂	математика, оператор на множество, сечение при n-арност
⋃	математика, обединение, обединение при n-арност, оператор на множество
⋅	оператор, оператор точка
⋆	оператор, оператор звезда
⋈	двоичен оператор, естествено съединение
⋒	двойно сечение, математика, оператор на множество, сечение
⋘	изключително по-малко от, математика, неравенство
⋙	изключително по-голямо от, математика, неравенство
⋮	вертикално многоточие, математика, многоточие
⋯	многоточие, средно хоризонтално многоточие
⋰	математика, многоточие, сочещо нагоре и надясно диагонално многоточие
⋱	математика, многоточие, сочещо надолу и надясно диагонално многоточие
■	запълнен квадрат
□	празен квадрат
▢	празен квадрат със заоблени ръбове
▣	празен квадрат, съдържащ запълнен квадрат
▤	квадрат с хоризонтално запълване
▥	квадрат с вертикално запълване
▦	квадрат с ортогонално щриховано запълване
▧	квадрат със запълване горе вляво и долу вдясно
▨	квадрат със запълване горе вдясно и долу вляво
▩	квадрат с диагонално щриховано запълване
▬	запълнен правоъгълник
▭	празен правоъгълник
▮	запълнен вертикален правоъгълник
▰	запълнен успоредник
▲	запълнен триъгълник, сочещ нагоре, запълнено, нагоре, стрелка, триъгълник
△	сочещ нагоре празен триъгълник
▴	сочещ нагоре запълнен малък триъгълник
▵	сочещ нагоре празен малък триъгълник
▷	сочещ надясно празен триъгълник
▸	сочещ надясно запълнен малък триъгълник
▹	сочещ надясно празен малък триъгълник
►	сочещ надясно запълнен показалец
▻	сочещ надясно празен показалец
▼	запълнен триъгълник, сочещ надолу, запълнено, надолу, стрелка, триъгълник
▽	сочещ надолу празен триъгълник
▾	сочещ надолу запълнен малък триъгълник
▿	сочещ надолу празен малък триъгълник
◁	сочещ наляво празен триъгълник
◂	сочещ наляво запълнен малък триъгълник
◃	сочещ наляво празен малък триъгълник
◄	сочещ наляво запълнен показалец
◅	сочещ наляво празен показалец
◆	запълнен ромб
◇	празен ромб
◈	празен ромб, съдържащ запълнен ромб
◉	концентрични окръжности, оградена точка, празна окръжност, съдържаща запълнена окръжност
◊	диамант, ромб, ромбовиден
○	кръг, незапълнен кръг, празен кръг
◌	пунктирана окръжност
◍	окръжност с вертикално запълване
◎	двойна окръжност, концентрични окръжности, мишена
●	запълнен кръг, кръг
◐	окръжност със запълнена лява половина
◑	окръжност със запълнена дясна половина
◒	окръжност със запълнена долна половина
◓	окръжност със запълнена горна половина
◔	окръжност със запълнен горен десен квадрант
◕	запълнена окръжност с празен горен ляв квадрант
◖	окръжност, запълнена отляво
◗	окръжност, запълнена отдясно
◘	обърнат водещ символ
◙	запълнен квадрат, съдържащ празна окръжност, обърната празна окръжност
◜	кръгла дъга в горен ляв квадрант
◝	кръгла дъга в горен десен квадрант
◞	кръгла дъга в долен десен квадрант
◟	кръгла дъга в долен ляв квадрант
◠	горна полуокръжност
◡	долна полуокръжност
◢	запълнен триъгълник с прав ъгъл долу вдясно
◣	запълнен триъгълник с прав ъгъл долу вляво
◤	запълнен триъгълник с прав ъгъл горе вляво
◥	запълнен триъгълник с прав ъгъл горе вдясно
◦	празен водещ символ
◯	голям незапълнен кръг, кръг, празен кръг
◳	празен квадрат с горен десен квадрант
◷	празна окръжност с горен десен квадрант
◿	триъгълник с прав ъгъл долу вдясно
♪	музика, нота, осмина, осмина нота
⨧	плюс с две в долен индекс
⨯	векторно произведение
⨼	вътрешно произведение
⩣	логическо или с двойна долна черта
⩽	знак за по-малко с наклонена черта за равно
⪍	знак за по-малко над подобно равно
⪚	математика, неравенство, равно с две черти над знак за по-голямо
⪺	следва над знак за не е почти равно
♭	бемол, музика, нота
♯	диез, музика, нота
😀	Широко усмихнато лице, лице, ухилване, широка усмивка
😃	Широко усмихнато лице с големи очи, лице, отворен, усмивка, уста
😄	Широко усмихнато лице с усмихнати очи, лице, отворен, усмивка, уста
😁	Сияещо лице с усмихващи се очи, лице, око, усмивка, ухилване
😆	Широко усмихнато лице с присвити очи, лице, смях, усмивка, уста, широко усмихнато лице с присвити очи
😅	Широко усмихнато лице с пот на челото, лице, отворен, пот, усмивка
🤣	Заливащо се от смях лице, заливане, лице, смях
😂	Лице със сълзи от радост, лице, радост, смях, сълза
🙂	Леко усмихнато лице, лице, усмивка
🙃	Обърнато наобратно лице, лице, наобратно
🫠	изчезвам, разтварям се, течен, топя се, топящо се лице
😉	Намигащо лице, лице, намигване
😊	Усмихнато лице с усмихнати очи, изчервяване, лице, око, усмивка
😇	Усмихнато лице с ореол, ангел, лице, невинно, ореол, фантазия
🥰	влюбен, любов, обожание, усмихнато лице със сърца
😍	Усмихнато лице с очи във форма на сърце, лице, око, сърце, усмивка
🤩	дълбоко запленен, звезда, лице, очи, широко усмихнат
😘	Лице, пращащо въздушна целувка, лице, сърце, целувка
😗	Целуващо лице, лице, целувка
☺️	Усмихнато лице, лице, спокоен, усмивка
😚	Целуващо лице със затворени очи, затворен, лице, око, целувка
😙	Целуващо лице с усмихнати очи, лице, око, усмивка, целувка
🥲	благодарност, гордост, облекчение, разчувстване, сълза, усмивка, усмихнато лице със сълза
😋	Лице, наслаждаващо се на вкусна храна, вкусен, лице, наслаждавам се, усмивка
😛	Плезещо се лице, език, лице
😜	Намигащо и плезещо се лице, език, лице, намигване, шега
🤪	Налудничаво лице, големи, малки, око
😝	Лице с изплезен език и стиснати очи, вкус, език, лице, ужасен
🤑	Лице с пари в устата, лице, пари, уста
🤗	Прегръщащо лице, лице, прегръдка, прегръщам
🤭	Лице с ръка пред устата, издаване, опа!
🫢	безверие, изненада, лице с широко отворени очи и ръка пред устата, неудобство, страхопочитание, удивление, уплаха
🫣	вторачвам се, лице, надничащо зад ръцете си, надничам, смаян
🤫	Лице, което прави „шт!“, знак за „шт!“, тихо
🤔	Замислено лице, замислен, лице
🫡	да, козирувам, козируващо лице, ок, поздрав, слънчево
🤐	Лице с уста с цип, лице, уста, цип
🤨	Лице с повдигната вежда, недоверие, скептично
😐️	Неутрално лице, лице, непроницаем, неутрален
😑	Безизразно лице, безизразен, лице
😶	Лице без уста, лице, тих, уста
🫥	депресиран, изчезвам, интровертен, крия се, лице с пунктир, невидим
😶‍🌫	лице в мъгла, лице в облаци, мечтател, разсеян
😏	Подсмихващо се лице, лице, подсмихване
😒	Недоволно лице, лице, недоволен, нещастен
🙄	Лице с извъртени нагоре очи, извъртам, лице, очи
😬	Лице с гримаса, гримаса, лице
😮‍💨	въздъхвам, издишвам, издишващо лице, охкам, пъшкам, шепна
🤥	лице, лъжа, лъжещо лице, пинокио
😌	Облекчено лице, лице, облекчен
😔	Угрижено лице, лице, обезсърчен, угрижен
😪	Сънено лице, лице, сън
🤤	капят лиги, лице, лице с капеща слюнка
😴	Спящо лице, лице, сън
😷	Лице с медицинска маска, болен, лекар, лице, маска
🤒	Лице с термометър, болен, лице, термометър
🤕	Лице с превръзка на главата, лице, нараняване, превръзка, рана
🤢	лице, лице пред повръщане, отвратено, повръщане
🤮	Повръщащо лице, болен, повръщане
🤧	кихане, кихащо лице, лице, наздраве
🥵	горещина, зачервено лице, зачервяване, температура, топлинен удар
🥶	замръзнало лице, лед, посинял, студ, хапещ студ
🥴	замаян, зигзагообразна уста, неравен поглед, опиянен, опиянено лице, пийнал
😵	Замаяно лице, замаян, лице
😵‍💫	замаян, лице със спираловидни очи, проблеми, спирала, хипнотизиран
🤯	Експлодираща глава, невероятно, шокиран
🤠	каубой, каубойка, лице, лице с каубойска шапка, шапка
🥳	купон, купонджийско лице, надувалка, празненство, шапка
🥸	инкогнито, лице, маскирано лице, маскировка, очила, фалшив нос
😎	Усмихнато лице със слънчеви очила, лице, слънце, слънчеви очила, усмивка
🤓	Лице на „читанка“, зубър, лице, читанка
🧐	Лице с монокъл, консервативен, старомоден
😕	Объркано лице, лице, объркан
🫤	лице с диагонална уста, неодобряващ, несигурен, разочарован, скептичен
😟	Разтревожено лице, лице, разтревожен
🙁	Леко намръщено лице, гримаса, лице
☹️	Намръщено лице, гримаса, лице
😮	Лице с отворена уста, лице, отворен, съчувствие, уста
😯	Изненадано лице, впечатлен, изненадан, лице
😲	Учудено лице, изумен, лице, учуден, шокиран
😳	Изчервено лице, изчервен, лице
🥺	кучешки поглед, милост, умоляване, умоляващо лице
🥹	горд, лице, което сдържа сълзите си, плач, съпротива, тъжен, ядосан
😦	Намръщено лице с отворена уста, гримаса, лице, отворен, уста
😧	Изстрадало лице, изстрадал, лице
😨	Изплашено лице, изплашен, лице, страх
😰	Лице с отворена уста и студена пот, лице, пот, син, студен
😥	Лице с разочарование и облекчение, лице, облекчен, разочарован
😢	Разплакано лице, лице, плач, сълза, тъжен
😭	Силно плачещо лице, лице, плач, сълза, тъжен
😱	Лице, крещящо от страх, вик, изплашен, лице, страх
😖	Смутено лице, лице, смутен
😣	Упорито лице, лице, упорит
😞	Разочаровано лице, лице, разочарован
😓	Лице със студена пот, лице, пот, студен
😩	Изтощено лице, изтощен, лице, уморен
😫	Уморено лице, лице, уморен
🥱	прозяващо се лице, прозявка, скука, умора
😤	Лице с излизаща от носа пара, лице, победа, триумф
😡	Нацупено лице, гневен, лице, сърдит, червен, ярост
😠	Ядосано лице, гневен, лице, сърдит
🤬	Лице със символи върху устата, ругатни
😈	Усмихнато лице с рога, лице, рога, усмивка, фантастичен
👿	Дяволче, демон, дявол, лице, фантастичен
💀	лице, смърт, тяло, череп, чудовище
☠️	Череп с кръстосани кости, кръстосани кости, лице, смърт, череп
💩	изпражнение, лице, чудовище
🤡	клоун, клоунско лице, лице
👹	лице, страшилище, фантастичен, чудовище, японски
👺	гоблин, лице, фантастичен, чудовище, японски
👻	лице, призрак, създание, фантастичен, чудовище
👽️	НЛО, извънземно, космос, лице, чудовище
👾	НЛО, извънземно, извънземно чудовище, космос, лице, чудовище
🤖	Лице на робот, лице, робот, чудовище
😺	Усмихнато котешко лице с отворена уста, котка, лице, усмивка, уста
😸	Ухилено котешко лице с усмихнати очи, котка, лице, усмивка, ухилване
😹	Котешко лице със сълзи от радост, котка, лице, радост, сълза
😻	Усмихнато котешко лице с очи с форма на сърце, котка, лице, любов, сърце
😼	Котешко лице с изкривена усмивка, ироничен, котка, лице, усмивка
😽	Целуващо котешко лице със затворени очи, котка, лице, око, целувка
🙀	Изтощено котешко лице, изненадан, изтощен, котка, лице
😿	Плачещо котешко лице, котка, плач, сълза, тъжен
😾	Нацупено котешко лице, котка, лице, нацупен
🙈	видях, жест, лице, маймуна, „не видях“
🙉	жест, лице, маймуна, чух, „не чух“
🙊	жест, забранено, знам, лице, маймуна, не, „не знам“
💌	Любовно писмо, любов, любовно писмо, писмо, романтика, сърце
💘	Сърце със стрела, амур, купидон, романтика, сърце
💝	Сърце с панделка, лента, сърце
💖	Блестящо сърце, искра, развълнуван, сърце
💗	Увеличаващо се сърце, нервен, пулс, развълнуван, сърце, туптящо сърце
💓	Биещо сърце, биене, биещо, сърце, туптене
💞	Обикалящи сърца, обикалящ, сърце
💕	Две сърца, любов, сърце
💟	Украса сърце, сърце
❣️	Плътен орнамент от сърце – удивителна, пунктуация, сърце, удивителна
💔	Разбито сърце, разбито, сърце
❤‍🔥	любов, огън, свещено сърце, страст, сърце, сърце в пламъци
❤‍🩹	възстановяване, добре, оздравяване, по-здрав, подобрение, превързано сърце
❤️	Червено сърце, сърце
🧡	оранжево, оранжево сърце
💛	Жълто сърце, жълто, сърце
💚	Зелено сърце, зелен, сърце
💙	Синьо сърце, син, сърце
💜	Лилаво сърце, лилаво, сърце
🤎	кафяво, кафяво сърце, сърце
🖤	зло, сърце, черно, черно сърце
🤍	бяло, бяло сърце, сърце
💋	Отпечатък от целувка, отпечатък, отпечатък от целувка, романтика, устни, целувка
💯	100, резултат, сто, сто точки
💢	Символ за гняв, гняв, комикс, ядосан
💥	бум, комикс, сблъсък
💫	замайване, звезда, комикс
💦	капки пот, комикс, пот, пръска
💨	комикс, спринт, тичане
🕳️	дупка, яма
💬	Балонче за говор, балонче, говор, диалог, комикс
👁‍🗨	балонче за говор, око, око в балонче за говор, свидетел
🗨️	Балонче за говор отляво, говор, диалог
🗯️	Балонче за гняв отдясно, балонче, гняв, ядосан
💭	Балонче за мисъл, балонче, комикс, мисъл
💤	комикс, спане
👋	Махане с ръка, махане, ръка, тяло
👋🏻	Махане с ръка, Махане с ръка: светла кожа, махане, ръка, светла кожа, тяло
👋🏼	Махане с ръка, Махане с ръка: средно светла кожа, махане, ръка, средно светла кожа, тяло
👋🏽	Махане с ръка, Махане с ръка: средна на цвят кожа, махане, ръка, средна на цвят кожа, тяло
👋🏾	Махане с ръка, Махане с ръка: средно тъмна кожа, махане, ръка, средно тъмна кожа, тяло
👋🏿	Махане с ръка, Махане с ръка: тъмна кожа, махане, ръка, тъмна кожа, тяло
🤚	вдигната, вдигната длан, длан
🤚🏻	вдигната, вдигната длан: светла кожа, длан, светла кожа
🤚🏼	вдигната, вдигната длан: средно светла кожа, длан, средно светла кожа
🤚🏽	вдигната, вдигната длан: средна на цвят кожа, длан, средна на цвят кожа
🤚🏾	вдигната, вдигната длан: средно тъмна кожа, длан, средно тъмна кожа
🤚🏿	вдигната, вдигната длан: тъмна кожа, длан, тъмна кожа
🖐️	Вдигната ръка с разперени пръсти, пръст, разперен, ръка, тяло
🖐🏻	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: светла кожа, пръст, разперен, ръка, светла кожа, тяло
🖐🏼	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: средно светла кожа, пръст, разперен, ръка, средно светла кожа, тяло
🖐🏽	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: средна на цвят кожа, пръст, разперен, ръка, средна на цвят кожа, тяло
🖐🏾	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: средно тъмна кожа, пръст, разперен, ръка, средно тъмна кожа, тяло
🖐🏿	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: тъмна кожа, пръст, разперен, ръка, тъмна кожа, тяло
✋	Вдигната ръка, ръка, тяло
✋🏻	Вдигната ръка, Вдигната ръка: светла кожа, ръка, светла кожа, тяло
✋🏼	Вдигната ръка, Вдигната ръка: средно светла кожа, ръка, средно светла кожа, тяло
✋🏽	Вдигната ръка, Вдигната ръка: средна на цвят кожа, ръка, средна на цвят кожа, тяло
✋🏾	Вдигната ръка, Вдигната ръка: средно тъмна кожа, ръка, средно тъмна кожа, тяло
✋🏿	Вдигната ръка, Вдигната ръка: тъмна кожа, ръка, тъмна кожа, тяло
🖖	Поздрав на вулканите, вулкан, пръст, ръка, спок
🖖🏻	Поздрав на вулканите, Поздрав на вулканите: светла кожа, вулкан, пръст, ръка, светла кожа, спок
🖖🏼	Поздрав на вулканите, Поздрав на вулканите: средно светла кожа, вулкан, пръст, ръка, спок, средно светла кожа
🖖🏽	Поздрав на вулканите, Поздрав на вулканите: средна на цвят кожа, вулкан, пръст, ръка, спок, средна на цвят кожа
🖖🏾	Поздрав на вулканите, Поздрав на вулканите: средно тъмна кожа, вулкан, пръст, ръка, спок, средно тъмна кожа
🖖🏿	Поздрав на вулканите, Поздрав на вулканите: тъмна кожа, вулкан, пръст, ръка, спок, тъмна кожа
🫱	дясно, надясно, ръка, сочеща надясно ръка
🫱🏻	дясно, надясно, ръка, светла кожа, сочеща надясно ръка, сочеща надясно ръка: светла кожа
🫱🏼	дясно, надясно, ръка, сочеща надясно ръка, сочеща надясно ръка: средно светла кожа, средно светла кожа
🫱🏽	дясно, надясно, ръка, сочеща надясно ръка, сочеща надясно ръка: средна на цвят кожа, средна на цвят кожа
🫱🏾	дясно, надясно, ръка, сочеща надясно ръка, сочеща надясно ръка: средно тъмна кожа, средно тъмна кожа
🫱🏿	дясно, надясно, ръка, сочеща надясно ръка, сочеща надясно ръка: тъмна кожа, тъмна кожа
🫱🏻‍🫲🏼	ръка, ръкостискане, ръкостискане: светла кожа и средно светла кожа, светла кожа, средно светла кожа, среща, съгласие
