‾	ზედა ტირე, ზედა ხაზი
«	ბრჭყალები, კუთხე, კუთხოვანი ბრჭყალები, მარცხენა ბრჭყალი, მარცხენა ორმაგი კუთხოვანი ბრჭყალი, მარჯვნივ, შევრონი, ციტირება
»	ბრჭყალები, კუთხე, კუთხოვანი ბრჭყალები, მარჯვენა ბრჭყალი, მარჯვენა ორმაგი კუთხოვანი ბრჭყალი, მარჯვნივ, შევრონი, ციტირება
)	დახურვა, ფრჩხილები, ფრჩხილების დახურვა, ფრჩხილი
[	კვადრატურლი, მარცხენა კვადრატული ფრჩხილი, ფრჩხილები
]	მარჯვენა კვადრატული ფრჩხილი, ფიგურული ფრჩხილი, ფრჩხილი
{	კვადრატურლი, მარცხენა ფიგურული ფრჩხილი, ფიგურული
}	კვადრატურლი, მარჯვენა ფიგურული ფრჩხილი, ფიგურული
〈	კუთხოვანი, მარცხენა კუთხოვანი ფრჩხილი, მიმართული, ფრჩხილი
〉	კუთხოვანი, მარჯვენა კუთხოვანი ფრჩხილი, მიმართული, ფრჩხილი
《	კუთხოვანი, მარცხენა ორმაგი კუთხოვანი, ორგმაგი, ფრჩხილი
》	მარცხენა ორმაგი კუთხოვანი, მარჯვენა ორმაგი კუთხოვანი ფრჩხილი, მიმართული
「	გამხსნელი მართკუთხა, გამხსნელი მართკუთხა ფრჩხილი, ფრჩხილი
」	დახურვის მართკუთხა, დახურვის მართკუთხა ფრჩხილი, ფრჩხილი
『	გამხსნელი მართკუთხა ცარიელი ფრჩხილი, მართკუთხა, ფრჩხილი, ცარიელი
』	დახურვის მართკუთხა ცარიელი ფრჩხილი, მართკუთხა, ფრჩხილი, ცარიელი
【	გამხსნელი ლინზის ფორმის შავი ფრჩხილი, ლინზის ფორმის, ფრჩხილი, შავი
】	დახურვის ლინზის ფორმის შავი ფრჩხილი, ლინზის ფორმის, ფრჩხილი, შავი
〔	ბაკანი, მარცხენა ფრჩხილი ბაკნის ფორმით, ნიჟარა, ფრჩხილი
〕	ბაკანი, მარჯვენა ფრჩხილი ბაკნის ფორმით, ნიჟარა, ფრჩხილი
〖	გამხსნელი ლინზის ფორმის ცარიელი ფრჩხილი, ლინზის ფორმის, ფრჩხილი, ცარიელი
〗	დახურვის ლინზის ფორმის ცარიელი ფრჩხილი, ლინზის ფორმის, ფრჩხილი, ცარიელი
§	თავი, ნაწილი, პარაგრაფი, სექცია
¶	აბზაცი, აბზაცის ნიშანი, გამწკრივება, პარაგრაფი, პარაფი
@	ეთის ნიშანი, ელფოსტის ნიშანი, კომერციული ეთი, ძაღლუკა
*️	ვარსკვლავი, ჩანაცვლების სიმბოლო
/	გამყოფი, დამყოფი, დამყოფი ხაზი, დახრილი ხაზი, ირიბი ხაზი, მარჯვნივ დახრილი ხაზი
\	დამყოფი, მარცხნივ დახრილი ხაზი, უკუწილადი, შებრუნებული დახრილი ხაზი
&	ამპერსანდი, და, ეთი
#️	დიეზი, ნომერი, ოქტოთორპი, ფუნტი, ჰეში, ჰეშტეგი
%	ასიდან, მეასედი, პროცენტი, პროცენტის ნიშანი
‰	მეათასედი, პრომილე, პრომილეს ნიშანი
†	ობელისკი, ხანჯალი, ხანჯლის ნიშანი, ჯვარი
‡	ობელისკი, ორმაგი, ორმაგი ხანჯლის ნიშანი, ხანჯალი, ჯვარი
•	ბულეტი, ბურთი, ბურთულა, წერტილი
‧	გადატანა, გადატანის წერტილი, ტირე, წერტილი
′	აპოსტროფი, მახვილი, შტრიხი
″	ორმაგი შტრიხი, შეუმოსავი ბრჭყალები
‴	სამმაგი მახვილი, სამმაგი შტრიხი
‸	ჩასმის ნიშანი
※	ნიშნული
⁂	ასტერიზმი, ვარსკვლავები, სამი ვარსკვლავი
`	გრავისი, მახვილი, შებრუნებული აკუტი, შტრიხი
´	აკუტი, მახვილი, შებრუნებული გრავისი, შტრიხი
^	მახვილი, შევრონი, ცირკუმფლექსი
¨	დიერეზისი, ტრემა, უმლაუტი
°	გრადუსი, დამოწმება, საათი
℗	საავტორო უფლება, საავტორო უფლება ხმოვან ჩანაწერზე, ჩანაწერი, ხმა
←	ისარი, მარცხნივ, მარცხნივ მიმართული ისარი
↚	მარცხნივ მიმართული გადახაზული ისარი
→	ისარი, მარჯვნივ, მარჯვნივ მიმართული ისარი
↛	მარჯვნივ მიმართული გადახაზული ისარი
↑	ზემოთ, ზემოთ მიმართული ისარი, ისარი
↓	ისარი, ქვემოთ, ქვემოთ მიმართული ისარი
↜	მარცხნივ მიმართული დატალღური ისარი
↝	მარჯვნივ მიმართული დატალღური ისარი
↞	მარცხნივ მიმართული ორთავიანი ისარი
↟	ზემოთ მიმართული ორთავიანი ისარი
↠	მარჯვნივ მიმართული ორთავიანი ისარი
↡	ქვემოთ მიმართული ორთავიანი ისარი
↢	მარცხნივ მიმართული ისარი კუდზე ისრით
↣	მარჯვნივ მიმართული ისარი კუდზე ისრით
↤	მარცხნივ მიმართული ისარი დასაწყისში ხაზით
↥	ზემოთ მიმართული ისარი დასაწყისში ხაზით
↦	მარჯვნივ მიმართული ისარი დასაწყისში ხაზით
↧	ქვემოთ მიმართული ისარი დასაწყისში ხაზით
↨	ზემოთ და ქვემოთ მიმართული ისარი დასაწყისში ხაზით
↫	მარცხნივ მიმართული ისარი მარყუჟით
↬	მარჯვნივ მიმართული ისარი მარყუჟით
↭	მარცხნივ და მარჯვნივ მიმართული დატალღური ისარი, მარცხნივ და მარჯვნივ მიმართული დატალღური ისარიმარცხნივ და მარჯვნივ მიმართული დატალღური ისარი
↯	დაბლა მიმართული ზიგზაგიანი ისარი, ზიგზაგი
↰	ზემოთ და ბოლოში მარცხნივ მიმართული ისარი
↱	ზემოთ და ბოლოში მარჯვნივ მიმართული ისარი
↲	ქვემოთ და ბოლოში მარცხნივ მიმართული ისარი
↳	ქვემოთ და ბოლოში მარჯვნივ მიმართული ისარი, ქვემოთ და ბოლოში მარჯვნივ მიმართული ისარიქვემოთ და ბოლოში მარჯვნივ მიმართული ისარი
↴	მარჯვნივ და ქვემოთ მიმართული კუთხიანი ისარი
↵	ქვემოთ და მარცხნივ მიმართული კუთხიანი ისარი
↶	საათის ისრის საწინააღმდეგოდ მიმართული ისარი
↷	საათის ისრის მიმართულებით მიმართული ისარი
↸	ჩრდილო-დასავლეთით მიმართული ისარი ზემოთ ხაზით
↹	მარცხნივ მიმართული ისარი წვერთან ხაზით და მის ქვემოთ მარჯვნივ მიმართული ისარი წვერთან ხაზით
↺	საათის ისრის საწინააღმდეგოდ მიმართული წრიული ისარი
↻	საათის ისრის მიმართულებით მიმართული წრიული ისარი
↼	კავი, მარცხნივ მიმართული ჰარპუნი კავით ზემოთ
↽	მარცხნივ მიმართული ჰარპუნი კავით ქვემოთ
↾	ზემოთ მიმართული ჰარპუნი კავით მარჯვნივ, კავი
↿	ზემოთ მიმართული ჰარპუნი კავით მარცხნივ, კავი
⇀	კავი, მარჯვნივ მიმართული ჰარპუნი კავით ზემოთ
⇁	კავი, მარჯვნივ მიმართული ჰარპუნი კავით ქვემოთ
⇂	კავი, ქვემოთ მიმართული ჰარპუნი კავით მარჯვნივ
⇃	კავი, ქვემოთ მიმართული ჰარპუნი კავით მარცხნივ
⇄	მარჯვნივ მიმართული ისარი და მის ქვემოთ მარცხნივ მიმართული ისარი
⇅	ზემოთ, ზემოთ მიმართული და ქვემოთ მიმართული ისრები, ისარი, ქვემოთ
⇆	ისარი, მარცხნივ, მარცხნივ მიმართული და მის ქვემოთ მარჯვნივ მიმართული ისრები, მარჯვნივ
⇇	მარცხნივ მიმართული ისრების წყვილი
⇈	ზემოთ მიმართული ისრების წყვილი
⇉	მარჯვნივ მიმართული ისრების წყვილი
⇊	ქვემოთ მიმართული ისრების წყვილი
⇋	მარცხნივ მიმართული ჰარპუნი და მის ქვეშ მარჯვნივ მიმართული ჰარპუნი
⇌	მარჯვნივ მიმართული ჰარპუნი და მის ქვეშ მარცხნივ მიმართული ჰარპუნი
⇐	მარცხნივ მიმართული ორმაგი ისარი
⇍	მარცხნივ მიმართული გადახაზული ორმაგი ისარი
⇑	ზემოთ მიმართული ორმაგი ისარი
⇒	მარჯვნივ მიმართული ორმაგი ისარი
⇏	მარჯვნივ მიმართული გადახაზული ორმაგი ისარი
⇓	ქვემოთ მიმართული ორმაგი ისარი
⇔	მარცხნივ და მარჯვნივ მიმართული ორმაგი ისარი
⇎	მარცხნივ და მარჯვნივ მიმართული გადახაზული ორმაგი ისარი
⇖	ჩრდილო-დასავლეთით მიმართული ორმაგი ისარი
⇗	ჩრდილო-აღმოსავლეთით მიმართული ორმაგი ისარი
⇘	სამხრეთ-აღმოსავლეთით მიმართული ორმაგი ისარი
⇙	სამხრეთ-დასავლეთით მიმართული ორმაგი ისარი
⇚	მარცხნივ მიმართული სამმაგი ისარი
⇛	მარჯვნივ მიმართული სამმაგი ისარი
⇜	მარცხნივ მიმართული დაკლაკნილი ისარი
⇝	მარჯვნივ მიმართული დაკლაკნილი ისარი
⇞	ორჯერ გადახაზული ზემოთ მიმართული ისარი
⇟	ორჯერ გადახაზული ქვემოთ მიმართული ისარი
⇠	მარცხნივ მიმართული პუნქტირიანი ისარი
⇡	ზემოთ მიმართული პუნქტირიანი ისარი
⇢	მარჯვნივ მიმართული პუნქტირიანი ისარი
⇣	ქვემოთ მიმართული პუნქტირიანი ისარი
⇤	მარცხნივ მიმართული ისარი წვერთან ხაზით
⇥	მარჯვნივ მიმართული ისარი წვერთან ხაზით
⇦	მარცხნივ მიმართული ისრის ცარიელი კონტური
⇧	ზემო ღრუ ისარი, ზემოთ მიმართული ისრის ცარიელი კონტური
⇨	მარჯვნივ მიმართული ისრის ცარიელი კონტური
⇩	ქვემოთ მიმართული ისრის ცარიელი კონტური
⇪	ზემოდან ღრუ ისარი ბარიდან, ზემოთ მიმართული ისრის ცარიელი კონტური
⇵	ქვემოთ მიმართული ისარი და მის მარჯვნივ ზემოთ მიმართული ისარი
∀	მოცემული, ნებისმიერი, უნივერსალური, ყველა, ყველასთვის
∂	დიფერენციალი, ნაწილობრივი დიფერენციალი
∃	აქ არსებობს
∅	მათემატიკა, სიმრავლის ოპერატორი, ცარიელი სიმრავლე
∆	ნაზრდი, სამკუთხედი
∇	ნაბლა, სამკუთხედი
∈	ელემენტი, სიმრავლე, შეიცავს, შემცველი ელემენტი, წევრობა
∉	არ შეიცავს, ელემენტი
∋	ელემენტიელემენტი, შეიცავს წევრს
∎	დასტური, კ.ე.დ., კვანტური ელექტროდინამიკა, ოთხკუთხა წერტილი, შავი კვადრატი
∏	ლოგიკური, ნამრავლი, ნამრავლის ნიშანი
∑	მათემატიკა, ჯამი, ჯამის ნიშანი
+	მიმატება, პლუსი, პლუსის ნიშანი
±	მინუსი, პლუს-მინუსი, პლუსი
÷	გაყავი, გაყოფა, გაყოფის ნიშანი, ობელუსი
×	გაამრავლე, გამრავლება, გამრავლების ნიშანი, რამდენჯერ
<	თეგის დახურვა, მეტობა, მეტობის ნიშანი, ნაკლებობა
≮	არანაკლებ ვიდრე, მათემატიკა, უტოლობა
=	ტოლობა, ტოლობის ნიშანი
≠	გადახაზული ტოლობა, უტოლობა
>	თეგის გახსნა, მეტობა, მეტობის ნიშანი
≯	არაუმეტეს ვიდრე, მათემატიკა, უტოლობა
¬	არა, უარყოფა
|	ვერტიკალური ზოლი, ვერტიკალური ხაზი, ხაზი
~	კლაკნილი, ტილდა, ქარაგმა
−	გამოკლება, მინუსი, მინუსის ნიშანი
⁻	ზედა ინდექსი, მინუსი, მინუსი ზედა ინდექსში
∓	მინუსი ან პლუსი, პლიუს-მინუსი
∕	განყოფილების ნიშანი, დამყოფი ხაზი, ირიბი ხაზი, ხაზი
⁄	გამყოფი ხაზი, დამყოფი ხაზი, ხაზი
∗	ვარსკვლავი, ვარსკვლავი ოპერატორი
∘	კომპოზიცია, ოპერატორი, წრე ოპერატორი
∙	ოპერატორი, წერტილი ოპერატორი
√	კვადრატული, კვადრატული ფესვი, რადიკალი, ფესვი, ფესვის ამოღება
∝	პროპორციულად, პროპორციული
∞	უსასრულობა, უსასრულობის ნიშანი
∟	მათემატიკა, მარჯვენა კუთხე
∠	კუთხე, მახვილი
∣	გამყოფი, გამყოფი ხაზებიგამყოფი ხაზები
∥	პარალელური
∧	ac, ასევე, სოლი
∩	თანაკვეთა, სიმრავლე
∪	გაერთიანება, ნაკრები, სიმრავლე
≈	დაახლოებით, მიახლოებითი ტოლობა
≡	ზუსტი, იდენტობის ნიშანი, იდენტური, სამმაგი
≤	ნაკლები, ნაკლებია ან ტოლი, ტოლი, უტოლობა
≥	მეტი, მეტია ან ტოლი, ტოლი, უტოლობა
⊂	სიმრავლე, ქვესიმრავლე, შემცველი ქვესიმრავლე
▲	ზემოთ, ზემოთ მიმართული შევსებული სამკუთხედი, ისარი, შევსებული
▼	ისარი, ქვემოთ, ქვემოთ მიმართული შევსებული სამკუთხედი, შევსებული
◊	აგური, ოთხკუთხედი, რომბი
○	შეუვსებელი წრე, წრე
●	შევსებული წრე, წრე
◯	დიდი შეუვსებელი წრე, წრე
♪	მერვე, მერვე ნოტა, მუსიკა, ნოტა
♭	ბემოლი, მუსიკა, ნახევარტონით დაბალი, ნოტა
♯	დიეზი, მუსიკა, ნახევარტონით მაღალი, ნოტა
😀	დაკრეჭა, დაკრეჭილი, დაკრეჭილი სახე, სახე
😃	მომღიმარე სახე ღია პირით, პირი, პირღია, სახე, ღია, ღიმილი
😄	თვალი, მომღიმარე სახე ღია პირითა და მომღიმარე თვალებით, პირი, პირღია, სახე, ღია, ღიმილი
😁	დაკრეჭა, დაკრეჭილი, დაკრეჭილი სახე მომღიმარე თვალებით, თვალი, სახე, ღიმილი
😆	კმაყოფილი, მომღიმარე სახე ღია პირითა და მაგრად დახუჭული თვალებით, პირი, პირღია, სახე, სიცილი, ღია, ღიმილი
😅	მომღიმარე სახე ღია პირითა და ცივი ოფლით, ოფლი, ოფლიანი, პირღია, სახე, ღია, ღიმილი, ცივი
🤣	იატაკი, სახე, სიცილი, სიცილისგან იატაკზე ხოხვა, ხოხვა
😂	მხიარული, სახე, სახე სიხარულის ცრემლებით, სიცილი, სიხარული, ცრემლი, ცრემლიანი
🙂	ოდნავ მომღიმარე სახე, სახე, ღიმილი
🙃	ამოტრიალებული, ამოტრიალებული სახე, სახე
🫠	გაქრება, დაითხოვს, დნება, დნება სახე, თხევადი
😉	სახე, სახე ჩაკრული თვალით, ჩაკვრა, ჩაპაჭუნება
😊	თვალი, მომღიმარე სახე მომღიმარე თვალებით, სახე, სირცხვილი, უხერხულობა, ღიმილი
😇	ანგელოზი, ზღაპარი, მომღიმარე სახე შარავანდედით, სახე, უდანაშაულო, უმანკო, ფანტაზია, ფანტასტიკა, ღიმილი, შარავანდედი
🥰	გაღმერთება, თაყვანისცემა, მომღიმარე სახე სამი გულით, შეყვარებული
😍	გული, თვალი, მომღიმარე სახე გულის ფორმის თვალებით, სახე, სიყვარული, ღიმილი
🤩	დაკრეჭილი, ვარსკვლავი, ვარსკვლავიანი სახე, თვალები, სახე
😘	გული, კოცნა, სახე, სახე, რომელიც კოცნას აგზავნის
😗	კოცნა, კოცნის გამომხატველი სახე, სახე
☺️	კონტურიანი, მომღიმარე სახე, მშვიდი, სახე, ღიმილი
😚	დახურული, თვალი, კოცნა, კოცნის გამომხატველი სახე დახუჭული თვალებით, სახე
😙	თვალი, კოცნა, კოცნის გამომხატველი სახე მომღიმარე თვალებით, სახე, ღიმილი
🥲	ამაყი, გულაჩუყებული, მადლიერი, მომღიმარი, მომღიმარი სახე ცრემლით, ცრემლი
😋	გემრიელი, დაგემოვნება, მმმ, სახე, სახე, რომელიც გემრიელ საჭმელს აგემოვნებს, ღიმილი
😛	ენა, სახე, სახე გამოყოფილი ენით
😜	ენა, თვალი, სახე, სახე გამოყოფილი ენითა და ჩაკრული თვალით, ჩაკვრა, ჩაპაჭუნება, ხუმრობა
🤪	გაგიჟებული, დიდი, პატარა, სახე, შეშლილი, შეშლილი სახე
😝	გემო, ენა, თვალი, საშინელი, სახე, სახე გამოყოფილი ენითა და მაგრად დახუჭული თვალებით
🤑	პირი, სახე, სახე ენაზე ფულით, ფული
🤗	სახე, ჩახუტება, ჩახუტების გამომხატველი სახე
🤭	ვაი, სახეზე აფარებული ხელი, უი
🫢	არეულობა, გაოცება, სახე თვალებგაფართოებული და პირზე ხელი გადასცა, ურწმუნოება, შეშინებული, შიში
🫣	გაიტაცა, მზერა, პიკიანი თვალით სახე
🤫	გაჩუმების ჟესტი, სიჩუმე, სუუ, შშშ, ჩუ, ჩუმად
🤔	სახე, ფიქრი, ჩაფიქრებული სახე
🫡	დიახ, კარგი, მზიანი, მხედრული სალამი, სახე მხედრული სალმით, ჯარი
🤐	ელვა, ელვა-შესაკრავიანი სახე, პირი, სახე
🤨	ეჭვი, სკეპტიკური, უნდობლობა, წარბაწეული სახე
😐️	ნეიტრალური, ნეიტრალური სახე, სახე, უემოციო
😑	არაფრის მთქმელი, არაფრისმთქმელი, სახე, უემოციო, უემოციო სახე
😶	პირი, სახე, სიჩუმე, სიწყნარე, უპირო სახე
🫥	გაქრება, დამალვა, დეპრესიული, ინტროვერტი, უხილავი, წერტილოვანი ხაზის სახე
😶‍🌫	გაფანტული, სახე, სახე ღრუბლებში
😏	დამცინავი სახე, დაცინვა, სახე
😒	სახე, უხალისო, უხალისო სახე, ცალყბა
🙄	გადატრიალება, თვალები, სახე, სახე გადატრიალებული თვალებით
😬	დამანჭვა, დამანჭული სახე, სახე
😮‍💨	ამოოხვრა, ამოსუნთქვა, თურჩული, სტვენა
🤥	მატყუარა სახე, პინოქიო, სახე, ტყუილი
😌	სახე, შვება, შვების გამომხატველი სახე
😔	დამწუხრებული, კალამი, სახე, ფიქრებში ჩაძირული სახე, ფიქრიანი
😪	სახე, ძილი, ძილმორეული სახე
🤤	დორბლიანი, დორბლიანი სახე, სახე
😴	zzz, მძინარე სახე, სახე, ძილი
😷	ავადმყოფი, გაციებული, ექიმი, მედიცინა, ნიღაბი, სახე, სახე სამედიცინო ნიღბით
🤒	ავადმყოფობა, თერმომეტრი, სახე, სახე თერმომეტრით
🤕	ბინტი, ნატკენი, სახე, სახე თავზე ბინტით, ტრავმა
🤢	გულისრევა, სახე, ღებინება
🤮	გულისრევა, ღებინება
🤧	სახე, სიცოცხლე, ცემინება
🥵	დასიცხული, სიცხიანი, ცხელი, ცხელი სახე
🥶	გაყინვა, ლურჯი სახე, ყინული, ცივი, ცივი სახე
🥴	თავბრუდახვეული სახე, თავბრუსხვევა, მოწამლული, ნასვამი
😵	გაბრუებული, გაბრუებული სახე, მკვდარი, სახე
😵‍💫	არეული, ეუფ, სახე სპირალური თვალებით, ჰიპნოზი
🤯	აფეთქებული თავი, დაშოკილი
🤠	კოვბოი, კოვბოი გოგონა, სახე, სახე კოვბოის ქუდით, ქუდი
🥳	ზეიმი, მოზეიმე სახე, ფართი, ქუდი, წვეულება
🥸	გადაცმა, ინკოგნიტო, სახე, შენიღბვა, შენიღბული სახე, ცხვირა
😎	ამინდი, თვალი, კაშკაშა, მზე, მზის სათვალე, მომღიმარე სახე მზის სათვალით, სათვალე, სახე, ტიპი, ღიმილი
🤓	ნერდი, სახე, სულელური სახე
🧐	მკაცრი, პედანტი, სახე მონოკლით, წესრიგიანი
😕	დაბნეული, დაბნეული სახე, სახე
🫤	გადაუწყვეტელი, დაღვრემილი, იმედგაცრუებული, სახე დახრილი პირით, სპეპტიკური
😟	აღელვებული, აღელვებული სახე, სახე
🙁	ოდნავ შეჭმუხნილი სახე, სახე, შეკრული, შეჭმუხნილი
☹️	სახე, შეკრული, შეჭმუხნილი, შეჭმუხნილი სახე
😮	თანაგრძნობა, პირი, პირღია, სახე, სახე ღია პირით, ღია
😯	გაოგნებული, გაოცებული, გაოცებული სახე, სახე
😲	გაკვირვებული, გაკვირვებული სახე, სახე, შოკირებული
😳	გაწითლებული, გაწითლებული სახე, სახე, წითელი
🥺	ვედრება, ლეკვის გამოხედვა, მოწყალება, შემოვედრება
🥹	ამაყი, აცრემლიანებული სახე, გაბრაზებული, ნაღვლიანი, ტირილი, ცრემლიანი
😦	პირი, პირღია, სახე, ღია, შეკრული, შეჭმუხნილი, შეჭმუხნილი სახე ღია პირით
😧	სახე, ტანჯული, ტანჯული სახე
😨	სახე, შეშინებული, შეშინებული სახე, შიში
😰	ლურჯი, ოფლი, ოფლიანი, პირი, პირღია, სახე, სახე ღია პირითა და ცივი ოფლით, ღია, ცივი, ცისფერი
😥	იმედგაცრუებული, იმედგაცრუებული, მაგრამ შვების გამომხატველი სახე, სახე, შვება
😢	მტირალა სახე, მწუხარება, სახე, ტირილი, ცრემლი, ცრემლიანი
😭	მწუხარება, სახე, ტირილი, ქვითინი, ცრემლი, ცრემლიანი, ხმამაღლა მტირალა სახე
😱	კივილი, სახე, სახე, რომელიც შიშისგან კივის, შეშინებული, შიში
😖	სახე, შეცბუნებული, შეცბუნებული სახე
😣	სახე, შეუპოვარი სახე, შეუპოვრობა
😞	იმედგაცრუებული, იმედგაცრუებული სახე, სახე
😓	ოფლი, ოფლიანი, სახე, სახე ცივი ოფლით, ცივი
😩	დაქანცული, დაქანცული სახე, დაღლილი, სახე
😫	დაღლილი, დაღლილი სახე, სახე
🥱	დამთქნარება, დაღლილი, მთქნარება, მოწყენილი
😤	გამარჯვება, სახე, სახე ცხვირიდან გამომავალი ორთქლით, ტრიუმფი
😡	გაბერილი სახე, გაბრაზებული, განრისხებული, სახე, შეშლილი, წითელი
😠	გაბრაზებული, გაბრაზებული სახე, სახე, შეშლილი
🤬	გინება, ლანძღვა, სახე პირზე აფარებული სიმბოლოებით
😈	ზღაპარი, მომღიმარე სახე რქებით, რქები, სახე, ფანტაზია, ფანტასტიკა, ღიმილი
👿	დემონი, ეშმაკი, ეშმაკუნა, ზღაპარი, სახე, ფანტაზია, ფანტასტიკა
💀	ზღაპარი, თავის ქალა, მონსტრი, სახე, სიკვდილი, სხეული, ტანი
☠️	თავის ქალა, თავის ქალა და გადაჯვარედინებული ძვლები, მონსტრი, სახე, სიკვდილი, სხეული, ტანი, ძვალი
💩	განავალი, განავლის გროვა, მონსტრი, ნაკელი, სასაცილო, სახე, ყაყა
🤡	სახე, ჯამბაზი, ჯამბაზის სახე
👹	არსება, ზღაპარი, იაპონური, კაციჭამია-გოლიათი, მონსტრი, სახე, ფანტაზია, ფანტასტიკა
👺	არსება, გობლინი, ზღაპარი, იაპონური, მონსტრი, სახე, ფანტაზია, ფანტასტიკა
👻	არსება, ზღაპარი, მონსტრი, მოჩვენება, სახე, ფანტაზია, ფანტასტიკა
👽️	ამო, არსება, ზღაპარი, კოსმოსი, მონსტრი, სახე, უცხოპლანეტელი, ფანტაზია, ფანტასტიკა
👾	ამო, არსება, ზღაპარი, კოსმოსი, მონსტრი, სახე, უცხოპლანეტელი, უცხოპლანეტელი მონსტრი, ფანტაზია, ფანტასტიკა
🤖	მონსტრი, რობოტი, რობოტის სახე, სახე
😺	კატა, კატის მომღიმარე სახე ღია პირით, პირი, პირღია, სახე, ღია, ღიმილი
😸	დაკრეჭა, დაკრეჭილი, თვალი, კატა, კატის დაკრეჭილი სახე მომღიმარე თვალებით, სახე, ღიმილი
😹	კატა, კატის სახე სიხარულის ცრემლებით, მხიარული, სახე, სიხარული, ცრემლი, ცრემლიანი
😻	გული, თვალი, კატა, კატის მომღიმარე სახე გულის ფორმის თვალებით, სახე, სიყვარული, ღიმილი
😼	ირონიული, კატა, კატის სახე უხალისო ღიმილით, სახე, უხალისო, ღიმილი
😽	თვალი, კატა, კატის კოცნის გამომხატველი სახე დახუჭული თვალებით, კოცნა, სახე
🙀	გაოცებული, დაქანცული, კატა, კატის დაქანცული სახე, სახე
😿	კატა, კატის მტირალა სახე, მწუხარება, სახე, ტირილი, ცრემლი, ცრემლიანი
😾	გაბერილი, კატა, კატის გაბერილი სახე, სახე
🙈	აკრძალვა, აკრძალულია, არა, არდანახვა, ბოროტი, მაიმუნი, ჟესტი, სახე, ხედვა
🙉	აკრძალვა, აკრძალულია, არა, არმოსმენა, ბოროტი, მაიმუნი, მოსმენა, ჟესტი, სახე
🙊	აკრძალვა, აკრძალულია, არა, ართქმა, ბოროტი, ლაპარაკი, მაიმუნი, ჟესტი, სახე
💌	გული, რომანტიკა, სასიყვარულო წერილი, სიყვარული, ფოსტა, წერილი
