:	dvije tačke
👁‍🗨	oko u oblačiću dijaloga
🗨️	oblačić za govor usmjeren nalijevo
🗯️	oblačić za ljutiti govor usmjeren desno
💭	oblačić za misli
💤	spavanje
👋	ruka koja maše
👋🏻	ruka koja maše, ruka koja maše: svijetla koža, svijetla koža
👋🏼	ruka koja maše, ruka koja maše: srednje svijetla koža, srednje svijetla koža
👋🏽	ni svijetla ni tamna koža, ruka koja maše, ruka koja maše: ni svijetla ni tamna koža
👋🏾	ruka koja maše, srednje tamna koža
👋🏿	ruka koja maše, tamna koža
🤚🏻	dlan, podignut dlan, podignut dlan: svijetla koža, podignuto, svijetla koža
🤚🏼	dlan, podignut dlan, podignut dlan: srednje svijetla koža, podignuto, srednje svijetla koža
🤚🏽	dlan, ni svijetla ni tamna koža, podignut dlan, podignut dlan: ni svijetla ni tamna koža, podignuto
🖐🏻	prst, rašireno, ruka, svijetla koža, šaka sa raširenim prstima, šaka sa raširenim prstima: svijetla koža
🖐🏼	prst, rašireno, ruka, srednje svijetla koža, šaka sa raširenim prstima, šaka sa raširenim prstima: srednje svijetla koža
🖐🏽	ni svijetla ni tamna koža, prst, rašireno, ruka, šaka sa raširenim prstima, šaka sa raširenim prstima: ni svijetla ni tamna koža
✋	podignuta ruka
✋🏻	podignuta ruka, podignuta ruka: svijetla koža, svijetla koža
✋🏼	podignuta ruka, podignuta ruka: srednje svijetla koža, srednje svijetla koža
✋🏽	ni svijetla ni tamna koža, podignuta ruka, podignuta ruka: ni svijetla ni tamna koža
✋🏾	podignuta ruka, srednje tamna koža
✋🏿	podignuta ruka, tamna koža
🖖	vulkanski pozdrav
🖖🏻	svijetla koža, vulkanski pozdrav, vulkanski pozdrav: svijetla koža
🖖🏼	srednje svijetla koža, vulkanski pozdrav, vulkanski pozdrav: srednje svijetla koža
🖖🏽	ni svijetla ni tamna koža, vulkanski pozdrav, vulkanski pozdrav: ni svijetla ni tamna koža
🖖🏾	srednje tamna koža, vulkanski pozdrav
🖖🏿	tamna koža, vulkanski pozdrav
🫱🏻	desno, nadesno, ruka, ruka okrenuta nadesno, ruka okrenuta nadesno: svijetla koža, svijetla koža
🫱🏼	desno, nadesno, ruka, ruka okrenuta nadesno, ruka okrenuta nadesno: srednje svijetla koža, srednje svijetla koža
🫱🏽	desno, nadesno, ni svijetla ni tamna koža, ruka, ruka okrenuta nadesno, ruka okrenuta nadesno: ni svijetla ni tamna koža
🫱🏻‍🫲🏼	rukovanje, rukovanje: svijetla koža i srednje svijetla koža, srednje svijetla koža, svijetla koža
🫱🏻‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: svijetla koža i ni svijetla ni tamna koža, svijetla koža
🫱🏻‍🫲🏾	rukovanje, rukovanje: svijetla koža i srednje tamna koža, srednje tamna koža, svijetla koža
🫱🏻‍🫲🏿	rukovanje, rukovanje: svijetla koža i tamna koža, svijetla koža, tamna koža
🫱🏼‍🫲🏻	rukovanje, rukovanje: srednje svijetla koža i svijetla koža, srednje svijetla koža, svijetla koža
🫱🏼‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: srednje svijetla koža i ni svijetla ni tamna koža, srednje svijetla koža
🫱🏼‍🫲🏾	rukovanje, rukovanje: srednje svijetla koža i srednje tamna koža, srednje svijetla koža, srednje tamna koža
🫱🏼‍🫲🏿	rukovanje, rukovanje: srednje svijetla koža i tamna koža, srednje svijetla koža, tamna koža
🫱🏽‍🫲🏻	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i svijetla koža, svijetla koža
🫱🏽‍🫲🏼	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i srednje svijetla koža, srednje svijetla koža
🫱🏽‍🫲🏾	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i srednje tamna koža, srednje tamna koža
🫱🏽‍🫲🏿	ni svijetla ni tamna koža, rukovanje, rukovanje: ni svijetla ni tamna koža i tamna koža, tamna koža
🫱🏾‍🫲🏻	rukovanje, rukovanje: srednje tamna koža i svijetla koža, srednje tamna koža, svijetla koža
🫱🏾‍🫲🏼	rukovanje, rukovanje: srednje tamna koža i srednje svijetla koža, srednje svijetla koža, srednje tamna koža
🫱🏾‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: srednje tamna koža i ni svijetla ni tamna koža, srednje tamna koža
🫱🏾‍🫲🏿	rukovanje, srednje tamna koža, tamna koža
🫱🏿‍🫲🏻	rukovanje, rukovanje: tamna koža i svijetla koža, svijetla koža, tamna koža
🫱🏿‍🫲🏼	rukovanje, rukovanje: tamna koža i srednje svijetla koža, srednje svijetla koža, tamna koža
🫱🏿‍🫲🏽	ni svijetla ni tamna koža, rukovanje, rukovanje: tamna koža i ni svijetla ni tamna koža, tamna koža
🫱🏿‍🫲🏾	rukovanje, srednje tamna koža, tamna koža
🫲🏻	levo, nalevo, ruka, ruka okrenuta nalevo, ruka okrenuta nalevo: svijetla koža, svijetla koža
🫲🏼	levo, nalevo, ruka, ruka okrenuta nalevo, ruka okrenuta nalevo: srednje svijetla koža, srednje svijetla koža
🫲🏽	levo, nalevo, ni svijetla ni tamna koža, ruka, ruka okrenuta nalevo, ruka okrenuta nalevo: ni svijetla ni tamna koža
🫳🏻	dlan okrenut nadole, dlan okrenut nadole: svijetla koža, ispustiti, otpustiti, poteratiu, svijetla koža
🫳🏼	dlan okrenut nadole, dlan okrenut nadole: srednje svijetla koža, ispustiti, otpustiti, poteratiu, srednje svijetla koža
🫳🏽	dlan okrenut nadole, dlan okrenut nadole: ni svijetla ni tamna koža, ispustiti, ni svijetla ni tamna koža, otpustiti, poteratiu
🫴🏻	dlan okrenut nagore, dlan okrenut nagore: svijetla koža, dozivati, ponuda, pozuiv, svijetla koža, uhvatiti
🫴🏼	dlan okrenut nagore, dlan okrenut nagore: srednje svijetla koža, dozivati, ponuda, pozuiv, srednje svijetla koža, uhvatiti
🫴🏽	dlan okrenut nagore, dlan okrenut nagore: ni svijetla ni tamna koža, dozivati, ni svijetla ni tamna koža, ponuda, pozuiv, uhvatiti
👌🏻	ruka, svijetla koža, u redu, znak rukom „u redu“, znak rukom „u redu“: svijetla koža
👌🏼	ruka, srednje svijetla koža, u redu, znak rukom „u redu“, znak rukom „u redu“: srednje svijetla koža
👌🏽	ni svijetla ni tamna koža, ruka, u redu, znak rukom „u redu“, znak rukom „u redu“: ni svijetla ni tamna koža
🤌🏻	prsti, sarkastično, skupljeni prsti, skupljeni prsti: svijetla koža, svijetla koža, upitno, znak rukom
🤌🏼	prsti, sarkastično, skupljeni prsti, skupljeni prsti: srednje svijetla koža, srednje svijetla koža, upitno, znak rukom
🤌🏽	ni svijetla ni tamna koža, prsti, sarkastično, skupljeni prsti, skupljeni prsti: ni svijetla ni tamna koža, upitno, znak rukom
🤏🏻	malo, ruka štipa, ruka štipa: svijetla koža, svijetla koža
🤏🏼	malo, ruka štipa, ruka štipa: srednje svijetla koža, srednje svijetla koža
🤏🏽	malo, ni svijetla ni tamna koža, ruka štipa, ruka štipa: ni svijetla ni tamna koža
✌️	pobeda, ruka, v, znak pobjede
✌🏻	pobeda, ruka, svijetla koža, v, znak pobjede, znak pobjede: svijetla koža
✌🏼	pobeda, ruka, srednje svijetla koža, v, znak pobjede, znak pobjede: srednje svijetla koža
✌🏽	ni svijetla ni tamna koža, pobeda, ruka, v, znak pobjede, znak pobjede: ni svijetla ni tamna koža
✌🏾	pobeda, ruka, srednje tamna koža, v, znak pobjede, znak pobjede: srednje tamna koža
✌🏿	pobeda, ruka, tamna koža, v, znak pobjede, znak pobjede: tamna koža
🤞	prekršteni prsti, prekršteno, prst, ruka, sreća
🤞🏻	prekršteni prsti, prekršteni prsti: svijetla koža, prekršteno, prst, ruka, sreća, svijetla koža
🤞🏼	prekršteni prsti, prekršteni prsti: srednje svijetla koža, prekršteno, prst, ruka, srednje svijetla koža, sreća
🤞🏽	ni svijetla ni tamna koža, prekršteni prsti, prekršteni prsti: ni svijetla ni tamna koža, prekršteno, prst, ruka, sreća
🤞🏾	prekršteni prsti, prekršteno, prst, ruka, srednje tamna koža, sreća
🤞🏿	prekršteni prsti, prekršteno, prst, ruka, sreća, tamna koža
🫰🏻	ljubav, novac, pucketanje, ruka sa prekrštenim palcem i kažiprstom, ruka sa prekrštenim palcem i kažiprstom: svijetla koža, skupo, srce, svijetla koža
🫰🏼	ljubav, novac, pucketanje, ruka sa prekrštenim palcem i kažiprstom, ruka sa prekrštenim palcem i kažiprstom: srednje svijetla koža, skupo, srce, srednje svijetla koža
🫰🏽	ljubav, ni svijetla ni tamna koža, novac, pucketanje, ruka sa prekrštenim palcem i kažiprstom, ruka sa prekrštenim palcem i kažiprstom: ni svijetla ni tamna koža, skupo, srce
🤟🏻	pokret volim te, pokret volim te: svijetla koža, ruka, svijetla koža, volim te
🤟🏼	pokret volim te, pokret volim te: srednje svijetla koža, ruka, srednje svijetla koža, volim te
🤟🏽	ni svijetla ni tamna koža, pokret volim te, pokret volim te: ni svijetla ni tamna koža, ruka, volim te
🤘	metal, prst, rogovi, ruka, znak rogova
🤘🏻	metal, prst, rogovi, ruka, svijetla koža, znak rogova, znak rogova: svijetla koža
🤘🏼	metal, prst, rogovi, ruka, srednje svijetla koža, znak rogova, znak rogova: srednje svijetla koža
🤘🏽	metal, ni svijetla ni tamna koža, prst, rogovi, ruka, znak rogova, znak rogova: ni svijetla ni tamna koža
🤘🏾	metal, prst, rogovi, ruka, srednje tamna koža, znak rogova
🤘🏿	metal, prst, rogovi, ruka, tamna koža, znak rogova
🤙	znak rukom za telefon
🤙🏻	svijetla koža, znak rukom za telefon, znak rukom za telefon: svijetla koža
🤙🏼	srednje svijetla koža, znak rukom za telefon, znak rukom za telefon: srednje svijetla koža
🤙🏽	ni svijetla ni tamna koža, znak rukom za telefon, znak rukom za telefon: ni svijetla ni tamna koža
🤙🏾	srednje tamna koža, znak rukom za telefon
🤙🏿	tamna koža, znak rukom za telefon
👈️	kažiprst koji pokazuje ulijevo
👈🏻	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: svijetla koža, svijetla koža
👈🏼	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: srednje svijetla koža, srednje svijetla koža
👈🏽	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: ni svijetla ni tamna koža, ni svijetla ni tamna koža
👈🏾	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: srednje tamna koža, srednje tamna koža
👈🏿	kažiprst koji pokazuje ulijevo, kažiprst koji pokazuje ulijevo: tamna koža, tamna koža
👉️	kažiprst koji pokazuje udesno
👉🏻	kažiprst koji pokazuje udesno, kažiprst koji pokazuje udesno: svijetla koža, svijetla koža
👉🏼	kažiprst koji pokazuje udesno, kažiprst koji pokazuje udesno: srednje svijetla koža, srednje svijetla koža
👉🏽	kažiprst koji pokazuje udesno, kažiprst koji pokazuje udesno: ni svijetla ni tamna koža, ni svijetla ni tamna koža
👉🏾	kažiprst koji pokazuje udesno, srednje tamna koža
👉🏿	kažiprst koji pokazuje udesno, tamna koža
👆️	kažiprst koji pokazuje nagore otpozadi, nagore, otpozadi, pokazivanje, prst, ruka
👆🏻	kažiprst koji pokazuje nagore otpozadi, kažiprst koji pokazuje nagore otpozadi: svijetla koža, nagore, otpozadi, pokazivanje, prst, ruka, svijetla koža
👆🏼	kažiprst koji pokazuje nagore otpozadi, kažiprst koji pokazuje nagore otpozadi: srednje svijetla koža, nagore, otpozadi, pokazivanje, prst, ruka, srednje svijetla koža
👆🏽	kažiprst koji pokazuje nagore otpozadi, kažiprst koji pokazuje nagore otpozadi: ni svijetla ni tamna koža, nagore, ni svijetla ni tamna koža, otpozadi, pokazivanje, prst, ruka
👆🏾	kažiprst koji pokazuje nagore otpozadi, nagore, otpozadi, pokazivanje, prst, ruka, srednje tamna koža
👆🏿	kažiprst koji pokazuje nagore otpozadi, nagore, otpozadi, pokazivanje, prst, ruka, tamna koža
🖕	srednji prst
🖕🏻	srednji prst, srednji prst: svijetla koža, svijetla koža
🖕🏼	srednje svijetla koža, srednji prst, srednji prst: srednje svijetla koža
🖕🏽	ni svijetla ni tamna koža, srednji prst, srednji prst: ni svijetla ni tamna koža
🖕🏾	srednje tamna koža, srednji prst
🖕🏿	srednji prst, tamna koža
👇️	kažiprst koji pokazuje nadolje otpozadi, nadolje, otpozadi, pokazivanje, prst, ruka
👇🏻	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: svijetla koža, nadolje, otpozadi, pokazivanje, prst, ruka, svijetla koža
👇🏼	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: srednje svijetla koža, nadolje, otpozadi, pokazivanje, prst, ruka, srednje svijetla koža
👇🏽	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: ni svijetla ni tamna koža, nadolje, ni svijetla ni tamna koža, otpozadi, pokazivanje, prst, ruka
👇🏾	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: srednje tamna koža, nadolje, otpozadi, pokazivanje, prst, ruka, srednje tamna koža
👇🏿	kažiprst koji pokazuje nadolje otpozadi, kažiprst koji pokazuje nadolje otpozadi: tamna koža, nadolje, otpozadi, pokazivanje, prst, ruka, tamna koža
☝🏻	gore, kažiprst, kažiprst koji pokazuje nagore, kažiprst koji pokazuje nagore: svijetla koža, pokazivanje, prst, ruka, svijetla koža
☝🏼	gore, kažiprst, kažiprst koji pokazuje nagore, kažiprst koji pokazuje nagore: srednje svijetla koža, pokazivanje, prst, ruka, srednje svijetla koža
☝🏽	gore, kažiprst, kažiprst koji pokazuje nagore, kažiprst koji pokazuje nagore: ni svijetla ni tamna koža, ni svijetla ni tamna koža, pokazivanje, prst, ruka
🫵🏻	kažiprst koji pokazuje prema gledaocu, kažiprst koji pokazuje prema gledaocu: svijetla koža, pokazivanje, svijetla koža, ti, vi
🫵🏼	kažiprst koji pokazuje prema gledaocu, kažiprst koji pokazuje prema gledaocu: srednje svijetla koža, pokazivanje, srednje svijetla koža, ti, vi
🫵🏽	kažiprst koji pokazuje prema gledaocu, kažiprst koji pokazuje prema gledaocu: ni svijetla ni tamna koža, ni svijetla ni tamna koža, pokazivanje, ti, vi
👍️	+1, nagore, palac, ruka
👍🏻	+1, nagore, palac, palac nagore: svijetla koža, ruka, svijetla koža
👍🏼	+1, nagore, palac, palac nagore: srednje svijetla koža, ruka, srednje svijetla koža
👍🏽	+1, nagore, ni svijetla ni tamna koža, palac, palac nagore: ni svijetla ni tamna koža, ruka
👍🏾	+1, nagore, palac, ruka, srednje tamna koža
👍🏿	+1, nagore, palac, ruka, tamna koža
👎️	-1, nadolje, palac, palac nadolje, ruka
👎🏻	-1, nadolje, palac, palac nadolje: svijetla koža, ruka, svijetla koža
👎🏼	-1, nadolje, palac, palac nadolje: srednje svijetla koža, ruka, srednje svijetla koža
👎🏽	-1, nadolje, ni svijetla ni tamna koža, palac, palac nadolje: ni svijetla ni tamna koža, ruka
👎🏾	-1, nadolje, palac, palac nadolje: srednje tamna koža, ruka, srednje tamna koža
👎🏿	-1, nadolje, palac, palac nadolje: tamna koža, ruka, tamna koža
✊🏻	pesnica, pesnica: svijetla koža, ruka, stisnuto, svijetla koža, udarac, šaka
✊🏼	pesnica, pesnica: srednje svijetla koža, ruka, srednje svijetla koža, stisnuto, udarac, šaka
✊🏽	ni svijetla ni tamna koža, pesnica, pesnica: ni svijetla ni tamna koža, ruka, stisnuto, udarac, šaka
👊	ruka, stisnuto, udarac, usmjerena pesnica, šaka
👊🏻	ruka, stisnuto, svijetla koža, udarac, usmjerena pesnica, usmjerena pesnica: svijetla koža, šaka
👊🏼	ruka, srednje svijetla koža, stisnuto, udarac, usmjerena pesnica, usmjerena pesnica: srednje svijetla koža, šaka
👊🏽	ni svijetla ni tamna koža, ruka, stisnuto, udarac, usmjerena pesnica, usmjerena pesnica: ni svijetla ni tamna koža, šaka
👊🏾	ruka, srednje tamna koža, stisnuto, udarac, usmjerena pesnica, usmjerena pesnica: srednje tamna koža, šaka
👊🏿	ruka, stisnuto, tamna koža, udarac, usmjerena pesnica, usmjerena pesnica: tamna koža, šaka
🤛	pesnica ulijevo
🤛🏻	pesnica ulijevo, pesnica ulijevo: svijetla koža, svijetla koža
🤛🏼	pesnica ulijevo, pesnica ulijevo: srednje svijetla koža, srednje svijetla koža
🤛🏽	ni svijetla ni tamna koža, pesnica ulijevo, pesnica ulijevo: ni svijetla ni tamna koža
🤛🏾	pesnica ulijevo, pesnica ulijevo: srednje tamna koža, srednje tamna koža
🤛🏿	pesnica ulijevo, pesnica ulijevo: tamna koža, tamna koža
🤜🏻	pesnica, pesnica udesno: svijetla koža, svijetla koža, udesno
🤜🏼	pesnica, pesnica udesno: srednje svijetla koža, srednje svijetla koža, udesno
🤜🏽	ni svijetla ni tamna koža, pesnica, pesnica udesno: ni svijetla ni tamna koža, udesno
👏🏻	ruka, ruke koje tapšu, ruke koje tapšu: svijetla koža, svijetla koža, tapšanje
👏🏼	ruka, ruke koje tapšu, ruke koje tapšu: srednje svijetla koža, srednje svijetla koža, tapšanje
👏🏽	ni svijetla ni tamna koža, ruka, ruke koje tapšu, ruke koje tapšu: ni svijetla ni tamna koža, tapšanje
🙌	bravo, podignute ruke, podići, pokret, ruka, slava
🙌🏻	bravo, podignute ruke, podignute ruke: svijetla koža, podići, pokret, ruka, slava, svijetla koža
🙌🏼	bravo, podignute ruke, podignute ruke: srednje svijetla koža, podići, pokret, ruka, slava, srednje svijetla koža
🙌🏽	bravo, ni svijetla ni tamna koža, podignute ruke, podignute ruke: ni svijetla ni tamna koža, podići, pokret, ruka, slava
🙌🏾	bravo, podignute ruke, podići, pokret, ruka, slava, srednje tamna koža
🙌🏿	bravo, podignute ruke, podići, pokret, ruka, slava, tamna koža
🫶🏻	ljubav, ruke koje prave srce, ruke koje prave srce: svijetla koža, svijetla koža
🫶🏼	ljubav, ruke koje prave srce, ruke koje prave srce: srednje svijetla koža, srednje svijetla koža
🫶🏽	ljubav, ni svijetla ni tamna koža, ruke koje prave srce, ruke koje prave srce: ni svijetla ni tamna koža
👐🏻	otvoreno, rasklopljene šake, rasklopljene šake: svijetla koža, ruka, svijetla koža
👐🏼	otvoreno, rasklopljene šake, rasklopljene šake: srednje svijetla koža, ruka, srednje svijetla koža
👐🏽	ni svijetla ni tamna koža, otvoreno, rasklopljene šake, rasklopljene šake: ni svijetla ni tamna koža, ruka
🤲🏻	dlanovi nagore zajedno, dlanovi nagore zajedno: svijetla koža, molitva, svijetla koža
🤲🏼	dlanovi nagore zajedno, dlanovi nagore zajedno: srednje svijetla koža, molitva, srednje svijetla koža
