🦵🏻	канечнасць, нага, нага: светлы тон скуры, светлы тон скуры, удар
🧒🏻	дзіця, дзіця: светлы тон скуры, малады, невядомы пол, нявызначаны пол, светлы тон скуры
🧒🏼	дзіця, дзіця: сярэдне-светлы тон скуры, малады, невядомы пол, нявызначаны пол, сярэдне-светлы тон скуры
🧒🏽	дзіця, дзіця: сярэдні тон скуры, малады, невядомы пол, нявызначаны пол, сярэдні тон скуры
🧒🏾	дзіця, дзіця: сярэдне-цёмны тон скуры, малады, невядомы пол, нявызначаны пол, сярэдне-цёмны тон скуры
🧒🏿	дзіця, дзіця: цёмны тон скуры, малады, невядомы пол, нявызначаны пол, цёмны тон скуры
👦🏻	дзіця, мужчына, светлы тон скуры, хлопчык, хлопчык: светлы тон скуры
👦🏼	дзіця, мужчына, сярэдне-светлы тон скуры, хлопчык, хлопчык: сярэдне-светлы тон скуры
👦🏽	дзіця, мужчына, сярэдні тон скуры, хлопчык, хлопчык: сярэдні тон скуры
👦🏾	дзіця, мужчына, сярэдне-цёмны тон скуры, хлопчык, хлопчык: сярэдне-цёмны тон скуры
👦🏿	дзіця, мужчына, хлопчык, хлопчык: цёмны тон скуры, цёмны тон скуры
👧🏻	дзева, дзяўчынка, дзяўчынка: светлы тон скуры, дзіця, жанчына, задыяк, малышка, светлы тон скуры
👧🏼	дзева, дзяўчынка, дзяўчынка: сярэдне-светлы тон скуры, дзіця, жанчына, задыяк, малышка, сярэдне-светлы тон скуры
👧🏽	дзева, дзяўчынка, дзяўчынка: сярэдні тон скуры, дзіця, жанчына, задыяк, малышка, сярэдні тон скуры
👧🏾	дзева, дзяўчынка, дзяўчынка: сярэдне-цёмны тон скуры, дзіця, жанчына, задыяк, малышка, сярэдне-цёмны тон скуры
👧🏿	дзева, дзяўчынка, дзяўчынка: цёмны тон скуры, дзіця, жанчына, задыяк, малышка, цёмны тон скуры
🧑🏻	дарослы, дарослы чалавек, дарослы: светлы тон скуры, светлы тон скуры
🧑🏼	дарослы, дарослы чалавек, дарослы: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🧑🏽	дарослы, дарослы чалавек, дарослы: сярэдні тон скуры, сярэдні тон скуры
🧑🏾	дарослы, дарослы чалавек, дарослы: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🧑🏿	дарослы, дарослы чалавек, дарослы: цёмны тон скуры, цёмны тон скуры
👨🏻	мужчына, мужчына: светлы тон скуры, светлы тон скуры
👨🏼	мужчына, мужчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👨🏽	мужчына, мужчына: сярэдні тон скуры, сярэдні тон скуры
👨🏾	мужчына, мужчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👨🏿	мужчына, мужчына: цёмны тон скуры, цёмны тон скуры
👨‍🦰	мужчына, мужчына: рыжыя валасы, рыжыя валасы
👨🏻‍🦰	мужчына, мужчына: светлы тон скуры рыжыя валасы, рыжыя валасы, светлы тон скуры
👨🏼‍🦰	мужчына, мужчына: сярэдне-светлы тон скуры рыжыя валасы, рыжыя валасы, сярэдне-светлы тон скуры
👨🏽‍🦰	мужчына, мужчына: сярэдні тон скуры рыжыя валасы, рыжыя валасы, сярэдні тон скуры
👨🏾‍🦰	мужчына, мужчына: сярэдне-цёмны тон скуры рыжыя валасы, рыжыя валасы, сярэдне-цёмны тон скуры
👨🏿‍🦰	мужчына, мужчына: цёмны тон скуры рыжыя валасы, рыжыя валасы, цёмны тон скуры
👨‍🦱	курчавыя валасы, мужчына, мужчына: курчавыя валасы
👨🏻‍🦱	курчавыя валасы, мужчына, мужчына: светлы тон скуры курчавыя валасы, светлы тон скуры
👨🏼‍🦱	курчавыя валасы, мужчына, мужчына: сярэдне-светлы тон скуры курчавыя валасы, сярэдне-светлы тон скуры
👨🏽‍🦱	курчавыя валасы, мужчына, мужчына: сярэдні тон скуры курчавыя валасы, сярэдні тон скуры
👨🏾‍🦱	курчавыя валасы, мужчына, мужчына: сярэдне-цёмны тон скуры курчавыя валасы, сярэдне-цёмны тон скуры
👨🏿‍🦱	курчавыя валасы, мужчына, мужчына: цёмны тон скуры курчавыя валасы, цёмны тон скуры
👨‍🦲	лысы, мужчына, мужчына: лысы
👨🏻‍🦲	лысы, мужчына, мужчына: светлы тон скуры лысы, светлы тон скуры
👨🏼‍🦲	лысы, мужчына, мужчына: сярэдне-светлы тон скуры лысы, сярэдне-светлы тон скуры
👨🏽‍🦲	лысы, мужчына, мужчына: сярэдні тон скуры лысы, сярэдні тон скуры
👨🏾‍🦲	лысы, мужчына, мужчына: сярэдне-цёмны тон скуры лысы, сярэдне-цёмны тон скуры
👨🏿‍🦲	лысы, мужчына, мужчына: цёмны тон скуры лысы, цёмны тон скуры
👨‍🦳	мужчына, мужчына: сівыя валасы, сівыя валасы
👨🏻‍🦳	мужчына, мужчына: светлы тон скуры сівыя валасы, светлы тон скуры, сівыя валасы
👨🏼‍🦳	мужчына, мужчына: сярэдне-светлы тон скуры сівыя валасы, сярэдне-светлы тон скуры, сівыя валасы
👨🏽‍🦳	мужчына, мужчына: сярэдні тон скуры сівыя валасы, сярэдні тон скуры, сівыя валасы
👨🏾‍🦳	мужчына, мужчына: сярэдне-цёмны тон скуры сівыя валасы, сярэдне-цёмны тон скуры, сівыя валасы
👨🏿‍🦳	мужчына, мужчына: цёмны тон скуры сівыя валасы, сівыя валасы, цёмны тон скуры
👩🏻	жанчына, жанчына: светлы тон скуры, светлы тон скуры
👩🏼	жанчына, жанчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👩🏽	жанчына, жанчына: сярэдні тон скуры, сярэдні тон скуры
👩🏾	жанчына, жанчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👩🏿	жанчына, жанчына: цёмны тон скуры, цёмны тон скуры
👩‍🦰	жанчына, жанчына: рыжыя валасы, рыжыя валасы
👩🏻‍🦰	жанчына, жанчына: светлы тон скуры рыжыя валасы, рыжыя валасы, светлы тон скуры
👩🏼‍🦰	жанчына, жанчына: сярэдне-светлы тон скуры рыжыя валасы, рыжыя валасы, сярэдне-светлы тон скуры
👩🏽‍🦰	жанчына, жанчына: сярэдні тон скуры рыжыя валасы, рыжыя валасы, сярэдні тон скуры
👩🏾‍🦰	жанчына, жанчына: сярэдне-цёмны тон скуры рыжыя валасы, рыжыя валасы, сярэдне-цёмны тон скуры
👩🏿‍🦰	жанчына, жанчына: цёмны тон скуры рыжыя валасы, рыжыя валасы, цёмны тон скуры
👩‍🦱	жанчына, жанчына: курчавыя валасы, курчавыя валасы
👩🏻‍🦱	жанчына, жанчына: светлы тон скуры курчавыя валасы, курчавыя валасы, светлы тон скуры
👩🏼‍🦱	жанчына, жанчына: сярэдне-светлы тон скуры курчавыя валасы, курчавыя валасы, сярэдне-светлы тон скуры
👩🏽‍🦱	жанчына, жанчына: сярэдні тон скуры курчавыя валасы, курчавыя валасы, сярэдні тон скуры
👩🏾‍🦱	жанчына, жанчына: сярэдне-цёмны тон скуры курчавыя валасы, курчавыя валасы, сярэдне-цёмны тон скуры
👩🏿‍🦱	жанчына, жанчына: цёмны тон скуры курчавыя валасы, курчавыя валасы, цёмны тон скуры
👩‍🦲	жанчына, жанчына: лысы, лысы
👩🏻‍🦲	жанчына, жанчына: светлы тон скуры лысы, лысы, светлы тон скуры
👩🏼‍🦲	жанчына, жанчына: сярэдне-светлы тон скуры лысы, лысы, сярэдне-светлы тон скуры
👩🏽‍🦲	жанчына, жанчына: сярэдні тон скуры лысы, лысы, сярэдні тон скуры
👩🏾‍🦲	жанчына, жанчына: сярэдне-цёмны тон скуры лысы, лысы, сярэдне-цёмны тон скуры
👩🏿‍🦲	жанчына, жанчына: цёмны тон скуры лысы, лысы, цёмны тон скуры
👩‍🦳	жанчына, жанчына: сівыя валасы, сівыя валасы
👩🏻‍🦳	жанчына, жанчына: светлы тон скуры сівыя валасы, светлы тон скуры, сівыя валасы
👩🏼‍🦳	жанчына, жанчына: сярэдне-светлы тон скуры сівыя валасы, сярэдне-светлы тон скуры, сівыя валасы
👩🏽‍🦳	жанчына, жанчына: сярэдні тон скуры сівыя валасы, сярэдні тон скуры, сівыя валасы
👩🏾‍🦳	жанчына, жанчына: сярэдне-цёмны тон скуры сівыя валасы, сярэдне-цёмны тон скуры, сівыя валасы
👩🏿‍🦳	жанчына, жанчына: цёмны тон скуры сівыя валасы, сівыя валасы, цёмны тон скуры
🧓🏻	светлы тон скуры, стары, стары: светлы тон скуры, чалавек сталага ўзросту
🧓🏼	стары, стары: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, чалавек сталага ўзросту
🧓🏽	стары, стары: сярэдні тон скуры, сярэдні тон скуры, чалавек сталага ўзросту
🧓🏾	стары, стары: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, чалавек сталага ўзросту
🧓🏿	стары, стары: цёмны тон скуры, цёмны тон скуры, чалавек сталага ўзросту
👴🏻	дзядуля, дзядуля: светлы тон скуры, мужчына, светлы тон скуры, стары
👴🏼	дзядуля, дзядуля: сярэдне-светлы тон скуры, мужчына, стары, сярэдне-светлы тон скуры
👴🏽	дзядуля, дзядуля: сярэдні тон скуры, мужчына, стары, сярэдні тон скуры
👴🏾	дзядуля, дзядуля: сярэдне-цёмны тон скуры, мужчына, стары, сярэдне-цёмны тон скуры
👴🏿	дзядуля, дзядуля: цёмны тон скуры, мужчына, стары, цёмны тон скуры
👵🏻	бабуля, бабуля: светлы тон скуры, жанчына, светлы тон скуры, старая
👵🏼	бабуля, бабуля: сярэдне-светлы тон скуры, жанчына, старая, сярэдне-светлы тон скуры
👵🏽	бабуля, бабуля: сярэдні тон скуры, жанчына, старая, сярэдні тон скуры
👵🏾	бабуля, бабуля: сярэдне-цёмны тон скуры, жанчына, старая, сярэдне-цёмны тон скуры
👵🏿	бабуля, бабуля: цёмны тон скуры, жанчына, старая, цёмны тон скуры
👨🏻‍⚕	ахова здароўя, доктар, доктар: светлы тон скуры, мужчына, светлы тон скуры, тэрапеўт
👨🏼‍⚕	ахова здароўя, доктар, доктар: сярэдне-светлы тон скуры, мужчына, сярэдне-светлы тон скуры, тэрапеўт
👨🏽‍⚕	ахова здароўя, доктар, доктар: сярэдні тон скуры, мужчына, сярэдні тон скуры, тэрапеўт
👨🏾‍⚕	ахова здароўя, доктар, доктар: сярэдне-цёмны тон скуры, мужчына, сярэдне-цёмны тон скуры, тэрапеўт
👨🏿‍⚕	ахова здароўя, доктар, доктар: цёмны тон скуры, мужчына, тэрапеўт, цёмны тон скуры
👩🏻‍⚕	ахова здароўя, доктарка, доктарка: светлы тон скуры, жанчына, светлы тон скуры, тэрапеўт
👩🏼‍⚕	ахова здароўя, доктарка, доктарка: сярэдне-светлы тон скуры, жанчына, сярэдне-светлы тон скуры, тэрапеўт
👩🏽‍⚕	ахова здароўя, доктарка, доктарка: сярэдні тон скуры, жанчына, сярэдні тон скуры, тэрапеўт
👩🏾‍⚕	ахова здароўя, доктарка, доктарка: сярэдне-цёмны тон скуры, жанчына, сярэдне-цёмны тон скуры, тэрапеўт
👩🏿‍⚕	ахова здароўя, доктарка, доктарка: цёмны тон скуры, жанчына, тэрапеўт, цёмны тон скуры
👨🏻‍🎓	выпускнік, мужчына, светлы тон скуры, студэнт, студэнт: светлы тон скуры
👨🏼‍🎓	выпускнік, мужчына, студэнт, студэнт: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👨🏽‍🎓	выпускнік, мужчына, студэнт, студэнт: сярэдні тон скуры, сярэдні тон скуры
👨🏾‍🎓	выпускнік, мужчына, студэнт, студэнт: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👨🏿‍🎓	выпускнік, мужчына, студэнт, студэнт: цёмны тон скуры, цёмны тон скуры
👩🏻‍🎓	выпускніца, жанчына, светлы тон скуры, студэнтка, студэнтка: светлы тон скуры
👩🏼‍🎓	выпускніца, жанчына, студэнтка, студэнтка: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👩🏽‍🎓	выпускніца, жанчына, студэнтка, студэнтка: сярэдні тон скуры, сярэдні тон скуры
👩🏾‍🎓	выпускніца, жанчына, студэнтка, студэнтка: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👩🏿‍🎓	выпускніца, жанчына, студэнтка, студэнтка: цёмны тон скуры, цёмны тон скуры
👨🏻‍🏫	выкладчык, мужчына, настаўнік, настаўнік: светлы тон скуры, прафесар, светлы тон скуры
👨🏼‍🏫	выкладчык, мужчына, настаўнік, настаўнік: сярэдне-светлы тон скуры, прафесар, сярэдне-светлы тон скуры
👨🏽‍🏫	выкладчык, мужчына, настаўнік, настаўнік: сярэдні тон скуры, прафесар, сярэдні тон скуры
👨🏾‍🏫	выкладчык, мужчына, настаўнік, настаўнік: сярэдне-цёмны тон скуры, прафесар, сярэдне-цёмны тон скуры
👨🏿‍🏫	выкладчык, мужчына, настаўнік, настаўнік: цёмны тон скуры, прафесар, цёмны тон скуры
👩🏻‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: светлы тон скуры, прафесар, светлы тон скуры
👩🏼‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: сярэдне-светлы тон скуры, прафесар, сярэдне-светлы тон скуры
👩🏽‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: сярэдні тон скуры, прафесар, сярэдні тон скуры
👩🏾‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: сярэдне-цёмны тон скуры, прафесар, сярэдне-цёмны тон скуры
👩🏿‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: цёмны тон скуры, прафесар, цёмны тон скуры
👨🏻‍⚖	мужчына, правасуддзе, светлы тон скуры, суддзя-мужчына, суддзя-мужчына: светлы тон скуры, шалі
👨🏼‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, шалі
👨🏽‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: сярэдні тон скуры, сярэдні тон скуры, шалі
👨🏾‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, шалі
👨🏿‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: цёмны тон скуры, цёмны тон скуры, шалі
👩🏻‍⚖	жанчына, светлы тон скуры, суддзя, суддзя-жанчына, суддзя-жанчына: светлы тон скуры, шалі
👩🏼‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, шалі
👩🏽‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: сярэдні тон скуры, сярэдні тон скуры, шалі
👩🏾‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, шалі
👩🏿‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: цёмны тон скуры, цёмны тон скуры, шалі
👨🏻‍🌾	агароднік, мужчына, светлы тон скуры, фермер, фермер: светлы тон скуры
👨🏼‍🌾	агароднік, мужчына, сярэдне-светлы тон скуры, фермер, фермер: сярэдне-светлы тон скуры
👨🏽‍🌾	агароднік, мужчына, сярэдні тон скуры, фермер, фермер: сярэдні тон скуры
👨🏾‍🌾	агароднік, мужчына, сярэдне-цёмны тон скуры, фермер, фермер: сярэдне-цёмны тон скуры
👨🏿‍🌾	агароднік, мужчына, фермер, фермер: цёмны тон скуры, цёмны тон скуры
👩🏻‍🌾	агародніца, жанчына, светлы тон скуры, фермерка, фермерка: светлы тон скуры
👩🏼‍🌾	агародніца, жанчына, сярэдне-светлы тон скуры, фермерка, фермерка: сярэдне-светлы тон скуры
👩🏽‍🌾	агародніца, жанчына, сярэдні тон скуры, фермерка, фермерка: сярэдні тон скуры
👩🏾‍🌾	агародніца, жанчына, сярэдне-цёмны тон скуры, фермерка, фермерка: сярэдне-цёмны тон скуры
👩🏿‍🌾	агародніца, жанчына, фермерка, фермерка: цёмны тон скуры, цёмны тон скуры
👨🏻‍🍳	кухар, кухар: светлы тон скуры, мужчына, светлы тон скуры, шэф-повар
👨🏼‍🍳	кухар, кухар: сярэдне-светлы тон скуры, мужчына, сярэдне-светлы тон скуры, шэф-повар
👨🏽‍🍳	кухар, кухар: сярэдні тон скуры, мужчына, сярэдні тон скуры, шэф-повар
👨🏾‍🍳	кухар, кухар: сярэдне-цёмны тон скуры, мужчына, сярэдне-цёмны тон скуры, шэф-повар
👨🏿‍🍳	кухар, кухар: цёмны тон скуры, мужчына, цёмны тон скуры, шэф-повар
👩🏻‍🍳	жанчына, кухарка, кухарка: светлы тон скуры, светлы тон скуры, шэф-кухар
👩🏼‍🍳	жанчына, кухарка, кухарка: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, шэф-кухар
👩🏽‍🍳	жанчына, кухарка, кухарка: сярэдні тон скуры, сярэдні тон скуры, шэф-кухар
👩🏾‍🍳	жанчына, кухарка, кухарка: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, шэф-кухар
👩🏿‍🍳	жанчына, кухарка, кухарка: цёмны тон скуры, цёмны тон скуры, шэф-кухар
👨🏻‍🔧	механік, механік: светлы тон скуры, мужчына, сантэхнік, светлы тон скуры, электрык
👨🏼‍🔧	механік, механік: сярэдне-светлы тон скуры, мужчына, сантэхнік, сярэдне-светлы тон скуры, электрык
👨🏽‍🔧	механік, механік: сярэдні тон скуры, мужчына, сантэхнік, сярэдні тон скуры, электрык
👨🏾‍🔧	механік, механік: сярэдне-цёмны тон скуры, мужчына, сантэхнік, сярэдне-цёмны тон скуры, электрык
👨🏿‍🔧	механік, механік: цёмны тон скуры, мужчына, сантэхнік, цёмны тон скуры, электрык
👩🏻‍🔧	жанчына, жанчына-механік, жанчына-механік: светлы тон скуры, механік, сантэхнік, светлы тон скуры, электрык
👩🏼‍🔧	жанчына, жанчына-механік, жанчына-механік: сярэдне-светлы тон скуры, механік, сантэхнік, сярэдне-светлы тон скуры, электрык
👩🏽‍🔧	жанчына, жанчына-механік, жанчына-механік: сярэдні тон скуры, механік, сантэхнік, сярэдні тон скуры, электрык
👩🏾‍🔧	жанчына, жанчына-механік, жанчына-механік: сярэдне-цёмны тон скуры, механік, сантэхнік, сярэдне-цёмны тон скуры, электрык
👩🏿‍🔧	жанчына, жанчына-механік, жанчына-механік: цёмны тон скуры, механік, сантэхнік, цёмны тон скуры, электрык
👨🏻‍🏭	завод, мужчына, прамыслоўца, рабочы, рабочы: светлы тон скуры, светлы тон скуры
👨🏼‍🏭	завод, мужчына, прамыслоўца, рабочы, рабочы: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👨🏽‍🏭	завод, мужчына, прамыслоўца, рабочы, рабочы: сярэдні тон скуры, сярэдні тон скуры
👨🏾‍🏭	завод, мужчына, прамыслоўца, рабочы, рабочы: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👨🏿‍🏭	завод, мужчына, прамыслоўца, рабочы, рабочы: цёмны тон скуры, цёмны тон скуры
👩🏻‍🏭	жанчына, завод, прамыслоўца, работніца, работніца: светлы тон скуры, светлы тон скуры
👩🏼‍🏭	жанчына, завод, прамыслоўца, работніца, работніца: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👩🏽‍🏭	жанчына, завод, прамыслоўца, работніца, работніца: сярэдні тон скуры, сярэдні тон скуры
👩🏾‍🏭	жанчына, завод, прамыслоўца, работніца, работніца: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👩🏿‍🏭	жанчына, завод, прамыслоўца, работніца, работніца: цёмны тон скуры, цёмны тон скуры
👨🏻‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, светлы тон скуры, служачы, служачы: светлы тон скуры
👨🏼‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👨🏽‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: сярэдні тон скуры, сярэдні тон скуры
👨🏾‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👨🏿‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: цёмны тон скуры, цёмны тон скуры
👩🏻‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, светлы тон скуры, служачая, служачая: светлы тон скуры
👩🏼‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👩🏽‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: сярэдні тон скуры, сярэдні тон скуры
👩🏾‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👩🏿‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: цёмны тон скуры, цёмны тон скуры
👨🏻‍🔬	біёлаг, мужчына, навуковец, навуковец: светлы тон скуры, светлы тон скуры, фізік, хімік
👨🏼‍🔬	біёлаг, мужчына, навуковец, навуковец: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, фізік, хімік
👨🏽‍🔬	біёлаг, мужчына, навуковец, навуковец: сярэдні тон скуры, сярэдні тон скуры, фізік, хімік
👨🏾‍🔬	біёлаг, мужчына, навуковец, навуковец: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, фізік, хімік
👨🏿‍🔬	біёлаг, мужчына, навуковец, навуковец: цёмны тон скуры, фізік, хімік, цёмны тон скуры
👩🏻‍🔬	біёлаг, жанчына, жанчына-навуковец, жанчына-навуковец: светлы тон скуры, светлы тон скуры, фізік, хімік
👩🏼‍🔬	біёлаг, жанчына, жанчына-навуковец, жанчына-навуковец: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, фізік, хімік
👩🏽‍🔬	біёлаг, жанчына, жанчына-навуковец, жанчына-навуковец: сярэдні тон скуры, сярэдні тон скуры, фізік, хімік
