‾	верхняя рыса
〉	вуглавая, дужка, канцавая, канцавая вуглавая дужка
《	вуглавая, двайная, дужка, пачатковая, пачатковая двайная вуглавая дужка
》	вуглавая, двайная, дужка, канцавая, канцавая двайная вуглавая дужка
「	вертыкальная, дужка, пачатковая, пачатковая вертыкальная дужка
」	вертыкальная, дужка, канцавая, канцавая вертыкальная дужка
『	вертыкальная, дужка, незафарбаваная, пачатковая, пачатковая незафарбаваная вертыкальная дужка
』	вертыкальная, дужка, канцавая, канцавая незафарбаваная вертыкальная дужка, незафарбаваная
【	дужка, зафарбаваная, лінзападобная, пачатковая, пачатковая зафарбаваная лінзападобная дужка
】	дужка, зафарбаваная, канцавая, канцавая зафарбаваная лінзападобная дужка, лінзападобная
〔	дужка, панцыр чарапахі, пачатковая, пачатковая чарапашая дужка, чарапашая
〕	дужка, канцавая, канцавая чарапашая дужка, панцыр чарапахі, чарапашая
〖	дужка, лінзападобная, незафарбаваная, пачатковая, пачатковая незафарбаваная лінзападобная дужка
〗	дужка, канцавая, канцавая незафарбаваная лінзападобная дужка, лінзападобная, незафарбаваная
§	глава, параграф, раздзел, частка
¶	абзац, знак, знак параграфа, параграф
@	камерцыйнае at, камерцыйнае эт, сабака, слімак
*️	астэрыск, зорачка, спецыяльны сімвал
/	касая, касая рыса, нахіленая, рыса, слэш
\	адваротная, адваротная касая рыса, бэкслэш, касая, нахіленая, рыса
&	амперсанд, ды, і
#️	актаторп, нумар, рашотка, фунт, хэш
%	адсотак, працэнт
‰	праміле, тысячная доля
†	абеліск, друкарскі крыжык, крыжык, кінжал
‡	абеліск, двайны, двайны друкарскі крыжык, крыжык, кінжал
•	кропка, маркер
‧	злучок, кропка, кропка пераносу, перанос
′	штрых
″	двайны штрых, штрых
‴	трайны штрых, штрых
‸	стрэшка
※	знак, знак зноскі, зноска
⁂	астэрызм, тры зоркі
`	гравіс, націск, тон
´	акут, націск, тон
^	клін, націск, стрэшка, цыркумфлекс, шаўрон
¨	трэма, умляўт
°	вугал, градус, мацунак
℗	аўдыя, аўтарскае права, аўтарскае права на аўдыязапіс, гук, запіс
←	стрэлка, стрэлка, скіраваная ўлева, улева
↚	стрэлка ўлева з рысай
→	стрэлка, стрэлка, скіраваная ўправа, управа
↛	стрэлка ўправа з рысай
↑	стрэлка, стрэлка, скіраваная ўверх, уверх
↓	стрэлка, стрэлка, скіраваная ўніз, уніз
↜	хвалістая стрэлка ўлева
↝	хвалістая стрэлка ўправа
↞	стрэлка ўлева з двума канцамі
↟	стрэлка ўверх з двума канцамі
↠	стрэлка ўправа з двума канцамі
↡	стрэлка ўніз з двума канцамі
↢	стрэлка ўлева з хвастом
↣	стрэлка ўправа з хвастом
↤	стрэлка ўлева ад жэрдкі
↥	стрэлка ўверх ад жэрдкі
↦	стрэлка ўправа ад жэрдкі
↧	стрэлка ўніз ад жэрдкі
↨	стрэлка ўверх і ўніз з асновай
↫	стрэлка ўлева з пятлёй
↬	стрэлка ўправа з пятлёй
↭	хвалістая стрэлка ўлева і ўправа
↯	зігзаг, зігзагападобная стрэлка ўніз
↰	стрэлка ўверх з канцом улева
↱	стрэлка ўверх з канцом управа
↲	стрэлка ўніз з канцом улева
↳	стрэлка ўніз з канцом управа
↴	стрэлка ўправа з канцом уніз
↵	ламаная стрэлка ўніз улева
↶	паўкруглая стрэлка супраць гадзіннікавай стрэлкі
↷	паўкруглая стрэлка па гадзіннікавай стрэлцы
↸	доўгая стрэлка на паўночны захад у жэрдку
↹	жэрдка, стрэлка, стрэлка ўлева ў жэрдку над стрэлкай управа ў жэрдку, улева, управа
↺	адкрытая круглая стрэлка супраць гадзіннікавай стрэлкі
↻	адкрытая круглая стрэлка па гадзіннікавай стрэлцы
↼	гарпун улева з зубцом уверх, зубец
↽	гарпун улева з зубцом уніз
↾	гарпун уверх з зубцом управа, зубец
↿	гарпун уверх з зубцом улева, зубец
⇀	гарпун управа з зубцом уверх, зубец
⇁	гарпун управа з зубцом уніз, зубец
⇂	гарпун уніз з зубцом управа, зубец
⇃	гарпун уніз з зубцом улева, зубец
⇄	стрэлка ўправа над стрэлкай улева
⇅	стрэлка, стрэлка ўверх і стрэлка ўніз, уверх, уніз
⇆	стрэлка ўлева над стрэлкай управа, улева, управа
⇇	парныя стрэлкі ўлева
⇈	парныя стрэлкі ўверх
⇉	парныя стрэлкі ўправа
⇊	парныя стрэлкі ўніз
⇋	гарпун улева над гарпуном управа
⇌	гарпун управа над гарпуном улева
⇐	двайная стрэлка ўлева
⇍	двайная стрэлка ўлева з рысай
⇑	двайная стрэлка ўверх
⇒	двайная стрэлка ўправа
⇏	двайная стрэлка ўправа з рысай
⇓	двайная стрэлка ўніз
⇔	двайная стрэлка ўлева і ўправа
⇎	двайная стрэлка ўлева і ўправа з рысай
⇖	двайная стрэлка на паўночны захад
⇗	двайная стрэлка на паўночны ўсход
⇘	двайная стрэлка на паўднёвы ўсход
⇙	двайная стрэлка на паўднёвы захад
⇚	трайная стрэлка ўлева
⇛	трайная стрэлка ўправа
⇜	стрэлка з зігзагам улева
⇝	стрэлка з зігзагам управа
⇞	стрэлка ўверх з двайной рысай
⇟	стрэлка ўніз з двайной рысай
⇠	пункцірная стрэлка ўлева
⇡	пункцірная стрэлка ўверх
⇢	пункцірная стрэлка ўправа
⇣	пункцірная стрэлка ўніз
⇤	стрэлка ўлева ў жэрдку
⇥	стрэлка ўправа ў жэрдку
⇦	незафарбаваная стрэлка ўлева
⇧	незафарбаваная стрэлка ўверх
⇨	незафарбаваная стрэлка ўправа
⇩	незафарбаваная стрэлка ўніз
⇪	незафарбаваная стрэлка ўверх з жэрдкай
⇵	стрэлкі ўніз і ўверх злева направа
∀	для ўсіх, любыя, усе, усеагульнасць
∂	вытворная, частковая вытворная
∃	існуе
∅	аператар над мноствамі, матэматыка, пустое мноства
∆	дэльта, трохвугольнік
∇	набла, трохвугольнік
∈	змяшчае, мноства, набор, прыналежыць да, элемент
∉	не з’яўляецца элементам, не элемент, элемент
∎	q.e.d., qed, канец доказу, надмагільны камень, сімвал халмаша
+	плюс, складанне
±	плюс-мінус
÷	дзяленне, дзяліць, знак дзялення
×	знак множання, множанне, памнажаць, разы
<	менш за, пачатковы тэг, тэг
≮	матэматыка, не менш за, няроўнасць
=	роўна, роўны
≠	не роўны, няроўнасць, няроўны
>	больш за, канцавы тэг, тэг
≯	матэматыка, не больш за, няроўнасць
¬	адмаўленне, не
|	вертыкальная лінія, вертыкальная рыса, лінія, палка, рыса, труба, штрых, штрых шэфера
~	тыльда
−	адніманне, мінус
⁻	верхні індэкс, мінус, надрадковы, надрадковы мінус
∓	плюс або мінус, плюс-мінус
∕	дзялільная рыса, касая, касая дзялення, рыса
⁄	знак дробу, касая, рыса
∗	аператар-астэрыск, астэрыск, зорачка
√	квадратны, квадратны корань, корань, радыкал
∝	знак прапарцыянальнасць, знак прапарцыянальнасці
∞	бясконцасць, знак бясконцасці
∟	матэматыка, прамы вугал
∠	востры, вугал
∣	дзельнік, дзеліць
∥	паралельны
∩	мноства, перасячэнне
∪	аб’яднанне, злучэнне, мноства
∫	інтэграл, інтэгральнае злічэнне
∬	двайны інтэграл, інтэгральнае злічэнне
∮	крывалінейны інтэграл
∴	логіка, такім чынам, таму
∵	бо, логіка
∶	суадносіны
∷	прапарцыянальнасць, прапорцыя
≈	амаль роўна, прыблізнасць, прыблізны
≡	дакладны, тоесны, трайны, ідэнтычны
≤	менш за, менш за або роўна, няроўнасць, роўна
≥	больш за, больш за або роўна, няроўнасць, роўна
⊂	мноства, падмноства
■	зафарбаваны квадрат
□	незафарбаваны квадрат
▢	незафарбаваны квадрат з закругленымі вугламі
▣	незафарбаваны квадрат з зафарбаваным унутры
▤	квадрат з гарызантальнай штрыхоўкай
▥	квадрат з вертыкальнай штрыхоўкай
▬	зафарбаваны прамавугольнік
▭	незафарбаваны прамавугольнік
▮	зафарбаваны вертыкальны прамавугольнік
▰	зафарбаваны паралелаграм
▲	запоўнены, зафарбаваны, зафарбаваны трохвугольнік уверх, стрэлка, трохвугольнік, уверх
△	скіраваны ўверх незафарбаваны трохвугольнік
▴	скіраваны ўверх зафарбаваны трохвугольнік
▵	скіраваны ўверх незафарбаваны малы трохвугольнік
▷	скіраваны ўправа незафарбаваны трохвугольнік
▸	скіраваны ўправа зафарбаваны малы трохвугольнік
▹	скіраваны ўправа незафарбаваны малы трохвугольнік
►	зафарбаваны ўказальнік управа
▻	незафарбаваны ўказальнік управа
▼	запоўнены, зафарбаваны, зафарбаваны трохвугольнік уніз, стрэлка, трохвугольнік, уніз
▽	скіраваны ўніз незафарбаваны трохвугольнік
▾	скіраваны ўніз зафарбаваны малы трохвугольнік
▿	скіраваны ўніз незафарбаваны малы трохвугольнік
◁	скіраваны ўлева незафарбаваны трохвугольнік
◂	скіраваны ўлева зафарбаваны малы трохвугольнік
◃	скіраваны ўлева незафарбаваны малы трохвугольнік
◄	зафарбаваны ўказальнік улева
◅	незафарбаваны ўказальнік улева
◆	зафарбаваны ромб
◇	незафарбаваны ромб
◈	незафарбаваны ромб з зафарбаваным унутры
◉	зафарбаваны круг у кольцы, канцэнтрычныя кругі з зафарбоўкай, кропка ў кольцы, незафарбаваны круг з зафарбаваным унутры, рыбіна вока
◊	бубны, звонкі, ромб
○	кольца, круг, незафарбаваны круг
◌	пункцірны круг
◍	круг з вертыкальнай штрыхоўкай
◎	двайны круг, канцэнтрычныя кругі, мішэнь, цэль
●	зафарбаваны круг, круг
◐	круг з зафарбаванай левай паловай
◑	круг з зафарбаванай правай паловай
◒	круг з зафарбаванай ніжняй паловай
◓	круг з зафарбаванай верхняй паловай
◔	круг з зафарбаванай верхняй правай чвэрцю
◕	круг з незафарбаванай верхняй левай чвэрцю
◖	зафарбаваная левая палова круга
◗	зафарбаваная правая палова круга
◙	зафарбаваны квадрат з кольцам унутры, інвертаванае кольца
◜	верхняя левая чвэрць кольца
◝	верхняя правая чвэрць кольца
◞	ніжняя правая чвэрць кольца
◟	ніжняя левая чвэрць кольца
◠	верхняя палова кольца
◡	ніжняя палова кольца
◢	зафарбаваны трохвугольнік з прамым вуглом унізе справа
◣	зафарбаваны трохвугольнік з прамым вуглом унізе злева
◤	зафарбаваны трохвугольнік з прамым вуглом уверсе злева
◥	зафарбаваны трохвугольнік з прамым вуглом уверсе справа
◯	вялікае кольца, вялікі незафарбаваны круг, кольца, круг
◿	трохвугольнік з прамым вуглом унізе справа
♪	восьмая, восьмая нота, музыка, нота
♭	бемоль, музыка, нота
♯	дыез, музыка, нота
😀	зубы, усмешка, шырока ўсміхаецца
😃	адкрыты, рот, усмешка, усміхаецца з адкрытым ротам
😄	вочы, рот, усмешка, усміхаецца, адкрыўшы рот і прыплюшчыўшы вочы
😁	вочы, зубы, усмешка, шырока ўсміхаецца, прыплюшчыўшы вочы
😆	адкрыты, задаволены, рот, смех, смяецца, адкрыўшы рот і заплюшчыўшы вочы
😅	пот, усмешка, усміхаецца адкрытым ротам з халодным потам на лбе, халодны
🤣	качацца, качаюся са смеху, смех
😂	зубы, слёзы, слёзы шчасця, смех, шчасце
🙂	злёгку ўсміхаецца, усмешка
🙃	дагары нагамі, твар
🫠	вадкі, знікае, растае, раствараецца, твар растае
😉	падморгвае, падморгванне, твар
😊	вочы, румянец, усмешка, усміхаецца, прыплюшчыўшы вочы
😇	анёл, арэол, казачны, нявінны, німб, твар з німбам, усмешка
🥰	закаханасць, захапленне, каханне, твар з трыма сэрцамі ўсміхаецца, улюбёнасць
😍	закаханы твар, каханне, сэрца, усмешка
🤩	вочы, зорка, твар, твар з зоркамі, ухмылка
😘	паветраны пацалунак, падморгванне, пацалунак, сэрца
😗	пацалунак, цалуе
☺️	спакойны, усмешка, усмешлівы твар, усміхаецца
😚	губы, заплюшчаныя вочы, пацалунак, цалуе, заплюшчыўшы вочы
😙	вочы, пацалунак, усмешка, цалуе, прыплюшчыўшы вочы
🥲	гордасць, палёгка, расчулены, сляза, удзячнасць, усмешка, усмешлівы твар са слязой
😋	гам, смакаванне, смачна, усмешка
😛	гарэза, паказвае язык, язык
😜	вочы, жарт, падморгванне, паказвае язык і падморгвае, язык
🤪	вар’яцкі твар, вока, вялікае, маленькае
😝	вочы, гарэза, паказвае язык, заплюшчыўшы вочы, смак, язык
🤑	грошы, рот, скнара, чую грошы
🤗	абдымае, абдымкі, твар
🤭	закрывае рукой рот, ой
🫢	захоплены, зачараваны, збянтэжаны, здзіўлены, недаверлівы, спалоханы, твар з расплюшчанымі вачыма і закрытым рукой ротам
🫣	закрыты твар падглядае адным вокам, зачараваны, падглядаць, утаропіцца
🤫	цыц, ціха, шыкае, шыканне
🤔	гм, развага, роздум, у роздуме
🫡	аддаць чэсць, вайсковец, вясёлы, салют, так, твар салютуе
🤐	замок, маўчу, рот, рот на замок
🤨	не верыць, скептычны, твар з узнятым брывом
😐️	абыякавы, нейтральны, нейтральны твар
😑	без эмоцый, каменны, невыразны
😶	маўклівы, рот, твар без рота, ціхі
🫥	дэпрэсіўны, знікае, невідзімка, твар, намаляваны пункцірам, хаваецца, інтраверт
😶‍🌫	галава ў аблоках, рассеяны, твар у аблоках, твар у тумане
😏	усмешка, ухмылка, ухмыляецца
😒	зануда, незадаволены, незадаволены твар, нудны
🙄	вочы, закочвае вочы, закочванне, толькі не гэта
😬	грымаса, перакошаны, скрыўлены, скрыўлены твар
😮‍💨	выдых, палёгка, перахапіла дыханне, свіст, твар выдыхае, уздых, шэпт
🤥	пінокіа, твар, твар хлуса, хлусня
😌	адчувае палёгку, палёгка, як добра
😔	задуменны, задуменны твар, засмучаны
😪	санлівасць, сон, сонны твар
🤤	пускае сліну, пускаць, сліна
😴	сон, спіць, хррр
😷	доктар, маска, медыцына, твар у медыцынскай масцы, хворы
🤒	прастуда, твар з тэрмометрам, тэрмометр, хворы
🤕	выцятае месца, павязка, твар з павязкай на галаве, траўма
🤢	моташна, нудзіць, твар
🤮	ванітуе, ваніты, твар
🤧	твар, чхае
🥵	гарачы твар, горача, ліхаманка, перагрэў, пот, чырвоны твар
🥶	замярзае, змерзлы твар, мароз, сіні твар, холадна, ільдзінкі
🥴	адурманены, ап’янелы, ап’янелы твар, нецвярозы, перакошаны рот, п’яны, разбягаюцца вочы
😵	галава круціцца, галавакружэнне, заблытаны
😵‍💫	адурманены, гіпноз, загіпнатызаваны, ого, спіраль, твар з вачыма-спіралямі, турботы
🤯	галава выбухае, шакіраваны
🤠	капялюш, каўбой, каўбой у капелюшы
🥳	вечарына, дудка, капялюш, свята, святкуе
🥸	акуляры, маскіроўка, нос, твар, твар пад маскіроўкай, інкогніта
😎	акуляры, круты, сонца, усмешка, усміхаецца ў сонечных акулярах
🤓	батан, гік, задрот, нёрд
🧐	напышлівы, твар з маноклем
😕	азадачаны, збіты з панталыку, разгублены, разгублены твар
🫤	незадаволены, няўпэўнены, расчараваны, скептычны, твар са скошаным ротам, хм
😟	занепакоены, занепакоены твар, устрывожаны
🙁	засмучэнне, злёгку засмучаны твар, нахмураны
☹️	засмучаны твар, засмучэнне, нахмураны
😮	адкрыты, рот, спачуванне, твар з адкрытым ротам
😯	ашаломлены, ашаломлены твар, здзіўлены, змоўклы, твар
😲	здзіўлены, здзіўлены твар, цалкам, шакіраваны
😳	аслупянелы, аслупянелы твар, збянтэжаны, збянтэжаны твар, здранцвелы твар
🥺	моліць, просіць, умольвае, шчанячы позірк
🥹	горды, засмучаны, злы, плача, стрымлівае слёзы, стрымліваецца
😦	адкрыты, засмучаны твар з адкрытым ротам, засмучэнне, нахмураны, рот
😧	пакута, пакутлівы твар, туга
😨	жах, напалоханы, напалоханы твар, напужаны, страх
😰	пот, рот, стома, сіні, твар з адкрытым ротам і халодным потам на лбе
😥	вух, палёгка, расчараванне з палёгкай, расчараваны
😢	плач, плача, слёзы, сумны
😭	плача ўголас, рыданне, слёзы, сумны
😱	жах, крык, напалоханы, спалохана крычыць, страх
😖	безвыходнасць, бязвыхадны, гамон, тупік
😣	настойваць, упартасць, упарты твар
😞	засмучэнне, расчараванне, расчараваны твар
😓	няёмкасць, пот, халодны, халодны пот на твары
😩	змораны, змораны твар, стомлены
😫	стомлены, стомлены твар
🥱	нуда, пазяхае, пазяханне, стома
😤	пара з носа, пераможца, трыумф, упартасць
😡	злы, лютасць, надзьмуты, надзьмуты твар, чырвоны
😠	злуецца, злы, люты, шалёны
🤬	лаецца, твар са знакамі на роце
😈	казачны, рагацік з усмешкай, рогі, усмешка
👿	дэман, д’ябал, злы рагаты чорт, казачны, нячысцік, чорт
💀	казачны, монстр, смерць, чэрап
☠️	косці, монстр, пірат, смерць, чэрап і косці
💩	какашка, камічны, фекаліі, фу
🤡	клоун, твар, твар клоуна
👹	казачны, людажэр, монстр, стварэнне, японскі
👺	гоблін, казачны, монстр, стварэнне, японскі
👻	бу, казачны, монстр, прывід, стварэнне
👽️	НЛА, космас, пазаземны, стварэнне, іншапланецянін
👾	космас, монстр, монстр-іншапланецянін, пазаземны, стварэнне
🤖	монстр, паўстанне машын, робат
😺	адкрыты, кот, кот усміхаецца, адкрыўшы рот, рот, усмешка
😸	вочы, зубы, кот, кот шырока ўсміхаецца, прыплюснуўшы вочы, усмешка
😹	зубы, кот, кот плача ад шчасця, слёзы, смех
😻	закаханы кот, каханне, кот, сэрца, усмешка
😼	кот, кот са скрыўленай усмешкай, скрыўлены, усмешка, іранічны
😽	вочы, кот, кот цалуе, закрыўшы вочы, кот цалуе, заплюшчыўшы вочы, пацалунак
🙀	здзіўлены, змораны, змораны кот, кот, ох
😿	кот, кот плача, плач, слёзы, сумны
😾	кот, крыўда, надзьмуты, надзьмуты кот
🙈	бачыць, жэст, забаронена, малпа, нічога не бачу
🙉	жэст, забаронена, малпа, нічога не чую, чуць
🙊	жэст, забаронена, малпа, нічога не скажу, размаўляць
💌	каханне, любоўны ліст, ліст, пошта, сэрца
💘	купідон, страла, страла ў сэрцы, сэрца
💝	валянцінка, стужка, сэрца, сэрца са стужачкай
💖	бляск, бліскучае сэрца, захапленне, зіхаценне, сэрца
💗	біццё, захапленне, сэрца, сэрца, якое павялічваецца, хваляванне
💓	біццё, пульсуючае сэрца, сэрца, сэрцабіцце, хваляванне
💞	кручэнне, сэрцы, сэрцы, якія круцяцца
💕	два сэрцы, каханне, сэрцы
💟	стылізаванае сэрца, сэрца
❣️	знак, знак прыпынку, клічнік, клічнік у форме сэрца, сэрца
💔	разбітае, разбітае сэрца, расчараванне, сэрца
❤‍🔥	агонь, жаданне, каханне, святое сэрца, сэрца, сэрца ў агні
❤‍🩹	аднаўленне, выздараўленне, загойванне, лепей, паляпшэнне, папраўленне, сэрца загойваецца
❤️	сэрца, чырвонае сэрца
🧡	аранжавае сэрца, аранжавы
💛	жоўтае сэрца, жоўты, сэрца
💚	зялёнае сэрца, зялёны, сэрца
💙	сэрца, сіняе сэрца, сіні
💜	сэрца, фіялетавае сэрца, фіялетавы
🤎	карычневае, карычневае сэрца, сэрца
🖤	злосць, сэрца, чорнае, чорнае сэрца
🤍	белае, белае сэрца, сэрца
💋	губы, пацалунак, след ад пацалунку
💯	100, ачкоў, максімум, сто, сто ачкоў
💢	злы, камічны, раздражненне, сімвал злосці, шалёны
💥	бабах, бум, выбух, камічны
💫	галавакружэнне, зоркі, камічны, прытомнасць
💦	камічны, пот, пырскі, пырскі поту
💨	бег, знікненне, камічны, рывок
🕳️	дзірка
💬	бурбалка, воблачка, воблачка з тэкстам, дыялог, камічны
👁‍🗨	бурбалка з тэкстам, вока, вока ў бурбалцы, сведка
🗨️	бурбалка з тэкстам злева, дыялог, маўленне
🗯️	бурбалка, бурбалка з абурэннем справа, воблачка, злы, шалёны
💭	бурбалка, воблачка, воблачка з думкамі, думкі, камічны
💤	камічны, сон, храп
👋	вітаю, махае рукой, маханне, рука
👋🏻	вітаю, махае рукой, махае рукой: светлы тон скуры, маханне, рука, светлы тон скуры
👋🏼	вітаю, махае рукой, махае рукой: сярэднясветлы тон скуры, маханне, рука, сярэднясветлы тон скуры
👋🏽	вітаю, махае рукой, махае рукой: сярэдні тон скуры, маханне, рука, сярэдні тон скуры
👋🏾	вітаю, махае рукой, махае рукой: сярэдняцёмны тон скуры, маханне, рука, сярэдняцёмны тон скуры
👋🏿	вітаю, махае рукой, махае рукой: цёмны тон скуры, маханне, рука, цёмны тон скуры
🤚	далонь, паднятая, паднятая далонь
🤚🏻	далонь, паднятая, паднятая далонь: светлы тон скуры, светлы тон скуры
🤚🏼	далонь, паднятая, паднятая далонь: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🤚🏽	далонь, паднятая, паднятая далонь: сярэдні тон скуры, сярэдні тон скуры
🤚🏾	далонь, паднятая, паднятая далонь: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🤚🏿	далонь, паднятая, паднятая далонь: цёмны тон скуры, цёмны тон скуры
🖐️	паднятая рука з растапыранымі пальцамі, пальцы, растапырванне, рука
🖐🏻	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: светлы тон скуры, пальцы, растапырванне, рука, светлы тон скуры
🖐🏼	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэднясветлы тон скуры, пальцы, растапырванне, рука, сярэднясветлы тон скуры
🖐🏽	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдні тон скуры, пальцы, растапырванне, рука, сярэдні тон скуры
🖐🏾	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдняцёмны тон скуры, пальцы, растапырванне, рука, сярэдняцёмны тон скуры
🖐🏿	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: цёмны тон скуры, пальцы, растапырванне, рука, цёмны тон скуры
✋	паднятая рука, рука, стоп, цела
✋🏻	паднятая рука, паднятая рука: светлы тон скуры, рука, светлы тон скуры, стоп, цела
✋🏼	паднятая рука, паднятая рука: сярэднясветлы тон скуры, рука, стоп, сярэднясветлы тон скуры, цела
✋🏽	паднятая рука, паднятая рука: сярэдні тон скуры, рука, стоп, сярэдні тон скуры, цела
✋🏾	паднятая рука, паднятая рука: сярэдняцёмны тон скуры, рука, стоп, сярэдняцёмны тон скуры, цела
✋🏿	паднятая рука, паднятая рука: цёмны тон скуры, рука, стоп, цела, цёмны тон скуры
🖖	вулканскі салют, жэст, спок, стартрэк
🖖🏻	вулканскі салют, вулканскі салют: светлы тон скуры, жэст, светлы тон скуры, спок, стартрэк
🖖🏼	вулканскі салют, вулканскі салют: сярэднясветлы тон скуры, жэст, спок, стартрэк, сярэднясветлы тон скуры
🖖🏽	вулканскі салют, вулканскі салют: сярэдні тон скуры, жэст, спок, стартрэк, сярэдні тон скуры
🖖🏾	вулканскі салют, вулканскі салют: сярэдняцёмны тон скуры, жэст, спок, стартрэк, сярэдняцёмны тон скуры
🖖🏿	вулканскі салют, вулканскі салют: цёмны тон скуры, жэст, спок, стартрэк, цёмны тон скуры
🫱	направа, права, рука, рука направа
🫱🏻	направа, права, рука, рука направа: светлы тон скуры, светлы тон скуры
🫱🏼	направа, права, рука, рука направа: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🫱🏽	направа, права, рука, рука направа: сярэдні тон скуры, сярэдні тон скуры
🫱🏾	направа, права, рука, рука направа: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🫱🏿	направа, права, рука, рука направа: цёмны тон скуры, цёмны тон скуры
🫱🏻‍🫲🏼	дамовіліся, поціск рук, поціск рук: светлы тон скуры сярэднясветлы тон скуры, рукапацісканне, светлы тон скуры, сустрэча, сярэднясветлы тон скуры
🫱🏻‍🫲🏽	дамовіліся, поціск рук, поціск рук: светлы тон скуры сярэдні тон скуры, рукапацісканне, светлы тон скуры, сустрэча, сярэдні тон скуры
🫱🏻‍🫲🏾	дамовіліся, поціск рук, поціск рук: светлы тон скуры сярэдняцёмны тон скуры, рукапацісканне, светлы тон скуры, сустрэча, сярэдняцёмны тон скуры
🫱🏻‍🫲🏿	дамовіліся, поціск рук, поціск рук: светлы тон скуры цёмны тон скуры, рукапацісканне, светлы тон скуры, сустрэча, цёмны тон скуры
🫱🏼‍🫲🏻	дамовіліся, поціск рук, поціск рук: сярэднясветлы тон скуры светлы тон скуры, рукапацісканне, светлы тон скуры, сустрэча, сярэднясветлы тон скуры
🫱🏼‍🫲🏽	дамовіліся, поціск рук, поціск рук: сярэднясветлы тон скуры сярэдні тон скуры, рукапацісканне, сустрэча, сярэднясветлы тон скуры, сярэдні тон скуры
🫱🏼‍🫲🏾	дамовіліся, поціск рук, поціск рук: сярэднясветлы тон скуры сярэдняцёмны тон скуры, рукапацісканне, сустрэча, сярэднясветлы тон скуры, сярэдняцёмны тон скуры
🫱🏼‍🫲🏿	дамовіліся, поціск рук, поціск рук: сярэднясветлы тон скуры цёмны тон скуры, рукапацісканне, сустрэча, сярэднясветлы тон скуры, цёмны тон скуры
🫱🏽‍🫲🏻	дамовіліся, поціск рук, поціск рук: сярэдні тон скуры светлы тон скуры, рукапацісканне, светлы тон скуры, сустрэча, сярэдні тон скуры
🫱🏽‍🫲🏼	дамовіліся, поціск рук, поціск рук: сярэдні тон скуры сярэднясветлы тон скуры, рукапацісканне, сустрэча, сярэднясветлы тон скуры, сярэдні тон скуры
🫱🏽‍🫲🏾	дамовіліся, поціск рук, поціск рук: сярэдні тон скуры сярэдняцёмны тон скуры, рукапацісканне, сустрэча, сярэдняцёмны тон скуры, сярэдні тон скуры
🫱🏽‍🫲🏿	дамовіліся, поціск рук, поціск рук: сярэдні тон скуры цёмны тон скуры, рукапацісканне, сустрэча, сярэдні тон скуры, цёмны тон скуры
