🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
🧑🏾	adoleshent, adoleshente, e rritur, fëmijë i rritur, fëmijë i rritur: nuancë lëkure gjysmë e errët, i rritur, nuancë lëkure gjysmë e errët
🧑🏿	adoleshent, adoleshente, e rritur, fëmijë i rritur, fëmijë i rritur: nuancë lëkure e errët, i rritur, nuancë lëkure e errët
👨🏻	burrë, burrë: nuancë lëkure e çelët, mashkull, nuancë lëkure e çelët
👨🏼	burrë, burrë: nuancë lëkure gjysmë e çelët, mashkull, nuancë lëkure gjysmë e çelët
👨🏽	burrë, burrë: nuancë lëkure zeshkane, mashkull, nuancë lëkure zeshkane
👨🏾	burrë, burrë: nuancë lëkure gjysmë e errët, mashkull, nuancë lëkure gjysmë e errët
👨🏿	burrë, burrë: nuancë lëkure e errët, mashkull, nuancë lëkure e errët
👨‍🦰	burrë, burrë: flokë të kuqe, flokë të kuqe, mashkull
👨🏻‍🦰	burrë, burrë: nuancë lëkure e çelët e flokë të kuqe, flokë të kuqe, mashkull, nuancë lëkure e çelët
👨🏼‍🦰	burrë, burrë: nuancë lëkure gjysmë e çelët e flokë të kuqe, flokë të kuqe, mashkull, nuancë lëkure gjysmë e çelët
👨🏽‍🦰	burrë, burrë: nuancë lëkure zeshkane e flokë të kuqe, flokë të kuqe, mashkull, nuancë lëkure zeshkane
👨🏾‍🦰	burrë, burrë: nuancë lëkure gjysmë e errët e flokë të kuqe, flokë të kuqe, mashkull, nuancë lëkure gjysmë e errët
👨🏿‍🦰	burrë, burrë: nuancë lëkure e errët e flokë të kuqe, flokë të kuqe, mashkull, nuancë lëkure e errët
👨‍🦱	burrë, burrë: flokë kaçurrele, flokë kaçurrele, mashkull
👨🏻‍🦱	burrë, burrë: nuancë lëkure e çelët e flokë kaçurrele, flokë kaçurrele, mashkull, nuancë lëkure e çelët
👨🏼‍🦱	burrë, burrë: nuancë lëkure gjysmë e çelët e flokë kaçurrele, flokë kaçurrele, mashkull, nuancë lëkure gjysmë e çelët
👨🏽‍🦱	burrë, burrë: nuancë lëkure zeshkane e flokë kaçurrele, flokë kaçurrele, mashkull, nuancë lëkure zeshkane
👨🏾‍🦱	burrë, burrë: nuancë lëkure gjysmë e errët e flokë kaçurrele, flokë kaçurrele, mashkull, nuancë lëkure gjysmë e errët
👨🏿‍🦱	burrë, burrë: nuancë lëkure e errët e flokë kaçurrele, flokë kaçurrele, mashkull, nuancë lëkure e errët
👨‍🦲	burrë, burrë: qeros, mashkull, qeros
👨🏻‍🦲	burrë, burrë: nuancë lëkure e çelët e qeros, mashkull, nuancë lëkure e çelët, qeros
👨🏼‍🦲	burrë, burrë: nuancë lëkure gjysmë e çelët e qeros, mashkull, nuancë lëkure gjysmë e çelët, qeros
👨🏽‍🦲	burrë, burrë: nuancë lëkure zeshkane e qeros, mashkull, nuancë lëkure zeshkane, qeros
👨🏾‍🦲	burrë, burrë: nuancë lëkure gjysmë e errët e qeros, mashkull, nuancë lëkure gjysmë e errët, qeros
👨🏿‍🦲	burrë, burrë: nuancë lëkure e errët e qeros, mashkull, nuancë lëkure e errët, qeros
👨‍🦳	burrë, burrë: flokë të bardha, flokë të bardha, mashkull
👨🏻‍🦳	burrë, burrë: nuancë lëkure e çelët e flokë të bardha, flokë të bardha, mashkull, nuancë lëkure e çelët
👨🏼‍🦳	burrë, burrë: nuancë lëkure gjysmë e çelët e flokë të bardha, flokë të bardha, mashkull, nuancë lëkure gjysmë e çelët
👨🏽‍🦳	burrë, burrë: nuancë lëkure zeshkane e flokë të bardha, flokë të bardha, mashkull, nuancë lëkure zeshkane
👨🏾‍🦳	burrë, burrë: nuancë lëkure gjysmë e errët e flokë të bardha, flokë të bardha, mashkull, nuancë lëkure gjysmë e errët
👨🏿‍🦳	burrë, burrë: nuancë lëkure e errët e flokë të bardha, flokë të bardha, mashkull, nuancë lëkure e errët
👩🏻	femër, grua, grua: nuancë lëkure e çelët, nuancë lëkure e çelët
👩🏼	femër, grua, grua: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
👩🏽	femër, grua, grua: nuancë lëkure zeshkane, nuancë lëkure zeshkane
👩🏾	femër, grua, grua: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
👩🏿	femër, grua, grua: nuancë lëkure e errët, nuancë lëkure e errët
👩‍🦰	femër, flokë të kuqe, grua, grua: flokë të kuqe
👩🏻‍🦰	femër, flokë të kuqe, grua, grua: nuancë lëkure e çelët e flokë të kuqe, nuancë lëkure e çelët
👩🏼‍🦰	femër, flokë të kuqe, grua, grua: nuancë lëkure gjysmë e çelët e flokë të kuqe, nuancë lëkure gjysmë e çelët
👩🏽‍🦰	femër, flokë të kuqe, grua, grua: nuancë lëkure zeshkane e flokë të kuqe, nuancë lëkure zeshkane
👩🏾‍🦰	femër, flokë të kuqe, grua, grua: nuancë lëkure gjysmë e errët e flokë të kuqe, nuancë lëkure gjysmë e errët
👩🏿‍🦰	femër, flokë të kuqe, grua, grua: nuancë lëkure e errët e flokë të kuqe, nuancë lëkure e errët
👩‍🦱	femër, flokë kaçurrele, grua, grua: flokë kaçurrele
👩🏻‍🦱	femër, flokë kaçurrele, grua, grua: nuancë lëkure e çelët e flokë kaçurrele, nuancë lëkure e çelët
👩🏼‍🦱	femër, flokë kaçurrele, grua, grua: nuancë lëkure gjysmë e çelët e flokë kaçurrele, nuancë lëkure gjysmë e çelët
👩🏽‍🦱	femër, flokë kaçurrele, grua, grua: nuancë lëkure zeshkane e flokë kaçurrele, nuancë lëkure zeshkane
👩🏾‍🦱	femër, flokë kaçurrele, grua, grua: nuancë lëkure gjysmë e errët e flokë kaçurrele, nuancë lëkure gjysmë e errët
👩🏿‍🦱	femër, flokë kaçurrele, grua, grua: nuancë lëkure e errët e flokë kaçurrele, nuancë lëkure e errët
👩‍🦲	femër, grua, grua: qeros, qeros
👩🏻‍🦲	femër, grua, grua: nuancë lëkure e çelët e qeros, nuancë lëkure e çelët, qeros
👩🏼‍🦲	femër, grua, grua: nuancë lëkure gjysmë e çelët e qeros, nuancë lëkure gjysmë e çelët, qeros
👩🏽‍🦲	femër, grua, grua: nuancë lëkure zeshkane e qeros, nuancë lëkure zeshkane, qeros
👩🏾‍🦲	femër, grua, grua: nuancë lëkure gjysmë e errët e qeros, nuancë lëkure gjysmë e errët, qeros
👩🏿‍🦲	femër, grua, grua: nuancë lëkure e errët e qeros, nuancë lëkure e errët, qeros
👩‍🦳	femër, flokë të bardha, grua, grua: flokë të bardha
👩🏻‍🦳	femër, flokë të bardha, grua, grua: nuancë lëkure e çelët e flokë të bardha, nuancë lëkure e çelët
👩🏼‍🦳	femër, flokë të bardha, grua, grua: nuancë lëkure gjysmë e çelët e flokë të bardha, nuancë lëkure gjysmë e çelët
👩🏽‍🦳	femër, flokë të bardha, grua, grua: nuancë lëkure zeshkane e flokë të bardha, nuancë lëkure zeshkane
👩🏾‍🦳	femër, flokë të bardha, grua, grua: nuancë lëkure gjysmë e errët e flokë të bardha, nuancë lëkure gjysmë e errët
👩🏿‍🦳	femër, flokë të bardha, grua, grua: nuancë lëkure e errët e flokë të bardha, nuancë lëkure e errët
🧓🏻	i ri, i ri: nuancë lëkure e çelët, i rritur, nuancë lëkure e çelët
🧓🏼	i ri, i ri: nuancë lëkure gjysmë e çelët, i rritur, nuancë lëkure gjysmë e çelët
🧓🏽	i ri, i ri: nuancë lëkure zeshkane, i rritur, nuancë lëkure zeshkane
🧓🏾	i ri, i ri: nuancë lëkure gjysmë e errët, i rritur, nuancë lëkure gjysmë e errët
🧓🏿	i ri, i ri: nuancë lëkure e errët, i rritur, nuancë lëkure e errët
👴🏻	burrë, burrë i moshuar, burrë i moshuar: nuancë lëkure e çelët, i moshuar, i vjetër, nuancë lëkure e çelët
👴🏼	burrë, burrë i moshuar, burrë i moshuar: nuancë lëkure gjysmë e çelët, i moshuar, i vjetër, nuancë lëkure gjysmë e çelët
👴🏽	burrë, burrë i moshuar, burrë i moshuar: nuancë lëkure zeshkane, i moshuar, i vjetër, nuancë lëkure zeshkane
👴🏾	burrë, burrë i moshuar, burrë i moshuar: nuancë lëkure gjysmë e errët, i moshuar, i vjetër, nuancë lëkure gjysmë e errët
👴🏿	burrë, burrë i moshuar, burrë i moshuar: nuancë lëkure e errët, i moshuar, i vjetër, nuancë lëkure e errët
👵🏻	e moshuar, e vjetër, grua, grua e moshuar, grua e moshuar: nuancë lëkure e çelët, nuancë lëkure e çelët
👵🏼	e moshuar, e vjetër, grua, grua e moshuar, grua e moshuar: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
👵🏽	e moshuar, e vjetër, grua, grua e moshuar, grua e moshuar: nuancë lëkure zeshkane, nuancë lëkure zeshkane
👵🏾	e moshuar, e vjetër, grua, grua e moshuar, grua e moshuar: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
👵🏿	e moshuar, e vjetër, grua, grua e moshuar, grua e moshuar: nuancë lëkure e errët, nuancë lëkure e errët
👨🏻‍⚕	burrë, doktor, infermier, kujdes mjekësor, nuancë lëkure e çelët, punonjës shëndetësor, punonjës shëndetësor: nuancë lëkure e çelët
👨🏼‍⚕	burrë, doktor, infermier, kujdes mjekësor, nuancë lëkure gjysmë e çelët, punonjës shëndetësor, punonjës shëndetësor: nuancë lëkure gjysmë e çelët
👨🏽‍⚕	burrë, doktor, infermier, kujdes mjekësor, nuancë lëkure zeshkane, punonjës shëndetësor, punonjës shëndetësor: nuancë lëkure zeshkane
👨🏾‍⚕	burrë, doktor, infermier, kujdes mjekësor, nuancë lëkure gjysmë e errët, punonjës shëndetësor, punonjës shëndetësor: nuancë lëkure gjysmë e errët
👨🏿‍⚕	burrë, doktor, infermier, kujdes mjekësor, nuancë lëkure e errët, punonjës shëndetësor, punonjës shëndetësor: nuancë lëkure e errët
👩🏻‍⚕	doktore, grua, infermiere, kujdes mjekësor, nuancë lëkure e çelët, punonjëse shëndetësor, punonjëse shëndetësor: nuancë lëkure e çelët
👩🏼‍⚕	doktore, grua, infermiere, kujdes mjekësor, nuancë lëkure gjysmë e çelët, punonjëse shëndetësor, punonjëse shëndetësor: nuancë lëkure gjysmë e çelët
👩🏽‍⚕	doktore, grua, infermiere, kujdes mjekësor, nuancë lëkure zeshkane, punonjëse shëndetësor, punonjëse shëndetësor: nuancë lëkure zeshkane
👩🏾‍⚕	doktore, grua, infermiere, kujdes mjekësor, nuancë lëkure gjysmë e errët, punonjëse shëndetësor, punonjëse shëndetësor: nuancë lëkure gjysmë e errët
👩🏿‍⚕	doktore, grua, infermiere, kujdes mjekësor, nuancë lëkure e errët, punonjëse shëndetësor, punonjëse shëndetësor: nuancë lëkure e errët
👨🏻‍🎓	diplomim, mashkull, nuancë lëkure e çelët, student, student: nuancë lëkure e çelët
👨🏼‍🎓	diplomim, mashkull, nuancë lëkure gjysmë e çelët, student, student: nuancë lëkure gjysmë e çelët
👨🏽‍🎓	diplomim, mashkull, nuancë lëkure zeshkane, student, student: nuancë lëkure zeshkane
👨🏾‍🎓	diplomim, mashkull, nuancë lëkure gjysmë e errët, student, student: nuancë lëkure gjysmë e errët
👨🏿‍🎓	diplomim, mashkull, nuancë lëkure e errët, student, student: nuancë lëkure e errët
👩🏻‍🎓	diplomim, femër, nuancë lëkure e çelët, studente, studente: nuancë lëkure e çelët
👩🏼‍🎓	diplomim, femër, nuancë lëkure gjysmë e çelët, studente, studente: nuancë lëkure gjysmë e çelët
👩🏽‍🎓	diplomim, femër, nuancë lëkure zeshkane, studente, studente: nuancë lëkure zeshkane
👩🏾‍🎓	diplomim, femër, nuancë lëkure gjysmë e errët, studente, studente: nuancë lëkure gjysmë e errët
👩🏿‍🎓	diplomim, femër, nuancë lëkure e errët, studente, studente: nuancë lëkure e errët
👨🏻‍🏫	burrë, instruktor, mësues, mësues: nuancë lëkure e çelët, nuancë lëkure e çelët, profesor
👨🏼‍🏫	burrë, instruktor, mësues, mësues: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, profesor
👨🏽‍🏫	burrë, instruktor, mësues, mësues: nuancë lëkure zeshkane, nuancë lëkure zeshkane, profesor
👨🏾‍🏫	burrë, instruktor, mësues, mësues: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, profesor
👨🏿‍🏫	burrë, instruktor, mësues, mësues: nuancë lëkure e errët, nuancë lëkure e errët, profesor
👩🏻‍🏫	Instruktore, grua, mësuese, mësuese: nuancë lëkure e çelët, nuancë lëkure e çelët, profesore
👩🏼‍🏫	Instruktore, grua, mësuese, mësuese: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, profesore
👩🏽‍🏫	Instruktore, grua, mësuese, mësuese: nuancë lëkure zeshkane, nuancë lëkure zeshkane, profesore
👩🏾‍🏫	Instruktore, grua, mësuese, mësuese: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, profesore
👩🏿‍🏫	Instruktore, grua, mësuese, mësuese: nuancë lëkure e errët, nuancë lëkure e errët, profesore
👨🏻‍⚖	burrë, drejtësi, gjykatës, gjykatës: nuancë lëkure e çelët, nuancë lëkure e çelët, peshore
👨🏼‍⚖	burrë, drejtësi, gjykatës, gjykatës: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, peshore
👨🏽‍⚖	burrë, drejtësi, gjykatës, gjykatës: nuancë lëkure zeshkane, nuancë lëkure zeshkane, peshore
👨🏾‍⚖	burrë, drejtësi, gjykatës, gjykatës: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, peshore
👨🏿‍⚖	burrë, drejtësi, gjykatës, gjykatës: nuancë lëkure e errët, nuancë lëkure e errët, peshore
👩🏻‍⚖	drejtësi, gjykatëse, gjykatëse: nuancë lëkure e çelët, grua, nuancë lëkure e çelët, peshore
👩🏼‍⚖	drejtësi, gjykatëse, gjykatëse: nuancë lëkure gjysmë e çelët, grua, nuancë lëkure gjysmë e çelët, peshore
👩🏽‍⚖	drejtësi, gjykatëse, gjykatëse: nuancë lëkure zeshkane, grua, nuancë lëkure zeshkane, peshore
👩🏾‍⚖	drejtësi, gjykatëse, gjykatëse: nuancë lëkure gjysmë e errët, grua, nuancë lëkure gjysmë e errët, peshore
👩🏿‍⚖	drejtësi, gjykatëse, gjykatëse: nuancë lëkure e errët, grua, nuancë lëkure e errët, peshore
👨🏻‍🌾	bujk, bujk: nuancë lëkure e çelët, burrë, kopshtar, nuancë lëkure e çelët
👨🏼‍🌾	bujk, bujk: nuancë lëkure gjysmë e çelët, burrë, kopshtar, nuancë lëkure gjysmë e çelët
👨🏽‍🌾	bujk, bujk: nuancë lëkure zeshkane, burrë, kopshtar, nuancë lëkure zeshkane
👨🏾‍🌾	bujk, bujk: nuancë lëkure gjysmë e errët, burrë, kopshtar, nuancë lëkure gjysmë e errët
👨🏿‍🌾	bujk, bujk: nuancë lëkure e errët, burrë, kopshtar, nuancë lëkure e errët
👩🏻‍🌾	bujkeshë, bujkeshë: nuancë lëkure e çelët, grua, kopshtare, nuancë lëkure e çelët
👩🏼‍🌾	bujkeshë, bujkeshë: nuancë lëkure gjysmë e çelët, grua, kopshtare, nuancë lëkure gjysmë e çelët
👩🏽‍🌾	bujkeshë, bujkeshë: nuancë lëkure zeshkane, grua, kopshtare, nuancë lëkure zeshkane
👩🏾‍🌾	bujkeshë, bujkeshë: nuancë lëkure gjysmë e errët, grua, kopshtare, nuancë lëkure gjysmë e errët
👩🏿‍🌾	bujkeshë, bujkeshë: nuancë lëkure e errët, grua, kopshtare, nuancë lëkure e errët
👨🏻‍🍳	burrë, kuzhinier, kuzhinier: nuancë lëkure e çelët, kuzhinë, nuancë lëkure e çelët
👨🏼‍🍳	burrë, kuzhinier, kuzhinier: nuancë lëkure gjysmë e çelët, kuzhinë, nuancë lëkure gjysmë e çelët
👨🏽‍🍳	burrë, kuzhinier, kuzhinier: nuancë lëkure zeshkane, kuzhinë, nuancë lëkure zeshkane
👨🏾‍🍳	burrë, kuzhinier, kuzhinier: nuancë lëkure gjysmë e errët, kuzhinë, nuancë lëkure gjysmë e errët
👨🏿‍🍳	burrë, kuzhinier, kuzhinier: nuancë lëkure e errët, kuzhinë, nuancë lëkure e errët
👩🏻‍🍳	grua, kuzhiniere, kuzhiniere: nuancë lëkure e çelët, kuzhinë, nuancë lëkure e çelët
👩🏼‍🍳	grua, kuzhiniere, kuzhiniere: nuancë lëkure gjysmë e çelët, kuzhinë, nuancë lëkure gjysmë e çelët
👩🏽‍🍳	grua, kuzhiniere, kuzhiniere: nuancë lëkure zeshkane, kuzhinë, nuancë lëkure zeshkane
👩🏾‍🍳	grua, kuzhiniere, kuzhiniere: nuancë lëkure gjysmë e errët, kuzhinë, nuancë lëkure gjysmë e errët
👩🏿‍🍳	grua, kuzhiniere, kuzhiniere: nuancë lëkure e errët, kuzhinë, nuancë lëkure e errët
👨🏻‍🔧	burrë, elektricist, hidraulik, mekanik, mekanik: nuancë lëkure e çelët, nuancë lëkure e çelët
👨🏼‍🔧	burrë, elektricist, hidraulik, mekanik, mekanik: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
👨🏽‍🔧	burrë, elektricist, hidraulik, mekanik, mekanik: nuancë lëkure zeshkane, nuancë lëkure zeshkane
👨🏾‍🔧	burrë, elektricist, hidraulik, mekanik, mekanik: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
👨🏿‍🔧	burrë, elektricist, hidraulik, mekanik, mekanik: nuancë lëkure e errët, nuancë lëkure e errët
👩🏻‍🔧	burrë, elektriciste, hidraulike, mekanike, mekanike: nuancë lëkure e çelët, nuancë lëkure e çelët
👩🏼‍🔧	burrë, elektriciste, hidraulike, mekanike, mekanike: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
👩🏽‍🔧	burrë, elektriciste, hidraulike, mekanike, mekanike: nuancë lëkure zeshkane, nuancë lëkure zeshkane
👩🏾‍🔧	burrë, elektriciste, hidraulike, mekanike, mekanike: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
👩🏿‍🔧	burrë, elektriciste, hidraulike, mekanike, mekanike: nuancë lëkure e errët, nuancë lëkure e errët
👨🏻‍🏭	burrë, fabrikë, industri, montator, nuancë lëkure e çelët, punëtor fabrike, punëtor fabrike: nuancë lëkure e çelët
👨🏼‍🏭	burrë, fabrikë, industri, montator, nuancë lëkure gjysmë e çelët, punëtor fabrike, punëtor fabrike: nuancë lëkure gjysmë e çelët
👨🏽‍🏭	burrë, fabrikë, industri, montator, nuancë lëkure zeshkane, punëtor fabrike, punëtor fabrike: nuancë lëkure zeshkane
👨🏾‍🏭	burrë, fabrikë, industri, montator, nuancë lëkure gjysmë e errët, punëtor fabrike, punëtor fabrike: nuancë lëkure gjysmë e errët
👨🏿‍🏭	burrë, fabrikë, industri, montator, nuancë lëkure e errët, punëtor fabrike, punëtor fabrike: nuancë lëkure e errët
👩🏻‍🏭	fabrikë, grua, industri, montatore, nuancë lëkure e çelët, punëtore fabrike, punëtore fabrike: nuancë lëkure e çelët
👩🏼‍🏭	fabrikë, grua, industri, montatore, nuancë lëkure gjysmë e çelët, punëtore fabrike, punëtore fabrike: nuancë lëkure gjysmë e çelët
👩🏽‍🏭	fabrikë, grua, industri, montatore, nuancë lëkure zeshkane, punëtore fabrike, punëtore fabrike: nuancë lëkure zeshkane
👩🏾‍🏭	fabrikë, grua, industri, montatore, nuancë lëkure gjysmë e errët, punëtore fabrike, punëtore fabrike: nuancë lëkure gjysmë e errët
