‾	اوور لائن
】	بریکٹ, بند سیاہ لینز بریکٹ, لینز بریکٹ, لینٹیکیولر بریکٹ
〔	بریکٹ, شیل بریکٹ, کچھوے کے خول جیسی بریکٹ, کچھوے کے خول جیسی کھلی بریکٹ
〕	بریکٹ, شیل بریکٹ, کچھوے کے خول جیسی بریکٹ, کچھوے کے خول جیسی بند بریکٹ
〖	بریکٹ, کھلی کھوکھلی لینز بریکٹ, کھوکھلی لینز بریکٹ, کھوکھلی لینٹیکیولر بریکٹ
〗	بریکٹ, بند کھوکھلی لینز بریکٹ, کھوکھلی لینز بریکٹ, کھوکھلی لینٹیکیولر بریکٹ
§	سلکرو, سیکشن, پارٹ, پیراگراف
¶	الینیا, پِلکرو, پیراف, پیراگراف, پیراگراف کا نشان
@	اروبا, ایروبیس, ایمپرسیٹ, ایٹ علامت, ایٹ نشان, سٹروڈل, کمرشل ایٹ
*️	ایسٹرسک, ستارہ, وائلڈ کارڈ
/	اوبلیک, سلیش, سولیڈس, سٹروک, ورگیول, وہیک
\	بیک سلیش, معکوس سولیڈس, وہیک
&	ای ٹی, ایمپرسینڈ, اینڈ
#️	ایل بی, نمبر, پاؤنڈ, ہیش, ہیش علامت, ہیش ٹیگ
%	فی صد, فیصد
‰	فی ہزار
†	مخروطی پتھر کا مینار, نشان تحریف, ڈیگر, ڈیگر کا نشان
‡	دہرا, دہرا ڈیگر کی علامت, مخروطی پتھر کا مینار, نشان تحریف, ڈیگر
•	بلٹ, نقطہ
‧	اتّصال پوائنٹ, پوائنٹ, ڈیش, ہائفن
′	پرائم
″	پرائم, ڈبل پرائم
‴	ٹرپل پرائم, پرائم
‸	کیریٹ
※	حوالے کا نشان
⁂	عقدالنجوم
`	ایکسینٹ, ٹون, گریو, گریو ایکسینٹ
´	ایکسینٹ, ایکیوٹ, ایکیوٹ ایکسینٹ, ٹون
^	ایکسینٹ, سرکمفلیکس, سرکمفلیکس ایکسینٹ, شیورن, ویج, پاور, پوائنٹر, ژور علامت, کنٹرل, کیرٹ, ہَیٹ
¨	امالہ, ٹریما, ڈائیرسز
°	پروف, ڈگری, گھنٹہ
℗	آواز, آواز ریکارڈنگ کی کاپی رائٹ, ریکارڈنگ, کاپی رائٹ
←	بائيں, بائيں طرف اشارہ کرنے والا تیر, تیر
↚	بائیں طرف تیر کا سٹروک
→	تیر, دائیں طرف اشارہ کرنے والا تیر, دایاں
↛	دائیں طرف تیر کا سٹرول
↑	اوپر, اوپر کی طرف اشارہ کرنے والا تیر, تیر
↓	تیر, نیچے, نیچے کی طرف اشارہ کرنے والا تیر
↜	بائیں طرف لہراتا تیر
↝	دائیں طرف لہراتا تیر
↞	بائيں طرف دو سر والا تیر
↟	اوپر کی طرف دو سر والا تیر
↠	دائيں طرف دو سر والا تیر
↡	نیچے کی طرف دو سر والا تیر
↢	بائیں طرف تیر کا پچھلا حصہ
↣	دائیں طرف تیر کا پچھلا حصہ
↤	بار سے بائیں طرف تیر
↥	بار سے اوپر کی طرف تیر
↦	بار سے دائیں طرف تیر
↧	بار سے نیچے کی طرف تیر
↨	بیس والا اوپر نیچے کی طرف اشارہ کرتا تیر
↫	دائرہ والا بائیں طرف اشارہ کرتا تیر
↬	دائرہ والا دائیں طرف اشارہ کرتا تیر
↭	بائیں دائيں لہراتا تیر
↯	نیچے کی طرف اشارہ کرتا ٹیڑھا میڑھا تیر
↰	اوپر کی طرف تیر کا اشارہ بائیں طرف
↱	اوپر کی طرف تیر کا اشارہ دائیں طرف
↲	نیچے کی طرف تیر کا اشارہ بائيں طرف
↳	نیچے کی طرف تیر کا اشارہ دائيں طرف
↴	دائیں طرف سے تیر کا اشارہ نیچے کی طرف
↵	نیچے کی طرف سے تیر کا اشارہ بائيں طرف
↶	قوسی شکل کا اوپر سے نیم دائرہ والا تیر
↷	گھڑی وار اوپر سے نیم دائرہ والا تیر
↸	لمبے بار سے شمال مغرب کی طرف اشارہ کرتا تیر
↹	دائیں طرف اشارہ کرتا تیر بار سے بائیں طرف اشارہ کرتا تیر بار
↺	قوسی شکل کا کھلا دائرہ والا تیر
↻	گھڑی وار کھلا دائرہ والا تیر
↼	اوپر کی طرف سے بائیں طرف اشارہ کرتا ہارپون بارب
↽	نیچے کی طرف سے اوپر کی طرف اشارہ کرتا ہارپون بارب
↾	دائیں طرف سے اوپر کی طرف اشارہ کرتا ہارپون بارب
↿	بائیں طرف سے دائیں طرف اشارہ کرتا ہارپون بارب
⇀	اوپر کی طرف سے دائیں طرف اشارہ کرتا ہارپون بارب
⇁	نیچے کی طرف سے دائیں طرف اشارہ کرتا ہارپون بارب
⇂	دائیں طرف سے نیچے کی طرف اشارہ کرتا ہارپون بارب
⇃	بائیں طرف سے نیچے کی طرف اشارہ کرتا ہارپون بارب
⇄	بائيں طرف کے تیر پر دائیں طرف اشارہ کرتا ہوا تیر
⇅	اوپر, اوپر اور نیچے کی طرف اشارہ کرنے والا تیر, تیر, نیچے
⇆	بائيں, تیر, دائيں, دائیں اور بائيں طرف اشارہ کرنے والا تیر
⇇	بائيں طرف جوڑا بنائے ہوئے تیر
⇈	اوپر کی طرف جوڑا بنائے ہوئے تیر
⇉	دائيں طرف جوڑا بنائے ہوئے تیر
⇊	نیچے کی طرف جوڑا بنائے ہوئے تیر
⇋	دائیں طرف کے ہارپون پر بائيں طرف کا ہارپون
⇌	بائیں طرف کے ہارپون پر دائيں طرف کا ہارپون
⇐	بائیں طرف اشارہ کرتا ہوا ڈبل تیر
⇍	بائیں طرف اشارہ کرتا ہوا ڈبل تیر اسٹروک
⇑	اوپر کی طرف اشارہ کرتا ہوا ڈبل تیر
⇒	دائیں طرف اشارہ کرتا ہوا ڈبل تیر
⇏	دائیں طرف اشارہ کرتا ہوا ڈبل تیر اسٹروک
⇓	نیچے کی طرف اشارہ کرتا ہوا ڈبل تیر
⇔	بائيں دائیں طرف اشارہ کرتا ہوا ڈبل تیر
⇎	بائيں دائيں طرف اشارہ کرنے والا ڈبل تیر اسٹروک
⇖	شمال مغرب کی طرف اشارہ کرنے والا ڈبل تیر
⇗	شمال مشرق کی طرف اشارہ کرنے والا ڈبل تیر
⇘	جنوب مشرق کی طرف اشارہ کرنے والا ڈبل تیر
⇙	جنوب مغرب کی طرف اشارہ کرنے والا ڈبل تیر
⇚	بائيں طرف اشارہ کرنے والا تہرا تیر
⇛	دائيں طرف اشارہ کرنے والا تہرا تیر
⇜	بائيں طرف اشارہ کرنے والا ٹیڑھا میڑھا تیر
⇝	دائيں طرف اشارہ کرنے والا ٹیڑھا میڑھا تیر
⇞	ڈبل اسٹروک والا اوپر کی طرف اشارہ کرتا ہوا تیر
⇟	ڈبل اسٹروک والا نیچے کی طرف اشارہ کرتا ہوا تیر
⇠	بائيں طرف اشارہ کرتا ہوا ڈیش والا تیر
⇡	اوپر کی طرف اشارہ کرتا ہوا ڈیش والا تیر
⇢	دائیں طرف اشارہ کرتا ہوا ڈیش والا تیر
⇣	نیچے کی طرف اشارہ کرتا ہوا ڈیش والا تیر
⇤	بائیں طرف اشارہ کرنے والا تیر بار
⇥	دائیں طرف اشارہ کرنے والا تیر بار
⇦	بائيں طرف اشارہ کرنے والا کھوکھلا تیر
⇧	اوپر کی طرف اشارہ کرنے والا کھوکھلا تیر
⇨	دائيں طرف اشارہ کرنے والا کھوکھلا تیر
⇩	نیچے کی طرف اشارہ کرنے والا کھوکھلا تیر
⇪	بار سے اوپر کی طرف اشارہ کرنے والا کھوکھلا تیر
⇵	نیچے کی طرف تیر بائيں سائیڈ اوپر کی طرف اشارہ کرنے والا تیر
∀	سبھی کے لیے
∂	جزوی تفریق
∃	وہاں موجود ہے
∅	خالی سیٹ
∆	اضافہ, مثلث
∇	مثلث, نابلہ
∈	حامل, رکنیت, سیٹ, عنصر, کا عنصر
∉	کوئی عنصر نہیں
∋	بطور نمبر شامل ہے
∎	آخری ثبوت
∏	n-ary پروڈکٹ
∑	n-ary جوڑ
+	جمع, جمع کی علامت, جوڑیں
±	جمع منفی
÷	تقسیم, تقسیم کرنا, علامت تحریف, علامت تقسیم
×	ضرب, ضرب دینا, علامت ضرب, مرتبہ
<	سے کم, ٹیگ, کھلا ٹیگ
≮	سے کم نہیں
=	برابر, مساوی
≠	عدم مساوات, غیر مساوات, غیر مساوی
>	بند ٹیگ, سے بڑا, ٹیگ
≯	سے زیادہ نہیں
¬	نفی, نہیں
|	اسٹروک, اسٹک, بار, شیفر اسٹروک, عمودی بار, عمودی لائن, لائن, وی بار, پائپ, پائیک
~	ٹلڈا
−	منفی, منفی کی علامت, منہا
⁻	سپر اسکرپٹ, سپر اسکرپٹ مائنس, مائنس
∓	مائنس یا پلس
∕	تقسیم سلیش
⁄	کسر اعشاریہ سلیش
∗	آسٹرسک آپریٹر
∘	رنگ آپریٹر
∙	بولیٹ آپریٹر
√	جذرالمربع, جزر, ریڈکس, ریڈیکل, مختفی, مربع
∝	متناسب
∞	لا متناہی, لا متناہی علامت
∟	صحیح زاویہ
∠	زاویہ
∣	تقسیم کرنا
∥	مماثل
∧	منطقی اور
∩	تقاطع, سیٹ
∪	سیٹ, مجموعہ, یونین
∫	انٹیگرل
∬	ڈبل انٹیگرل
∮	کونٹور انٹیگرل
∴	چنانچہ
∵	کیوں کہ
∶	ریشیو
∷	حصہ
∼	ٹیلڈ آپریٹر
∽	معکوس ٹیلڈ
∾	الٹایا ہوا لیزی s
≃	متقاربی انداز سے برابر
≅	تقریبا برابر
≈	تخمینہ, تقریباً, تقریباً مساوی
≌	سب برابر
≒	تقریبا مساوی تصویر
≖	مساوات میں رنگ
≡	تہرا, مماثل, مماثل ہے, ہو بہو
≣	مکمل طور پر مساوی
≤	برابر, سے کم, سے کم یا مساوی, عدم مساوات, مساوی
≥	برابر, سے بڑا, سے بڑا یا مساوی, عدم مساوات, مساوی
≦	مساوی سے کم
≧	مساوی سے زیادہ
≪	سے بہت کم
≫	سے بہت زیادہ
≬	درمیان
≳	ہم قدر سے زیادہ
≺	پیش روی
≻	کامیابی
⊁	کامیاب نہیں ہوتا ہے
⊂	ذیلی سیٹ, سیٹ, کا ذیلی سیٹ
⊃	سپرسیٹ
⊆	سب سیٹ کے برابر
⊇	سپر سیٹ کے برابر
⊕	سرکل کردہ پلس
⊖	سرکل کردہ مائنس
⊗	سرکل کے اوقات
⊘	سرکل کردہ تقسیمی سلیش
⊙	سرکل کردہ ڈاٹ آپریٹر
⊚	سرکل کردہ رنگ آپریٹر
⊛	سرکل کردہ آسٹیرسک آپریٹر
⊞	چوکور پلس
⊟	چوکور مائنس
⊥	اپ ٹیک
⊮	مجبور نہیں کرتا
⊰	تعلقات میں مقدم ہونا
⊱	تعلقات میں کامیابی
⋭	عام ذیلی گروہ کی برابری کے طور پر شامل نہیں ہے
⊶	اصل
⊹	ہر میٹیئن کنجوگیٹ میٹرکس
⊿	دائیں مثلث
⋁	n-ary لاجیکل یا
⋂	n-ary مقام انقطاع
⋃	n-ary یونین
⋅	ڈاٹ آپریٹر
⋆	ستارہ آپریٹر
⋈	قدرتی شمولیت
⋒	ڈبل مقام انقطاع
⋘	کے بنسبت بہت زیادہ کم
⋙	کے بنسبت بہت زیادہ
⋮	عمودی بیضوی
⋯	درمیانی افقی بیضوی
⋰	اوپر دائيں طرف اشارہ کرنے والا وتری بیضوی
⋱	نیچے دایاں ڈائگونل بیضوی
■	بھرا ہوا مربع
□	کھوکھلا مربع
▢	گول کونے والا کھوکھلا مربع
▣	بھرے ہوئے مربع پر مشتمل کھوکھلا مربع
▤	افقی بھراؤ والا مربع
▥	عمودی بھراؤ والا مربع
▦	آرتھوگنل کراؤس ہیچ بھراؤ والا مربع
▧	اوپر بائيں نیچے دائيں بھراؤ والا مربع
▨	اوپر دائيں نیچے بائيں بھراؤ والا مربع
▩	وتری کراؤس ہیچ بھراؤ والا مربع
▬	بھرا ہوا مستطیل
▭	کھوکھلا مستطیل
▮	بھرا ہوا عمودی مستطیل
▰	بھرا ہوا متوازی الاضلاع
▲	اوپر, اوپر کی طرف اشارہ کرتا ہوا بھرا ہوا مثلث, بھرا ہوا, تیر, مثلث
△	کھوکھلا اوپر کی طرف اشارہ کرنے والا مثلث
▴	بھرا ہوا اوپر کی طرف اشارہ کرنے والا چھوٹا مثلث
▵	کھوکھلا اوپر کی طرف اشارہ کرنے والا چھوٹا مثلث
▷	کھوکھلا دائيں طرف اشارہ کرنے والا مثلث
▸	بھرا ہوا دائيں طرف اشارہ کرنے والا چھوٹا مثلث
▹	کھوکھلا دائيں طرف اشارہ کرنے والا چھوٹا مثلث
►	بھرا ہوا دائيں طرف اشارہ کرنے والا پوائنٹر
▻	کھوکھلا دائيں طرف اشارہ کرنے والا پوائنٹر
▼	بھرا ہوا, تیر, مثلث, نیچے, نیچے کی طرف اشارہ کرتا ہوا بھرا ہوا مثلث
▽	کھوکھلا نیچے کی طرف اشارہ کرنے والا مثلث
▾	بھرا ہوا نیچے کی طرف اشارہ کرنے والا چھوٹا مثلث
▿	کھوکھلا نیچے کی طرف اشارہ کرنے والا چھوٹا مثلث
◁	کھوکھلا بائيں طرف اشارہ کرنے والا مثلث
◂	بھرا ہوا بائيں طرف اشارہ کرنے والا چھوٹا مثلث
◃	کھوکھلا بائيں طرف اشارہ کرنے والا چھوٹا مثلث
◄	بھرا ہوا بائيں طرف اشارہ کرنے والا پوائنٹر
◅	کھوکھلا بائيں طرف اشارہ کرنے والا پوائنٹر
◆	بھرا ہوا ڈائمنڈ
◇	کھوکھلا ڈائمنڈ
◈	کھوکھلا ڈائمنڈ میں شامل بھرا ہوا ڈائمنڈ
◉	کھوکھلا دائرہ میں شامل بھرا ہوا دائرہ
◊	رومبس, شکل معین, ڈائمنڈ
○	خالی سرکل, رنگ, سرکل
◌	ڈاٹ سے بنایا گيا دائرہ
◍	عمودی بھراؤ سے بنایا گيا دائرہ
◎	ہم مرکز دائرے
●	بھرا ہوا سرکل, سرکل
◐	دائرہ کا بایاں نصف بھرا ہوا
◑	دائرہ کا دایاں نصف بھرا ہوا
◒	دائرہ کے نیچے کا نصف بھرا ہوا
◓	دائرہ کے اوپر کا نصف بھرا ہوا
◔	دائرہ کے اوپر کا دایاں ربع دائرہ بھرا ہوا
◕	اوپر کے بائيں بھرے ہوئے ربع دائرہ کو چھوڑ کر سبھی کو سرکل کریں
◖	بایاں نصف بھرا ہوا دائرہ
◗	دایاں نصف بھرا ہوا دائرہ
◘	الٹی گولی
◙	بھرے ہوئے چوکور میں شامل کھوکھلا دائرہ
◜	اوپر کا بایاں ربع دائرہ arc
◝	اوپر کا دایاں ربع دائرہ arc
◞	نیچے کا دایاں ربع دائرہ arc
◟	نیچے کا بایاں ربع دائرہ arc
◠	اوپر کا نصف دائرہ
◡	نیچے کا نصف دائرہ
◢	بھرا ہوا نیچے کا دایاں مثلث
◣	بھرا ہوا نیچے کا بایاں مثلث
◤	بھرا ہوا اوپر کا بایاں مثلث
◥	بھرا ہوا اوپر کا دایاں مثلث
◦	کھوکھلا بولیٹ
◯	بڑا خالی سرکل, رنگ, سرکل
◳	کھوکھلا چوکور اوپر کا دایاں ربع دائرہ
◷	اوپر کا دایاں ربع دائرہ والا کھوکھلا سرکل
◿	نیچے کا دایاں مثلث
♪	آٹھواں, آٹھواں نوٹ, موسیقی, نوٹ
⨧	پلس سبسکرپٹ دو
⨯	ویکٹر کراس پروڈکٹ
⨼	داخلی پروڈکٹ
⩣	لاجیکل یا ڈبل اندربار
⩽	یکطرفہ مساوات کے بنسبت کم
⪍	مذکورہ ملتے جلتے مساوات سے کم
⪚	برابری سے زیادہ ڈبل لائن
⪺	مذکورہ کامیابی تقریبا برابری کی نہیں ہے
♭	بیمولے, موسیقی, نوٹ, ہموار
♯	جیز, شارپ, موسیقی, نوٹ, ڈائیسز
😀	منہ, چہرہ, کھل کے ہنستا چہرہ, کھلا, ہنسی
😃	بڑی آنکھوں والا کھلے منہ والا مسکراتا چہرہ, مسکراہٹ, منہ, چہرہ
😄	آنکھ, مسکراہٹ, منہ, چہرہ, کھلے منہ اور مسکراتی آنکھوں والا مسکراتا چہرہ
😁	آنکھ, مسکراتی آنکھیں لیے ہنستا چہرہ, مسکراہٹ, منہ, چہرہ, کھلا, ہنسنا
😆	مسکراہٹ, مطمئن, منہ, چہرہ, کھلے منہ اور سختی سے بند آنکھوں والا مسکراتا چہرہ, ہنسی
😅	مسکراہٹ, ٹھنڈ, پسینہ, چہرہ, کھلے منہ اور ٹھنڈے پسینے والا مسکراتا چہرہ
🤣	لوٹ پوٹ, چہرہ, ہنستے ہنستے لوٹ پوٹ ہونا, ہنسی
😂	آنسو, خوشی, خوشی کے آنسوؤں والا چہرہ, چہرہ, ہنسی
🙂	مدھم مسکراہٹ والا چہرہ, مسکراہٹ, چہرہ
🙃	الٹآ, الٹا چہرہ, چہرہ
🫠	تحلیل ہونا, غائب ہونا, مائع, پگھلتا چہرہ, پگھلنا
😉	آنکھ جھپکنا, آنکھ مارتا چہرہ, چہرہ
😊	آنکھ, مسکراتی آنکھوں والا مسکراتا چہرہ, مسکراہٹ, چہرہ
😇	افسانوی, فرشتہ, مسکراہٹ, معصوم, چہرہ, ہالہ لیے مسکراتا چہرہ
🥰	دل, دلوں کے ساتھ مسکراتا چہرہ, محبت, پسند کرنا, پیار میں
😍	آنکھ, دل, دل کی شکل کی آنکھوں والا مسکراتا چہرہ, پیار, چہرہ
🤩	آنکھیں, تارہ, ستارہ زدہ, مسکراتا, چہرہ
😘	بوسہ, بوسہ اچھالتا چہرہ, دل, چہرہ
😗	بوسہ, بوسہ لیتا چہرہ, چہرہ
☺️	مسکراتا چہرہ, مسکراہٹ, پر سکون, چہرہ
😚	آنکھ, بند, بند آنکھوں کے ساتھ بوسہ لیتا چہرہ, بوسہ, چہرہ
😙	آنکھ, بوسہ, مسکراتی آنکھوں کے ساتھ بوسہ لیتا چہرہ, مسکراہٹ, چہرہ
🥲	آنسو, آنسو کے ساتھ مسکراتا چہرہ, جذباتی, فاخر, مسکراتا ہوا, مطمئیں, ممنوں
😋	مزیدار, مزیدار کھانے کا ذائقہ دینے والا چہرہ, مسکراہٹ, چہرہ
😛	زبان, زبان نکالے چہرہ, چہرہ
😜	آنکھ, زبان, زبان نکالے اور آنکھ مارتا چہرہ, مزاق, چہرہ
🤪	آنکھ, بڑی, پاگل پن والا چہرہ, چھوٹی
😝	آنکھ, خوفناک, زبان, زبان نکالے اور سختی سے بند آنکھوں والا چہرہ, چہرہ
🤑	منہ, چہرہ, ڈالر, ڈالر کی زبان والا چہرہ
🤗	چہرہ, گلے ملتا چہرہ, گلے ملنا
🤭	افوہ, منہ پر ہاتھ رکھا ہوا چہرہ
🫢	حیرت, خوف, شرمندہ, عدم یقین, ڈرا ہوا, کھلی آنکھیں اور منہ پر ہاتھ رکھے ہوئے چہرہ
🫣	جھانکتی آنکھ والا چہرہ, جھانکنا, مسحور, گھورنا
🤫	خاموش, خاموش رہنے کا اشارہ کرنے والہ چہرہ, چپ
🤔	سوچتا چہرہ, سوچنا, چہرہ
🫡	افواج, جی ہاں, دھوپ, سلام, سلام کرتا ہوا چہرہ, ٹھیک ہے
🤐	سلا ہوا, منہ, منہ سیے ہوئے چہرہ, چہرہ
🤨	اٹھی ہوئی بھویں والا چہرہ, بد اعتمادی, شکی
😐️	غیر جانبدار, غیر جانبدار چہرہ, چہرہ
😑	اظہار سے عاری چہرہ, بغیر تاثر, چہرہ
😶	بغیر منہ والا چہرہ, خاموشی, منہ, چہرہ
🫥	افسردہ, شرمیلا, غائب, نقطے دار لائن والا چہرہ, پوشیدہ, چھپنا
😶‍🌫	بادلوں میں چہرہ
😏	طنزیہ, طنزیہ مسکراہٹ والا چہرہ, چہرہ
😒	اداس چہرہ, نا خوش, چہرہ
🙄	آنکھیں, چہرہ, گھومتی آنکھوں والا چہرہ, گھومنا
😬	مضحکہ خیز چہرہ, ناگواریت, چہرہ
😮‍💨	سانس چھوڑنے والا چہرہ
🤥	جھوٹ, جھوٹ بولتا چہرہ, چہرہ
😌	پُر سکون, پُر سکون چہرہ, چہرہ
😔	سوچ میں ڈوبا چہرہ, غمزدہ, چہرہ
😪	خوابیدہ چہرہ, غنودگی, چہرہ
🤤	رال ٹپکاتا چہرہ, رال ٹپکنا, چہرہ
😴	سوتا ہوا چہرہ, سونا, چہرہ
😷	طبی ماسک والا چہرہ, ماسک, ٹھنڈ, چہرہ, ڈاکٹر
🤒	بیمار, تھرمامیٹر, تھرمامیٹر لیے چہرہ, چہرہ
🤕	زخم, سر پر پٹی باندھے چہرہ, پٹی, چہرہ
🤢	متلی, متلی کی کیفیت والا چہرہ, چہرہ
🤮	بیمار, قے, قے کرتا چہرہ
🤧	بیماری, چھینک, چھینکیں مارتا چہرہ, چہرہ
🥵	بُخار زَدہ, حرارت زدگی, سرخ چہرہ, پسینے سے شرابور, گرم
🥶	برف کے قلمیں, بہت زیادہ سرد, سرد چہرہ, سردی سے ماؤف, نیلگوں چہرہ, ٹھنڈا
🥴	اُلجھن کا شکار شہرہ, مخمُور, مدہوش, ناہموار منہ, ٹیڑھی میڑھی آنکھیں, چکرایا ہُوا
😵	چکر, چکراتا چہرہ, چہرہ
😵‍💫	مرغولہ آنکھوں والا چہرہ
🤯	حیران, سر پھٹنا
🤠	چہرہ, کاؤ بوائے, کاؤ بوائے ہیٹ کے ساتھ چہرہ, ہیٹ
🥳	باجا, جشن, ٹوپی, پارٹی, پارٹی سے لطف اندوز ہوتا چہرہ
🥸	بہروپ, بہروپ چہرہ, خفیہ, ناک, چشمہ, چہرہ
😎	آنکھ, دھوپ, دھوپ کا چشمہ لگائے مسکراتا چہرہ, سورج, مسکراہٹ, چشمہ, چمکیلا
🤓	بیوقوفانہ, بیوقوفانہ چہرہ, چہرہ
🧐	ایک چشمہ پہنا ہوا چہرہ, بند ناک والا چہرہ
😕	الجھن زدہ چہرہ, چہرہ, کنفیوز
🫤	بیکار, بے یقین, ترچھے منہ والا چہرہ, مایوس, متشکک
😟	پریشان, پریشان چہرہ, چہرہ
🙁	تیوری, چہرہ, ہلکا سا تیوری زدہ چہرہ
☹️	تیوری, تیوری زدہ چہرہ, چہرہ
😮	منہ, چہرہ, کھلا ہوا, کھلے منہ والا چہرہ
😯	حیرت, شدید حیرت زدہ چہرہ, چہرہ
😲	تکلیف, حیرت, حیرت زدہ چہرہ, چہرہ
😳	سرخ, شرمندگی, شرمندگی سے سرخ چہرہ, چہرہ
🥺	التجا کرنا, رحم, طفلانہ آنکھیں, ملتجی چہرہ
🥹	آنسو روکے ہوئے چہرہ, اداس, رونا, غصیلا, فخر, مزاحمت
😦	تیوری, منہ, منہ کھولے تیوری چڑھاتا چہرہ, چہرہ, کھلا ہوا
😧	تکلیف, تکلیف زدہ چہرہ, چہرہ
😨	خوف, خوفزدہ چہرہ, چہرہ
😰	منہ, نیلا, ٹھنڈا, پسینہ, کھلے منہ اور ٹھنڈے پسینے والا چہرہ
😥	مایوس, مایوس لیکن پر سکون چہرہ, پر سکون, چہرہ
😢	آنسو, روتا ہوا چہرہ, رونا, چہرہ
😭	آنسو, رونا, زار و قطار روتا چہرہ, چہرہ
😱	خوف, خوف سے چلاتا چہرہ, چہرہ, چیخ
😖	انتہائی کنفیوز, بے ترتیب چہرہ, چہرہ
😣	پُرعزم چہرہ, پُرعظم, چہرہ
😞	مایوس, مایوس چہرہ, چہرہ
😓	ٹھنڈ, ٹھنڈے پسینے والا چہرہ, پسینہ, چہرہ
😩	اکتایا ہوا چہرہ, تھکاوٹ, چہرہ
😫	تھکا ہوا چہرہ, تھکان, چہرہ
🥱	بوریت کا شکار, تھکا ماندہ, جمائی, جمائی لیتا چہرہ
😤	فتح, ناک سے دھواں نکالتا چہرہ, چہرہ
😡	نا خوش, نا شاد چہرہ, چہرہ
😠	غصہ, غصے والا چہرہ, چہرہ
🤬	منہ پر علامات والا چہرہ, گالیاں دینا
😈	شیطانی مسکراہٹ, شیطانی مسکراہٹ والا چہرہ, چہرہ
👿	شرارتی, شریر شیطان, شیطان, چہرہ
