🦵🏻	končetina, kopanec, kopnutí, noha, noha: světlý odstín pleti, světlý odstín pleti
🦹🏾‍♂	muž, padouch, středně tmavý odstín pleti, superpadouch, superpadouch: středně tmavý odstín pleti, superschopnost, superzločinec, záporná postava
🦹🏿‍♂	muž, padouch, superpadouch, superpadouch: tmavý odstín pleti, superschopnost, superzločinec, tmavý odstín pleti, záporná postava
👶🏻	batole, kojenec, malé dítě, nemluvně, nemluvně: světlý odstín pleti, světlý odstín pleti
👶🏼	batole, kojenec, malé dítě, nemluvně, nemluvně: středně světlý odstín pleti, středně světlý odstín pleti
👶🏽	batole, kojenec, malé dítě, nemluvně, nemluvně: střední odstín pleti, střední odstín pleti
👶🏾	batole, kojenec, malé dítě, nemluvně, nemluvně: středně tmavý odstín pleti, středně tmavý odstín pleti
👶🏿	batole, kojenec, malé dítě, nemluvně, nemluvně: tmavý odstín pleti, tmavý odstín pleti
🧒🏻	dítě, dítě: světlý odstín pleti, malé, neutrální, světlý odstín pleti
🧒🏼	dítě, dítě: středně světlý odstín pleti, malé, neutrální, středně světlý odstín pleti
🧒🏽	dítě, dítě: střední odstín pleti, malé, neutrální, střední odstín pleti
🧒🏾	dítě, dítě: středně tmavý odstín pleti, malé, neutrální, středně tmavý odstín pleti
🧒🏿	dítě, dítě: tmavý odstín pleti, malé, neutrální, tmavý odstín pleti
👦🏻	chlapec, chlapec: světlý odstín pleti, hoch, kluk, světlý odstín pleti
👦🏼	chlapec, chlapec: středně světlý odstín pleti, hoch, kluk, středně světlý odstín pleti
👦🏽	chlapec, chlapec: střední odstín pleti, hoch, kluk, střední odstín pleti
👦🏾	chlapec, chlapec: středně tmavý odstín pleti, hoch, kluk, středně tmavý odstín pleti
👦🏿	chlapec, chlapec: tmavý odstín pleti, hoch, kluk, tmavý odstín pleti
👧🏻	dívka, dívka: světlý odstín pleti, děvče, holka, panna, světlý odstín pleti, zvěrokruh
👧🏼	dívka, dívka: středně světlý odstín pleti, děvče, holka, panna, středně světlý odstín pleti, zvěrokruh
👧🏽	dívka, dívka: střední odstín pleti, děvče, holka, panna, střední odstín pleti, zvěrokruh
👧🏾	dívka, dívka: středně tmavý odstín pleti, děvče, holka, panna, středně tmavý odstín pleti, zvěrokruh
👧🏿	dívka, dívka: tmavý odstín pleti, děvče, holka, panna, tmavý odstín pleti, zvěrokruh
🧑🏻	dospělák, dospělý člověk, dospělý člověk: světlý odstín pleti, neutrální, osoba, světlý odstín pleti, člověk
🧑🏼	dospělák, dospělý člověk, dospělý člověk: středně světlý odstín pleti, neutrální, osoba, středně světlý odstín pleti, člověk
🧑🏽	dospělák, dospělý člověk, dospělý člověk: střední odstín pleti, neutrální, osoba, střední odstín pleti, člověk
🧑🏾	dospělák, dospělý člověk, dospělý člověk: středně tmavý odstín pleti, neutrální, osoba, středně tmavý odstín pleti, člověk
🧑🏿	dospělák, dospělý člověk, dospělý člověk: tmavý odstín pleti, neutrální, osoba, tmavý odstín pleti, člověk
👨🏻	muž, muž: světlý odstín pleti, světlý odstín pleti
👨🏼	muž, muž: středně světlý odstín pleti, středně světlý odstín pleti
👨🏽	muž, muž: střední odstín pleti, střední odstín pleti
👨🏾	muž, muž: středně tmavý odstín pleti, středně tmavý odstín pleti
👨🏿	muž, muž: tmavý odstín pleti, tmavý odstín pleti
👨‍🦰	muž, muž: zrzavé vlasy, zrzavé vlasy
👨🏻‍🦰	muž, muž: světlý odstín pleti, zrzavé vlasy, světlý odstín pleti, zrzavé vlasy
👨🏼‍🦰	muž, muž: středně světlý odstín pleti, zrzavé vlasy, středně světlý odstín pleti, zrzavé vlasy
👨🏽‍🦰	muž, muž: střední odstín pleti, zrzavé vlasy, střední odstín pleti, zrzavé vlasy
👨🏾‍🦰	muž, muž: středně tmavý odstín pleti, zrzavé vlasy, středně tmavý odstín pleti, zrzavé vlasy
👨🏿‍🦰	muž, muž: tmavý odstín pleti, zrzavé vlasy, tmavý odstín pleti, zrzavé vlasy
👨‍🦱	kudrnaté vlasy, muž, muž: kudrnaté vlasy
👨🏻‍🦱	kudrnaté vlasy, muž, muž: světlý odstín pleti, kudrnaté vlasy, světlý odstín pleti
👨🏼‍🦱	kudrnaté vlasy, muž, muž: středně světlý odstín pleti, kudrnaté vlasy, středně světlý odstín pleti
👨🏽‍🦱	kudrnaté vlasy, muž, muž: střední odstín pleti, kudrnaté vlasy, střední odstín pleti
👨🏾‍🦱	kudrnaté vlasy, muž, muž: středně tmavý odstín pleti, kudrnaté vlasy, středně tmavý odstín pleti
👨🏿‍🦱	kudrnaté vlasy, muž, muž: tmavý odstín pleti, kudrnaté vlasy, tmavý odstín pleti
👨‍🦲	bez vlasů, muž, muž: bez vlasů
👨🏻‍🦲	bez vlasů, muž, muž: světlý odstín pleti, bez vlasů, světlý odstín pleti
👨🏼‍🦲	bez vlasů, muž, muž: středně světlý odstín pleti, bez vlasů, středně světlý odstín pleti
👨🏽‍🦲	bez vlasů, muž, muž: střední odstín pleti, bez vlasů, střední odstín pleti
👨🏾‍🦲	bez vlasů, muž, muž: středně tmavý odstín pleti, bez vlasů, středně tmavý odstín pleti
👨🏿‍🦲	bez vlasů, muž, muž: tmavý odstín pleti, bez vlasů, tmavý odstín pleti
👨‍🦳	bílé vlasy, muž, muž: bílé vlasy
👨🏻‍🦳	bílé vlasy, muž, muž: světlý odstín pleti, bílé vlasy, světlý odstín pleti
👨🏼‍🦳	bílé vlasy, muž, muž: středně světlý odstín pleti, bílé vlasy, středně světlý odstín pleti
👨🏽‍🦳	bílé vlasy, muž, muž: střední odstín pleti, bílé vlasy, střední odstín pleti
👨🏾‍🦳	bílé vlasy, muž, muž: středně tmavý odstín pleti, bílé vlasy, středně tmavý odstín pleti
👨🏿‍🦳	bílé vlasy, muž, muž: tmavý odstín pleti, bílé vlasy, tmavý odstín pleti
👩🏻	světlý odstín pleti, žena, žena: světlý odstín pleti
👩🏼	středně světlý odstín pleti, žena, žena: středně světlý odstín pleti
👩🏽	střední odstín pleti, žena, žena: střední odstín pleti
👩🏾	středně tmavý odstín pleti, žena, žena: středně tmavý odstín pleti
👩🏿	tmavý odstín pleti, žena, žena: tmavý odstín pleti
👩‍🦰	zrzavé vlasy, žena, žena: zrzavé vlasy
👩🏻‍🦰	světlý odstín pleti, zrzavé vlasy, žena, žena: světlý odstín pleti, zrzavé vlasy
👩🏼‍🦰	středně světlý odstín pleti, zrzavé vlasy, žena, žena: středně světlý odstín pleti, zrzavé vlasy
👩🏽‍🦰	střední odstín pleti, zrzavé vlasy, žena, žena: střední odstín pleti, zrzavé vlasy
👩🏾‍🦰	středně tmavý odstín pleti, zrzavé vlasy, žena, žena: středně tmavý odstín pleti, zrzavé vlasy
👩🏿‍🦰	tmavý odstín pleti, zrzavé vlasy, žena, žena: tmavý odstín pleti, zrzavé vlasy
👩‍🦱	kudrnaté vlasy, žena, žena: kudrnaté vlasy
👩🏻‍🦱	kudrnaté vlasy, světlý odstín pleti, žena, žena: světlý odstín pleti, kudrnaté vlasy
👩🏼‍🦱	kudrnaté vlasy, středně světlý odstín pleti, žena, žena: středně světlý odstín pleti, kudrnaté vlasy
👩🏽‍🦱	kudrnaté vlasy, střední odstín pleti, žena, žena: střední odstín pleti, kudrnaté vlasy
👩🏾‍🦱	kudrnaté vlasy, středně tmavý odstín pleti, žena, žena: středně tmavý odstín pleti, kudrnaté vlasy
👩🏿‍🦱	kudrnaté vlasy, tmavý odstín pleti, žena, žena: tmavý odstín pleti, kudrnaté vlasy
👩‍🦲	bez vlasů, žena, žena: bez vlasů
👩🏻‍🦲	bez vlasů, světlý odstín pleti, žena, žena: světlý odstín pleti, bez vlasů
👩🏼‍🦲	bez vlasů, středně světlý odstín pleti, žena, žena: středně světlý odstín pleti, bez vlasů
👩🏽‍🦲	bez vlasů, střední odstín pleti, žena, žena: střední odstín pleti, bez vlasů
👩🏾‍🦲	bez vlasů, středně tmavý odstín pleti, žena, žena: středně tmavý odstín pleti, bez vlasů
👩🏿‍🦲	bez vlasů, tmavý odstín pleti, žena, žena: tmavý odstín pleti, bez vlasů
👩‍🦳	bílé vlasy, žena, žena: bílé vlasy
👩🏻‍🦳	bílé vlasy, světlý odstín pleti, žena, žena: světlý odstín pleti, bílé vlasy
👩🏼‍🦳	bílé vlasy, středně světlý odstín pleti, žena, žena: středně světlý odstín pleti, bílé vlasy
👩🏽‍🦳	bílé vlasy, střední odstín pleti, žena, žena: střední odstín pleti, bílé vlasy
👩🏾‍🦳	bílé vlasy, středně tmavý odstín pleti, žena, žena: středně tmavý odstín pleti, bílé vlasy
👩🏿‍🦳	bílé vlasy, tmavý odstín pleti, žena, žena: tmavý odstín pleti, bílé vlasy
🧓🏻	neutrální, osoba, stará, starý, starší dospělý člověk, starší dospělý člověk: světlý odstín pleti, světlý odstín pleti, člověk
🧓🏼	neutrální, osoba, stará, starý, starší dospělý člověk, starší dospělý člověk: středně světlý odstín pleti, středně světlý odstín pleti, člověk
🧓🏽	neutrální, osoba, stará, starý, starší dospělý člověk, starší dospělý člověk: střední odstín pleti, střední odstín pleti, člověk
🧓🏾	neutrální, osoba, stará, starý, starší dospělý člověk, starší dospělý člověk: středně tmavý odstín pleti, středně tmavý odstín pleti, člověk
🧓🏿	neutrální, osoba, stará, starý, starší dospělý člověk, starší dospělý člověk: tmavý odstín pleti, tmavý odstín pleti, člověk
👴🏻	muž, pán, senior, starý, starý muž: světlý odstín pleti, stařec, světlý odstín pleti
👴🏼	muž, pán, senior, starý, starý muž: středně světlý odstín pleti, stařec, středně světlý odstín pleti
👴🏽	muž, pán, senior, starý, starý muž: střední odstín pleti, stařec, střední odstín pleti
👴🏾	muž, pán, senior, starý, starý muž: středně tmavý odstín pleti, stařec, středně tmavý odstín pleti
👴🏿	muž, pán, senior, starý, starý muž: tmavý odstín pleti, stařec, tmavý odstín pleti
👵🏻	paní, seniorka, stará, stará žena: světlý odstín pleti, starý, stařena, světlý odstín pleti, žena
👵🏼	paní, seniorka, stará, stará žena: středně světlý odstín pleti, starý, stařena, středně světlý odstín pleti, žena
👵🏽	paní, seniorka, stará, stará žena: střední odstín pleti, starý, stařena, střední odstín pleti, žena
👵🏾	paní, seniorka, stará, stará žena: středně tmavý odstín pleti, starý, stařena, středně tmavý odstín pleti, žena
👵🏿	paní, seniorka, stará, stará žena: tmavý odstín pleti, starý, stařena, tmavý odstín pleti, žena
👨🏻‍⚕	doktor, nemocnice, světlý odstín pleti, terapeut, zdravotník, zdravotník: světlý odstín pleti
👨🏼‍⚕	doktor, nemocnice, středně světlý odstín pleti, terapeut, zdravotník, zdravotník: středně světlý odstín pleti
👨🏽‍⚕	doktor, nemocnice, střední odstín pleti, terapeut, zdravotník, zdravotník: střední odstín pleti
👨🏾‍⚕	doktor, nemocnice, středně tmavý odstín pleti, terapeut, zdravotník, zdravotník: středně tmavý odstín pleti
👨🏿‍⚕	doktor, nemocnice, terapeut, tmavý odstín pleti, zdravotník, zdravotník: tmavý odstín pleti
👩🏻‍⚕	doktorka, nemocnice, sestřička, světlý odstín pleti, terapeutka, zdravotnice, zdravotnice: světlý odstín pleti
👩🏼‍⚕	doktorka, nemocnice, sestřička, středně světlý odstín pleti, terapeutka, zdravotnice, zdravotnice: středně světlý odstín pleti
👩🏽‍⚕	doktorka, nemocnice, sestřička, střední odstín pleti, terapeutka, zdravotnice, zdravotnice: střední odstín pleti
👩🏾‍⚕	doktorka, nemocnice, sestřička, středně tmavý odstín pleti, terapeutka, zdravotnice, zdravotnice: středně tmavý odstín pleti
👩🏿‍⚕	doktorka, nemocnice, sestřička, terapeutka, tmavý odstín pleti, zdravotnice, zdravotnice: tmavý odstín pleti
👨🏻‍🎓	absolvent, muž, student, student: světlý odstín pleti, světlý odstín pleti
👨🏼‍🎓	absolvent, muž, student, student: středně světlý odstín pleti, středně světlý odstín pleti
👨🏽‍🎓	absolvent, muž, student, student: střední odstín pleti, střední odstín pleti
👨🏾‍🎓	absolvent, muž, student, student: středně tmavý odstín pleti, středně tmavý odstín pleti
👨🏿‍🎓	absolvent, muž, student, student: tmavý odstín pleti, tmavý odstín pleti
👩🏻‍🎓	absolventka, studentka, studentka: světlý odstín pleti, světlý odstín pleti, žena
👩🏼‍🎓	absolventka, studentka, studentka: středně světlý odstín pleti, středně světlý odstín pleti, žena
👩🏽‍🎓	absolventka, studentka, studentka: střední odstín pleti, střední odstín pleti, žena
👩🏾‍🎓	absolventka, studentka, studentka: středně tmavý odstín pleti, středně tmavý odstín pleti, žena
👩🏿‍🎓	absolventka, studentka, studentka: tmavý odstín pleti, tmavý odstín pleti, žena
👨🏻‍🏫	instruktor, muž, profesor, světlý odstín pleti, učitel, učitel: světlý odstín pleti
👨🏼‍🏫	instruktor, muž, profesor, středně světlý odstín pleti, učitel, učitel: středně světlý odstín pleti
👨🏽‍🏫	instruktor, muž, profesor, střední odstín pleti, učitel, učitel: střední odstín pleti
👨🏾‍🏫	instruktor, muž, profesor, středně tmavý odstín pleti, učitel, učitel: středně tmavý odstín pleti
👨🏿‍🏫	instruktor, muž, profesor, tmavý odstín pleti, učitel, učitel: tmavý odstín pleti
👩🏻‍🏫	instruktorka, profesorka, světlý odstín pleti, učitelka, učitelka: světlý odstín pleti, žena
👩🏼‍🏫	instruktorka, profesorka, středně světlý odstín pleti, učitelka, učitelka: středně světlý odstín pleti, žena
👩🏽‍🏫	instruktorka, profesorka, střední odstín pleti, učitelka, učitelka: střední odstín pleti, žena
👩🏾‍🏫	instruktorka, profesorka, středně tmavý odstín pleti, učitelka, učitelka: středně tmavý odstín pleti, žena
👩🏿‍🏫	instruktorka, profesorka, tmavý odstín pleti, učitelka, učitelka: tmavý odstín pleti, žena
👨🏻‍⚖	muž, právo, soudce, soudce: světlý odstín pleti, spravedlnost, světlý odstín pleti, váhy
👨🏼‍⚖	muž, právo, soudce, soudce: středně světlý odstín pleti, spravedlnost, středně světlý odstín pleti, váhy
👨🏽‍⚖	muž, právo, soudce, soudce: střední odstín pleti, spravedlnost, střední odstín pleti, váhy
👨🏾‍⚖	muž, právo, soudce, soudce: středně tmavý odstín pleti, spravedlnost, středně tmavý odstín pleti, váhy
👨🏿‍⚖	muž, právo, soudce, soudce: tmavý odstín pleti, spravedlnost, tmavý odstín pleti, váhy
👩🏻‍⚖	právo, soudkyně, soudkyně: světlý odstín pleti, spravedlnost, světlý odstín pleti, váhy, žena
👩🏼‍⚖	právo, soudkyně, soudkyně: středně světlý odstín pleti, spravedlnost, středně světlý odstín pleti, váhy, žena
👩🏽‍⚖	právo, soudkyně, soudkyně: střední odstín pleti, spravedlnost, střední odstín pleti, váhy, žena
👩🏾‍⚖	právo, soudkyně, soudkyně: středně tmavý odstín pleti, spravedlnost, středně tmavý odstín pleti, váhy, žena
👩🏿‍⚖	právo, soudkyně, soudkyně: tmavý odstín pleti, spravedlnost, tmavý odstín pleti, váhy, žena
👨🏻‍🌾	farmář, farmář: světlý odstín pleti, muž, sedlák, světlý odstín pleti, zahradník, zemědělec
👨🏼‍🌾	farmář, farmář: středně světlý odstín pleti, muž, sedlák, středně světlý odstín pleti, zahradník, zemědělec
👨🏽‍🌾	farmář, farmář: střední odstín pleti, muž, sedlák, střední odstín pleti, zahradník, zemědělec
👨🏾‍🌾	farmář, farmář: středně tmavý odstín pleti, muž, sedlák, středně tmavý odstín pleti, zahradník, zemědělec
👨🏿‍🌾	farmář, farmář: tmavý odstín pleti, muž, sedlák, tmavý odstín pleti, zahradník, zemědělec
👩🏻‍🌾	farmářka, farmářka: světlý odstín pleti, selka, světlý odstín pleti, zahradnice, zemědělkyně, žena
👩🏼‍🌾	farmářka, farmářka: středně světlý odstín pleti, selka, středně světlý odstín pleti, zahradnice, zemědělkyně, žena
👩🏽‍🌾	farmářka, farmářka: střední odstín pleti, selka, střední odstín pleti, zahradnice, zemědělkyně, žena
👩🏾‍🌾	farmářka, farmářka: středně tmavý odstín pleti, selka, středně tmavý odstín pleti, zahradnice, zemědělkyně, žena
👩🏿‍🌾	farmářka, farmářka: tmavý odstín pleti, selka, tmavý odstín pleti, zahradnice, zemědělkyně, žena
👨🏻‍🍳	kuchař, kuchař: světlý odstín pleti, muž, světlý odstín pleti, šéfkuchař
👨🏼‍🍳	kuchař, kuchař: středně světlý odstín pleti, muž, středně světlý odstín pleti, šéfkuchař
👨🏽‍🍳	kuchař, kuchař: střední odstín pleti, muž, střední odstín pleti, šéfkuchař
👨🏾‍🍳	kuchař, kuchař: středně tmavý odstín pleti, muž, středně tmavý odstín pleti, šéfkuchař
👨🏿‍🍳	kuchař, kuchař: tmavý odstín pleti, muž, tmavý odstín pleti, šéfkuchař
👩🏻‍🍳	kuchařka, kuchařka: světlý odstín pleti, světlý odstín pleti, šéfkuchařka, žena
👩🏼‍🍳	kuchařka, kuchařka: středně světlý odstín pleti, středně světlý odstín pleti, šéfkuchařka, žena
👩🏽‍🍳	kuchařka, kuchařka: střední odstín pleti, střední odstín pleti, šéfkuchařka, žena
👩🏾‍🍳	kuchařka, kuchařka: středně tmavý odstín pleti, středně tmavý odstín pleti, šéfkuchařka, žena
👩🏿‍🍳	kuchařka, kuchařka: tmavý odstín pleti, tmavý odstín pleti, šéfkuchařka, žena
👨🏻‍🔧	elektrikář, mechanik, mechanik: světlý odstín pleti, montér, muž, opravář, světlý odstín pleti, řemeslník, živnostník
👨🏼‍🔧	elektrikář, mechanik, mechanik: středně světlý odstín pleti, montér, muž, opravář, středně světlý odstín pleti, řemeslník, živnostník
👨🏽‍🔧	elektrikář, mechanik, mechanik: střední odstín pleti, montér, muž, opravář, střední odstín pleti, řemeslník, živnostník
👨🏾‍🔧	elektrikář, mechanik, mechanik: středně tmavý odstín pleti, montér, muž, opravář, středně tmavý odstín pleti, řemeslník, živnostník
👨🏿‍🔧	elektrikář, mechanik, mechanik: tmavý odstín pleti, montér, muž, opravář, tmavý odstín pleti, řemeslník, živnostník
👩🏻‍🔧	elektrikářka, mechanička, mechanička: světlý odstín pleti, montérka, opravářka, světlý odstín pleti, řemeslnice, žena, živnostnice
👩🏼‍🔧	elektrikářka, mechanička, mechanička: středně světlý odstín pleti, montérka, opravářka, středně světlý odstín pleti, řemeslnice, žena, živnostnice
👩🏽‍🔧	elektrikářka, mechanička, mechanička: střední odstín pleti, montérka, opravářka, střední odstín pleti, řemeslnice, žena, živnostnice
👩🏾‍🔧	elektrikářka, mechanička, mechanička: středně tmavý odstín pleti, montérka, opravářka, středně tmavý odstín pleti, řemeslnice, žena, živnostnice
👩🏿‍🔧	elektrikářka, mechanička, mechanička: tmavý odstín pleti, montérka, opravářka, tmavý odstín pleti, řemeslnice, žena, živnostnice
👨🏻‍🏭	dělník, dělník v továrně, dělník v továrně: světlý odstín pleti, muž, průmysl, světlý odstín pleti, výroba
👨🏼‍🏭	dělník, dělník v továrně, dělník v továrně: středně světlý odstín pleti, muž, průmysl, středně světlý odstín pleti, výroba
👨🏽‍🏭	dělník, dělník v továrně, dělník v továrně: střední odstín pleti, muž, průmysl, střední odstín pleti, výroba
👨🏾‍🏭	dělník, dělník v továrně, dělník v továrně: středně tmavý odstín pleti, muž, průmysl, středně tmavý odstín pleti, výroba
👨🏿‍🏭	dělník, dělník v továrně, dělník v továrně: tmavý odstín pleti, muž, průmysl, tmavý odstín pleti, výroba
👩🏻‍🏭	dělnice, dělnice v továrně, dělnice v továrně: světlý odstín pleti, průmysl, světlý odstín pleti, výroba, žena
👩🏼‍🏭	dělnice, dělnice v továrně, dělnice v továrně: středně světlý odstín pleti, průmysl, středně světlý odstín pleti, výroba, žena
👩🏽‍🏭	dělnice, dělnice v továrně, dělnice v továrně: střední odstín pleti, průmysl, střední odstín pleti, výroba, žena
👩🏾‍🏭	dělnice, dělnice v továrně, dělnice v továrně: středně tmavý odstín pleti, průmysl, středně tmavý odstín pleti, výroba, žena
👩🏿‍🏭	dělnice, dělnice v továrně, dělnice v továrně: tmavý odstín pleti, průmysl, tmavý odstín pleti, výroba, žena
👨🏻‍💼	byznys, bílý límeček, kancelář, manažer, manažer: světlý odstín pleti, muž, světlý odstín pleti, úředník
👨🏼‍💼	byznys, bílý límeček, kancelář, manažer, manažer: středně světlý odstín pleti, muž, středně světlý odstín pleti, úředník
👨🏽‍💼	byznys, bílý límeček, kancelář, manažer, manažer: střední odstín pleti, muž, střední odstín pleti, úředník
👨🏾‍💼	byznys, bílý límeček, kancelář, manažer, manažer: středně tmavý odstín pleti, muž, středně tmavý odstín pleti, úředník
👨🏿‍💼	byznys, bílý límeček, kancelář, manažer, manažer: tmavý odstín pleti, muž, tmavý odstín pleti, úředník
👩🏻‍💼	byznys, bílý límeček, kancelář, manažerka, manažerka: světlý odstín pleti, světlý odstín pleti, úřednice, žena
👩🏼‍💼	byznys, bílý límeček, kancelář, manažerka, manažerka: středně světlý odstín pleti, středně světlý odstín pleti, úřednice, žena
👩🏽‍💼	byznys, bílý límeček, kancelář, manažerka, manažerka: střední odstín pleti, střední odstín pleti, úřednice, žena
👩🏾‍💼	byznys, bílý límeček, kancelář, manažerka, manažerka: středně tmavý odstín pleti, středně tmavý odstín pleti, úřednice, žena
👩🏿‍💼	byznys, bílý límeček, kancelář, manažerka, manažerka: tmavý odstín pleti, tmavý odstín pleti, úřednice, žena
👨🏻‍🔬	biolog, chemik, fyzik, inženýr, matematik, muž, světlý odstín pleti, věda, vědec, vědec: světlý odstín pleti
👨🏼‍🔬	biolog, chemik, fyzik, inženýr, matematik, muž, středně světlý odstín pleti, věda, vědec, vědec: středně světlý odstín pleti
👨🏽‍🔬	biolog, chemik, fyzik, inženýr, matematik, muž, střední odstín pleti, věda, vědec, vědec: střední odstín pleti
👨🏾‍🔬	biolog, chemik, fyzik, inženýr, matematik, muž, středně tmavý odstín pleti, věda, vědec, vědec: středně tmavý odstín pleti
👨🏿‍🔬	biolog, chemik, fyzik, inženýr, matematik, muž, tmavý odstín pleti, věda, vědec, vědec: tmavý odstín pleti
👩🏻‍🔬	bioložka, chemička, fyzička, inženýrka, matematička, světlý odstín pleti, věda, vědkyně, vědkyně: světlý odstín pleti, žena
👩🏼‍🔬	bioložka, chemička, fyzička, inženýrka, matematička, středně světlý odstín pleti, věda, vědkyně, vědkyně: středně světlý odstín pleti, žena
👩🏽‍🔬	bioložka, chemička, fyzička, inženýrka, matematička, střední odstín pleti, věda, vědkyně, vědkyně: střední odstín pleti, žena
👩🏾‍🔬	bioložka, chemička, fyzička, inženýrka, matematička, středně tmavý odstín pleti, věda, vědkyně, vědkyně: středně tmavý odstín pleti, žena
