🏻	白皮膚, 膚色
🤼	個人, 摔角, 摔角手, 運動
🤼‍♂	摔角, 男, 男子摔角
🤼‍♀	女, 女子摔角, 摔角
🤽	水上, 水球, 水球運動, 運動
🤽‍♂	水球, 男, 男生打水球
🤽‍♀	女, 女生打水球, 水球
🤾	手球, 球類, 運動
🤾‍♂	手球, 男, 男生打手球
🤾‍♀	女, 女生打手球, 手球
🤹	平衡感, 技藝, 特技, 雜耍
🤹‍♂	男, 男生玩雜耍, 雜耍
🤹‍♀	女, 女生玩雜耍, 雜耍
👫	一男一女, 一男一女手拉手, 手拉手
👬	兩個男人, 兩個男人手拉手, 手拉手
👭	兩個女人, 兩個女人手拉手, 手拉手
💏	接吻, 親
💑	一對, 男女, 相愛
🤳	拍, 自, 自拍
💪	二頭肌, 強壯, 肌肉
🦵	腳, 腿, 踢
🦶	腳, 踢, 踩
🖕	中指, 比中指
🤞	加油, 好, 祝, 祝好運, 運
🖖	你好, 瓦肯式敬禮
🤘	ROCK, 搖滾精神
🤙	打, 打給我, 電話
✋	招手, 舉手
👌	OK, OK 手勢, 沒問題
✊	拳頭, 握拳
👊	出拳, 拳頭
🤛	右, 拳, 握, 握右拳
🤜	左, 拳, 握, 握左拳
🤚	手, 掌, 豎, 豎起手掌
👋	手, 揮手
🤟	愛你手勢, 我愛你, 手
👏	拍手, 鼓掌
👐	手, 攤開手, 雙手
🙌	歡呼, 舉雙手
🤲	祈禱, 雙手掌朝上
🙏	感恩, 雙手合一
🤝	手, 握, 握手
💅	指甲油, 美甲
👃	身體部位, 鼻子
👣	腳印, 足跡
👀	身體部位, 雙眼
👁‍🗨	對話框, 眼睛對話框
🧠	聰明, 腦
🦴	骨頭
🦷	牙醫, 牙齒
👅	舌頭, 身體部位
👄	嘴巴, 身體部位
🦰	紅髮, 薑黃
🦱	卷髮, 圓蓬, 捲髮, 長捲髮
🦳	灰色, 白色, 白髮, 老, 頭髮
🦲	光頭, 剃頭, 化療, 沒頭髮, 禿頭
💋	唇印, 親親
💘	丘比特, 愛, 戀愛
💝	愛的禮物, 送你一顆心
💖	放閃, 開心
💗	心動, 心撲通跳
💓	心, 心跳, 愛
💞	心之舞, 舞動的心
💕	心心相印, 相愛
💌	情書
💔	心碎, 破碎的心
🧡	心型, 橘心
💛	心型, 黃心
💚	心型, 綠心
💙	心型, 藍心
💜	心型, 紫心
🖤	心, 邪惡, 黑, 黑心
💟	心在框框裡, 心型
💤	打呼, 睡了, 睡著
💢	怒, 火大, 爆青筋
💥	引爆, 碰撞
💦	出汗, 汗
💨	揚塵而去, 放屁
💫	暈頭轉向, 頭暈目眩
💬	對話框
💭	對話框, 心聲對話框
🥽	保護眼睛, 游泳, 焊工, 蛙鏡
🥼	實驗, 實驗袍, 科學家, 醫生
👔	領帶
👕	T卹, 襯衫
👖	牛仔褲, 褲子
🧣	圍巾, 脖子
🧤	手, 手套
🧥	外套, 夾克
🧦	絲襪, 襪子
👗	洋裝, 裙子
👘	和服, 日本
👙	三點式, 比基尼
👚	女裝, 衣服
👛	荷包, 錢包
👜	包包, 手提包
👝	包包, 手拿包
🎒	書包, 肩揹書包
👞	皮鞋, 鞋
👟	球鞋, 運動鞋
🥾	健行, 登山靴, 背包, 露營, 靴子
🥿	平底鞋, 懶人鞋, 拖鞋, 芭蕾舞鞋
👠	女鞋, 高跟鞋
👡	拖鞋, 涼鞋
👢	長靴, 靴子
👑	皇冠
👒	帽子, 淑女帽
🎩	禮帽, 紳士帽
🧢	棒球帽, 鴨舌帽
📿	項鍊, 首飾
💄	化妝, 口紅, 打扮
💍	戒指, 鑽戒
💎	鑽石
🐵	猴, 猴子頭
🐒	猴, 猴子
🦍	動物, 大猩猩, 猩猩
🐶	狗, 狗頭
🐩	貴賓犬, 貴賓狗
🐺	狼
🦊	動物, 狐狸
🦝	好奇, 浣熊, 狡猾
🐱	貓, 貓頭
🦁	獅, 獅子
🐯	老虎頭, 虎
🐅	老虎, 虎
🐆	花豹, 豹
🐴	馬, 馬頭
🐎	馬
🦄	獨角獸
🦓	斑馬
🦌	動物, 鹿
🐮	牛, 牛頭
🐂	公牛, 牛
🐃	水牛, 牛
🐄	乳牛, 牛
🐷	豬, 豬頭
🐖	豬
🐗	豬, 野豬
🐽	豬鼻子
🐏	公羊, 羊
🐑	綿羊, 羊
🐐	山羊, 羊
🐪	單峰駱駝, 駱駝
🐫	雙峰駱駝, 駱駝
🦙	小羊駝, 毛, 羊駝, 羊駝毛, 美野生羊駝
🦒	長頸鹿
🐘	大象, 象
🦏	動物, 犀牛
🦛	河馬
🐭	老鼠頭, 耗子, 鼠
🐁	小老鼠, 耗子, 鼠
🐀	老鼠, 耗子, 鼠
🐹	倉鼠, 寵物鼠
🐰	兔, 兔子頭
🐇	兔, 兔子
🦔	刺蝟
🦇	動物, 蝙蝠
🐻	熊
🐨	無尾熊
🐼	熊貓, 貓熊
🦘	有袋動物, 澳洲, 袋鼠, 跳
🦡	獾, 蜜獾
🐾	動物腳印, 足跡
🦃	火雞
🐔	雞
🐓	公雞, 雞
🐣	孵化, 小雞破蛋
🐤	小雞, 小雞的臉
🐥	小雞
🐧	企鵝
🦅	老鷹, 鳥
🦆	鳥, 鴨, 鴨子
🦢	天鵝, 小天鵝, 醜小鴨, 鳥
🦉	智慧, 貓頭應, 貓頭鷹, 鳥
🦚	孔雀, 賣弄, 雌孔雀, 驕傲, 鳥
🦜	海盜, 說話, 鳥, 鸚鵡
🐸	蛙, 青蛙
🐊	鱷, 鱷魚
🐢	烏龜, 龜
🦎	爬行動物, 蜥蜴
🐍	蛇, 青蛇
🐲	龍, 龍頭
🐉	龍
🦕	蜥腳類恐龍
🦖	暴龍
🐳	鯨魚, 鯨魚噴水
🐋	藍鯨, 鯨
🐬	海豚
🐠	熱帶魚, 魚
🐡	河豚, 魚
🦈	魚, 鯊魚
🐙	八爪魚, 章魚
🐚	海螺, 貝殼
🦀	紅蟳, 螃蟹, 蟹
🦞	海鮮, 濃湯, 爪, 龍蝦
🦐	甲殼, 蝦, 蝦子, 食物
🦑	軟體動物, 食物, 魷魚
🐌	蝸牛
🦋	昆蟲, 美, 蝴蝶
🐛	毛毛蟲, 毛蟲
🐜	螞蟻, 蟻
🐝	蜂, 蜜蜂
🐞	昆蟲, 瓢蟲
🦗	蟋蟀
🦂	蠍, 蠍子
🦟	疾病, 病毒, 瘧疾, 發燒, 蚊子, 蟲
🦠	微生物, 病毒, 細菌, 阿米巴
💐	花束, 鮮花
🌸	櫻花, 花
💮	白花, 花
🌹	玫瑰, 花
🥀	凋零, 枯萎, 枯萎花朵, 花
🌺	芙蓉, 花
🌻	向日葵, 花
🌼	花, 開花
🌷	花, 鬱金香
🌱	發芽, 苗
🌲	常青樹, 樹
🌳	樹, 落葉樹
🌴	棕櫚樹, 樹
🌵	仙人掌, 多肉植物
🌾	水稻, 稻子
🌿	植物, 草藥, 葉子, 香草
🍀	四葉草, 幸運草
🍁	楓葉, 紅葉
🍂	枯葉, 落葉
🍃	隨風飄落的葉子, 風吹葉落
🍇	水果, 葡萄
🍈	水果, 瓜, 甜瓜, 蜜瓜, 香瓜
🍉	水果, 西瓜
🍊	橘子, 水果
🍋	檸檬, 水果
🍌	水果, 香蕉
🍍	水果, 鳳梨
🥭	水果, 熱帶, 芒果
🍎	水果, 紅蘋果, 蘋果
🍏	水果, 蘋果, 青蘋果
🍐	梨子, 水果
🍑	桃子, 水果
🍒	櫻桃, 水果
🍓	水果, 草莓
🥝	奇異果, 水果, 食物
🍅	水果, 番茄
🥥	椰子
🥑	水果, 酪梨, 食物
🍆	茄子, 蔬菜
🥔	根莖類, 蔬菜, 食物, 馬鈴薯
🥕	根莖類, 紅蘿蔔, 胡蘿蔔, 蔬菜, 食物
🌽	玉米, 蔬菜
🥒	小黃瓜, 蔬菜, 食物
🥬	小白菜, 甘藍菜, 綠葉蔬菜, 羽衣甘藍, 萵苣
🥦	花椰菜
🍄	蘑菇, 香菇
🥜	堅果, 花生, 蔬菜, 食物
🌰	栗子
🍞	吐司, 麵包
🥐	可頌, 法式, 牛角麵包, 麵包
🥖	法國麵包, 法式, 食物, 麵包
🥨	蝴蝶餅
🥯	貝果, 醬, 麵包
🥞	煎餅, 薄餅, 食物, 鬆餅
🧀	乳酪, 起士
🍖	帶骨肉, 排骨
🍗	帶骨肉, 雞腿
🥩	肉片
🥓	培根, 肉類, 食物
🍔	漢堡, 漢堡包
🍟	炸薯條, 薯條
🍕	披薩, 起士披薩
🌭	熱狗, 熱狗堡
🥪	三明治
🌮	墨西哥夾餅, 夾餅
🌯	墨西哥捲餅, 捲餅
🥙	薄捲餅, 食物
🥚	蛋, 雞蛋
🍳	煎蛋, 荷包蛋
🥘	平底鍋, 料理, 淺鍋, 淺鍋料理
🍲	火鍋
🥣	碗和湯匙, 餐具
🥗	沙拉, 生菜, 生菜沙拉
🍿	爆米花
🧂	調味品, 調味瓶, 鹽
🥫	罐頭, 罐頭食品
🍱	便當
🍘	仙貝, 米果
🍙	飯糰
🍚	米飯, 飯
🍛	咖哩飯, 飯
🍜	湯麵, 麵
🍝	義大利麵, 麵
🍠	地瓜, 烤地瓜
🍢	烤肉串, 關東煮
🍣	壽司
🍤	天婦羅, 炸蝦
🍥	魚板
🥮	中秋, 月餅
🍡	丸子串, 糥米丸子
🥟	水餃
🥠	幸運餅乾
🥡	外帶餐盒
🍦	冰品, 霜淇淋
🍧	冰品, 刨冰
🍨	冰品, 冰淇淋
🍩	甜甜圈, 甜點
🍪	甜點, 餅乾
🎂	生日, 生日快樂, 生日蛋糕, 蛋糕
🍰	甜點, 蛋糕
🧁	杯子蛋糕, 烘焙, 甜點
🥧	派
🍫	巧克力, 巧克力磚
🍬	糖, 糖果
🍭	棒棒糖, 糖果
🍮	卡士達, 布丁, 甜點
🍯	甜點, 蜂蜜
🍼	奶瓶, 牛奶
🥛	一杯牛奶, 杯, 牛奶, 飲料
🍵	熱茶, 茶
🍶	清酒, 酒
🍾	洋酒, 酒
🍷	葡萄酒, 酒, 酒杯
🍹	果汁, 熱帶水果飲料
🍺	啤酒, 酒
🍻	乾杯吧, 酒
🥂	乾杯, 慶祝, 舉杯
🥃	威士忌, 威士忌杯, 烈酒, 酒杯
🥤	杯子和吸管
🥢	筷子
🍴	刀叉
🥄	湯匙, 餐具
🔪	刀, 菜刀
🏺	容器, 陶罐
🌍	地球, 歐洲及非洲
🌏	亞洲, 地球
🌐	地球, 子午線
🗾	日本, 日本列島
🧭	定向, 導航, 指南針, 磁鐵
🌋	火山, 火山爆發
🗻	富士山, 山峰
🧱	泥土, 灰泥, 牆壁, 磚塊
🏡	別墅, 家
🏢	辦公大樓, 高樓大廈
🏣	日本郵局, 郵局
🏤	歐洲郵局, 郵局
🏥	醫院
🏦	銀行
🏨	旅館, 飯店
🏩	汽車旅館, 賓館
🏪	便利商店
🏫	學校, 校舍
🏬	百貨公司, 購物商場
🏯	城堡, 日式城堡
🏰	城堡, 歐式城堡
💒	婚禮, 教堂婚禮
🗼	東京鐵塔
🗽	自由女神, 自由女神像
🕌	伊斯蘭建築, 清真寺
🕍	教堂, 猶太教堂
🕋	伊斯蘭建築, 天房
🌁	天氣, 霧
🌃	星夜, 星空
🌄	日出, 黎明
🌅	旭日, 朝陽
🌆	暮色, 黃昏
🌇	夕陽, 日落
🌉	夜景, 夜橋
🌌	星空, 銀河
🎠	旋轉木馬
🎡	摩天輪
🎢	雲霄飛車
💈	理髮店
🎪	馬戲團, 馬戲團帳篷
🚂	火車, 蒸汽火車
🚃	有軌電車, 軌道電車
🚄	火車, 高鐵
🚅	火車, 高鐡車頭, 高鐵
🚆	火車
🚈	火車, 輕軌
🚉	車站
🚊	路面電車, 軌道電車
🚝	單軌, 火車
🚞	山區鐵路, 火車
🚋	電纜車, 電車
🚌	公共汽車, 公車
🚎	公車, 電動巴士
🚐	小型巴士
🚒	消防車
🚓	警車
🚕	小黃, 計程車
🚖	小黃, 計程車
🚗	汽車, 轎車
🚙	休旅車
🚚	卡車, 貨車
🚛	卡車, 貨車
🚜	拖弋機
🛴	滑板車, 滑行
🛹	滑板
🛵	摩托車, 機車
🚏	公車站, 公車站牌
🚨	警察, 警車燈
🚥	交通號誌, 紅綠燈
🚦	交通號誌, 直式紅綠燈
🛑	停止, 停止標誌, 標誌
🚧	工地, 施工
🛶	獨木舟, 船
🚤	快艇
🚢	船
🛫	起飛, 飛機起飛
🛬	降落, 飛機著陸
💺	座位, 座椅
🚁	直升機
🚟	懸索鐵路
🚠	纜車
🚡	空中纜車, 纜車
🚀	火箭
🛸	幽浮, 飛碟
🧳	打包, 旅行, 行李
⏰	時鐘, 鬧鐘
🕧	十二點半
🕜	一點半
🕝	兩點半
🕞	三點半
🕟	四點半
🕠	五點半
🕡	六點半
🕢	七點半
🕣	八點半
🕤	九點半
🕥	十點半
🕦	十一點半
🌑	新月, 月亮, 朔月
🌒	彎月, 眉形新月
🌓	上弦月, 月亮
🌔	月亮, 盈凸月
🌖	漸盈月, 虧凸月
🌗	下弦月, 月亮
🌘	殘月, 眉形殘月
🌙	彎月, 月亮, 月牙, 残月
🌚	月亮, 月亮公公, 朔月
🌛	上弦月, 彎月臉朝左, 月亮
🌝	微笑的滿月, 月亮
🌞	太陽, 微笑的太陽
🌟	星星, 閃爍的星星
🌠	星星, 流星
🌀	天氣, 暈, 颱風
🌈	彩虹
🌂	傘, 收合的傘, 雨傘
🔥	火, 火苗
💧	水滴, 汗
🌊	波浪, 海浪
🎃	南瓜, 南瓜燈
🎄	聖誕樹
🎆	焰火, 煙花, 爆竹
🎇	焰火, 煙花
🧨	火藥, 煙火, 爆炸, 鞭炮
✨	閃亮, 閃爍
🎈	氣球
🎉	拉炮
🎊	五彩紙屑, 彩球
🎋	七夕, 七夕樹
🎍	盆栽, 開運竹
🎎	女兒節, 日本娃娃
🎏	鯉魚旗
🎐	風鈴
🎑	賞月
🧧	吉利, 壓歲錢, 禮物, 紅包, 紅包袋
🎀	蝴蝶結
🎁	慶祝, 禮物, 禮盒
🎫	票券, 門票
🏅	獎牌
🥇	冠軍, 第一名, 金牌
🥈	亞軍, 第二名, 銀牌
🥉	季軍, 第三名, 銅牌
🥎	低手, 壘球, 手套, 球
🏀	球, 籃球
🏐	排球, 球
🏈	球, 美式足球
🏉	橄欖球, 球
🎾	球, 網球
🥏	極限, 飛盤
🎳	保齡球, 球
🏏	板球, 球
🏑	曲棍球, 球
🏒	冰上曲棍球, 球
🥍	得分, 球, 球竿, 長曲棍球
🏓	桌球, 球
🏸	球, 羽毛球
🥊	手套, 拳擊, 拳擊手套, 競技, 運動
🥋	柔道, 武術, 競技, 跆拳道, 運動, 道服
🥅	球網, 球門, 運動
🎣	釣竿, 釣魚
🎽	運動, 運動服
🎿	滑雪
🛷	滑雪橇, 雪橇
🥌	石壺, 石頭, 遊戲
🎯	命中, 正中紅心
🎱	撞球, 球
🔮	占卜, 水晶球, 算命
🧿	珠子, 護身符, 避邪, 邪眼
🎰	吃角子老虎, 拉霸機
🎲	骰子
🧩	拼, 拼圖, 片, 線索, 謎題
🧸	填充, 娃娃, 毛茸茸, 泰迪熊, 玩具
🃏	鬼牌
🎴	花牌, 花鬥
🎨	調色板, 調色盤
🧵	線, 線軸, 縫紉, 針
🧶	毛線球, 球, 織, 鉤針
🔇	關掉喇叭, 静音
🔉	低音量, 喇叭
🔊	喇叭, 高音量
📢	喇叭, 大聲公
📣	喇叭, 擴音器
📯	號角, 通知, 郵件通知
🔔	鈴鐺
🔕	無聲, 靜音
🎼	樂譜, 音樂
🎵	音樂, 音符
🎶	樂符, 音樂
🎤	k歌, 卡拉OK, 唱歌, 麥克風
🎷	樂器, 薩克斯風
🎸	吉他, 樂器
🎹	樂器, 鋼琴, 電子琴
🎺	小號, 樂器
🎻	小提琴, 樂器
🥁	打擊樂, 音樂, 鼓, 鼓棒, 鼓槌
📱	手機, 電話
📲	手機, 接電話, 電話
📞	聽筒, 電話
📠	FAX, 傳真機
🔋	電池
🔌	插頭
💽	迷你光碟
💾	磁碟片
📀	DVD, 光碟
🧮	算盤, 計算
🎥	攝影機, 電影攝影機
📸	拍照, 開閃光燈
📼	VHS, 錄影帶
🔍	向左的放大鏡, 放大鏡
🔎	搜尋, 放大, 放大鏡
💡	燈泡
🔦	手電筒
🏮	居酒屋, 燈籠
📔	彩色封面的筆記本, 筆記本
📕	合起來的書本, 書本
📖	打開來的書本, 書本
📗	書本, 綠色的書本
