‾	надчеркивание
↰	стрелка вверх с поворотом налево
↱	стрелка вверх с поворотом направо
↲	стрелка вниз с поворотом налево
↳	стрелка вниз с поворотом направо
↴	стрелка вправо с поворотом вниз под прямым углом
↵	стрелка вниз с поворотом налево под прямым углом
↶	стрелка полукругом против часовой стрелки
↷	стрелка полукругом по часовой стрелке
↸	стрелка на северо-запад под длинной чертой
↹	стрелка влево над стрелкой вправо с перпендикулярными чертами
↺	круглая стрелка с наконечником против часовой стрелки
↻	круглая стрелка с наконечником по часовой стрелке
↼	гарпун влево с зубцом вверх
↽	гарпун влево с зубцом вниз
↾	гарпун вверх с зубцом вправо
↿	гарпун вверх с зубцом влево
⇀	гарпун вправо с зубцом вверх
⇁	гарпун вправо с зубцом вниз
⇂	гарпун вниз с зубцом вправо
⇃	гарпун вниз с зубцом влево
⇄	стрелка вправо над стрелкой влево
⇅	кверху, книзу, стрелка, стрелки «кверху» и «книзу»
⇆	налево, направо, стрелка, стрелка «налево» над стрелкой «направо»
⇇	парные стрелки влево
⇈	парные стрелки вверх
⇉	парные стрелки вправо
⇊	парные стрелки вниз
⇋	гарпун влево над гарпуном вправо
⇌	гарпун вправо над гарпуном влево
⇐	двойная стрелка влево
⇍	двойная перечеркнутая стрелка влево
⇑	двойная стрелка вверх
⇒	двойная стрелка вправо
⇏	двойная перечеркнутая стрелка вправо
⇓	двойная стрелка вниз
⇔	двойная стрелка влево-вправо
⇎	двойная перечеркнутая стрелка влево-вправо
⇖	двойная стрелка на северо-запад
⇗	двойная стрелка на северо-восток
⇘	двойная стрелка на юго-восток
⇙	двойная стрелка на юго-запад
⇚	тройная стрелка влево
⇛	тройная стрелка вправо
⇜	стрелка влево с изгибами
⇝	стрелка вправо с изгибами
⇞	стрелка вверх с двойным перечеркиванием
⇟	стрелка вниз с двойным перечеркиванием
⇠	пунктирная стрелка влево
⇡	пунктирная стрелка вверх
⇢	пунктирная стрелка вправо
⇣	пунктирная стрелка вниз
⇤	стрелка влево, упирающаяся в планку
⇥	стрелка вправо, упирающаяся в планку
⇦	полая стрелка влево
⇧	полая стрелка вверх
⇨	полая стрелка вправо
⇩	полая стрелка вниз
⇪	полая стрелка вверх на прямоугольнике
⇵	стрелка вниз слева от стрелки вверх
∀	для всех
∂	частная производная
∃	существует
∅	пустое множество
∆	инкремент, треугольник
∇	набла, треугольник
∈	множество, принадлежность, принадлежность множеству, содержит, состоит в, элемент
∉	не принадлежит
∋	содержит в качестве члена
∎	конец доказательства
∏	произведение
∑	сумма
+	знак плюса, плюс, прибавление, сложение
±	плюс минус, плюс-минус
÷	деление, знак деления, обелюс, разделить
×	знак умножения, умножение, умноженный, умножить
<	менее, меньше, меньше чем, открыть тег, тег
≮	не меньше чем
=	знак равенства, равно, равняется
≠	знак неравенства, не равно, не равняется, неравенство
>	более, больше, больше чем, закрыть тег, тег
≯	не больше чем
¬	не, отрицание
|	вертикальная линия, вертикальная черта, пайп
~	подобие, тильда, эквивалент
−	вычитание, знак минуса, минус, уменьшение
⁻	минус, надстрочный, надстрочный минус, степень
∓	знак минус-плюс
∕	разделительный знак
⁄	дробная наклонная черта
∗	оператор звездочки
∘	кольцевой оператор
√	знак корня, иррациональное число, квадратный, квадратный корень, корень, радикал
∞	бесконечность, знак бесконечности
∩	множество, пересечение
∪	множество, объединение, совокупность
≈	около, почти равно, приближение, приблизительно равно, примерно, примерно равно
≡	идентичный, равный, тождественное равенство, тождество, тройной
≤	меньше или равно, не более, не более чем, неравенство
≥	больше или равно, не менее, не менее чем, неравенство
⊂	включено в, множество, подмножество
▲	вверх, закрашенный, закрашенный треугольник вершиной вверх, стрелка, треугольник
▼	вниз, закрашенный, закрашенный треугольник вершиной вниз, стрелка, треугольник
◊	бубны, косоугольник, ромб
○	круг, незакрашенный круг, полый, пустой круг, шар
●	закрашенный круг, заполненный круг, круг, шар
◯	большой незакрашенный круг, круг, полый, пустой, шар
♪	восьмая, восьмая нота, музыка, нота
♭	бемоль, музыка, нота
♯	диез, музыка, нота
😀	лицо, радость, счастье, улыбка, широкая улыбка, широко улыбается
😃	лицо, радость, рот, смеется, смех, улыбка
😄	закрытые глаза, радость, смеется с закрытыми глазами, смех, улыбка с закрытыми глазами
😁	зубы, светится от счастья, счастливое лицо, улыбающиеся глаза, широкая улыбка
😆	прищуренные глаза, смеется с закрытыми глазами, смеется с прищуренными глазами, смех, смех с прищуренными глазами
😅	нервно смеется, нервный смех, облегчение, пот, холодный пот
🤣	rofl, катается со смеху, кататься от хохота, смех, смеяться
😂	лицо, радость, слезы, смеется до слез, смех, смех до слез
🙂	легкая улыбка, лицо, радость, слегка улыбается, улыбка, хорошо
🙃	вверх, вверх тормашками, лицо, ногами, перевернутое
🫠	жидкое, исчезает, плавится, растворяется, тает
😉	глаз, лицо, мигать, подмигивает, подмигивать, прищур
😊	глаза, довольно улыбается, лицо, румянец, улыбка, щеки
😇	ангел, лицо, невинность, с нимбом, святость, сказка
🥰	влюбленность, влюбленный, сердечки, улыбающееся лицо с сердечками, улыбка с сердечками
😍	влюбленное лицо, глаза, лицо, любовь, сердце, чувства
🤩	звезды, звезды в глазах, радость, смеяться, улыбка
😘	воздушный, воздушный поцелуй, любовь, отправляет воздушный поцелуй, сердечко, целует, целую
😗	лицо, любовь, поцелуй, целует
☺️	довольный, лицо, смайлик, счастье, улыбается, улыбка, хорошо
😚	глаза, закрытые, лицо, поцелуй, поцелуй с закрытыми глазами, целует с закрытыми глазами
😙	глаза, лицо, поцелуй, счастливый поцелуй, улыбка
🥲	гордость, признательность, слеза, трогательный, улыбающееся лицо со слезой, улыбка
😋	вкус, вкусно, еда, пища, смак
😛	дразнит, лицо, показывает язык, хитрый, язык
😜	лицо, подмигивание, подтрунивание, показывает язык и подмигивает, розыгрыш, язык
🤪	большой, глаз, кривой, лицо, маленький, рожа, сумасшедшее лицо
😝	гадость, зажмуривается, морщится и показывает язык, отвращение, показывает язык
🤑	деньги в глазах, жадный, лицо, прибыль, рот
🤗	лицо, обнимает, объятие, руки
🤭	лишнего, лишнее, ляпнуть, ой, прикрывает рот рукой, проговориться, хи-хи
🫢	изумление, испуг, недоверие, прикрывает рот рукой с открытыми глазами, смущение, страх, удивление, шок
🫣	взгляд, глаз не отвести, глаз не оторвать, загляденье, подсматривает, подсматривать, пристально смотреть, украдкой
🤫	молчи, секрет, тайна, тихо, тишина, тс-с-с
🤔	думает, задумчивость, лицо, пальцы, размышления
🫡	воинское приветствие, войска, да, есть, окей, отдать честь, солнечно
🤐	закрытый, лицо, молчание, рот, рот на замке, секрет
🤨	не верит, недоверие, подозрение, скептик, скептически
😐️	все равно, лицо, ничего, равнодушие
😑	без эмоций, безразличие, лицо, нет, ничего, эмоции
😶	без рта, лицо без рта, молчание, тихо, тишина
🫥	депрессия, интроверт, исчезать, лицо пунктиром, невидимый, печаль, подавленность, прятаться
😶‍🌫	беззаботный, витающий в облаках, голова в облаках, лицо в облаках, лицо в тумане
😏	задумал, лицо, ухмылка, ухмыляется, хитрый
😒	лицо, недовольный, скука, скусно, скучает, тоска
🙄	глаза, досада, закатить, закатывает глаза, лицо, скука
😬	гримаса, зубы, лицо, рожа
😮‍💨	вздох, выдох, выдыхает, облегчение, одышка, свист, шепот
🤥	буратино, врать, длинный нос, лжец, обманывать
😌	испытывает облегчение, лицо, минуло, облегчение, обошло, спокойствие, стороной
😔	задумчивость, лицо, мысли, размышления, размышляет
😪	лицо, мало, сон, сонливость, усталость, хочет спать
🤤	лицо, пускает слюни, слюни
😴	дрема, лицо, отдых, сон, спит
😷	больной, в медицинской маске, врач, защита, лицо, маска, медик
🤒	болезнь, лицо, недуг, рот, с градусником во рту, термометр
🤕	боль, лицо, лоб, плохо, повязка, с перевязанной головой
🤢	болезнь, лицо, морская болезнь, тошнит, тошно
🤮	блевать, рвота, тошнит, тошнота
🤧	апчхи, лицо, насморк, пчхи, чихает
🥵	болеет, высокая температура, жар, лихорадка, потеет
🥶	замерз, мерзнет, морозно, посинел, холодно
🥴	головокружение, дезориентация, плохо, тошнота, чувствует головокружение
😵	голова кружится, головокружение, головокружительный, лицо
😵‍💫	беда, в тупике, головокружение, ошеломление, смятение, спираль
🤯	в шоке, взрыв мозга, голова, шок
🤠	в ковбойской шляпе, в шляпе, ковбой, лицо, шляпа
🥳	веселится, вечеринка, день рождения, на вечеринке, праздник
🥸	инкогнито, лицо, маскировка, нос, очки
😎	клево, круто, лицо в солнцезащитный очках, лицо в темных очках, солнцезащитные очки
🤓	в очках, всезнайка, отличник, очкарик, очки
🧐	задавака, монокль, напыщенный, с моноклем, старомодный
😕	в замешательстве, замешательство, конфуз, лицо, стеснение
🫤	досада, недовольство, с перекошенным ртом, скептик, сомнения
😟	беспокоится, беспокойство, лицо, расстройство, тревога, тревожность
🙁	лицо, недовольный, немного грустит, немного грустное лицо, плохо, хмурый
☹️	грустит, грустное лицо, грусть, лицо, печаль, плохо, хмурый
😮	лицо, открытый, рот, удивление
😯	лицо, молчание, неприятно, неприятный сюрприз, сюрприз, удивление
😲	в шоке, лицо, потрясение, удивление, шок
😳	краснеет, красный, лицо, смущение, щеки
🥺	большие глаза, глаза, просит, слезы, умоляет
🥹	гордость, грусть, еле сдерживает слезы, злость, сдерживаться, слезы
😦	в изумлении, изумление, лицо, открыт, рот, удивление, хмурый
😧	боль, лицо, муки, плохо, страдает, страдание, тоска
😨	боится, жуть, испуг, лицо, рот, страх
😰	боится, открытый рот, пот, сильно беспокоится, страх
😥	лицо, облегчение, обошлось, прошло, разочарование, фух
😢	грусть, лицо, печаль, плачет, слезы
😭	крокодильи слезы, плач, плачет, рев, слезы рекой
😱	в ужасе, испуг, крик, страх, ужас
😖	в растерянности, лицо, растерянность, сбит, сбит с толку, толк, тупик
😣	зажмурился, лицо, настойчивость, проявляет настойчивость, смайлик, упорство
😞	испытывает разочарование, лицо, недоволен, разочарование, фрустрация
😓	болезнь, в холодном поту, нервничает, пот, страх
😩	истощен, лицо, устал, усталость
😫	лицо, отдых, работа, сильная усталость, спать, усталость
🥱	зевает, зевота, сонный, спать, усталость, утомлен
😤	в ожидании успеха, гордость, гордый, пар из носа
😡	злится, злой, красный, лицо, рассерженный, сердитый
😠	злой, лицо, недовольный, сердится, сердитый
🤬	браниться, брань, мат, материться, ругань, ругаться, цензура
😈	лицо, рога, сказка, улыбающийся чертенок, улыбка, фэнтези
👿	демон, злой чертенок, мифология, чертенок, чертик
💀	голова, опасность, смерть, страх, череп
☠️	кости, опасность, смерть, череп, череп и кости
💩	какашка, лицо, смех, фекалии, шутка
🤡	клоун, лицо
👹	лицо, мифология, монстр, страх, существо, чудовище
👺	гоблин, монстр, носатое чудище, сказка, японский гоблин
👻	лицо, привидение, сказки, страх, существо
👽️	инопланетянин, космос, пришелец, существо, фантастика, чужой
👾	космический монстр, космос, лицо, нло, пришелец, фантастика, чужой
🤖	лицо, монстр, робот, страх
😺	кот, кот с широкой улыбкой, морда, улыбающийся кот, широкая улыбка
😸	кот, кот с закрытыми глазами, кот с широкой улыбкой и закрытыми глазами, морда, смеющийся кот
😹	кот, кот смеется до слез, морда, смеющийся до слез кот, смеющийся кот
😻	влюбленный кот, кот, морда, сердечки, счастье, улыбка
😼	кот, кот с ухмылкой, улыбка, ухмылка, ухмыляющийся кот, хитрость, хитрый
😽	глаза, губы, кот, кот целует, морда, целующий кот
🙀	кот, кот в шоке, морда, удивление
😿	кот, кот плачет, морда, печаль, плач, плачущий кот, слезы
😾	злой, злой кот, кот, морда, недовольный, раздраженный
🙈	глаза, запрещено, зрение, нельзя, ничего не вижу, обезьяна
🙉	запрещено, лапы, нельзя, ничего не слышу, обезьяна, слух, уши
🙊	закрыт, запрещено, лапы, молчание, ничего никому не скажу, обезьяна, рот
💌	записка, любовное письмо, любовь, письмо, почта, тайна
💘	купидон, лук, любовь, сердце, пронзенное стрелой, стрела
💝	валентин, лента, перевязано, сердце, сердце с лентой
💖	блеск, звездочки, радость, сверкающее сердце, сердце
💗	биение, больше, размер, растущее сердце, ритм, сердце
💓	бьется, красное сердце, пульсирует, пульсирующее сердце, сердце
💞	вращающиеся сердца, вращение, два, круги, сердца
💕	влюбленные, два сердца, любовь, чувства
💟	белое, значок "сердце", значок «сердце», квадрат, красное, куб, розовый, сердце
❣️	восклицание, восклицательный знак в виде сердца, знак, препинания, сердце, сердце в виде восклицательного знака
💔	разбитое, разбитое сердце, разочарование, сердце, части
❤‍🔥	горящее сердце, любовь, огонь, пламенное сердце, пламя, страсть
❤‍🩹	выздоровление, заживающее сердце, излечение, поправка, улучшение, хорошо
❤️	алое, алое сердце, красное, сердце, чувства
🧡	оранжевое, оранжевое сердце, сердце
💛	желтое, желтое сердце, сердце
💚	зеленое, зеленое сердце, сердце
💙	сердце, синее, синее сердце
💜	сердце, фиолетовое, фиолетовое сердце
🤎	бурый, коричневое, коричневое сердце, коричневый, сердце
🖤	злоба, сердце, черное, черное сердце
🤍	белое, белое сердце, белый, сердце
💋	движение, поцелуй, романтика, след от поцелуя, чувства
💯	100, очки, очков, сто, сто баллов
💢	гнев, злость, значок «гнев», ярость
💥	бум, взрыв, столкновение
💫	головокружение, звезда, звезды, кружащаяся звезда
💦	брызги, брызги воды, вода, капли, капли пота, пот
💨	исчезновение, облако, облачко, пыли, пыль
🕳️	дыра, отверстие, пропасть, черная
💬	многоточие, мысли, облако, облако с многоточием, облачко, облачко с многоточием, речь
👁‍🗨	глаз, значок свидетеля, против преследования, свидетель
🗨️	голубое облачко, облачко, пустое облачко, речь, черное облачко
🗯️	вправо, гнев, гневное облачко, негатив, облачко, ярость
💭	мысли, облако, облачко, облачко с мыслями, размышления
💤	сон, храп
👋	взмах, машет рукой, привет, приветствие, рука
👋🏻	взмах, машет рукой, машет рукой: очень светлый тон кожи, очень светлый тон кожи, привет, приветствие, рука
👋🏼	взмах, машет рукой, машет рукой: светлый тон кожи, привет, приветствие, рука, светлый тон кожи
👋🏽	взмах, машет рукой, машет рукой: средний тон кожи, привет, приветствие, рука, средний тон кожи
👋🏾	взмах, машет рукой, машет рукой: темный тон кожи, привет, приветствие, рука, темный тон кожи
👋🏿	взмах, машет рукой, машет рукой: очень темный тон кожи, очень темный тон кожи, привет, приветствие, рука
🤚	ладонь, поднятая, поднятая рука
🤚🏻	ладонь, очень светлый тон кожи, поднятая, поднятая рука, поднятая рука: очень светлый тон кожи
🤚🏼	ладонь, поднятая, поднятая рука, поднятая рука: светлый тон кожи, светлый тон кожи
🤚🏽	ладонь, поднятая, поднятая рука, поднятая рука: средний тон кожи, средний тон кожи
🤚🏾	ладонь, поднятая, поднятая рука, поднятая рука: темный тон кожи, темный тон кожи
🤚🏿	ладонь, очень темный тон кожи, поднятая, поднятая рука, поднятая рука: очень темный тон кожи
🖐️	ладонь, пальцы, раскрытая, раскрытая ладонь, рука
🖐🏻	ладонь, очень светлый тон кожи, пальцы, раскрытая, раскрытая ладонь: очень светлый тон кожи, рука
🖐🏼	ладонь, пальцы, раскрытая, раскрытая ладонь: светлый тон кожи, рука, светлый тон кожи
🖐🏽	ладонь, пальцы, раскрытая, раскрытая ладонь: средний тон кожи, рука, средний тон кожи
🖐🏾	ладонь, пальцы, раскрытая, раскрытая ладонь: темный тон кожи, рука, темный тон кожи
🖐🏿	ладонь, очень темный тон кожи, пальцы, раскрытая, раскрытая ладонь: очень темный тон кожи, рука
✋	вверх, пальцы, поднятая ладонь, рука
✋🏻	вверх, очень светлый тон кожи, пальцы, поднятая ладонь, поднятая ладонь: очень светлый тон кожи, рука
✋🏼	вверх, пальцы, поднятая ладонь, поднятая ладонь: светлый тон кожи, рука, светлый тон кожи
✋🏽	вверх, пальцы, поднятая ладонь, поднятая ладонь: средний тон кожи, рука, средний тон кожи
✋🏾	вверх, пальцы, поднятая ладонь, поднятая ладонь: темный тон кожи, рука, темный тон кожи
✋🏿	вверх, очень темный тон кожи, пальцы, поднятая ладонь, поднятая ладонь: очень темный тон кожи, рука
🖖	вулканский салют, жест, нимой, приветствие, рука, спок
🖖🏻	вулканский салют, вулканский салют: очень светлый тон кожи, жест, нимой, очень светлый тон кожи, приветствие, рука, спок
🖖🏼	вулканский салют, вулканский салют: светлый тон кожи, жест, нимой, приветствие, рука, светлый тон кожи, спок
🖖🏽	вулканский салют, вулканский салют: средний тон кожи, жест, нимой, приветствие, рука, спок, средний тон кожи
🖖🏾	вулканский салют, вулканский салют: темный тон кожи, жест, нимой, приветствие, рука, спок, темный тон кожи
🖖🏿	вулканский салют, вулканский салют: очень темный тон кожи, жест, нимой, очень темный тон кожи, приветствие, рука, спок
🫱	кисть вправо, рука вправо, рука пальцами вправо
🫱🏻	кисть вправо, очень светлый тон кожи, рука вправо, рука вправо: очень светлый тон кожи, рука пальцами вправо
🫱🏼	кисть вправо, рука вправо, рука вправо: светлый тон кожи, рука пальцами вправо, светлый тон кожи
🫱🏽	кисть вправо, рука вправо, рука вправо: средний тон кожи, рука пальцами вправо, средний тон кожи
🫱🏾	кисть вправо, рука вправо, рука вправо: темный тон кожи, рука пальцами вправо, темный тон кожи
🫱🏿	кисть вправо, очень темный тон кожи, рука вправо, рука вправо: очень темный тон кожи, рука пальцами вправо
🫱🏻‍🫲🏼	встреча, договорились, очень светлый тон кожи, рукопожатие, рукопожатие: очень светлый тон кожи светлый тон кожи, светлый тон кожи, согласие
🫱🏻‍🫲🏽	встреча, договорились, очень светлый тон кожи, рукопожатие, рукопожатие: очень светлый тон кожи средний тон кожи, согласие, средний тон кожи
🫱🏻‍🫲🏾	встреча, договорились, очень светлый тон кожи, рукопожатие, рукопожатие: очень светлый тон кожи темный тон кожи, согласие, темный тон кожи
🫱🏻‍🫲🏿	встреча, договорились, очень светлый тон кожи, очень темный тон кожи, рукопожатие, рукопожатие: очень светлый тон кожи очень темный тон кожи, согласие
🫱🏼‍🫲🏻	встреча, договорились, очень светлый тон кожи, рукопожатие, рукопожатие: светлый тон кожи очень светлый тон кожи, светлый тон кожи, согласие
🫱🏼‍🫲🏽	встреча, договорились, рукопожатие, рукопожатие: светлый тон кожи средний тон кожи, светлый тон кожи, согласие, средний тон кожи
🫱🏼‍🫲🏾	встреча, договорились, рукопожатие, рукопожатие: светлый тон кожи темный тон кожи, светлый тон кожи, согласие, темный тон кожи
🫱🏼‍🫲🏿	встреча, договорились, очень темный тон кожи, рукопожатие, рукопожатие: светлый тон кожи очень темный тон кожи, светлый тон кожи, согласие
🫱🏽‍🫲🏻	встреча, договорились, очень светлый тон кожи, рукопожатие, рукопожатие: средний тон кожи очень светлый тон кожи, согласие, средний тон кожи
🫱🏽‍🫲🏼	встреча, договорились, рукопожатие, рукопожатие: средний тон кожи светлый тон кожи, светлый тон кожи, согласие, средний тон кожи
🫱🏽‍🫲🏾	встреча, договорились, рукопожатие, рукопожатие: средний тон кожи темный тон кожи, согласие, средний тон кожи, темный тон кожи
🫱🏽‍🫲🏿	встреча, договорились, очень темный тон кожи, рукопожатие, рукопожатие: средний тон кожи очень темный тон кожи, согласие, средний тон кожи
🫱🏾‍🫲🏻	встреча, договорились, очень светлый тон кожи, рукопожатие, рукопожатие: темный тон кожи очень светлый тон кожи, согласие, темный тон кожи
🫱🏾‍🫲🏼	встреча, договорились, рукопожатие, рукопожатие: темный тон кожи светлый тон кожи, светлый тон кожи, согласие, темный тон кожи
🫱🏾‍🫲🏽	встреча, договорились, рукопожатие, рукопожатие: темный тон кожи средний тон кожи, согласие, средний тон кожи, темный тон кожи
🫱🏾‍🫲🏿	встреча, договорились, очень темный тон кожи, рукопожатие, рукопожатие: темный тон кожи очень темный тон кожи, согласие, темный тон кожи
🫱🏿‍🫲🏻	встреча, договорились, очень светлый тон кожи, очень темный тон кожи, рукопожатие, рукопожатие: очень темный тон кожи очень светлый тон кожи, согласие
🫱🏿‍🫲🏼	встреча, договорились, очень темный тон кожи, рукопожатие, рукопожатие: очень темный тон кожи светлый тон кожи, светлый тон кожи, согласие
🫱🏿‍🫲🏽	встреча, договорились, очень темный тон кожи, рукопожатие, рукопожатие: очень темный тон кожи средний тон кожи, согласие, средний тон кожи
🫱🏿‍🫲🏾	встреча, договорились, очень темный тон кожи, рукопожатие, рукопожатие: очень темный тон кожи темный тон кожи, согласие, темный тон кожи
🫲	кисть влево, рука влево, рука пальцами влево
🫲🏻	кисть влево, очень светлый тон кожи, рука влево, рука влево: очень светлый тон кожи, рука пальцами влево
