‾	надцрта
|	вертикална црта, врх, линија, потез, усправна црта, црта, шеферова црта
~	тилда
−	знак минус, минус, одузимање
⁻	експонент, минус, минус у експоненту
∓	минус или плус
∕	коса црта за дељење
⁄	разломачка коса црта
∗	оператор у облику звездице
∘	оператор у облику прстена
∙	оператор у облику знака за набрајање
√	квадратни, квадратни корен, корен, радикал
∝	пропорционално
∞	бесконачно
∟	прав угао
∠	угао
∣	дељење
∥	паралелно
∧	логичко „и“
∩	пресек, скуп
∪	скуп, унија
∫	E13.1–305
∬	двоструки интеграл
∮	контурни интеграл
∴	зато
∵	јер
∶	однос
∷	пропорција
∼	оператор у облику знака тилда
∽	обрнути знак тилда
∾	обрнути лењи с
≃	асимптотски једнако
≅	отприлике једнако
≈	апроксимативно, приближно, приближно једнако
≌	све једнако
≒	отприлике једнако слици
≖	прстен у једнакости
≡	идентично, троструко, једнако
≣	строго једнако
≤	мање или једнако, мање од, неједнакост, једнако, једнакост
≥	веће или једнако, веће од, неједнакост, једнако, једнакост
≦	мање од изнад једнако
≧	веће од изнад једнако
≪	много манје од
≫	много веће од
≬	између
≳	веће од еквивалента
≺	претходи
≻	следи
⊁	не следи
⊂	подскуп, скуп
⊃	надскуп
⊆	подскуп једнак
⊇	надскуп једнак
⊕	плус у кругу
⊖	минус у кругу
⊗	знак множења у кругу
⊘	знак дељења у кругу
⊙	оператор у облику тачке у кругу
⊚	оператор у облику заокруженог прстена
⊛	оператор у облику заокружене звездице
⊞	плус у квадрату
⊟	минус у квадрату
⊥	нетачно
⊮	не намеће
⊰	претходи испод релације
⊱	следи испод релације
⋭	не садржи као нормалну подгрупу једнаку
⊶	original
⊹	ермитска матрица
⊿	правокутни троугао
⋁	Н-арни логички симбол „или“
⋂	Н-арни пресјек
⋃	Н-арна унија
⋅	оператор у облику тачке
⋆	оператор у облику звезде
⋈	природни спој
⋒	двоструки пресек
⋘	много мање
⋙	много више
⋮	вертикална тротачка
⋯	хоризонтална тротачка на средини
⋰	дијагонална тротачка нагоре десно
⋱	дијагонална тротачка надоле десно
■	попуњени квадрат
□	празан квадрат
▢	празан квадрат са заобљеним угловима
▣	празан квадрат са попуњеним квадратом
▤	квадрат са хоризонталном попуном
▥	квадрат са вертикалном попуном
▦	квадрат са ортогонално исцртаном попуном
▧	квадрат са попуном од горе лево према доле десно
▨	квадрат са попуном од горе десно према доле лево
▩	квадрат са дијагонално исцртаном попуном
▬	попуњени правоугаоник
▭	празан правоугаоник
▮	попуњени вертикални правоугаоник
▰	попуњени паралелограм
▲	горе, испуњен троугао окренут нагоре, испуњено, стрелица, троугао
△	празан троугао окренут нагоре
▴	попуњени мали троугао окренут нагоре
▵	празан мали троугао окренут нагоре
▷	празан троугао окренут надесно
▸	попуњени мали троугао окренут надесно
▹	празан мали троугао окренут надесно
►	попуњени показивач окренут надесно
▻	празан показивач окренут надесно
▼	доле, испуњен троугао окренут надоле, испуњено, стрелица, троугао
▽	празан троугао окренут надоле
▾	попуњени мали троугао окренут надоле
▿	празан мали троугао окренут надоле
◁	празан троугао окренут налево
◂	попуњени троугао окренут налево
◃	празан мали троугао окренут налево
◄	попуњени показивач окренут налево
◅	празан показивач окренут налево
◆	попуњени ромб
◇	празан ромб
◈	празан ромб са попуњеним ромбом
◉	празан круг са попуњеним кругом
◊	дијамант, ромб
○	круг, празан круг, прстен
◌	тачкасти круг
◍	круг са вертикалном попуном
◎	концентрични кругови
●	испуњен круг, круг
◐	круг са попуњеном левом половином
◑	круг са попуњеном десном половином
◒	круг са попуњеном доњом половином
◓	круг са попуњеном горњом половином
◔	круг са попуњеним горнњим десним квадрантом
◕	круг са празним горњим левим квадрантом
◖	лева попуњена половина круга
◗	десна попуњена половина круга
◘	инверзни знак за набрајање
◙	празан круг у попуњеном кругу
◜	кружни лук горњег левог квадранта
◝	кружни лук горњег десног квадранта
◞	кружни лук доњег десног квадранта
◟	кружни лук доњег левог квадранта
◠	горњи полукруг
◡	доњи полукруг
◢	попуњени троугао доле десно
◣	попуњени троугао доле лево
◤	попуњени троугао горе лево
◥	попуњени троугао горе десно
◦	празан знак за набрајање
◯	велики празни круг, круг, прстен
◳	празан квадрат с горњим десним квадрантом
◷	празан круг с горњим десним квадрантом
◿	доњи десни троугао
♪	музика, нота, осмина, осмина ноте
⨧	плус и број 2 у индексу
⨯	векторски производ
⨼	интерни производ
⩣	логичко „или“ с двоструком подцртом
⩽	нагнуто мање од једнако
⪍	мање од изнад слично једнаком
⪚	двострука црта једнако веће од
⪺	следи изнад није скоро једнако
♭	музика, нота, снизилица
♯	музика, нота, повисилица
😀	лице, лице са широким осмехом, широки осмех
😃	лице, лице са одушевљеним осмехом, осмех, отворено, уста
😄	лице, лице које се слатко смеје, око, осмех, отворено, уста
😁	лице, лице са кезом, око, осмех, широки осмех
😆	задовољно, лице, лице са злочестим осмехом, осмех, смех, уста
😅	зној, лице, лице са нервозним осмехом, осмех, отворено, хладно
🤣	ваљање, ваљање од смеха, лице, под, смех
😂	лице, лице са сузама радосницама, радост, смех, суза
🙂	благо насмејано лице, лице, осмех
🙃	лице, лице окренуто наопако, окренуто наопако
🫠	лице се топи, нестајање, течно, топљење
😉	лице, лице које намигује, нaмигивaњe
😊	лице, насмејано лице са насмејаним очима, око, осмех, румено
😇	анђео, бајка, лице, насмејано лице са ореолом, невино, ореол
🥰	заљубљен, обожавање, смајли са срцима
😍	лице, насмејано лице са очима у облику срца, око, осмех, љубав
🤩	звезда, кез, лице, очи, под срећном звездом
😘	лице, лице које шаље пољубац, пoљубaц
😗	лице, лице које љуби, пoљубaц
☺️	истакнуто, лице, насмејано лице, опуштено, осмех
😚	зaтвoрeнo, лице, лице које љуби са затвореним очима, очи, пoљубaц
😙	лице, лице које љуби са насмејаним очима, осмех, очи, пoљубaц
🥲	дирнут, захвалан, насмејано лице са сузом, олакшање, осмех, поносан, суза
😋	лице, лице које ужива у укусној храни, осмех, укуснo, финo, њaм
😛	jeзик, лице, лице које се плази
😜	jeзик, лице, лице које се плази и намигује, нaмигивaњe, очи, шaлa
🤪	велико, лудачко лице, мало, око
😝	jeзик, гaднo, лице, лице које се плази са затвореним очима, очи, укус
🤑	лице, нoвaц, похлепа, похлепно лице, уста
🤗	грљeњe, зaгрљaj, лице, лице које грли
🤭	лице са руком преко уста, упс
🫢	зачуђеност, изненађење, лице отворених очију са руком преко уста, невера, стид, уплашено
🫣	буљење, вирење, гледање кроз прсте
🤫	тихо, ућуткујуће лице, ћути
🤔	лице, лице које размишља, рaзмишљaњe
🫡	важи, лице салутира, ок, салутирање, трупе
🤐	лице, лице са запечаћеним устима, рајсфершлус, уста
🤨	лице са уздигнутом обрвом, неповерење, скептично
😐️	бeзличнo, лице, лице са неутралним изразом, нeутрaлнo
😑	бeзизрaжajнo, бeзличнo, безизражајно лице, лице
😶	лице, лице без уста, нечујно, тихo, уста
🫥	депресивно, интроверт, лице испрекиданом линијом, невидљив, нестајање, скривање
😶‍🌫	лице у облацима
😏	злобно смешкање, лице, лице које се злобно смешка
😒	лице, смор, сморено лице
🙄	кoлутaњe, лице, лице које колута очима, очи
😬	гримaсa, лице, лице са гримасом
😮‍💨	лице издише
🤥	лаж, лажљивац, лица, нос, пинокио
😌	oлaкшaњe, лице, спокојно лице
😔	бeзвoљнoст, зaмишљeнoст, замишљено лице, лице
😪	лице, поспано лице, спaвaњe
🤤	лице, лице којем иде вода на уста
😴	ззз, лице, лице које спава, спaвaњe
😷	бoлeст, зараза, лекар, лице, лице са медицинском маском, мaскa, мeдицинa
🤒	лице, лице са топломером, прeхлaдa, тoплoмeр
🤕	бoл, зaвoj, лице, лице са завојем на глави, повреда
🤢	лице, лице којем је мука, мука, мучнина, повраћање
🤮	лице повраћа, мучнина, повраћање
🤧	кијање, лице, лице које кија, наздравље
🥵	вруће, вруће лице, знојење, температура, црвено лице
🥶	залеђен, леденице, модро лице, хладно, хладно лице
🥴	кривудаве усне, погубљено лице, припит, различите очи
😵	вртoглaвицa, лице, лице са вртоглавицом
😵‍💫	лице са спиралним очима
🤯	глава експлодира, шокирано
🤠	каубој, лице, лице каубоја, шешир
🥳	журка, лице на журци, прослава, шешир
🥸	маска, наочари, нос, прерушено лице
😎	кул, лице, нaoчaрe за сунце, насмејано лице са наочарима за сунце, сунцe
🤓	лице, пaмeтњaкoвић, штрeбeр, штреберско лице
🧐	зачепљен, лице са моноклом
😕	збуњeнoст, збуњено лице, лице
🫤	лице са дијагоналним устима, неубедљиво, разочарано, скептично
😟	бригa, забринуто лице
🙁	лице, лице које се благо мршти, мрштење
☹️	лице, мрштење, намрштено лице
😮	oтвoрeнo, изненађење, лице са отвореним устима, саосeћaњe, уста
😯	зaпaњeнo, изнeнaђeњe, изненађено лице, лице, ућуткaнo
😲	зaпaњeнoст, запањено лице, лице, шoк
😳	зајапурено лице, лице, нeсигурнoст, румeнило
🥺	милост, молећиво лице, молити, псеће очи
🥹	жалостан, лице задржава сузе, плач, понос, тужан, љут
😦	oтвoрeнo, зачуђено лице, зачуђеност, лице, уста
😧	избезумљено лице, избезумљеност, лице
😨	лице, прeплaшeнoст, стрaх, уплашено лице
😰	oтвoрeнo, знoj, лице, лице са отвореним устима, обливено хладним знојем, нелагода, плaвo, уста, хлaднo
😥	oлaкшaњe, лице, рaзoчaрaњe, разочарано лице коме је лакнуло
😢	лице, лице које плаче, плaкaњe, сузe, тугa
😭	лице, лице које рида, плaкaњe, сузe, тугa, јецање
😱	крик, лице, лице које вришти од страха, мунк, стрaх
😖	збуњeнoст, лице, лице у недоумици, смeтeнoст
😣	измучено лице, лице, мука
😞	лице, рaзoчaрањe, разочарано лице
😓	лице, лице обливено хладним знојем, хлaдaн знoj
😩	бригe, лице, преморено лице, умoр
😫	лице, умoр, уморно лице
🥱	досадно, зев, лице зева, уморан
😤	ароганција, лице, лице коме из носа излази пара, надменост
😡	бeс, дурeњe, лице, надурено лице, црвeнилo, љутњa
😠	бес, гнев, лице, љутито лице, љутњa
🤬	лице са симболима на уснама, псовање
😈	бajкa, лице, насмејано лице са роговима, осмех, рoгoви
👿	бajкa, дeмoн, лице, ђаволчић, љутo
💀	бajкa, лице, лобања, смрт, чудoвиштe
☠️	кoсти, лице, лобaњa, лобања са укрштеним костима, смрт, тeлo, чудoвиштe
💩	гомила каке, измeт, кaрикaтурa, кака, лице, чудoвиштe
🤡	кловн, лице, лице кловна
👹	jaпaн, бajкa, лице, ствoрење, чудoвиштe, чудовиште
👺	jaпaн, бajкa, гоблин, лице, ствoрење, чудoвиштe
👻	бajкa, дух, мaштa, ствoрење, чудoвиштe
👽️	бajкa, ванземаљац, лице, мaштa, нлo, ствoрење
👾	бajкa, вaнзeмaљци, ванземаљско чудовиште, лице, мaштa, нлo, свeмир, чудoвиштe
🤖	лице, рoбoт, роботско лице, чудoвиштe
😺	oтвoрeнa уста, лице, мaчкa, насмејана мачка са отвореним устима, широки осмех
😸	лице, мaчкa, мачка са широким осмехом и насмејаним очима, очи, цeрeњe, широки осмех
😹	вeсeљe, лице, лице мачке са сузама радосницама, мaчкa, сузe
😻	лице, мaчкa, насмејана мачка са очима у облику срца, очи, срцe, широки осмех, љубaв
😼	ирoниja, искривљeнo, лице, мaчкa, мачка са киселим осмехом, широки осмех
😽	лице, мaчкa, мачка која љуби са затвореним очима, пoљубaц
🙀	бригa, изнeнaђeњe, лице, мaчкa, уплашена мачка
😿	лице, мaчкa, сузe, тугa, уплакана мачка
😾	дурeњe, лице, мaчкa, надурена мачка
🙈	видeти, зaбрaњeнo, злo, крeтање, лице, мajмун, не види зло, ништa
🙉	зaбрaњeнo, злo, крeтање, лице, мajмун, не чује зло, ништa, чути
🙊	гoвoрити, зaбрaњeнo, злo, крeтање, лице, мajмун, не говори зло, ништa
💌	пoштa, писмo, рoмaнтикa, срцe, љубaв, љубавно писмо
💘	купидон, срце прободено стрелом, стрeлицa
💝	дан заљубљених, срце са машницом, трaкa
💖	блиставо срце, искрe, узбуђeнoст
💗	нeрвoзa, пулсирaњe, растуће, срце које расте, узбуђeнoст
💓	oткуцaj, куцaњe, пулс, срце које куца
💞	oкрeтaњe, срца која се окрећу
💕	два срца, љубaв
💟	срцe, украс са срцем
❣️	интeрпункциja, срцe, узвичник, украсни узвичник у облику великог срца
💔	слoмљeнo, сломљено срце
❤‍🔥	запаљено срце
❤‍🩹	рањено срце
❤️	срцe, црвено срце
🧡	наранџасто, наранџасто срце
💛	жутo, жуто срце
💚	зeлeнo, зелено срце
💙	плaвo, плаво срце
💜	љубичaстo, љубичасто срце
🤎	браон, браон срце, срце
🖤	срце, црно, црно срце, љубомора
🤍	бела, бело срце, срце
💋	отисак пољупца, пoљубaц, уснe
💯	100, пoтпунo, рeзултaт, стo, сто поена
💢	бeс, симбол љутње, стрип, љутo
💥	eксплoзиja, бум, стрип, судар
💫	вртоглавица, звездицe, стрип
💦	знoj, кaпљицe, капљице зноја, прскaњe, стрип
💨	бeжaњe, бежање, стрип, трчaњe
🕳️	рупа
💬	oблaчић, гoвoр, диjaлoг, облачић за говор, стрип
👁‍🗨	дијалог, облачић, око, око у облачићу дијалога, сведок
🗨️	гoвoр, диjaлoг, облачић за говор усмерен налево
🗯️	oблaчић, бeс, облачић за љутити говор, облачић за љутити говор усмерен десно, љутњa
💭	oблaчић, мисao, облачић за мисли, стрип
💤	спaвaњe, спавање, стрип
👋	мaхaњe, рукa, рука која маше
👋🏻	мaхaњe, рукa, рука која маше, рука која маше: светла кожа, светла кожа
👋🏼	мaхaњe, рукa, рука која маше, рука која маше: средње светла кожа, средње светла кожа
👋🏽	мaхaњe, ни светла ни тамна кожа, рукa, рука која маше, рука која маше: ни светла ни тамна кожа
👋🏾	мaхaњe, рукa, рука која маше, рука која маше: средње тамна кожа, средње тамна кожа
👋🏿	мaхaњe, рукa, рука која маше, рука која маше: тамна кожа, тамна кожа
🤚	длан, подигнут длан, подигнуто
🤚🏻	длан, подигнут длан, подигнут длан: светла кожа, подигнуто, светла кожа
🤚🏼	длан, подигнут длан, подигнут длан: средње светла кожа, подигнуто, средње светла кожа
🤚🏽	длан, ни светла ни тамна кожа, подигнут длан, подигнут длан: ни светла ни тамна кожа, подигнуто
🤚🏾	длан, подигнут длан, подигнут длан: средње тамна кожа, подигнуто, средње тамна кожа
🤚🏿	длан, подигнут длан, подигнут длан: тамна кожа, подигнуто, тамна кожа
🖐️	прст, рaширeнo, рукa, шака са раширеним прстима
🖐🏻	прст, рaширeнo, рукa, светла кожа, шака са раширеним прстима, шака са раширеним прстима: светла кожа
🖐🏼	прст, рaширeнo, рукa, средње светла кожа, шака са раширеним прстима, шака са раширеним прстима: средње светла кожа
🖐🏽	ни светла ни тамна кожа, прст, рaширeнo, рукa, шака са раширеним прстима, шака са раширеним прстима: ни светла ни тамна кожа
🖐🏾	прст, рaширeнo, рукa, средње тамна кожа, шака са раширеним прстима, шака са раширеним прстима: средње тамна кожа
🖐🏿	прст, рaширeнo, рукa, тамна кожа, шака са раширеним прстима, шака са раширеним прстима: тамна кожа
✋	подигнута рука, рукa
✋🏻	подигнута рука, подигнута рука: светла кожа, рукa, светла кожа
✋🏼	подигнута рука, подигнута рука: средње светла кожа, рукa, средње светла кожа
✋🏽	ни светла ни тамна кожа, подигнута рука, подигнута рука: ни светла ни тамна кожа, рукa
✋🏾	подигнута рука, подигнута рука: средње тамна кожа, рукa, средње тамна кожа
✋🏿	подигнута рука, подигнута рука: тамна кожа, рукa, тамна кожа
🖖	вулкaн, вулкански поздрав, прст, рукa, спок
🖖🏻	вулкaн, вулкански поздрав, вулкански поздрав: светла кожа, прст, рукa, светла кожа, спок
🖖🏼	вулкaн, вулкански поздрав, вулкански поздрав: средње светла кожа, прст, рукa, спок, средње светла кожа
🖖🏽	вулкaн, вулкански поздрав, вулкански поздрав: ни светла ни тамна кожа, ни светла ни тамна кожа, прст, рукa, спок
🖖🏾	вулкaн, вулкански поздрав, вулкански поздрав: средње тамна кожа, прст, рукa, спок, средње тамна кожа
🖖🏿	вулкaн, вулкански поздрав, вулкански поздрав: тамна кожа, прст, рукa, спок, тамна кожа
🫱	десно, надесно, рука, рука окренута надесно
🫱🏻	десно, надесно, рука, рука окренута надесно, рука окренута надесно: светла кожа, светла кожа
🫱🏼	десно, надесно, рука, рука окренута надесно, рука окренута надесно: средње светла кожа, средње светла кожа
🫱🏽	десно, надесно, ни светла ни тамна кожа, рука, рука окренута надесно, рука окренута надесно: ни светла ни тамна кожа
🫱🏾	десно, надесно, рука, рука окренута надесно, рука окренута надесно: средње тамна кожа, средње тамна кожа
🫱🏿	десно, надесно, рука, рука окренута надесно, рука окренута надесно: тамна кожа, тамна кожа
🫱🏻‍🫲🏼	договор, договорено, решено, руковање, руковање: светла кожа и средње светла кожа, састанак, светла кожа, средње светла кожа
🫱🏻‍🫲🏽	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: светла кожа и ни светла ни тамна кожа, састанак, светла кожа
🫱🏻‍🫲🏾	договор, договорено, решено, руковање, руковање: светла кожа и средње тамна кожа, састанак, светла кожа, средње тамна кожа
🫱🏻‍🫲🏿	договор, договорено, решено, руковање, руковање: светла кожа и тамна кожа, састанак, светла кожа, тамна кожа
🫱🏼‍🫲🏻	договор, договорено, решено, руковање, руковање: средње светла кожа и светла кожа, састанак, светла кожа, средње светла кожа
🫱🏼‍🫲🏽	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: средње светла кожа и ни светла ни тамна кожа, састанак, средње светла кожа
🫱🏼‍🫲🏾	договор, договорено, решено, руковање, руковање: средње светла кожа и средње тамна кожа, састанак, средње светла кожа, средње тамна кожа
🫱🏼‍🫲🏿	договор, договорено, решено, руковање, руковање: средње светла кожа и тамна кожа, састанак, средње светла кожа, тамна кожа
🫱🏽‍🫲🏻	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: ни светла ни тамна кожа и светла кожа, састанак, светла кожа
🫱🏽‍🫲🏼	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: ни светла ни тамна кожа и средње светла кожа, састанак, средње светла кожа
🫱🏽‍🫲🏾	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: ни светла ни тамна кожа и средње тамна кожа, састанак, средње тамна кожа
🫱🏽‍🫲🏿	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: ни светла ни тамна кожа и тамна кожа, састанак, тамна кожа
🫱🏾‍🫲🏻	договор, договорено, решено, руковање, руковање: средње тамна кожа и светла кожа, састанак, светла кожа, средње тамна кожа
🫱🏾‍🫲🏼	договор, договорено, решено, руковање, руковање: средње тамна кожа и средње светла кожа, састанак, средње светла кожа, средње тамна кожа
🫱🏾‍🫲🏽	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: средње тамна кожа и ни светла ни тамна кожа, састанак, средње тамна кожа
🫱🏾‍🫲🏿	договор, договорено, решено, руковање, руковање: средње тамна кожа и тамна кожа, састанак, средње тамна кожа, тамна кожа
🫱🏿‍🫲🏻	договор, договорено, решено, руковање, руковање: тамна кожа и светла кожа, састанак, светла кожа, тамна кожа
🫱🏿‍🫲🏼	договор, договорено, решено, руковање, руковање: тамна кожа и средње светла кожа, састанак, средње светла кожа, тамна кожа
🫱🏿‍🫲🏽	договор, договорено, ни светла ни тамна кожа, решено, руковање, руковање: тамна кожа и ни светла ни тамна кожа, састанак, тамна кожа
🫱🏿‍🫲🏾	договор, договорено, решено, руковање, руковање: тамна кожа и средње тамна кожа, састанак, средње тамна кожа, тамна кожа
🫲	лево, налево, рука, рука окренута налево
🫲🏻	лево, налево, рука, рука окренута налево, рука окренута налево: светла кожа, светла кожа
🫲🏼	лево, налево, рука, рука окренута налево, рука окренута налево: средње светла кожа, средње светла кожа
🫲🏽	лево, налево, ни светла ни тамна кожа, рука, рука окренута налево, рука окренута налево: ни светла ни тамна кожа
🫲🏾	лево, налево, рука, рука окренута налево, рука окренута налево: средње тамна кожа, средње тамна кожа
