😀	išsišiepti, išsišiepęs veidas, veidas
😤	laimėjo, triumfas, veidas, veidas su iš nosies einančiais garais
😡	piktas, raudonas, susiraukęs, susiraukęs veidas, veidas, įniršis, įsiutęs
😠	piktas, piktas veidas, pyktis, veidas
🤬	besikeikiantis, veidas su simboliais ant burnos
😈	besišypsantis veidas su ragais, fantazija, pasaka, ragai, veidas, šypsena
👿	fantazija, pasaka, veidas, velnias, velniūkštis
💀	kaukolė, mirtis, monstras, pasaka, veidas
☠️	kaukolė, kaukolė ir sukryžiuoti kaulai, mirtis, monstras, sukryžiuoti kaulai, veidas
💩	išmatos, išmatų krūvelė, kakoti, komiksas, monstras, mėšlas, veidas
🤡	klounas, klouno veidas, veidas
👹	fantazija, monstras, pabaisa, padaras, pasaka, veidas
👺	demonas, fantazija, monstras, padaras, pasaka, veidas
👻	fantazija, monstras, padaras, pasaka, vaiduoklis, veidas
👽️	ateivis, fantazija, kūrinys, nežemiška būtybė, veidas
👾	ateivis, fantazija, kūrinys, monstras ateivis, nežemiška būtybė, pabaisa, veidas
🤖	monstras, robotas, roboto veidas, veidas
😺	besišypsančios katės snukutis, burna, išsižiojęs, katė, veidas, šypsena
😸	akys, išsišiepusios katės snukutis su besišypsančiomis akimis, katė, vaipytis, veidas, šypsena
😹	ašara, džiaugsmas, katė, katės snukutis su džiaugsmo ašaromis, veidas
😻	akis, besišypsančios katės snukutis su širdelės formos akimis, katė, meilė, veidas, šypsena
😼	ironija, katė, nuvargusios besišypsančios katės snukutis, nuvargęs, veidas, šypsena
😽	akys, bučinys, bučiuojančios katės snukutis, katė, veidas
🙀	katė, nustebusios katės snukutis, nustebęs, oi, veidas
😿	ašara, katė, liūdesys, veidas, verkiančios katės snukutis, verkti
😾	katė, susiraukusios katės snukutis, susiraukęs, veidas
🙈	beždžionė, blogis, draudžiama, matyti, uždrausta, užsidengusi akis beždžionė, veidas
🙉	beždžionė, blogis, draudžiama, klausyti, uždrausta, užsidengusi ausis beždžionė, veidas
🙊	beždžionė, blogis, uždrausta, užsidengusi burną beždžionė, veidas
💋	bučinio žymė, bučinys, lūpos
💌	laiškas, meilė, meilės laiškas, paštas, širdis
💘	bučinys, lūpos, širdelė su strėle
💝	kaspinas, valentino diena, širdelė su kaspinu
💖	susijaudinimas, žėrinti širdelė, žėrėti
💗	auganti širdelė, didėjimas, pulsas, susijaudinimas, susinervinęs
💓	plakanti, plakanti širdelė, pulsavimas, širdies plakimas, širdis
💞	besisukančios širdelės, suktis
💕	dvi širdelės, meilė
💟	širdelės dekoracija, širdis
❣️	skyryba, storas širdelės formos šauktukas, šauktukas, širdis, ženklas
💔	sudaužyta, sudaužyta širdelė, sudaužyti
❤️	raudona širdelė, širdis
🧡	oranžinė, oranžinė širdelė
💛	geltona, geltona širdelė
💚	žalia, žalia širdelė
💙	mėlyna, mėlyna širdelė
💜	purpurinė, purpurinė širdelė
🖤	blogis, juoda, juoda širdis, širdis
💯	100, pilnas, rezultatas, šimtas, šimtas taškų
💢	komiksas, piktas, pykčio simbolis, supykęs
💥	bum, komiksas, susidūrimas
💫	apsvaigęs, komiksas, žvaigždė
💦	komiksas, prakaitas, prakaito lašeliai, taškymas
💨	bėgimas, dulkės, komiksas, sukeltos dulkės
🕳️	duobė
💣️	bomba, komiksas
💬	balionas, debesėlis, dialogas, kalba, kalbos debesėlis, komiksas
👁‍🗨	akis, akis kalbėjimo burbule, kalbėjimo burbulas, liudjimas
🗨️	dialogas, kairysis kalbos debesėlis, kalba
🗯️	balionas, debesėlis, dešinysis pykčio debesėlis, piktas, įsiutęs
💭	balionas, debesėlis, komiksas, minties debesėlis, mintis
💤	komiksas, miegas, miego simbolis
👋	mojuoja, mojuojanti ranka, mojuoti, ranka
👋🏻	1 ir 2 odos tipai, mojuoja, mojuojanti ranka, mojuojanti ranka: 1 ir 2 odos tipai, mojuoti, ranka
👋🏼	3 odos tipas, mojuoja, mojuojanti ranka, mojuojanti ranka: 3 odos tipas, mojuoti, ranka
👋🏽	4 odos tipas, mojuoja, mojuojanti ranka, mojuojanti ranka: 4 odos tipas, mojuoti, ranka
👋🏾	5 odos tipas, mojuoja, mojuojanti ranka, mojuojanti ranka: 5 odos tipas, mojuoti, ranka
👋🏿	6 odos tipas, mojuoja, mojuojanti ranka, mojuojanti ranka: 6 odos tipas, mojuoti, ranka
🤚	pakelta, pakelta viršutinė plaštakos pusė, plaštaka
🤚🏻	1 ir 2 odos tipai, pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: 1 ir 2 odos tipai, plaštaka
🤚🏼	3 odos tipas, pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: 3 odos tipas, plaštaka
🤚🏽	4 odos tipas, pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: 4 odos tipas, plaštaka
🤚🏾	5 odos tipas, pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: 5 odos tipas, plaštaka
🤚🏿	6 odos tipas, pakelta, pakelta viršutinė plaštakos pusė, pakelta viršutinė plaštakos pusė: 6 odos tipas, plaštaka
🖐️	iškelta ranka su išskėstais pirštais, išskėsta, pirštas, ranka
🖐🏻	1 ir 2 odos tipai, iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: 1 ir 2 odos tipai, išskėsta, pirštas, ranka
🖐🏼	3 odos tipas, iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: 3 odos tipas, išskėsta, pirštas, ranka
🖐🏽	4 odos tipas, iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: 4 odos tipas, išskėsta, pirštas, ranka
🖐🏾	5 odos tipas, iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: 5 odos tipas, išskėsta, pirštas, ranka
🖐🏿	6 odos tipas, iškelta ranka su išskėstais pirštais, iškelta ranka su išskėstais pirštais: 6 odos tipas, išskėsta, pirštas, ranka
✋	iškelta ranka, ranka
✋🏻	1 ir 2 odos tipai, iškelta ranka, iškelta ranka: 1 ir 2 odos tipai, ranka
✋🏼	3 odos tipas, iškelta ranka, iškelta ranka: 3 odos tipas, ranka
✋🏽	4 odos tipas, iškelta ranka, iškelta ranka: 4 odos tipas, ranka
✋🏾	5 odos tipas, iškelta ranka, iškelta ranka: 5 odos tipas, ranka
✋🏿	6 odos tipas, iškelta ranka, iškelta ranka: 6 odos tipas, ranka
🖖	kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas
🖖🏻	1 ir 2 odos tipai, kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: 1 ir 2 odos tipai
🖖🏼	3 odos tipas, kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: 3 odos tipas
🖖🏽	4 odos tipas, kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: 4 odos tipas
🖖🏾	5 odos tipas, kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: 5 odos tipas
🖖🏿	6 odos tipas, kūnas, pirštas, ranka, vulkanai, vulkanų rasės pasisveikinimo ženklas, vulkanų rasės pasisveikinimo ženklas: 6 odos tipas
👌	GERAI ženklas rankomis, gerai, ranka
👌🏻	1 ir 2 odos tipai, GERAI ženklas rankomis, GERAI ženklas rankomis: 1 ir 2 odos tipai, gerai, ranka
👌🏼	3 odos tipas, GERAI ženklas rankomis, GERAI ženklas rankomis: 3 odos tipas, gerai, ranka
👌🏽	4 odos tipas, GERAI ženklas rankomis, GERAI ženklas rankomis: 4 odos tipas, gerai, ranka
👌🏾	5 odos tipas, GERAI ženklas rankomis, GERAI ženklas rankomis: 5 odos tipas, gerai, ranka
👌🏿	6 odos tipas, GERAI ženklas rankomis, GERAI ženklas rankomis: 6 odos tipas, gerai, ranka
✌️	pergalė, pergalės ženklą rodanti ranka, ranka, v
✌🏻	1 ir 2 odos tipai, pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: 1 ir 2 odos tipai, ranka, v
✌🏼	3 odos tipas, pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: 3 odos tipas, ranka, v
✌🏽	4 odos tipas, pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: 4 odos tipas, ranka, v
✌🏾	5 odos tipas, pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: 5 odos tipas, ranka, v
✌🏿	6 odos tipas, pergalė, pergalės ženklą rodanti ranka, pergalės ženklą rodanti ranka: 6 odos tipas, ranka, v
🤞	kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai
🤞🏻	1 ir 2 odos tipai, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: 1 ir 2 odos tipai
🤞🏼	3 odos tipas, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: 3 odos tipas
🤞🏽	4 odos tipas, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: 4 odos tipas
🤞🏾	5 odos tipas, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: 5 odos tipas
🤞🏿	6 odos tipas, kryžius, laimė, pirštai, ranka, sukryžiuoti pirštai, sukryžiuoti pirštai: 6 odos tipas
🤟	MYLIU, ranka, „myliu tave“ gestas
🤟🏻	1 ir 2 odos tipai, MYLIU, ranka, „myliu tave“ gestas, „myliu tave“ gestas: 1 ir 2 odos tipai
🤟🏼	3 odos tipas, MYLIU, ranka, „myliu tave“ gestas, „myliu tave“ gestas: 3 odos tipas
🤟🏽	4 odos tipas, MYLIU, ranka, „myliu tave“ gestas, „myliu tave“ gestas: 4 odos tipas
🤟🏾	5 odos tipas, MYLIU, ranka, „myliu tave“ gestas, „myliu tave“ gestas: 5 odos tipas
🤟🏿	6 odos tipas, MYLIU, ranka, „myliu tave“ gestas, „myliu tave“ gestas: 6 odos tipas
🤘	pirštas, ragai, ragų ženklas, ranka, rokas
🤘🏻	1 ir 2 odos tipai, pirštas, ragai, ragų ženklas, ragų ženklas: 1 ir 2 odos tipai, ranka, rokas
🤘🏼	3 odos tipas, pirštas, ragai, ragų ženklas, ragų ženklas: 3 odos tipas, ranka, rokas
🤘🏽	4 odos tipas, pirštas, ragai, ragų ženklas, ragų ženklas: 4 odos tipas, ranka, rokas
🤘🏾	5 odos tipas, pirštas, ragai, ragų ženklas, ragų ženklas: 5 odos tipas, ranka, rokas
🤘🏿	6 odos tipas, pirštas, ragai, ragų ženklas, ragų ženklas: 6 odos tipas, ranka, rokas
🤙	gestas paskambink man, ranka, skambinti
🤙🏻	1 ir 2 odos tipai, gestas paskambink man, gestas paskambink man: 1 ir 2 odos tipai, ranka, skambinti
🤙🏼	3 odos tipas, gestas paskambink man, gestas paskambink man: 3 odos tipas, ranka, skambinti
🤙🏽	4 odos tipas, gestas paskambink man, gestas paskambink man: 4 odos tipas, ranka, skambinti
🤙🏾	5 odos tipas, gestas paskambink man, gestas paskambink man: 5 odos tipas, ranka, skambinti
🤙🏿	6 odos tipas, gestas paskambink man, gestas paskambink man: 6 odos tipas, ranka, skambinti
👈️	indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka
👈🏻	1 ir 2 odos tipai, indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: 1 ir 2 odos tipai
👈🏼	3 odos tipas, indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: 3 odos tipas
👈🏽	4 odos tipas, indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: 4 odos tipas
👈🏾	5 odos tipas, indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: 5 odos tipas
👈🏿	6 odos tipas, indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka, į kairę pirštu rodanti ranka: 6 odos tipas
👉️	indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka
👉🏻	1 ir 2 odos tipai, indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: 1 ir 2 odos tipai
👉🏼	3 odos tipas, indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: 3 odos tipas
👉🏽	4 odos tipas, indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: 4 odos tipas
👉🏾	5 odos tipas, indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: 5 odos tipas
👉🏿	6 odos tipas, indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka, į dešinę pirštu rodanti ranka: 6 odos tipas
👆️	delnu nusukta aukštyn pirštu rodanti ranka, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
👆🏻	1 ir 2 odos tipai, delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: 1 ir 2 odos tipai, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
👆🏼	3 odos tipas, delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: 3 odos tipas, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
👆🏽	4 odos tipas, delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: 4 odos tipas, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
👆🏾	5 odos tipas, delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: 5 odos tipas, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
👆🏿	6 odos tipas, delnu nusukta aukštyn pirštu rodanti ranka, delnu nusukta aukštyn pirštu rodanti ranka: 6 odos tipas, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
🖕	pirštas, ranka, vidurinis pirštas
🖕🏻	1 ir 2 odos tipai, pirštas, ranka, vidurinis pirštas, vidurinis pirštas: 1 ir 2 odos tipai
🖕🏼	3 odos tipas, pirštas, ranka, vidurinis pirštas, vidurinis pirštas: 3 odos tipas
🖕🏽	4 odos tipas, pirštas, ranka, vidurinis pirštas, vidurinis pirštas: 4 odos tipas
🖕🏾	5 odos tipas, pirštas, ranka, vidurinis pirštas, vidurinis pirštas: 5 odos tipas
🖕🏿	6 odos tipas, pirštas, ranka, vidurinis pirštas, vidurinis pirštas: 6 odos tipas
👇️	delnu nusukta žemyn pirštu rodanti ranka, indeksas, pirštas, ranka, rodyti, į apačią
👇🏻	1 ir 2 odos tipai, delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: 1 ir 2 odos tipai, indeksas, pirštas, ranka, rodyti, į apačią
👇🏼	3 odos tipas, delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: 3 odos tipas, indeksas, pirštas, ranka, rodyti, į apačią
👇🏽	4 odos tipas, delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: 4 odos tipas, indeksas, pirštas, ranka, rodyti, į apačią
👇🏾	5 odos tipas, delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: 5 odos tipas, indeksas, pirštas, ranka, rodyti, į apačią
👇🏿	6 odos tipas, delnu nusukta žemyn pirštu rodanti ranka, delnu nusukta žemyn pirštu rodanti ranka: 6 odos tipas, indeksas, pirštas, ranka, rodyti, į apačią
☝️	delnu atsukta aukštyn pirštu rodanti ranka, indeksas, pirštas, ranka, rodyti, į viršų
☝🏻	1 ir 2 odos tipai, delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: 1 ir 2 odos tipai, indeksas, pirštas, ranka, rodyti, į viršų
☝🏼	3 odos tipas, delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: 3 odos tipas, indeksas, pirštas, ranka, rodyti, į viršų
☝🏽	4 odos tipas, delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: 4 odos tipas, indeksas, pirštas, ranka, rodyti, į viršų
☝🏾	5 odos tipas, delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: 5 odos tipas, indeksas, pirštas, ranka, rodyti, į viršų
☝🏿	6 odos tipas, delnu atsukta aukštyn pirštu rodanti ranka, delnu atsukta aukštyn pirštu rodanti ranka: 6 odos tipas, indeksas, pirštas, ranka, rodyti, į viršų
👍️	liuks, nykštys, nykštys į viršų, ranka, į viršų
👍🏻	1 ir 2 odos tipai, liuks, nykštys, nykštys į viršų, nykštys į viršų: 1 ir 2 odos tipai, ranka, į viršų
👍🏼	3 odos tipas, liuks, nykštys, nykštys į viršų, nykštys į viršų: 3 odos tipas, ranka, į viršų
👍🏽	4 odos tipas, liuks, nykštys, nykštys į viršų, nykštys į viršų: 4 odos tipas, ranka, į viršų
👍🏾	5 odos tipas, liuks, nykštys, nykštys į viršų, nykštys į viršų: 5 odos tipas, ranka, į viršų
👍🏿	6 odos tipas, liuks, nykštys, nykštys į viršų, nykštys į viršų: 6 odos tipas, ranka, į viršų
👎️	blogai, nykštys, nykštys į apačią, ranka
👎🏻	1 ir 2 odos tipai, blogai, nykštys, nykštys į apačią, nykštys į apačią: 1 ir 2 odos tipai, ranka
👎🏼	3 odos tipas, blogai, nykštys, nykštys į apačią, nykštys į apačią: 3 odos tipas, ranka
👎🏽	4 odos tipas, blogai, nykštys, nykštys į apačią, nykštys į apačią: 4 odos tipas, ranka
👎🏾	5 odos tipas, blogai, nykštys, nykštys į apačią, nykštys į apačią: 5 odos tipas, ranka
👎🏿	6 odos tipas, blogai, nykštys, nykštys į apačią, nykštys į apačią: 6 odos tipas, ranka
✊	iškeltas kumštis, kumštis, ranka, smūgis, sugniaužta
✊🏻	1 ir 2 odos tipai, iškeltas kumštis, iškeltas kumštis: 1 ir 2 odos tipai, kumštis, ranka, smūgis, sugniaužta
✊🏼	3 odos tipas, iškeltas kumštis, iškeltas kumštis: 3 odos tipas, kumštis, ranka, smūgis, sugniaužta
✊🏽	4 odos tipas, iškeltas kumštis, iškeltas kumštis: 4 odos tipas, kumštis, ranka, smūgis, sugniaužta
✊🏾	5 odos tipas, iškeltas kumštis, iškeltas kumštis: 5 odos tipas, kumštis, ranka, smūgis, sugniaužta
✊🏿	6 odos tipas, iškeltas kumštis, iškeltas kumštis: 6 odos tipas, kumštis, ranka, smūgis, sugniaužta
👊	artėjantis kumštis, kumštis, ranka, smūgis, sugniaužtas
👊🏻	1 ir 2 odos tipai, artėjantis kumštis, artėjantis kumštis: 1 ir 2 odos tipai, kumštis, ranka, smūgis, sugniaužtas
👊🏼	3 odos tipas, artėjantis kumštis, artėjantis kumštis: 3 odos tipas, kumštis, ranka, smūgis, sugniaužtas
👊🏽	4 odos tipas, artėjantis kumštis, artėjantis kumštis: 4 odos tipas, kumštis, ranka, smūgis, sugniaužtas
👊🏾	5 odos tipas, artėjantis kumštis, artėjantis kumštis: 5 odos tipas, kumštis, ranka, smūgis, sugniaužtas
👊🏿	6 odos tipas, artėjantis kumštis, artėjantis kumštis: 6 odos tipas, kumštis, ranka, smūgis, sugniaužtas
🤛	kairėn, kumštis, į kairę nukreiptas kumštis
🤛🏻	1 ir 2 odos tipai, kairėn, kumštis, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: 1 ir 2 odos tipai
🤛🏼	3 odos tipas, kairėn, kumštis, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: 3 odos tipas
🤛🏽	4 odos tipas, kairėn, kumštis, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: 4 odos tipas
🤛🏾	5 odos tipas, kairėn, kumštis, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: 5 odos tipas
🤛🏿	6 odos tipas, kairėn, kumštis, į kairę nukreiptas kumštis, į kairę nukreiptas kumštis: 6 odos tipas
🤜	dešinėn, kumštis, į dešinę nukreiptas kumštis
🤜🏻	1 ir 2 odos tipai, dešinėn, kumštis, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: 1 ir 2 odos tipai
🤜🏼	3 odos tipas, dešinėn, kumštis, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: 3 odos tipas
🤜🏽	4 odos tipas, dešinėn, kumštis, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: 4 odos tipas
🤜🏾	5 odos tipas, dešinėn, kumštis, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: 5 odos tipas
🤜🏿	6 odos tipas, dešinėn, kumštis, į dešinę nukreiptas kumštis, į dešinę nukreiptas kumštis: 6 odos tipas
👏	plojančios rankos, ploti, rankos
👏🏻	1 ir 2 odos tipai, plojančios rankos, plojančios rankos: 1 ir 2 odos tipai, ploti, rankos
👏🏼	3 odos tipas, plojančios rankos, plojančios rankos: 3 odos tipas, ploti, rankos
👏🏽	4 odos tipas, plojančios rankos, plojančios rankos: 4 odos tipas, ploti, rankos
👏🏾	5 odos tipas, plojančios rankos, plojančios rankos: 5 odos tipas, ploti, rankos
👏🏿	6 odos tipas, plojančios rankos, plojančios rankos: 6 odos tipas, ploti, rankos
🙌	gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas
🙌🏻	1 ir 2 odos tipai, gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: 1 ir 2 odos tipai
🙌🏼	3 odos tipas, gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: 3 odos tipas
