🏻	peau claire
👚	femme, vêtements
🎒	sac, sac d’école, sac à dos, école
👞	chaussure, homme, vêtements
👟	chaussure, course, espadrille, sport
🥿	ballerine, chaussure sans lacets, pantoufle
👠	chaussure, femme, talon, vêtements
👡	chaussure, femme, sandale, sandale à talon, talon, vêtements
👢	botte, chaussure, femme, vêtements
👒	chapeau, femme, vêtements
🎩	chapeau, haut-de-forme, vêtements
🧢	casquette de baseball
💍	bague, diamant
🐵	singe, tête
🐒	singe
🦍	gorille
🐶	animal, chien, compagnie, domestique, tête
🐩	animal, caniche, compagnie, domestique
🐺	loup, tête
🦊	animal, chat, compagnie, domestique, tête, têterenard
🐱	animal, chat, compagnie, domestique, tête
🦁	lion, tête, zodiaque
🐯	tigre, tête
🐅	tigre
🐆	léopard
🐴	cheval, tête
🐎	cheval, course, hippique, équestre
🦄	licorne, tête
🦌	cerf
🐮	tête, vache
🐂	bœuf, taureau, zodiaque
🐃	buffle
🐄	vache
🐷	cochon, tête
🐖	cochon, porc
🐗	sanglier
🐽	cochon, groin, nez, nez de cochon, porc
🐏	bélier, zodiaque
🐑	brebis
🐐	capricorne, chèvre, zodiaque
🐪	bosse, dromadaire
🐫	bosses, chameau
🐘	éléphant
🦏	rhinocéros
🐭	souris, tête
🐁	souris
🐀	rat
🐹	animal, compagnie, domestique, hamster, tête, tête de hamster
🐰	lapin, tête
🐇	animal, compagnie, domestique, lapin
🦇	chauve-souris, vampire
🐻	ours, tête
🐨	koala
🐼	panda, tête, tête de panda
🦘	Australie, bébé kangourou, marsupial, saut
🦡	blaireau, ratel
🐾	empreintes, foulées, marques, pas, pattes, traces
🦃	dinde, oiseau
🐔	oiseau, poule
🐓	coq, oiseau
🐣	oiseau, poussin, éclosion
🐤	oiseau, poussin
🐥	oiseau, poussin de face
🐧	oiseau, pingouin
🦆	canard, oiseau
🦢	jeune cygne, oiseau, vilain petit canard
🐸	grenouille, tête, tête de grenouille
🐊	crocodile
🐢	tortue
🐍	serpent, serpentaire, zodiaque
🐲	dragon, tête
🐉	contes, dragon, fantastique, fées, merveilleux
🦖	T. rex, Tyrannosaurus Rex
🐳	baleine, baleine qui expulse de l’eau, expulse de l’eau
🐋	baleine
🐬	dauphin, flipper
🐠	poisson, tropical
🐡	poisson, poisson-globe
🐙	pieuvre
🐚	coquille, spirale
🦀	cancer, crabe, zodiaque
🦐	crevette, crustacé, nourriture
🐌	escargot
🐛	chenille, insecte
🐜	fourmi, insecte
🐝	abeille, insecte
🐞	bête à bon dieu, catherine, coccinelle, coléoptère, insecte
🦂	scorpion, zodiaque
🌸	cerisier, fleur
💮	blanche, fleur
🌲	arbre, conifère, feuillage persistant
🌾	plant, riz
🍀	chance, quatre feuilles, trèfle
🍁	feuille, érable
🍂	feuille, morte
🍃	feuille, virevoltante
🍉	fruit, melon d’eau
🍊	fruit, orange, tangerine
🍎	fruit, pomme, rouge
🍏	fruit, pomme, verte
🌽	blé d’Inde, maïs, épi de blé d’Inde, épi de maïs
🥬	chinois, chou, frisé, laitue, pommé
🥦	brocoli, chou sauvage
🍄	champignon, vénéneux
🥜	arachide, arachides, cacahuète, noisette
🍞	baguette, pain
🥞	crêpe, crêpes, pancake
🧀	fromage, morceau, morceau de fromage
🍖	os, viande, viande sur son os
🍗	cuisse, os, poulet, volaille
🥩	bifteck, bœuf, coupe, morceau, morceau de viande, steak, tranche, viande
🥓	bacon
🍔	burger, hambourgeois, hamburger
🍟	frites, patate
🌭	Francfort, chien chaud, hot dog, saucisse
🥙	chichekébab, doner, falafel, gyro, kébab, pain plat garni, pita
🥚	aliment, nourriture, œuf
🍳	cuisine, friture, poêle, œuf
🥘	casserole, nourriture, paella, poêle, repas
🍲	bol de nourriture, marmite, ragoût
🍿	pop-corn, popcorn
🧂	condiment, mélangeur
🍱	bento, boîte, boîte à bento, déjeuner
🍘	craquelin, craquelin de riz, riz
🍙	boulette, riz
🍚	bol, riz
🍛	curry, riz
🍠	douce, grillée, patate, patate douce grillée
🍢	brochette, fruits de mer, oden
🍤	crevette, crevette frite
🍥	gâteau au poisson, narutomaki, pâté de poisson, surimi, surimi avec décoration
🍡	Brochette, dango, dessert, japonais, sucré
🥟	dumpling, empanada, gyōza, jiaozi, pierogi, potsticker
🍦	cornet, crème glacée, crème glacée molle, dessert, glace
🍧	glace, glace pilée, pilée
🍨	crème, crème glacée, dessert, glace, sucré
🍩	beigne, beignet, dessert, sucré
🍪	biscuit, dessert, sucré
🎂	anniversaire, dessert, fête, gâteau, gâteau de fête, pâtisserie
🍰	dessert, gâteau, part, pâtisserie, sucrerie
🧁	cupcake, petit gâteau, pâtisserie, sucrerie
🍫	barre, chocolat, dessert, sucré, tablette de chocolat
🍬	bonbon, dessert, sucrerie, sucré
🍭	dessert, sucrerie, sucré, suçon
🍮	crème caramel, dessert, pudding, sucré
🍵	boisson, tasse, thé
🍶	bar, boisson, bouteille, saké, tasse
🍷	bar, boisson, verre, vin
🍹	cocktail, tropical, verre
🍺	bar, bière, boisson, chope, chope de bière
🍻	bar, bière, boisson, chope, chopes de bière qui tintent, trinquer
🥂	boisson, célébrer, trinquer, verre, verres qui tintent
🥃	Verre, bourbon, liqueur, spiritueux, verre, whisky
🥤	jus de fruits, paille, soda, verre, verre avec paille
🍴	couteau, couverts, fourchette, repas
🏺	amphore, cuisine, vase, verseau, zodiaque
🌍	afrique, europe, globe, globe qui montre l’Europe et l’Afrique, monde
🌏	asie, australie, globe, globe qui montre l’Asie et l’Australie, monde
🌐	globe, globe qui montre les méridiens, monde, méridiens, terre
🗾	carte, japon
🧭	magnétique, navigation, orientation
🌋	montagne, volcan, éruption
🗻	Fuji, mont, montagne
🏡	jardin, logement, maison
🏢	bureaux, immeuble
🏣	bâtiment, japon, poste, poste japonaise
🏤	bureau, poste
🏥	bâtiment, docteur, hôpital
🏩	couples, hôtel, hôtel pour couples
🏪	dépanneur, magasin, épicerie
🏯	château, japonais
🏰	château, européen
💒	amour, chapelle, idylle, mariage
🗽	statue de la Liberté
🌃	nuit, étoiles, étoilée
🌄	lever, lever de soleil sur les montagnes, montagnes, soleil
🌅	levant, matin, soleil
🌆	coucher, crépuscule, soir, soleil, ville
🌇	coucher, soleil
🌉	nuit, pont, pont de nuit
🌌	Voie lactée, espace
🎠	carrousel, cheval, cheval de carrousel, manège
🎡	grande roue, parc d’attractions
🎢	montagnes, parc d’attractions, russes
💈	barbier, coiffure, enseigne
🚂	chemin de fer, locomotive, moteur, train, vapeur
🚃	chemin de fer, train, tram, trolley, voiture, électrique
🚄	TGV, chemin de fer, grande vitesse, shinkansen, train, train à grande vitesse
🚅	chemin de fer, shinkansen, superexpress, train, train superexpress, vitesse
🚈	chemin de fer, métro léger, train de banlieue
🚉	chemin de fer, gare, train
🚊	tram, trolley, trolleybus
🚞	chemin de fer, montagne, train, voiture, wagon
🚋	tram, trolley, trolleybus, voiture
🚌	autobus, bus, véhicule
🚎	bus, tram, trolley, trolleybus
🚒	autopompe, camion, incendie, pompier
🚓	patrouille, police, voiture
🚖	de face, taxi
🚗	automobile, char, voiture
🚙	loisirs, sport, utilitaire, véhicule
🚚	camion, livraison
🚛	camion semi-remorque
🚏	arrêt, autobus, bus
🚥	circulation, feu, feu de circulation horizontal, horizontal, tricolore
🚦	circulation, feu, feu de circulation vertical, tricolore, vertical
🛑	octogonal, signe, stop
🚢	bateau, navire, passager
🛫	avion, avion au décollage, décollage, départ, embarquement
🛬	arrivée, atterrissage, avion, avion à l’atterissage, débarquement
🚟	suspendu, train
🚠	télécabine
🚡	funiculaire, tramway, téléphérique, voiture, wagon
🕧	00 h 30, 12 h 30, midi et demie, minuit et demie
🌑	lune, nouvelle
🌒	lune, premier croissant, premier croissant de lune
🌓	premier quartier de lune
🌔	gibbeuse croissante, lune
🌖	gibbeuse décroissante, lune
🌗	dernier quartier, dernier quartier de lune, lune
🌘	dernier croissant, dernier croissant de lune, lune
🌙	croissant, lune
🌚	lune, nouvelle, nouvelle lune avec visage, visage
🌛	lune, premier quartier, premier quartier de lune avec visage, visage
🌝	lune, pleine, pleine lune avec visage, visage
🌞	soleil, soleil avec visage, visage
🌟	brillante, étoile
🌠	filante, étoile
🌀	cyclone, ouragan, tourbillon, typhon
🌈	arc-en-ciel, pluie
🌂	fermé, parapluie, pluie, vêtement
🔥	feu, flamme, outil
💧	bande dessinée, eau, goutte, goutte d’eau, gouttelette, sueur
🌊	eau, mer, océan, vague
🎄	célébration, noël, sapin de Noël
🎆	artifice, célébration, feu
🎇	artifice, bengale, célébration, feu, feu de Bengale
✨	étincelles, étoile
🎈	ballon, ballon de fête, fête
🎉	confettis, cornet, cornet à confettis, célébration, fête
🎊	boule, boule de confetti, confettis, célébration, fête
🎋	arbre, arbre à prières, japonais, tanabata
🎍	bambou, composition florale, composition florale japonaise, célébration, japonais
🎎	festival, japonais, japonaises, poupées
🎐	carillon, carillon à vent, clochette, fête, vent
🎑	cérémonie, cérémonie d’observation de la lune, lune
🎁	anniversaire, cadeau, célébration, fête, présent
🏅	médaille, sportive
🥇	1er, 1re, médaille, or, première place
🥈	2e, argent, deuxième, deuxième place, médaille
🥉	3e, bronze, médaille, troisième, troisième place
🥎	balle, balle molle, gant, molle, softball
🏀	ballon, ballon de basket, basket, basketball, panier
🏐	ballon, ballon de volley, volley
🏈	ballon, ballon de football, football
🏉	ballon, ballon de rugby, rugby
🎾	balle, raquette, tennis
🥏	disque d’équipe, disque volant
🎳	boule, bowling, jeu de quilles, quilles
🏏	balle, bâton, cricket
🏑	balle, bâton, gazon, hockey
🏒	bâton, disque, glace, hockey, rondelle
🏓	balle, ping-pong, raquette, table, tennis, tennis de table
🏸	badminton, moineau, raquette, volant
🥊	boxe, gant
🥋	arts martiaux, judo, karaté, kimono, taekwondo, uniforme d’arts martiaux
🥅	but, cage, filet
🎣	canne, ligne, pêche
🎽	athlétisme, banderole, course, maillot, maillot de course, t-shirt
🎿	neige, ski, skis
🎯	cible, dans le mille, fléchette
🔮	boule, cristal
🧿	amulette, mauvais œil, nazar, talisman
🎲	dé, jeu
🧩	casse-tête, pièce
🃏	carte, jeu, joker
🎴	jeu des fleurs
🎨	art, musée, palette, peinture
🔇	enceinte, haut-parleur, silence, son, son coupé
🔉	son moyen, volume moyen
🔊	son fort, son puissant, son élevé, volume fort, volume élevé
📢	bruyant, discours, haut-parleur, porte-voix
📯	cor de facteur, facteur, poste
🔕	barrée, cloche, cloche barrée, silence, silencieux
📱	téléphone, téléphone cellulaire
📲	appel, téléphone cellulaire précédé par une flèche
📞	récepteur téléphonique, téléphone
📠	télécopieur
🔋	batterie, pile
🔌	prise, prise électrique
💽	disque, disque dur, optique, ordinateur
📀	DVD, blu-ray, disque, ordinateur
📸	appareil photo, flash
📼	cassette, vhs, vidéo
🔍	agrandir, loupe, outil, rechercher
🔎	agrandir, loupe, outil, rechercher
💡	ampoule, idée, lumière
🔦	lampe de poche, lumière
🏮	japonais, lanterne, lanterne d’izakaya, lumière, rouge
📔	bloc-notes, carnet avec couverture décorative, couverture, livre
📓	cahier, carnet
📒	carnet de compte
📑	marque, marqueur, onglets, signet
💴	billet, yen, yens
💵	billet, dollar, dollars
💶	billet, euro, euros
💷	billet, livre, livres
💹	courbe, courbe croissante précédée du symbole du yen, croissance, graphique, monnaie, yen
💱	argent, banque, change, devise
💲	argent, devise, dollar, symbole du dollar en gras
📧	courriel, courrier, lettre
📩	courriel, enveloppe, envoi, flèche
📮	boîte aux lettres, boîte postale, courrier
📆	calendrier, calendrier à effeuiller, éphéméride
📇	carte, fiche, index, rolodex
📈	graphique, hausse
📉	baisse, graphique
📊	barres, graphique
📌	fournitures, épingle
📍	fournitures, épingle à tête ronde
🔏	cadenas, confidentialité, encre, stylo
🔐	cadenas, cadenas avec clé, clé, fermé, sûr, verrouillé
🏹	arc, flèche, sagittaire, zodiaque
🔩	outil, vis, écrou
🔗	chaînons
🔬	microscope, outi, science
🚽	cabinet de toilette, siège de toilette, toilettes
🧻	essuie-mai, essuie-tout, papier hygiénique, papier toilette
🧼	bain, mousse, pain, savon, savonnette
🛒	chariot, panier, panier d’épicerie, shopping
🗿	moaï, statue
🏧	bancaire, banque, gab, guichet, guichet automatique bancaire
🚻	toilettes
🚾	symbole Toilettes, toilettes
🛂	contrôle, douane, passeport
🛄	bagages, retrait des bagages, tapis à bagages
🛅	bagages, consigne à bagages
🚸	attention, enfants, circulation, enfant, passage d’enfants, piétons
🚫	interdit
🚯	déchet, interdiction, interdit, ordure
🚱	eau, non potable
📵	cellulaire, interdiction, interdit, mobile, portable, téléphones cellulaires interdits
🔞	18, dix-huit, interdiction
🔃	flèche, flèches verticales dans le sens horaire, horaire, recharger, sens des aiguilles d’une montre, vertical
🔄	antihoraire, flèche, flèches verticales dans le sens antihoraire, sens inverse des aiguilles d’une montre
🔙	back, flèche, retour, étiquette « BACK » et flèche
🔚	end, fin, flèche, étiquette « END » et flèche
🔛	en marche, flèche, on, étiquette « ON! » et flèche
🔜	bientôt, flèche, soon, étiquette « SOON » et flèche
🔝	dessus, flèche, haut, top, étiquette « TOP » et flèche
🕎	chandelier, menora, religion
🔯	6 branches, fortune, six branches, étoile, étoile à 6 branches et point au milieu
⛎	Serpentaire, zodiaque
🔀	aléatoire, bouton de lecture aléatoire, croisées, flèches
🔁	bouton de répétition, flèches, horaire, répéter, répétition, sens des aiguilles d’une montre
🔂	bouton de répétition unique, flèches, horaire, répéter une fois, répétition unique, sens des aiguilles d’une montre
▶	bouton de lecture
⏩	avance rapide, bouton d’avance rapide, double, flèches, rapide
⏭	flèches, piste suivante, suivant, triangle
⏯	droite, flèche, lecture, pause, triangle
◀	bouton de retour
⏪	bouton de retour rapide, double, flèches, rapide, rembobiner, retour rapide
⏮	flèches, piste précédente, précédent, triangle
🔼	bouton vers le haut, flèche, haut, triangle
⏫	accès rapide vers le haut, bouton d’accès rapide vers le haut, double, flèche, triangle
🔽	bas, bouton vers le bas, flèche, triangle
⏬	accès rapide vers le bas, bouton d’accès rapide vers le bas, double, flèche, triangle
🔅	faible, luminosité
🔆	luminosité, élevée
📶	barres de signal
📳	cellulaire, mobile, mode, mode vibration, téléphone, vibration
📴	cellulaire, mobile, téléphone, téléphone cellulaire éteint, éteint
🔰	chevron, débutant, feuille, japonais, symbole, symbole japonais du débutant
✅	coche, coche blanche, marque
❌	annuler, croix, multiplication, multiplier, x
➕	addition, math, mathématique, plus, signe d’addition, somme
➖	math, mathématique, moins, signe de soustraction, soustraction, soustraire
➗	diviser, division, math, mathématique, signe de division
❔	point d’interrogation, point d’interrogation blanc, ponctuation, question
❕	point d’exclamation, point d’exclamation blanc, ponctuation, question
💯	cent, cent points, marque, score
🔠	ABCD, latin, lettres, majuscules, saisie
🔡	abcd, latin, lettres, minuscules, saisie
🔢	1234, chiffres, nombres, saisie
🔣	saisie, symboles, 〒♪&%
🔤	abc, alphabet, latin, lettres, saisie
🆎	ab, groupe sanguin
🆑	cl, effacer
🆒	cool
🆓	free
🆔	id, identitfiant, identité
🆕	new, nouveau
🆖	NG, interdit, no go, not good, pas bon
🆗	OK
🆘	SOS, aide, secours
🆙	icône UP!, nouveau, nouveauté, up
🆚	c., contre, vs
🈁	ici, japonais, katakana, symbole japonais signifiant « ici », ココ
🈷	idéogramme, japonais, montant mensuel, symbole japonais signifiant « montant mensuel », 月
🈶	idéogramme, japonais, payant, symbole japonais signifiant « payant », 有
🈯	idéogramme, japonais, réservé, symbole japonais signifiant « réservé », 指
🉐	aubaine, idéogramme, japonais, symbole japonais signifiant « aubaine », 指
🈹	idéogramme, japonais, rabais, symbole japonais signifiant « rabais », 割
🈚	gratuit, idéogramme, japonais, symbole japonais signifiant « gratuit », 無
🈲	idéogramme, interdit, japonais, symbole japonais signifiant « interdit », 禁
🉑	acceptable, idéogramme, japonais, symbole japonais signifiant « acceptable », 可
🈸	application, idéogramme, japonais, symbole japonais signifiant « application », 申
🈴	idéogramme, japonais, note de passage, symbole japonais signifiant « note de passage », 合
🈳	idéogramme, japonais, places disponibles, symbole japonais signifiant « places disponibles », 空
