😀	Gesiicht, Grinsen, Grinsgesiicht
😟	Gesiicht, beonrouegt
🙁	Gesiicht, Stir fronzen, d’Stir liicht fronzend
☹️	Gesiicht, Stir fronzen, d’Stir fronzend
😮	Gesiicht, Gesiicht mat oppenem Mond, Matgefill, Mond, oppen
😯	Gesiicht, erstaunt, flüsterend, iwwerrascht
😲	Gesiicht, absolut, erstaunt, schockéiert
😳	Gesiicht, beniwwelt, rout ugelaf, rout ugelafent Gesiicht
😦	Gesiicht, Mond, Stir fronzen, d’Stir fronzend Gesiicht mat oppenem Mond, oppen
😧	Gesiicht, gequäält, gequäält Gesiicht
😨	Angscht, Gesiicht, baang, verängschtegt, verängschtegt Gesiicht
😰	Gesiicht, Gesiicht mat oppenem Mond a kalem Schweess, Mond, Schweess, blo, kal, oppen, presséiert
😥	Gesiicht, enttäuscht, enttäuscht mä erliichtert, erliichtert, ouf
😢	Gesiicht, Tréin, kräischen, kräischend, traureg
😭	Gesiicht, Tréin, haart kräischend Gesiicht, kräischen, schluchzen, traureg
😱	Angscht, Gesiicht, baang, jäizen, verschléngen, verängschtegt, vun Angscht jäizend Gesiicht
😖	Gesiicht, frustréiert
😣	Gesiicht, duerhalen, duerhalend
😞	Gesiicht, enttäuscht
😓	Gesiicht, Schweess, kal, mat kalem Schweess eroflafend
😩	Gesiicht, erschëpft, erschëpft Gesiicht, midd
😫	Gesiicht, midd
😤	Gesiicht, Triumph, gewonnen, mat Damp aus der Nues
😡	Gesiicht, Roserei, motzen, motzend Gesiicht, queesch, rosen, rout
😠	Gesiicht, queesch, rosen, rosent Gesiicht
🤬	Gesiicht mat Zeeche virum Mond, fluchend
😈	Fantasie, Gesiicht, Haren, Laachen, Mäerchen, laachend Gesiicht mat Haren
👿	Däiwel, Dämon, Fantasie, Gesiicht, Kobold, Mäerchen, rosent Gesiicht mat Haren
💀	Doud, Doudekapp, Gesiicht, Monster, Mäerchen
☠️	Doud, Doudekapp, Doudekapp a gekräizt Schanken, Gesiicht, Monster, gekräizt Schanken
💩	Gesiicht, Kaka, Koup Schäiss, Monster, Mëscht, Schäiss, witzeg
🤡	Clown, Clownegesiicht, Gesiicht
👹	Fantasie, Gesiicht, Kreatur, Monster, Mäerchen, Ongeheier
👺	Fantasie, Gesiicht, Kobold, Kreatur, Monster, Mäerchen
👻	Fantasie, Geescht, Gesiicht, Kreatur, Monster, Mäerchen
👽️	Alien, Fantasie, Gesiicht, Kreatur, Monster, Mäerchen, Ufo, ausserierdesch
👾	Alien, Alienmonster, Fantasie, Gesiicht, Kreatur, Monster, Mäerchen, Ufo, ausserierdesch
🤖	Gesiicht, Monster, Roboter
😺	Gesiicht, Kaz, Laachen, Mond, laachend Kazegesiicht mat oppenem Mond, oppen
😸	A, Gesiicht, Grinsen, Kaz, Laachen, grinsend Kazegesiicht mat laachenden Aen
😹	Freed, Gesiicht, Kaz, Kazegesiicht mat Freedtréinen, Tréin
😻	A, Gesiicht, Kaz, Laachen, Léift, laachend Kazegesiicht mat Häerzeraen
😼	Gesiicht, Grinsen, Kaz, Kazegesiicht mat dreckegem Grinsen, dreckeg, ironesch
😽	A, Gesiicht, Kaz, Kuss, kussend Kazegesiicht mat zouen Aen
🙀	Gesiicht, Kaz, erschëpft, erschëpft Kazegesiicht, iwwerrascht, oh
😿	Gesiicht, Kaz, Tréin, kräischen, kräischend Kazegesiicht, traureg
😾	Gesiicht, Kaz, motzend, motzend Kazegesiicht
🙈	Aen, Aen zouhalenden Af, Af, Gesiicht, Geste, béis, gesinn, net, verbueden, zouhalen
🙉	Af, Gesiicht, Geste, Oueren, Oueren zouhalenden Af, béis, héieren, net, verbueden, zouhalen
🙊	Af, Gesiicht, Geste, Mond, Mond zouhalenden Af, béis, net, schwätzen, verbueden, zouhalen
💌	Bréif, Häerz, Libesbréif, Léift, Post
💘	Cupidon, Feil, Häerz mat Feil
💝	Häerz mat Putsch, Putsch, Valentin
💖	glënneren, glënnerend Häerz, opgereegt
💗	Schlag, nervös, opgereegt, wuessend, wuessend Häerz
💓	Häerzklappen, Schlag, klappend, klappend Häerz, schloend
💞	dréiend, dréiend Häerzer
💕	Léift, zwee Häerzer
💟	Häerz, Häerzdekoratioun
❣️	Ausruff, Interpunktioun, Zeechen, fettgedréckt Häerzausruffzeechen
💔	briechen, gebrach, gebrachent Häerz
❤️	Häerz, rout Häerz
🧡	orange, oranget Häerz
💛	giel, gielt Häerz
💚	gréng, gréngt Häerz
💙	blo, blot Häerz
💜	mof, mooft Häerz
🖤	béis, schlecht, schwaarz, schwaarzt Häerz
💋	Kuss, Kussmond, Lëpsen
💯	100, Score, honnert, honnert Punkten, voll
💢	Comic, Rosereiszeechen, béis, rosen
💥	Boom, Comic, Kollisioun
💫	Comic, Schwindel, Stär
💦	Comic, Schweess, Schweessdrëpsen, platschen
💨	Comic, jauwen, lafen, séier fort
🕳️	Lach
💬	Ball, Blos, Comic, Dialog, Spriechblos, schwätzen
👁‍🗨	A, A an enger Spriechblos, Spriechblos, erkennen, gesinn
🗨️	Dialog, lénks Spriechblos, schwätzen
🗯️	Ball, Blos, béis, riets Rosereispriechblos, rosen
💭	Ball, Blos, Comic, Denkblos, Gedanken
💤	Comic, Schlof, zzz
👋	Hand, wénken, wénkend, wénkend Hand
👋🏻	Hand, hell Hautfaarf, wénken, wénkend, wénkend Hand: hell Hautfaarf
👋🏼	Hand, mëttelhell Hautfaarf, wénken, wénkend, wénkend Hand: mëttelhell Hautfaarf
👋🏽	Hand, mëttel Hautfaarf, wénken, wénkend, wénkend Hand: mëttel Hautfaarf
👋🏾	Hand, mëtteldäischter Hautfaarf, wénken, wénkend, wénkend Hand: mëtteldäischter Hautfaarf
👋🏿	Hand, däischter Hautfaarf, wénken, wénkend, wénkend Hand: däischter Hautfaarf
🤚	Handréck, héichgehalen, héichgehalenen Handréck
🤚🏻	Handréck, hell Hautfaarf, héichgehalen, héichgehalenen Handréck, héichgehalenen Handréck: hell Hautfaarf
🤚🏼	Handréck, héichgehalen, héichgehalenen Handréck, héichgehalenen Handréck: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🤚🏽	Handréck, héichgehalen, héichgehalenen Handréck, héichgehalenen Handréck: mëttel Hautfaarf, mëttel Hautfaarf
🤚🏾	Handréck, héichgehalen, héichgehalenen Handréck, héichgehalenen Handréck: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🤚🏿	Handréck, däischter Hautfaarf, héichgehalen, héichgehalenen Handréck, héichgehalenen Handréck: däischter Hautfaarf
🖐️	Fanger, Hand, ausgestreckt, gehuewen Hand mat ausgestreckte Fanger
🖐🏻	Fanger, Hand, ausgestreckt, gehuewen Hand mat ausgestreckte Fanger, gehuewen Hand mat ausgestreckte Fanger: hell Hautfaarf, hell Hautfaarf
🖐🏼	Fanger, Hand, ausgestreckt, gehuewen Hand mat ausgestreckte Fanger, gehuewen Hand mat ausgestreckte Fanger: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🖐🏽	Fanger, Hand, ausgestreckt, gehuewen Hand mat ausgestreckte Fanger, gehuewen Hand mat ausgestreckte Fanger: mëttel Hautfaarf, mëttel Hautfaarf
🖐🏾	Fanger, Hand, ausgestreckt, gehuewen Hand mat ausgestreckte Fanger, gehuewen Hand mat ausgestreckte Fanger: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🖐🏿	Fanger, Hand, ausgestreckt, däischter Hautfaarf, gehuewen Hand mat ausgestreckte Fanger, gehuewen Hand mat ausgestreckte Fanger: däischter Hautfaarf
✋	Hand, héichgehalen Hand
✋🏻	Hand, hell Hautfaarf, héichgehalen Hand, héichgehalen Hand: hell Hautfaarf
✋🏼	Hand, héichgehalen Hand, héichgehalen Hand: mëttelhell Hautfaarf, mëttelhell Hautfaarf
✋🏽	Hand, héichgehalen Hand, héichgehalen Hand: mëttel Hautfaarf, mëttel Hautfaarf
✋🏾	Hand, héichgehalen Hand, héichgehalen Hand: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
✋🏿	Hand, däischter Hautfaarf, héichgehalen Hand, héichgehalen Hand: däischter Hautfaarf
🖖	Fanger, Hand, Spock, Vulcan, Vulcan-Grouss
🖖🏻	Fanger, Hand, Spock, Vulcan, Vulcan-Grouss, Vulcan-Grouss: hell Hautfaarf, hell Hautfaarf
🖖🏼	Fanger, Hand, Spock, Vulcan, Vulcan-Grouss, Vulcan-Grouss: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🖖🏽	Fanger, Hand, Spock, Vulcan, Vulcan-Grouss, Vulcan-Grouss: mëttel Hautfaarf, mëttel Hautfaarf
🖖🏾	Fanger, Hand, Spock, Vulcan, Vulcan-Grouss, Vulcan-Grouss: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🖖🏿	Fanger, Hand, Spock, Vulcan, Vulcan-Grouss, Vulcan-Grouss: däischter Hautfaarf, däischter Hautfaarf
🫱🏻‍🫲🏼	Hand, Handdrock, Handdrock: hell Hautfaarf, mëttelhell Hautfaarf, Ofkommes, Reunioun, drécken, hell Hautfaarf, mëttelhell Hautfaarf
🫱🏻‍🫲🏽	Hand, Handdrock, Handdrock: hell Hautfaarf, mëttel Hautfaarf, Ofkommes, Reunioun, drécken, hell Hautfaarf, mëttel Hautfaarf
🫱🏻‍🫲🏾	Hand, Handdrock, Handdrock: hell Hautfaarf, mëtteldäischter Hautfaarf, Ofkommes, Reunioun, drécken, hell Hautfaarf, mëtteldäischter Hautfaarf
🫱🏻‍🫲🏿	Hand, Handdrock, Handdrock: hell Hautfaarf, däischter Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, hell Hautfaarf
🫱🏼‍🫲🏻	Hand, Handdrock, Handdrock: mëttelhell Hautfaarf, hell Hautfaarf, Ofkommes, Reunioun, drécken, hell Hautfaarf, mëttelhell Hautfaarf
🫱🏼‍🫲🏽	Hand, Handdrock, Handdrock: mëttelhell Hautfaarf, mëttel Hautfaarf, Ofkommes, Reunioun, drécken, mëttel Hautfaarf, mëttelhell Hautfaarf
🫱🏼‍🫲🏾	Hand, Handdrock, Handdrock: mëttelhell Hautfaarf, mëtteldäischter Hautfaarf, Ofkommes, Reunioun, drécken, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
🫱🏼‍🫲🏿	Hand, Handdrock, Handdrock: mëttelhell Hautfaarf, däischter Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, mëttelhell Hautfaarf
🫱🏽‍🫲🏻	Hand, Handdrock, Handdrock: mëttel Hautfaarf, hell Hautfaarf, Ofkommes, Reunioun, drécken, hell Hautfaarf, mëttel Hautfaarf
🫱🏽‍🫲🏼	Hand, Handdrock, Handdrock: mëttel Hautfaarf, mëttelhell Hautfaarf, Ofkommes, Reunioun, drécken, mëttel Hautfaarf, mëttelhell Hautfaarf
🫱🏽‍🫲🏾	Hand, Handdrock, Handdrock: mëttel Hautfaarf, mëtteldäischter Hautfaarf, Ofkommes, Reunioun, drécken, mëttel Hautfaarf, mëtteldäischter Hautfaarf
🫱🏽‍🫲🏿	Hand, Handdrock, Handdrock: mëttel Hautfaarf, däischter Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, mëttel Hautfaarf
🫱🏾‍🫲🏻	Hand, Handdrock, Handdrock: mëtteldäischter Hautfaarf, hell Hautfaarf, Ofkommes, Reunioun, drécken, hell Hautfaarf, mëtteldäischter Hautfaarf
🫱🏾‍🫲🏼	Hand, Handdrock, Handdrock: mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, Ofkommes, Reunioun, drécken, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
🫱🏾‍🫲🏽	Hand, Handdrock, Handdrock: mëtteldäischter Hautfaarf, mëttel Hautfaarf, Ofkommes, Reunioun, drécken, mëttel Hautfaarf, mëtteldäischter Hautfaarf
🫱🏾‍🫲🏿	Hand, Handdrock, Handdrock: mëtteldäischter Hautfaarf, däischter Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, mëtteldäischter Hautfaarf
🫱🏿‍🫲🏻	Hand, Handdrock, Handdrock: däischter Hautfaarf, hell Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, hell Hautfaarf
🫱🏿‍🫲🏼	Hand, Handdrock, Handdrock: däischter Hautfaarf, mëttelhell Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, mëttelhell Hautfaarf
🫱🏿‍🫲🏽	Hand, Handdrock, Handdrock: däischter Hautfaarf, mëttel Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, mëttel Hautfaarf
🫱🏿‍🫲🏾	Hand, Handdrock, Handdrock: däischter Hautfaarf, mëtteldäischter Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf, mëtteldäischter Hautfaarf
👌	Hand, OK, OK-Handzeechen, Zeechen
👌🏻	Hand, OK, OK-Handzeechen, OK-Handzeechen: hell Hautfaarf, Zeechen, hell Hautfaarf
👌🏼	Hand, OK, OK-Handzeechen, OK-Handzeechen: mëttelhell Hautfaarf, Zeechen, mëttelhell Hautfaarf
👌🏽	Hand, OK, OK-Handzeechen, OK-Handzeechen: mëttel Hautfaarf, Zeechen, mëttel Hautfaarf
👌🏾	Hand, OK, OK-Handzeechen, OK-Handzeechen: mëtteldäischter Hautfaarf, Zeechen, mëtteldäischter Hautfaarf
👌🏿	Hand, OK, OK-Handzeechen, OK-Handzeechen: däischter Hautfaarf, Zeechen, däischter Hautfaarf
✌️	Hand, V, Victoire, Victoire-Handzeechen
✌🏻	Hand, V, Victoire, Victoire-Handzeechen, Victoire-Handzeechen: hell Hautfaarf, hell Hautfaarf
✌🏼	Hand, V, Victoire, Victoire-Handzeechen, Victoire-Handzeechen: mëttelhell Hautfaarf, mëttelhell Hautfaarf
✌🏽	Hand, V, Victoire, Victoire-Handzeechen, Victoire-Handzeechen: mëttel Hautfaarf, mëttel Hautfaarf
✌🏾	Hand, V, Victoire, Victoire-Handzeechen, Victoire-Handzeechen: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
✌🏿	Hand, V, Victoire, Victoire-Handzeechen, Victoire-Handzeechen: däischter Hautfaarf, däischter Hautfaarf
🤞	Fanger, Gléck, Hand, gekräizt Fanger, kräizen
🤞🏻	Fanger, Gléck, Hand, gekräizt Fanger, gekräizt Fanger: hell Hautfaarf, hell Hautfaarf, kräizen
🤞🏼	Fanger, Gléck, Hand, gekräizt Fanger, gekräizt Fanger: mëttelhell Hautfaarf, kräizen, mëttelhell Hautfaarf
🤞🏽	Fanger, Gléck, Hand, gekräizt Fanger, gekräizt Fanger: mëttel Hautfaarf, kräizen, mëttel Hautfaarf
🤞🏾	Fanger, Gléck, Hand, gekräizt Fanger, gekräizt Fanger: mëtteldäischter Hautfaarf, kräizen, mëtteldäischter Hautfaarf
🤞🏿	Fanger, Gléck, Hand, däischter Hautfaarf, gekräizt Fanger, gekräizt Fanger: däischter Hautfaarf, kräizen
🤟	Hand, ILY, Léift-Geste
🤟🏻	Hand, ILY, Léift-Geste, Léift-Geste: hell Hautfaarf, hell Hautfaarf
🤟🏼	Hand, ILY, Léift-Geste, Léift-Geste: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🤟🏽	Hand, ILY, Léift-Geste, Léift-Geste: mëttel Hautfaarf, mëttel Hautfaarf
🤟🏾	Hand, ILY, Léift-Geste, Léift-Geste: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🤟🏿	Hand, ILY, Léift-Geste, Léift-Geste: däischter Hautfaarf, däischter Hautfaarf
🤘	Fanger, Hand, Haren, Mano cornuta, Harenzeechen, rocken
🤘🏻	Fanger, Hand, Haren, Mano cornuta, Harenzeechen, Mano cornuta, Harenzeechen: hell Hautfaarf, hell Hautfaarf, rocken
🤘🏼	Fanger, Hand, Haren, Mano cornuta, Harenzeechen, Mano cornuta, Harenzeechen: mëttelhell Hautfaarf, mëttelhell Hautfaarf, rocken
🤘🏽	Fanger, Hand, Haren, Mano cornuta, Harenzeechen, Mano cornuta, Harenzeechen: mëttel Hautfaarf, mëttel Hautfaarf, rocken
🤘🏾	Fanger, Hand, Haren, Mano cornuta, Harenzeechen, Mano cornuta, Harenzeechen: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, rocken
🤘🏿	Fanger, Hand, Haren, Mano cornuta, Harenzeechen, Mano cornuta, Harenzeechen: däischter Hautfaarf, däischter Hautfaarf, rocken
🤙	Hand, Telefon-Handzeechen, uruffen
🤙🏻	Hand, Telefon-Handzeechen, Telefon-Handzeechen: hell Hautfaarf, hell Hautfaarf, uruffen
🤙🏼	Hand, Telefon-Handzeechen, Telefon-Handzeechen: mëttelhell Hautfaarf, mëttelhell Hautfaarf, uruffen
🤙🏽	Hand, Telefon-Handzeechen, Telefon-Handzeechen: mëttel Hautfaarf, mëttel Hautfaarf, uruffen
🤙🏾	Hand, Telefon-Handzeechen, Telefon-Handzeechen: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, uruffen
🤙🏿	Hand, Telefon-Handzeechen, Telefon-Handzeechen: däischter Hautfaarf, däischter Hautfaarf, uruffen
👈️	Fanger, Hand, Réckhand, Zeigefanger, no lénks weisende Fanger vun hanne gesinn, weisen
👈🏻	Fanger, Hand, Réckhand, Zeigefanger, hell Hautfaarf, no lénks weisende Fanger vun hanne gesinn, no lénks weisende Fanger vun hanne gesinn: hell Hautfaarf, weisen
👈🏼	Fanger, Hand, Réckhand, Zeigefanger, mëttelhell Hautfaarf, no lénks weisende Fanger vun hanne gesinn, no lénks weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf, weisen
👈🏽	Fanger, Hand, Réckhand, Zeigefanger, mëttel Hautfaarf, no lénks weisende Fanger vun hanne gesinn, no lénks weisende Fanger vun hanne gesinn: mëttel Hautfaarf, weisen
👈🏾	Fanger, Hand, Réckhand, Zeigefanger, mëtteldäischter Hautfaarf, no lénks weisende Fanger vun hanne gesinn, no lénks weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf, weisen
👈🏿	Fanger, Hand, Réckhand, Zeigefanger, däischter Hautfaarf, no lénks weisende Fanger vun hanne gesinn, no lénks weisende Fanger vun hanne gesinn: däischter Hautfaarf, weisen
👉️	Fanger, Hand, Réckhand, Zeigefanger, no riets weisende Fanger vun hanne gesinn, weisen
👉🏻	Fanger, Hand, Réckhand, Zeigefanger, hell Hautfaarf, no riets weisende Fanger vun hanne gesinn, no riets weisende Fanger vun hanne gesinn: hell Hautfaarf, weisen
👉🏼	Fanger, Hand, Réckhand, Zeigefanger, mëttelhell Hautfaarf, no riets weisende Fanger vun hanne gesinn, no riets weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf, weisen
👉🏽	Fanger, Hand, Réckhand, Zeigefanger, mëttel Hautfaarf, no riets weisende Fanger vun hanne gesinn, no riets weisende Fanger vun hanne gesinn: mëttel Hautfaarf, weisen
👉🏾	Fanger, Hand, Réckhand, Zeigefanger, mëtteldäischter Hautfaarf, no riets weisende Fanger vun hanne gesinn, no riets weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf, weisen
👉🏿	Fanger, Hand, Réckhand, Zeigefanger, däischter Hautfaarf, no riets weisende Fanger vun hanne gesinn, no riets weisende Fanger vun hanne gesinn: däischter Hautfaarf, weisen
👆️	Fanger, Hand, Réckhand, Zeigefanger, no uewe weisende Fanger vun hanne gesinn, no uewen, weisen
👆🏻	Fanger, Hand, Réckhand, Zeigefanger, hell Hautfaarf, no uewe weisende Fanger vun hanne gesinn, no uewe weisende Fanger vun hanne gesinn: hell Hautfaarf, no uewen, weisen
👆🏼	Fanger, Hand, Réckhand, Zeigefanger, mëttelhell Hautfaarf, no uewe weisende Fanger vun hanne gesinn, no uewe weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf, no uewen, weisen
👆🏽	Fanger, Hand, Réckhand, Zeigefanger, mëttel Hautfaarf, no uewe weisende Fanger vun hanne gesinn, no uewe weisende Fanger vun hanne gesinn: mëttel Hautfaarf, no uewen, weisen
👆🏾	Fanger, Hand, Réckhand, Zeigefanger, mëtteldäischter Hautfaarf, no uewe weisende Fanger vun hanne gesinn, no uewe weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf, no uewen, weisen
👆🏿	Fanger, Hand, Réckhand, Zeigefanger, däischter Hautfaarf, no uewe weisende Fanger vun hanne gesinn, no uewe weisende Fanger vun hanne gesinn: däischter Hautfaarf, no uewen, weisen
🖕	Fanger, Hand, Mëttelfanger
🖕🏻	Fanger, Hand, Mëttelfanger, Mëttelfanger: hell Hautfaarf, hell Hautfaarf
🖕🏼	Fanger, Hand, Mëttelfanger, Mëttelfanger: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🖕🏽	Fanger, Hand, Mëttelfanger, Mëttelfanger: mëttel Hautfaarf, mëttel Hautfaarf
🖕🏾	Fanger, Hand, Mëttelfanger, Mëttelfanger: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🖕🏿	Fanger, Hand, Mëttelfanger, Mëttelfanger: däischter Hautfaarf, däischter Hautfaarf
👇️	Fanger, Hand, Réckhand, Zeigefanger, no ënne weisende Fanger vun hanne gesinn, no ënnen, weisen
👇🏻	Fanger, Hand, Réckhand, Zeigefanger, hell Hautfaarf, no ënne weisende Fanger vun hanne gesinn, no ënne weisende Fanger vun hanne gesinn: hell Hautfaarf, no ënnen, weisen
👇🏼	Fanger, Hand, Réckhand, Zeigefanger, mëttelhell Hautfaarf, no ënne weisende Fanger vun hanne gesinn, no ënne weisende Fanger vun hanne gesinn: mëttelhell Hautfaarf, no ënnen, weisen
👇🏽	Fanger, Hand, Réckhand, Zeigefanger, mëttel Hautfaarf, no ënne weisende Fanger vun hanne gesinn, no ënne weisende Fanger vun hanne gesinn: mëttel Hautfaarf, no ënnen, weisen
👇🏾	Fanger, Hand, Réckhand, Zeigefanger, mëtteldäischter Hautfaarf, no ënne weisende Fanger vun hanne gesinn, no ënne weisende Fanger vun hanne gesinn: mëtteldäischter Hautfaarf, no ënnen, weisen
👇🏿	Fanger, Hand, Réckhand, Zeigefanger, däischter Hautfaarf, no ënne weisende Fanger vun hanne gesinn, no ënne weisende Fanger vun hanne gesinn: däischter Hautfaarf, no ënnen, weisen
☝️	Fanger, Hand, Zeigefanger, no uewe weisende Fanger, no uewen, weisen
☝🏻	Fanger, Hand, Zeigefanger, hell Hautfaarf, no uewe weisende Fanger, no uewe weisende Fanger: hell Hautfaarf, no uewen, weisen
☝🏼	Fanger, Hand, Zeigefanger, mëttelhell Hautfaarf, no uewe weisende Fanger, no uewe weisende Fanger: mëttelhell Hautfaarf, no uewen, weisen
☝🏽	Fanger, Hand, Zeigefanger, mëttel Hautfaarf, no uewe weisende Fanger, no uewe weisende Fanger: mëttel Hautfaarf, no uewen, weisen
☝🏾	Fanger, Hand, Zeigefanger, mëtteldäischter Hautfaarf, no uewe weisende Fanger, no uewe weisende Fanger: mëtteldäischter Hautfaarf, no uewen, weisen
☝🏿	Fanger, Hand, Zeigefanger, däischter Hautfaarf, no uewe weisende Fanger, no uewe weisende Fanger: däischter Hautfaarf, no uewen, weisen
👍️	+1, Daum, Daum no uewen, Hand, no uewen
👍🏻	+1, Daum, Daum no uewen, Daum no uewen: hell Hautfaarf, Hand, hell Hautfaarf, no uewen
👍🏼	+1, Daum, Daum no uewen, Daum no uewen: mëttelhell Hautfaarf, Hand, mëttelhell Hautfaarf, no uewen
👍🏽	+1, Daum, Daum no uewen, Daum no uewen: mëttel Hautfaarf, Hand, mëttel Hautfaarf, no uewen
👍🏾	+1, Daum, Daum no uewen, Daum no uewen: mëtteldäischter Hautfaarf, Hand, mëtteldäischter Hautfaarf, no uewen
👍🏿	+1, Daum, Daum no uewen, Daum no uewen: däischter Hautfaarf, Hand, däischter Hautfaarf, no uewen
👎️	-1, Daum, Daum no ënnen, Hand, no ënnen
