😀	داند پیسنا, دند پیسدی شکل, دی شکل
🖐🏻	اُنگل, وسعت دِتا, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
🖐🏼	اُنگل, وسعت دِتا, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
🖐🏽	اُنگل, درمیانی رنگت آلی جلد, وسعت دِتا, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ: درمیانی رنگت آلی جلد, ہتھ
🖐🏾	اُنگل, درمیانی کالی رنگت آلی جلد, وسعت دِتا, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ: درمیانی کالی رنگت آلی جلد, ہتھ
🖐🏿	اُنگل, وسعت دِتا, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ, چوڑیاں کیتیاں اُنگلاں نال اُوتے کیتا ہتھ: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
✋	اُوتے کیتا ہتھ, ہتھ
✋🏻	اُوتے کیتا ہتھ, اُوتے کیتا ہتھ: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
✋🏼	اُوتے کیتا ہتھ, اُوتے کیتا ہتھ: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
✋🏽	اُوتے کیتا ہتھ, اُوتے کیتا ہتھ: درمیانی رنگت آلی جلد, درمیانی رنگت آلی جلد, ہتھ
✋🏾	اُوتے کیتا ہتھ, اُوتے کیتا ہتھ: درمیانی کالی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, ہتھ
✋🏿	اُوتے کیتا ہتھ, اُوتے کیتا ہتھ: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
🖖	افسانوی کردار, اُنگل, قلزات دا دیوتا, قلزات دے دیوتا نوں سلامی دینا, ہتھ
🖖🏻	افسانوی کردار, اُنگل, قلزات دا دیوتا, قلزات دے دیوتا نوں سلامی دینا, قلزات دے دیوتا نوں سلامی دینا: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
🖖🏼	افسانوی کردار, اُنگل, قلزات دا دیوتا, قلزات دے دیوتا نوں سلامی دینا, قلزات دے دیوتا نوں سلامی دینا: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
🖖🏽	افسانوی کردار, اُنگل, درمیانی رنگت آلی جلد, قلزات دا دیوتا, قلزات دے دیوتا نوں سلامی دینا, قلزات دے دیوتا نوں سلامی دینا: درمیانی رنگت آلی جلد, ہتھ
🖖🏾	افسانوی کردار, اُنگل, درمیانی کالی رنگت آلی جلد, قلزات دا دیوتا, قلزات دے دیوتا نوں سلامی دینا, قلزات دے دیوتا نوں سلامی دینا: درمیانی کالی رنگت آلی جلد, ہتھ
🖖🏿	افسانوی کردار, اُنگل, قلزات دا دیوتا, قلزات دے دیوتا نوں سلامی دینا, قلزات دے دیوتا نوں سلامی دینا: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
🫱🏻‍🫲🏼	راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی رنگت آلی جلد, ہلکی درمیانی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد, ہلکی رنگت آلی جلد
🫱🏻‍🫲🏽	درمیانی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی رنگت آلی جلد, درمیانی رنگت آلی جلد, ہلانا, ہلکی رنگت آلی جلد
🫱🏻‍🫲🏾	درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, ہلانا, ہلکی رنگت آلی جلد
🫱🏻‍🫲🏿	راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی رنگت آلی جلد, کالی رنگت آلی جلد, ہلانا, ہلکی رنگت آلی جلد
🫱🏼‍🫲🏻	راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی درمیانی رنگت آلی جلد, ہلکی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد, ہلکی رنگت آلی جلد
🫱🏼‍🫲🏽	درمیانی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی درمیانی رنگت آلی جلد, درمیانی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد
🫱🏼‍🫲🏾	درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی درمیانی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد
🫱🏼‍🫲🏿	راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: ہلکی درمیانی رنگت آلی جلد, کالی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد
🫱🏽‍🫲🏻	درمیانی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی رنگت آلی جلد, ہلکی رنگت آلی جلد, ہلانا, ہلکی رنگت آلی جلد
🫱🏽‍🫲🏼	درمیانی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی رنگت آلی جلد, ہلکی درمیانی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد
🫱🏽‍🫲🏾	درمیانی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, ہلانا
🫱🏽‍🫲🏿	درمیانی رنگت آلی جلد, راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی رنگت آلی جلد, کالی رنگت آلی جلد, ہلانا
🫱🏾‍🫲🏻	درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی کالی رنگت آلی جلد, ہلکی رنگت آلی جلد, ہلانا, ہلکی رنگت آلی جلد
🫱🏾‍🫲🏼	درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی کالی رنگت آلی جلد, ہلکی درمیانی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد
🫱🏾‍🫲🏽	درمیانی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی کالی رنگت آلی جلد, درمیانی رنگت آلی جلد, ہلانا
🫱🏾‍🫲🏿	درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: درمیانی کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہلانا
🫱🏿‍🫲🏻	راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: کالی رنگت آلی جلد, ہلکی رنگت آلی جلد, ہلانا, ہلکی رنگت آلی جلد
🫱🏿‍🫲🏼	راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: کالی رنگت آلی جلد, ہلکی درمیانی رنگت آلی جلد, ہلانا, ہلکی درمیانی رنگت آلی جلد
🫱🏿‍🫲🏽	درمیانی رنگت آلی جلد, راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: کالی رنگت آلی جلد, درمیانی رنگت آلی جلد, ہلانا
🫱🏿‍🫲🏾	درمیانی کالی رنگت آلی جلد, راضی نامہ, ملاقات, کالی رنگت آلی جلد, ہتھ, ہتھ ملانا, ہتھ ملانا: کالی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, ہلانا
👌	ٹھیک اے, ٹھیک اے ہتھ, ہتھ
👌🏻	ٹھیک اے, ٹھیک اے ہتھ, ٹھیک اے ہتھ: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
👌🏼	ٹھیک اے, ٹھیک اے ہتھ, ٹھیک اے ہتھ: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
👌🏽	درمیانی رنگت آلی جلد, ٹھیک اے, ٹھیک اے ہتھ, ٹھیک اے ہتھ: درمیانی رنگت آلی جلد, ہتھ
👌🏾	درمیانی کالی رنگت آلی جلد, ٹھیک اے, ٹھیک اے ہتھ, ٹھیک اے ہتھ: درمیانی کالی رنگت آلی جلد, ہتھ
👌🏿	ٹھیک اے, ٹھیک اے ہتھ, ٹھیک اے ہتھ: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
✌️	v, جیت, فتح دا ہتھ, ہتھ
✌🏻	v, جیت, فتح دا ہتھ, فتح دا ہتھ: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
✌🏼	v, جیت, فتح دا ہتھ, فتح دا ہتھ: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
✌🏽	v, جیت, درمیانی رنگت آلی جلد, فتح دا ہتھ, فتح دا ہتھ: درمیانی رنگت آلی جلد, ہتھ
✌🏾	v, جیت, درمیانی کالی رنگت آلی جلد, فتح دا ہتھ, فتح دا ہتھ: درمیانی کالی رنگت آلی جلد, ہتھ
✌🏿	v, جیت, فتح دا ہتھ, فتح دا ہتھ: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
🤞	اُنگل, اُنگلاں آرپار کرنا, قسمت, پار کرنا, ہتھ
🤞🏻	اُنگل, اُنگلاں آرپار کرنا, اُنگلاں آرپار کرنا: ہلکی رنگت آلی جلد, قسمت, پار کرنا, ہتھ, ہلکی رنگت آلی جلد
🤞🏼	اُنگل, اُنگلاں آرپار کرنا, اُنگلاں آرپار کرنا: ہلکی درمیانی رنگت آلی جلد, قسمت, پار کرنا, ہتھ, ہلکی درمیانی رنگت آلی جلد
🤞🏽	اُنگل, اُنگلاں آرپار کرنا, اُنگلاں آرپار کرنا: درمیانی رنگت آلی جلد, درمیانی رنگت آلی جلد, قسمت, پار کرنا, ہتھ
🤞🏾	اُنگل, اُنگلاں آرپار کرنا, اُنگلاں آرپار کرنا: درمیانی کالی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, قسمت, پار کرنا, ہتھ
🤞🏿	اُنگل, اُنگلاں آرپار کرنا, اُنگلاں آرپار کرنا: کالی رنگت آلی جلد, قسمت, پار کرنا, کالی رنگت آلی جلد, ہتھ
🤟	اسم صفت دے مطابق کیتا گیا کم, تہاڈے نال پریم آ دا اشارہ, ہتھ
🤟🏻	اسم صفت دے مطابق کیتا گیا کم, تہاڈے نال پریم آ دا اشارہ, تہاڈے نال پریم آ دا اشارہ: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
🤟🏼	اسم صفت دے مطابق کیتا گیا کم, تہاڈے نال پریم آ دا اشارہ, تہاڈے نال پریم آ دا اشارہ: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
🤟🏽	اسم صفت دے مطابق کیتا گیا کم, تہاڈے نال پریم آ دا اشارہ, تہاڈے نال پریم آ دا اشارہ: درمیانی رنگت آلی جلد, درمیانی رنگت آلی جلد, ہتھ
🤟🏾	اسم صفت دے مطابق کیتا گیا کم, تہاڈے نال پریم آ دا اشارہ, تہاڈے نال پریم آ دا اشارہ: درمیانی کالی رنگت آلی جلد, درمیانی کالی رنگت آلی جلد, ہتھ
🤟🏿	اسم صفت دے مطابق کیتا گیا کم, تہاڈے نال پریم آ دا اشارہ, تہاڈے نال پریم آ دا اشارہ: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
🤘	اُنگل, راک-آن, سینگ, سینگ سائن آف کرو, ہتھ
🤘🏻	اُنگل, راک-آن, سینگ, سینگ سائن آف کرو, سینگ سائن آف کرو: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
🤘🏼	اُنگل, راک-آن, سینگ, سینگ سائن آف کرو, سینگ سائن آف کرو: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
🤘🏽	اُنگل, درمیانی رنگت آلی جلد, راک-آن, سینگ, سینگ سائن آف کرو, سینگ سائن آف کرو: درمیانی رنگت آلی جلد, ہتھ
🤘🏾	اُنگل, درمیانی کالی رنگت آلی جلد, راک-آن, سینگ, سینگ سائن آف کرو, سینگ سائن آف کرو: درمیانی کالی رنگت آلی جلد, ہتھ
🤘🏿	اُنگل, راک-آن, سینگ, سینگ سائن آف کرو, سینگ سائن آف کرو: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
🤙	کال, کال کردا ہتھ, ہتھ
🤙🏻	کال, کال کردا ہتھ, کال کردا ہتھ: ہلکی رنگت آلی جلد, ہتھ, ہلکی رنگت آلی جلد
🤙🏼	کال, کال کردا ہتھ, کال کردا ہتھ: ہلکی درمیانی رنگت آلی جلد, ہتھ, ہلکی درمیانی رنگت آلی جلد
🤙🏽	درمیانی رنگت آلی جلد, کال, کال کردا ہتھ, کال کردا ہتھ: درمیانی رنگت آلی جلد, ہتھ
🤙🏾	درمیانی کالی رنگت آلی جلد, کال, کال کردا ہتھ, کال کردا ہتھ: درمیانی کالی رنگت آلی جلد, ہتھ
🤙🏿	کال, کال کردا ہتھ, کال کردا ہتھ: کالی رنگت آلی جلد, کالی رنگت آلی جلد, ہتھ
👈️	اشارہ کرنا, اُنگل, بیک ہینڈ, ضمینہ, ہتھ, ہتھ دے مخالف پاسیوں شہادت دی انگلی نال اوتے کھبے اشارہ کردیاں ہوئیاں
