🏻	peau, peau claire
😞	déçu, visage, visage déçu
😟	inquiet, visage, visage inquiet
😤	triomphe, victoire, visage, visage avec fumée sortant des narines
😢	larmes, visage qui pleure
😭	larme, pleurs, triste, visage, visage qui pleure à chaudes larmes
😦	bouche, déçu, ouverte, visage, visage mécontent avec bouche ouverte
😧	angoisse, visage, visage angoissé
😨	apeuré, effrayé, peur, visage, visage effrayé
😩	fatigué, visage, visage épuisé, épuisé
🤯	choqué, tête qui explose
😬	grimace, visage, visage grimaçant
😰	bouche, froid, sueur, visage, visage anxieux avec goutte de sueur
😱	cri, effrayé, peur, visage, visage qui hurle de peur
🥵	chaud, coup de chaleur, fièvre, transpiration, visage rouge, visage rouge et chaud
🥶	froid, gelure, glacial, glaçon, visage bleu, visage bleu et froid
😳	rouge, rougissant, visage, visage qui rougit
🤪	grand, petit, tête de fou, œil
😵	tournis, visage, visage étourdi
😡	colère, furieux, visage, visage boudeur, énervé
😠	colère, visage en colère
🤬	juron, visage avec des symboles dans la bouche
😷	masque, visage avec masque
🤒	indisposé, malade, thermomètre, visage, visage avec thermomètre
🤕	bandage, tête, visage avec bandage autour de la tête
🤢	nausée, visage, visage nauséeux, écœuré
🤮	malade, visage qui vomit, vomi, vomissure
🤧	atchoum, rhume, visage, visage qui éternue, éternuement, éternuer
😇	ange, visage souriant avec auréole
🤠	chapeau, cowboy, visage, visage avec chapeau de cowboy
🥳	chapeau, célébration, fête, sifflet, visage festif
🥴	bouche ondulée, dans les vapes, hébété, pompette, rond, visage éméché
🥺	pitié, supplication, visage implorant, yeux de chiens battus
🤥	mensonge, menteur, pinocchio, visage, visage de menteur
🤫	chut, silence, visage avec un doigt sur la bouche
🤭	oups, visage avec une main sur la bouche
🧐	collet monté, vieux jeu, visage avec un monocle
🤓	geek, lunettes, visage, visage de geek
😈	cornes, fantastique, sourire, visage, visage souriant avec des cornes
👿	diablotin, mauvais, visage en colère avec des cornes
🤡	clown, visage, visage de clown
👹	japonais, ogre
👺	japonais, monstre, monstre japonais
💀	corps, crâne, fantastique, mort, visage
☠	crâne, mort, os, tête, tête de mort
👻	créature, fantastique, fantôme, monstre, visage
👽	alien, créature, extraterrestre, ovni, visage
👾	espace, extraterrestre, monstre, monstre de l’espace
🤖	monstre, robot, visage, visage de robot
💩	caca, crotte, dessin, tas de crotte, visage
😺	chat, sourire, tête de chat qui sourit
😸	chat, sourire, tête de chat qui sourit avec des yeux rieurs
😹	chat, sourire, tête de chat qui pleure de joie
😻	amoureux, chat, tête de chat souriant avec des cœurs à la place des yeux
😼	chat, ironique, tête de chat avec sourire en coin
😽	bisou, chat, tête de chat qui fait un bisou
🙀	chat, inquiet, tête de chat fatigué
😿	chat, pleure, tête de chat qui pleure
😾	chat, colère, tête de chat qui boude
🙈	aveugle, singe, singe ne rien voir
🙉	singe, singe ne rien entendre, sourd
🙊	muet, singe, singe ne rien dire
👶	bébé
🧒	enfant, genre neutre, jeune
👦	garçon, jeune
👧	fille, jeune, vierge, zodiaque
🧑	adulte, genre neutre
👱	blond, personne blonde
👨	homme
👱‍♂	blond, homme, homme blond
🧔	barbe, personne barbue
👩	femme
👱‍♀	blonde, femme, femme blonde
🧓	adulte, genre neutre, personne âgée, âgé
👴	homme, homme âgé, âgé
👵	femme, femme âgée, âgée
👨‍⚕	docteur, homme, infirmier, professionnel de la santé, santé
👩‍⚕	docteur, femme, infirmière, professionnelle de la santé, santé
👨‍🎓	diplômé, homme, étudiant
👩‍🎓	diplômée, femme, étudiante
👨‍🏫	enseignant, homme, instituteur, instructeur, professeur
👩‍🏫	enseignante, femme, institutrice, instructrice, professeure
👨‍⚖	balance, homme, juge homme, justice
👩‍⚖	balance, femme, juge, juge femme
👨‍🌾	agriculteur, fermier, homme, jardinier
👩‍🌾	agricultrice, femme, fermière, jardinière
👨‍🍳	chef, cuisinier, homme
👩‍🍳	chef, cuisinière, femme
👨‍🔧	homme, mécanicien, mécanique, plombier, électricien
👩‍🔧	femme, mécanicienne, mécanique, plombier, électricienne
👨‍🏭	assemblage, industrie, ouvrier, usine
👩‍🏭	assemblage, industrie, ouvrière, usine
👨‍💼	affaires, architecte, bureau, employé de bureau, homme
👩‍💼	affaires, architecte, bureau, employée de bureau, femme
👨‍🔬	chimiste, homme, scientifique, scientifique homme
👩‍🔬	chimiste, femme, scientifique, scientifique femme
👨‍💻	développeur, homme, informaticien, logiciels, technologie
👩‍💻	développeuse, femme, informaticienne, logiciels, technologie
👨‍🎤	artiste, chanteur, rock, star
👩‍🎤	artiste, chanteuse, rock, star
👨‍🎨	artiste, artiste homme, homme, palette
👩‍🎨	artiste, artiste femme, femme, palette
👨‍✈	avion, homme, pilote, pilote homme
👩‍✈	avion, femme, pilote, pilote femme
👨‍🚀	astronaute, astronaute homme, espace, fusée, homme
👩‍🚀	astronaute, astronaute femme, espace, femme, fusée
👨‍🚒	camion de pompiers, homme, pompier, pompier homme
👩‍🚒	camion de pompiers, femme, pompier, pompier femme
👮	flic, officier, officier de police, police
👮‍♂	flic, homme, officier, police, policier
👮‍♀	femme, flic, officier, police, policière
🕵	détective, enquêteur, espion
🕵‍♂	détective, détective homme, enquêteur, espion, homme
🕵‍♀	détective, détective femme, enquêteuse, espionne, femme
💂	garde
💂‍♂	garde, garde homme, homme
💂‍♀	femme, garde, garde femme
👷	bâtiment, casque, ouvrier, personnel du bâtiment
👷‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment
👷‍♀	bâtiment, femme, ouvrière, ouvrière du bâtiment
🤴	prince
👸	fantastique, princesse
👳	personne en turban, turban
👳‍♂	homme, homme en turban, turban
👳‍♀	femme, femme en turban, turban
👲	casquette mao, chapeau, homme, homme avec casquette chinoise
🧕	femme avec foulard, foulard, hijab, mantilla, tichel
🤵	homme, homme en smoking, smoking
👰	mariage, mariée, mariée avec voile, voile
🤰	enceinte, femme, femme enceinte
🤱	allaitement, bébé, sein, soins
👼	ange, bébé, bébé ange, fantastique, visage
🎅	noël, père, père Noël
🤶	Noël, mère, mère Noël
🦸	bien, heroïne, héros, super-héros, super-pouvoir
🦸‍♀	bien, femme, héros, héroïne, super-héroïne, super-pouvoir
🦸‍♂	bien, homme, héros, super-héros homme, super-pouvoir
🦹	criminel, mal, méchant, super-pouvoir, super-vilain
🦹‍♀	criminelle, femme, mal, méchante, super-pouvoir, super-vilain femme
🦹‍♂	criminel, homme, mal, méchant, super-pouvoir, super-vilain homme
🧙	ensorceleur, mage, magicien, sorcier, sorcière
🧙‍♀	ensorceleuse, mage femme, sorcière
🧙‍♂	mage homme, magicien, sorcier
🧚	Obéron, Puck, Titania, personnage féérique
🧚‍♀	Titania, fée
🧚‍♂	Obéron, Puck, féetaud
🧛	Dracula, mort-vivant, vampire
🧛‍♀	morte-vivante, vampire femme
🧛‍♂	Dracula, mort-vivant, vampire homme
🧜	créature aquatique, sirène, triton
🧜‍♀	sirène
🧜‍♂	Triton, triton
🧝	elfe, magique
🧝‍♀	elfe femme, magique
🧝‍♂	elfe homme, magique
🧞	djinn, génie
🧞‍♀	djinn, génie femme
🧞‍♂	djinn, génie homme
🧟	mort-vivant, zombie
🧟‍♀	morte-vivante, zombie femme
🧟‍♂	mort-vivant, zombie homme
🙍	froncer, personne fronçant les sourcils, sourcils
🙍‍♂	froncement, geste, homme, homme fronçant les sourcils
🙍‍♀	femme, femme fronçant les sourcils, froncement, geste
🙎	bouder, geste, moue, personne qui boude
🙎‍♂	boude, geste, homme, homme qui boude
🙎‍♀	boude, femme, femme qui boude, geste
🙅	geste, interdit, main, personne faisant un geste d’interdiction
🙅‍♂	geste, homme, homme faisant un geste d’interdiction, interdit, main
🙅‍♀	femme, femme faisant un geste d’interdiction, geste, interdit, main
🙆	OK, geste, main, personne faisant un geste d’acceptation
🙆‍♂	geste d’accord, homme, homme faisant un geste d’acceptation, main, ok
🙆‍♀	femme, femme faisant un geste d’acceptation, geste d’accord, main, ok
💁	aide, information, main, personne paume vers le haut
💁‍♂	homme, homme paume vers le haut, paume vers le haut
💁‍♀	femme, femme paume vers le haut, paume vers le haut
🙋	content, geste, levée, main, personne qui lève la main
🙋‍♂	geste, homme, homme qui lève la main, main levée
🙋‍♀	femme, femme qui lève la main, geste, main levée
🙇	désolé, geste, incliné, personne qui s’incline
🙇‍♂	désolé, geste, homme, homme qui s’incline, incliné
🙇‍♀	désolée, femme, femme qui s’incline, geste, inclinée
🤦	exaspération, incrédulité, paume de main, personne avec la paume sur le visage, visage
🤦‍♂	exaspération, homme, homme avec la paume sur le visage, incrédulité, paume
🤦‍♀	exaspération, femme, femme avec la paume sur le visage, incrédulité, paume
🤷	doute, haussement d’épaules, ignorance, indifférence, personne qui hausse les épaules
🤷‍♂	haussement, homme, homme qui hausse les épaules, ignorance, indifférence
🤷‍♀	femme, femme qui hausse les épaules, haussement, ignorance, indifférence
💆	massage, personne qui se fait masser, salon, visage
💆‍♂	homme, homme qui se fait masser, massage, visage
💆‍♀	femme, femme qui se fait masser, massage, visage
💇	barbier, beauté, coiffure, personne qui se fait couper les cheveux, salon
💇‍♂	coiffure, homme, homme qui se fait couper les cheveux
💇‍♀	coiffure, femme, femme qui se fait couper les cheveux
🚶	marche, personne qui marche, piéton
🚶‍♂	homme, homme qui marche, marche, piéton
🚶‍♀	femme, femme qui marche, marche, piétonne
🏃	coureur, course à pied, jogging, marathon, personne qui court
🏃‍♂	course à pied, homme, homme qui court, jogging, marathon
🏃‍♀	course à pied, femme, femme qui court, jogging, marathon
💃	danse, danseuse, femme
🕺	danse, danseur, homme
👯	danseuse, femme, fille, oreilles de lapin, personnes avec des oreilles de lapin
👯‍♂	danseur, fête, homme, hommes avec des oreilles de lapin, oreilles de lapin
👯‍♀	danseuse, femme, femmes avec des oreilles de lapin, fête, oreilles de lapin
🧖	hammam, personne au hammam, sauna
🧖‍♀	femme au hammam, hammam, sauna
🧖‍♂	hammam, homme au hammam, sauna
🧗	alpiniste, grimpeur, personne qui grimpe
🧗‍♀	alpiniste, femme qui grimpe, grimpeuse
🧗‍♂	alpiniste, grimpeur, homme qui grimpe
🧘	méditation, personne dans la posture du lotus, position du lotus, yoga
🧘‍♀	femme dans la posture du lotus, méditation, position du lotus, yoga
🧘‍♂	homme dans la posture du lotus, méditation, position du lotus, yoga
🛀	baignoire, bain, personne prenant un bain
🛌	lit, personne au lit
🕴	affaires, homme, homme d’affaires en lévitation
🗣	parler, silhouette, tête qui parle
👤	buste, silhouette de buste
👥	bustes, silhouettes de bustes
🤺	escrime, escrimeur, personne, sport, épée
🏇	cheval, course hippique, jockey, sport
⛷	neige, skieur, sport
🏂	neige, snowboardeur, sport
🏌	balle, golf, joueur de golf
🏌‍♂	golf, golfeur, homme
🏌‍♀	femme, golf, golfeuse
🏄	personne faisant du surf, sport
🏄‍♂	homme, surf, surfeur
🏄‍♀	femme, surf, surfeuse
🚣	barque, bateau, personne ramant dans une barque
🚣‍♂	barque, bateau, homme, rameur dans une barque
🚣‍♀	barque, bateau, femme, rameuse dans une barque
🏊	personne nageant, sport
🏊‍♂	homme, nage, nageur
🏊‍♀	femme, nage, nageuse
⛹	personne avec ballon, sport
⛹‍♂	ballon, homme, homme avec ballon
⛹‍♀	ballon, femme, femme avec ballon
🏋	haltérophile, sport
🏋‍♂	haltérophile, homme, homme haltérophile
🏋‍♀	femme, femme haltérophile, haltérophile
🚴	cycliste, vélo
🚴‍♂	cyclisme, cycliste, cycliste homme, homme, vélo
🚴‍♀	cyclisme, cycliste, cycliste femme, femme, vélo
🚵	montagne, personne en VTT, vélo
🚵‍♂	VTT, cycliste, homme, homme en VTT, vélo
🚵‍♀	VTT, cycliste, femme, femme en VTT, vélo
🏎	course, voiture, voiture de course
🏍	course, moto
🤸	gymnastique, personne, personne faisant la roue, roue, sport
🤸‍♂	gymnastique, homme, homme faisant la roue, roue
🤸‍♀	femme, femme faisant la roue, gymnastique, roue
🤼	lutte, lutteur, personnes, personnes faisant de la lutte, sport
🤼‍♂	hommes, lutte, lutteurs, personne, sport
🤼‍♀	femmes, lutte, lutteuses, sport
🤽	personne jouant au water-polo, sport, water-polo
🤽‍♂	homme, joueur de water-polo, sport, water-polo
🤽‍♀	femme, joueuse de water-polo, sport, water-polo
🤾	handball, personne, personne jouant au handball, sport
🤾‍♂	handball, handballeur, homme, sport
🤾‍♀	femme, handball, handballeuse, sport
🤹	jongler, jongleur, multitâche, personne qui jongle
🤹‍♂	homme, jonglage, jongleur, multitâche
🤹‍♀	femme, jonglage, jongleuse, multitâche
👫	couple, femme, homme, homme et femme se tenant la main
👬	couple, deux hommes se tenant la main, hommes, jumeaux
👭	couple, deux femmes se tenant la main, femmes, jumelles
💏	baiser, bisou, couple
💑	amour, couple, couple avec cœur, cœur
👪	enfant, famille, mère, père
🤳	appareil photo, selfie, téléphone
💪	biceps, biceps contracté, contracté, corps, muscle
🦵	coup de pied, jambe, membre
🦶	coup de pied, pas lourd, pied
👈	doigt, gauche, index, main, main avec index pointant à gauche
👉	doigt, droite, index, main, main avec index pointant à droite
☝	doigt, index, index pointant vers le haut, main
👆	doigt, index, main, main avec index pointant vers le haut
🖕	doigt, doigt d’honneur, main, majeur
👇	bas, doigt, index, main, main avec index pointant vers le bas
✌	V de la victoire, ciseaux, main, victoire
🤞	croisés, doigts, doigts croisés, main
🖖	main, salut vulcain, vulcain
🤘	cornes, cornes avec les doigts, main
🤙	appel, main, signe, signe appel téléphonique avec les doigts, téléphone
🖐	main, main levée doigts écartés
✋	feuille, main, main levée
👌	geste, main, ok
👍	main, pouce vers le haut, super
👎	main, nul, pouce vers le bas
✊	main, pierre, poing, poing levé
👊	coup de poing, main, poing, poing de face
🤛	gauche, main, poing, poing à gauche
🤜	droite, main, poing, poing à droite
🤚	dos de main levée, levée, main
👋	coucou, main, signe de la main
🤟	amour, main, signe je t’aime
✍	main, main qui écrit, écrire
👏	applaudissements, bravo, mains
👐	main, mains ouvertes, ouvert
🙌	air, mains, mains levées
🤲	mains, paume contre paume doigts vers le haut, prière
🙏	mains, mains en prière, prière
🤝	mains, poignée, poignée de main, présentation, rencontre
💅	maquillage, vernis à ongles
👂	corps, oreille
👃	corps, nez
👣	pied, traces de pas
👀	corps, visage, yeux, œil
👁	corps, œil
👁‍🗨	bulle de BD, témoin, œil, œil dans une bulle de BD
🧠	cerveau, intelligent
🦴	os, squelette
🦷	dent, dentiste
👅	corps, langue
👄	bouche, corps, lèvres
🦰	cheveux roux, rouquin, rouquine
🦱	afro, boucles, bouclés, cheveux bouclés
🦳	blancs, cheveux, cheveux blancs, gris, vieux
🦲	chauve, chimiothérapie, imberbe, rasé, sans cheveux
💋	baiser, lèvres, rouge, trace de rouge à lèvres
💘	Cupidon, cœur, cœur et flèche, flèche
💝	Saint-Valentin, cœur, cœur avec ruban, ruban
💖	cœur, cœur étincelant
💗	cœur, cœur grandissant
💓	cœur, cœur battant
💞	cœurs, cœurs qui tournent
💕	amour, cœurs, deux cœurs
💌	amour, lettre, lettre d’amour
❣	cœur, cœur point d’exclamation, exclamation, ponctuation
💔	cœur, cœur brisé
❤	cœur, cœur rouge
🧡	cœur orange, orange
💛	cœur, cœur jaune
💚	cœur, cœur vert
💙	cœur, cœur bleu
💜	cœur, cœur violet
🖤	cœur, cœur noir
💟	cœur, décoration avec cœur
💤	dormir, endormi, ronfler
💢	colère, dessin, furieux, symbole de colère
💣	bombe, dessin
💥	collision, explosion
💦	gouttes de sueur, sueur, éclaboussures
💨	décamper, filer
💫	tournis, étourdissement
💬	bulle, bulle de parole, dialogue
🗨	bulle, bulle de parole gauche, dialogue
🗯	bulle, bulle colère droite, colère, droite
💭	bulle, bulle de pensée, pensée
🕳	trou
👓	lunettes, lunettes de vue, vêtements, œil
🕶	lunettes, lunettes de soleil, soleil
🥽	lunettes, natation, protection des yeux, soudage
🥼	blouse blanche, docteur, expérience, scientifique
👔	cravate, vêtements
👕	T-shirt, tee-shirt, vêtements
👖	jean, pantalon, vêtements
🧣	cou, foulard, vêtements
🧤	gants, main, vêtements
🧥	manteau, veste, vêtements
🧦	chaussettes, pieds, vêtements
👗	robe, vêtements
👘	kimono, vêtements
👙	bikini, maillot de bain
👚	femme, vêtements, vêtements de femme
👛	monnaie, porte-monnaie, vêtements
👜	sac, sac à main, vêtements
👝	pochette, sac, vêtements
🛍	sac, sacs de shopping, shopping
🎒	cartable, sac, sac à dos, école
👞	chaussure, chaussure d’homme, homme, vêtements
👟	chaussure, chaussure de sport, vêtements
🥾	camping, chaussure, chaussure de randonnée, marche, randonnée, vêtements
🥿	ballerine, chaussure plate, chaussure sans lacets, mule, vêtements
👠	chaussure, chaussure à talon haut, vêtements
👡	chaussure, sandale de femme, vêtements
👢	botte, botte de femme, chaussure, vêtements
👑	couronne, reine, roi, vêtements
👒	chapeau, chapeau de femme, femme, vêtements
🎩	chapeau, haut de forme, vêtements
🎓	chapeau, toque universitaire, vêtements
🧢	casquette américaine, casquette de baseball, vêtements
⛑	assistance, casque, casque de secouriste, croix
📿	chapelet, prière, religion, vêtements
💄	maquillage, rouge à lèvres
💍	amour, bague, diamant
💎	bijou, diamant, joyau, pierre précieuse
🐵	animal, singe, tête de singe
🐒	animal, singe
🦍	animal, gorille
🐶	animal, chien, tête de chien
🐕	animal, chien
🐩	animal, caniche, chien
🐺	animal, loup, tête de loup
🦊	animal, renard, tête de renard
🦝	animal, curieux, raton laveur, sournois
🐱	animal, chat, tête de chat
🐈	animal, chat
🦁	animal, lion, tête de lion
🐯	animal, tigre, tête de tigre
🐅	animal, tigre
🐆	animal, léopard
🐴	animal, cheval, tête de cheval
🐎	animal, cheval
🦄	animal, licorne, tête de licorne
🦓	animal, rayure, zèbre, zébrure
🦌	animal, cerf
🐮	animal, tête de vache, vache
🐂	animal, bœuf
🐃	animal, buffle
🐄	animal, vache
🐷	animal, cochon, tête de cochon
🐖	animal, cochon
🐗	animal, sanglier
🐽	animal, cochon, groin
🐏	animal, bélier
🐑	animal, mouton
🐐	animal, chèvre
🐪	animal, dromadaire
🐫	animal, chameau
🦙	alpaga, guanaco, laine, lama, vigogne
🦒	animal, girafe, taches
🐘	animal, éléphant
🦏	animal, rhinocéros
🦛	animal, hippopotame
🐭	animal, souris, tête de souris
🐁	animal, souris
🐀	animal, rat
🐹	animal, hamster, tête de hamster
🐰	animal, lapin, tête de lapin
🐇	animal, lapin
🐿	animal, écureuil
🦔	animal, hérisson, épineux
🦇	animal, chauve-souris, vampire
🐻	animal, ours, tête d’ours
🐨	animal, koala
🐼	animal, panda, tête de panda
🦘	Australie, joey, kangourou, marsupial, saut
🦡	animal, blaireau, ratel
🐾	empreintes, empreintes d’animaux, pattes
🦃	animal, dindon, oiseau
🐔	animal, oiseau, poule
🐓	animal, coq, oiseau
🐣	animal, oiseau, poussin, poussin qui éclôt
🐤	animal, oiseau, poussin
🐥	animal, oiseau, poussin de face
🐦	animal, oiseau
🐧	animal, oiseau, pingouin
🕊	animal, colombe, oiseau
🦅	aigle, animal, oiseau, rapace
🦆	animal, canard, oiseau
🦢	animal, cygne, jeune cygne, oiseau, vilain petit canard
🦉	animal, chouette, oiseau
🦚	animal, fier, oiseau, paon, paonne, prétentieux
🦜	animal, oiseau, parle, perroquet, pirate
🐸	animal, grenouille, tête de grenouille
🐊	animal, crocodile, reptile
🐢	animal, reptile, tortue
🦎	animal, lézard, reptile
🐍	animal, reptile, serpent
🐲	animal, dragon, tête de dragon
🐉	animal, dragon
🦕	animal, brachiosaure, brontosaure, diplodocus, sauropode
🦖	T-Rex, Tyrannosaurus Rex, tyrannosaure
🐳	animal, baleine, baleine soufflant par son évent
🐋	animal, baleine
🐬	animal, dauphin
🐟	animal, poisson, poissons, zodiaque
🐠	animal, poisson, poisson tropical
🐡	animal, poisson, poisson-lune
🦈	animal, poisson, requin
🐙	animal, mollusque, pieuvre
🐚	coquille, coquille en spirale, spirale
🦀	animal, crabe
🦞	bisque, fruits de mer, homard, pinces
🦐	crevette, crustacé
🦑	calamar, mollusque
🐌	animal, escargot
🦋	insecte, mignon, papillon
🐛	animal, chenille, insecte
🐜	animal, fourmi, insecte
🐝	abeille, animal, insecte
🐞	animal, coccinelle, insecte
🦗	animal, criquet, insecte, sauterelle
🕷	animal, araignée, insecte
🕸	araignée, toile, toile d’araignée
🦂	animal, scorpion
🦟	fièvre, insecte, maladie, malaria, moustique, virus
🦠	amibe, bactérie, microbe, virus
💐	bouquet, fleur, plante
🌸	fleur, fleur de cerisier
💮	fleur, fleur blanche
🏵	plante, rosette
🌹	fleur, rose
🥀	fanée, fleur, fleur fanée
🌺	fleur, hibiscus
🌻	fleur, tournesol
🌼	bourgeon, fleur
🌷	fleur, tulipe
🌱	jeune plant, jeune pousse, plantule
🌲	arbre, conifère
🌳	arbre, arbre à feuilles caduques, feuilles caduques, feuillu
🌴	arbre, palmier
🌵	cactus, plante
🌾	plant de riz, riz
🌿	feuille, plante
☘	plante, trèfle
🍀	chance, trèfle, trèfle à quatre feuilles
🍁	feuille, feuille d’érable
🍂	feuille, feuille morte
🍃	feuille, feuille virevoltante, souffle, vent
🍇	fruit, raisin
🍈	fruit, melon
🍉	fruit, pastèque
🍊	fruit, mandarine, orange
🍋	citron, fruit
🍌	banane, fruit
🍍	ananas, fruit
🥭	fruit, mangue, tropical
🍎	fruit, pomme, pomme rouge
🍏	fruit, pomme, pomme verte
🍐	fruit, poire
🍑	fruit, pêche
🍒	cerises, fruit
🍓	fraise, fruit
🥝	fruit, kiwi
🍅	légume, plante, tomate
🥥	fruit, noix de coco, palmier, piña colada
🥑	avocat, fruit
🍆	aubergine, légume
🥔	légume, patate, pomme de terre
🥕	carotte, légume
🌽	maïs, épi, épi de maïs
🌶	piment, piment rouge
🥒	concombre, légume
🥬	chou, chou chinois, chou frisé, chou pommé, laitue, légume à feuilles vertes
🥦	broccoli, chou sauvage, légume
🍄	champignon, plante
🥜	arachide, cacahuète, cacahuètes, noisette
🌰	châtaigne, plante
🍞	miche, pain
🥐	croissant, pain, viennoiserie
🥖	baguette, pain
🥨	bretzel, torsade
🥯	bagel, boulangerie, schmear
🥞	crêpe, pancake, pancakes
🧀	fromage, part de fromage
🍖	viande, viande sur un os
🍗	cuisse de poulet, poulet
🥩	côtelette, côtelette de porc, côtelette d’agneau, morceau de viande, steak
🥓	bacon, lard, viande
🍔	burger, hamburger
🍟	frites, potatœs
🍕	fromage, part, pizza
🌭	hot dog, saucisse, saucisse de Francfort
🥪	pain, sandwich
🌮	mexicain, taco
🌯	burrito, mexicain
🥙	falafel, kebab
🥚	œuf
🍳	friture, poêle, œuf, œuf au plat
🥘	casserole, paella, plat, plat mitonné, poêle
🍲	marmite, ragoût
🥣	bol avec cuillère, congee, céréales, déjeuner
🥗	salade, salade verte, verte
🍿	pop-corn
🧂	condiment, sel, shaker
🥫	aliments en conserve, conserve
🍱	boîte, boîte déjeuner, déjeuner
🍘	galette, galette de riz, riz
🍙	boulette, boulette de riz, japonais, riz
🍚	bol de riz, riz
🍛	curry, riz, riz au curry
🍜	bol, bol fumant, nouilles, ramen, vapeur
🍝	pâtes, spaghetti
🍠	patate, patate douce
🍢	brochette, brochette de poisson
🍣	sushi
🍤	beignet de crevette, crevette
🍥	croquette de poisson, poisson
🥮	automne, festival, gâteau de lune, yuèbǐng
🍡	bonbons, brochette de bonbons
🥟	boulette de pâte, empanada, gyōza, jiaozi, pierogi, potsticker
🥠	biscuit chinois, prophétie
🥡	boîte à emporter, seau d’huîtres
🍦	glace, glace italienne
🍧	glace, granité
🍨	crème, dessert, glace, sucré
🍩	dessert, doughnut, sucré
🍪	cookie, dessert, sucré
🎂	anniversaire, gâteau d’anniversaire
🍰	dessert, gâteau, gâteau sablé, pâtisserie, sucré
🧁	cupcake, pâtisserie, sucrerie
🥧	décoration, garniture, gâteau, pâtisserie, tarte
🍫	barre, barre chocolatée, chocolat, dessert, sucré
🍬	bonbon, dessert, sucré
🍭	dessert, sucette, sucrerie, sucré
🍮	crème renversée, dessert, pudding, sucré
🍯	miel, pot, pot de miel, sucré
🍼	biberon, boisson, bébé, lait
🥛	boisson, lait, verre, verre de lait
☕	boisson, boisson chaude
🍵	tasse, thé
🍶	bouteille, saké
🍾	boisson, bouchon, bouteille, bouteille de champagne, pop
🍷	verre, verre de vin, vin
🍸	cocktail, verre
🍹	cocktail tropical, verre
🍺	bière, chope
🍻	bière, chopes de bière, trinquer
🥂	célébrer, fêter, trinquer, verre
🥃	liqueur, tumbler, verre, verre tumbler, whisky
🥤	gobelet avec paille, jus de fruits, soda, tasse avec paille
🥢	baguettes, hashi
🍽	assiette, assiette et couverts, couteau, cuisine, fourchette
🍴	couteau et fourchette, restaurant
🥄	couvert, cuillère
🔪	arme, couteau, couteau de cuisine, cuisine, outil
🏺	amphore, cuisine, vase
🌍	afrique, europe, globe tourné sur l’Afrique et l’Europe
🌎	amérique, globe tourné sur les Amériques
🌏	asie, australie, globe tourné sur l’Asie et l’Australie
🌐	globe avec méridiens, globe terrestre
🗺	carte, carte du monde
🗾	carte, carte du Japon, japon
🧭	boussole, magnétique, navigation, orientation
🏔	montagne, montagne enneigée
⛰	montagne
🌋	volcan, éruption
🗻	mont Fuji, montagne
🏕	camping
🏖	parasol, plage, plage avec parasol
